#Time(ms)	States	Instructions	GC Time	Speed(st/s)
351	50	18	56	0
579	100	37	49	219
663	150	55	38	595
755	200	62	30	543
827	250	79	36	694
887	300	109	31	833
947	350	138	34	833
1018	400	146	34	704
1083	450	157	32	769
1135	500	171	33	961
1219	550	180	33	595
1279	600	194	34	833
1343	650	202	43	781
1391	700	207	33	1041
1445	750	211	33	925
1501	800	214	30	892
1567	850	218	34	757
1623	900	221	40	892
1683	950	225	41	833
1747	1000	229	46	781
1803	1050	232	37	892
1867	1100	234	36	781
1939	1150	238	42	694
2001	1200	239	48	806
2054	1250	241	35	943
2107	1300	246	37	943
2165	1350	248	38	862
2214	1400	254	39	1020
2283	1450	256	49	724
2347	1500	258	51	781
2399	1550	263	43	961
2459	1600	266	48	833
2510	1650	266	38	980
2567	1700	271	40	877
2619	1750	271	40	961
2687	1800	281	51	735
2735	1850	281	40	1041
2791	1900	285	35	892
2857	1950	287	42	757
2921	2000	291	43	781
2992	2050	294	54	704
3066	2100	296	56	675
3123	2150	301	49	877
3191	2200	301	46	735
3259	2250	306	48	735
3323	2300	310	48	781
3379	2350	310	46	892
3475	2400	316	74	520
3559	2450	324	74	595
3615	2500	324	46	892
3683	2550	326	57	735
3771	2600	338	66	568
3843	2650	338	60	694
3915	2700	344	49	694
4011	2750	344	75	520
4103	2800	354	78	543
4198	2850	354	75	526
4273	2900	358	49	666
4343	2950	358	48	714
4415	3000	364	57	694
4475	3050	364	51	833
4535	3100	372	50	833
4599	3150	372	54	781
4667	3200	373	57	735
4764	3250	373	76	515
4855	3300	378	73	549
4923	3350	381	54	735
4999	3400	381	64	657
5071	3450	382	59	694
5143	3500	382	50	694
5227	3550	390	61	595
5299	3600	392	60	694
5363	3650	393	53	781
5471	3700	393	90	462
5547	3750	394	64	657
5627	3800	400	62	625
5703	3850	405	62	657
5771	3900	405	54	735
5843	3950	409	61	694
5915	4000	409	61	694
6025	4050	409	99	454
6097	4100	413	55	694
6178	4150	413	62	617
6255	4200	413	62	649
6332	4250	414	58	649
6407	4300	414	59	666
6476	4350	414	57	724
6555	4400	417	62	632
6635	4450	418	56	625
6726	4500	418	76	549
6811	4550	418	68	588
6891	4600	418	67	625
6959	4650	418	58	735
7043	4700	424	66	595
7119	4750	424	64	657
7243	4800	424	112	403
7319	4850	425	62	657
7391	4900	425	62	694
7471	4950	425	62	625
7583	5000	425	91	446
7662	5050	425	65	632
7743	5100	426	63	617
7815	5150	433	60	694
7915	5200	435	84	500
7995	5250	435	62	625
8067	5300	435	62	694
8162	5350	436	73	526
8248	5400	440	69	581
8331	5450	441	66	602
8431	5500	441	81	500
8507	5550	442	66	657
8595	5600	443	71	568
8684	5650	446	73	561
8771	5700	447	62	574
8867	5750	447	71	520
8968	5800	447	89	495
9063	5850	447	65	526
9132	5900	449	57	724
9206	5950	449	59	675
9303	6000	453	74	515
9391	6050	454	67	568
9483	6100	454	71	543
9567	6150	454	72	595
9663	6200	454	82	520
9747	6250	454	72	595
9843	6300	455	78	520
9939	6350	455	86	520
10047	6400	455	80	462
10135	6450	455	77	568
10275	6500	456	126	357
10394	6550	456	108	420
10548	6600	456	134	324
10696	6650	459	125	337
10798	6700	459	88	490
10891	6750	459	81	537
10987	6800	459	85	520
11071	6850	459	72	595
11155	6900	459	71	595
11282	6950	460	105	393
11407	7000	468	82	400
11504	7050	468	64	515
11607	7100	468	72	485
11714	7150	468	87	467
11819	7200	468	82	476
11911	7250	468	70	543
12027	7300	468	95	431
12110	7350	475	71	602
12214	7400	478	81	480
12299	7450	482	65	588
12380	7500	482	65	617
12465	7550	482	64	588
12558	7600	482	77	537
12632	7650	482	64	675
12718	7700	482	68	581
12796	7750	482	65	641
12898	7800	495	75	490
12974	7850	497	66	657
13069	7900	497	69	526
13150	7950	498	66	617
13271	8000	498	95	413
13350	8050	499	67	632
13428	8100	499	67	641
13513	8150	499	68	588
13627	8200	505	91	438
13759	8250	513	117	378
13836	8300	520	68	649
13915	8350	520	68	632
14002	8400	523	77	574
14088	8450	523	68	581
14173	8500	523	68	588
14267	8550	529	75	531
14407	8600	529	119	357
14544	8650	531	128	364
14651	8700	537	96	467
