#Time(ms)	States	Instructions	GC Time	Speed(st/s)
332	50	18	58	0
558	100	37	37	221
645	150	55	44	574
744	200	62	41	505
814	250	79	34	714
862	300	109	27	1041
924	350	138	30	806
982	400	146	28	862
1038	450	157	33	892
1089	500	171	33	980
1142	550	180	34	943
1205	600	194	47	793
1253	650	202	34	1041
1310	700	207	30	877
1355	750	211	27	1111
1430	800	214	46	666
1488	850	218	40	862
1543	900	221	32	909
1610	950	225	36	746
1670	1000	229	37	833
1721	1050	232	34	980
1782	1100	234	38	819
1842	1150	238	36	833
1906	1200	239	48	781
1962	1250	241	39	892
2014	1300	246	39	961
2084	1350	248	51	714
2146	1400	254	53	806
2202	1450	256	43	892
2262	1500	258	43	833
2318	1550	263	43	892
2378	1600	266	49	833
2430	1650	266	42	961
2510	1700	271	60	625
2562	1750	271	43	961
2630	1800	281	50	735
2682	1850	281	42	961
2750	1900	285	46	735
2820	1950	287	61	714
2881	2000	291	52	819
2934	2050	294	44	943
2986	2100	296	43	961
3042	2150	301	46	892
3118	2200	301	67	657
3174	2250	306	43	892
3242	2300	310	57	735
3305	2350	310	53	793
3363	2400	316	46	862
3418	2450	324	44	909
3474	2500	324	44	892
3541	2550	326	53	746
3622	2600	338	53	617
3690	2650	338	55	735
3770	2700	344	50	625
3850	2750	344	57	625
3941	2800	354	70	549
4009	2850	354	47	735
4074	2900	358	50	769
4134	2950	358	49	833
4194	3000	364	51	833
4266	3050	364	62	694
4334	3100	372	59	735
4399	3150	372	56	769
4465	3200	373	56	757
4538	3250	373	53	684
4638	3300	378	87	500
4721	3350	381	72	602
4802	3400	381	67	617
4870	3450	382	54	735
4934	3500	382	53	781
5002	3550	390	54	735
5074	3600	392	62	694
5170	3650	393	87	520
5250	3700	393	61	625
5314	3750	394	53	781
5386	3800	400	55	694
5464	3850	405	54	641
5538	3900	405	56	675
5606	3950	409	57	735
5678	4000	409	62	694
5750	4050	409	57	694
5822	4100	413	57	694
5890	4150	413	57	735
5998	4200	413	91	462
6077	4250	414	66	632
6148	4300	414	55	704
6234	4350	414	63	581
6318	4400	417	64	595
6394	4450	418	60	657
6466	4500	418	60	694
6546	4550	418	69	625
6624	4600	418	65	641
6702	4650	418	64	641
6782	4700	424	63	625
6866	4750	424	74	595
6982	4800	424	94	431
7058	4850	425	59	657
7130	4900	425	59	694
7222	4950	425	72	543
7310	5000	425	76	568
7390	5050	425	68	625
7506	5100	425	104	431
7577	5150	431	61	704
7666	5200	435	74	561
7750	5250	435	72	595
7826	5300	435	65	657
7918	5350	436	72	543
8040	5400	440	111	409
8115	5450	441	62	666
8198	5500	441	66	602
8278	5550	442	70	625
8366	5600	442	75	568
8458	5650	445	82	543
8562	5700	447	91	480
8682	5750	447	109	416
8766	5800	447	72	595
8850	5850	447	69	595
8926	5900	449	66	657
9014	5950	449	67	568
9098	6000	449	75	595
9189	6050	453	78	549
9266	6100	454	67	649
9354	6150	454	67	568
9438	6200	454	75	595
9530	6250	454	72	543
9614	6300	455	73	595
9702	6350	455	77	568
9818	6400	455	99	431
9902	6450	455	73	595
10002	6500	455	83	500
10118	6550	456	106	431
10280	6600	456	140	308
10416	6650	459	116	367
10554	6700	459	117	362
10631	6750	459	68	649
10724	6800	459	74	537
10814	6850	459	70	555
10894	6900	459	69	625
10986	6950	460	75	543
11098	7000	468	84	446
11186	7050	468	77	568
11282	7100	468	78	520
11374	7150	468	83	543
11478	7200	468	84	480
11562	7250	468	75	595
11666	7300	468	82	480
11805	7350	469	128	359
11967	7400	478	148	308
12097	7450	482	120	384
12234	7500	482	118	364
12322	7550	482	77	568
12422	7600	482	88	500
12510	7650	482	78	568
12602	7700	482	81	543
12738	7750	482	125	367
12842	7800	489	77	480
12925	7850	497	66	602
13022	7900	497	73	515
13126	7950	498	78	480
13222	8000	498	84	520
13358	8050	499	118	367
13448	8100	499	79	555
13557	8150	499	84	458
13649	8200	500	77	543
13737	8250	512	67	568
13823	8300	520	67	581
13899	8350	520	67	657
14014	8400	522	92	434
14102	8450	523	76	568
14198	8500	523	84	520
14287	8550	523	79	561
14380	8600	529	79	537
14462	8650	531	68	609
14562	8700	534	79	500
14655	8750	541	76	537
14750	8800	541	87	526
14846	8850	544	85	520
14954	8900	548	99	462
15054	8950	549	81	500
15158	9000	549	94	480
15282	9050	550	114	403
15378	9100	550	82	520
15470	9150	552	82	543
15602	9200	566	116	378
15681	9250	566	70	632
15763	9300	567	71	609
15846	9350	573	70	602
15950	9400	575	87	480
16055	9450	577	82	476
16150	9500	579	78	526
16262	9550	579	93	446
16374	9600	583	92	446
16462	9650	586	78	568
16563	9700	589	80	495
16658	9750	589	85	526
16766	9800	590	96	462
16862	9850	591	86	520
16962	9900	591	91	500
17070	9950	595	86	462
17186	10000	602	94	431
17342	10050	602	142	320
17526	10100	602	161	271
17702	10150	606	163	284
17818	10200	614	93	431
17914	10250	623	84	520
18034	10300	624	95	416
18151	10350	624	101	427
18270	10400	624	96	420
18382	10450	625	90	446
18498	10500	625	100	431
18658	10550	629	145	312
18773	10600	629	103	434
18886	10650	630	101	442
19038	10700	632	141	328
19138	10750	636	90	500
19246	10800	640	96	462
19350	10850	643	89	480
19450	10900	643	90	500
19554	10950	648	92	480
19666	11000	649	102	446
19810	11050	649	133	347
19910	11100	650	84	500
19997	11150	650	79	574
20102	11200	651	92	476
20214	11250	656	88	446
20314	11300	658	90	500
20409	11350	663	80	526
20511	11400	663	91	490
20596	11450	663	78	588
20689	11500	668	80	537
20803	11550	671	90	438
20922	11600	671	100	420
21016	11650	671	82	531
21106	11700	672	80	555
21194	11750	674	79	568
21302	11800	674	95	462
21418	11850	674	94	431
21522	11900	681	96	480
21658	11950	682	116	367
21763	12000	682	96	476
21851	12050	682	80	568
21948	12100	682	84	515
22039	12150	687	81	549
22143	12200	697	94	480
22239	12250	697	82	520
22335	12300	700	84	520
22426	12350	702	82	549
22533	12400	702	97	467
22634	12450	703	84	495
22746	12500	703	93	446
22846	12550	708	90	500
22958	12600	709	99	446
23054	12650	709	84	520
23149	12700	709	84	526
23248	12750	711	87	505
23359	12800	711	100	450
23466	12850	711	86	467
23564	12900	720	86	510
23660	12950	720	87	520
23776	13000	720	100	431
23878	13050	721	88	490
23978	13100	721	88	500
24072	13150	721	86	531
24186	13200	725	102	438
24285	13250	727	88	505
24384	13300	727	89	505
24501	13350	727	96	427
24616	13400	728	104	434
24713	13450	728	88	515
24811	13500	728	88	510
24914	13550	728	91	485
25028	13600	739	104	438
25125	13650	739	89	515
25242	13700	740	96	427
25358	13750	744	105	431
25482	13800	744	115	403
25590	13850	747	100	462
25718	13900	747	110	390
25838	13950	747	109	416
25970	14000	747	123	378
26153	14050	747	173	273
26266	14100	747	101	442
26386	14150	747	105	416
26510	14200	747	116	403
26634	14250	747	106	403
26750	14300	760	106	431
26858	14350	760	98	462
26990	14400	770	124	378
27150	14450	781	105	312
27266	14500	783	105	431
27386	14550	783	111	416
27518	14600	783	123	378
27722	14650	783	187	245
27842	14700	783	109	416
27953	14750	783	97	450
28077	14800	783	111	403
28187	14850	783	97	454
28292	14900	783	95	476
28397	14950	784	96	476
28524	15000	784	114	393
28639	15050	785	98	434
28743	15100	785	95	480
28850	15150	788	97	467
28981	15200	788	115	381
29088	15250	788	97	467
29203	15300	788	97	434
29322	15350	788	100	420
29474	15400	788	130	328
29610	15450	788	125	367
29727	15500	788	108	427
29844	15550	788	100	427
29972	15600	788	116	390
30081	15650	788	99	458
30190	15700	790	98	458
30317	15750	790	105	393
30444	15800	790	117	393
30557	15850	790	98	442
30669	15900	790	101	446
30784	15950	790	101	434
30909	16000	790	115	400
31017	16050	791	99	462
31148	16100	791	104	381
31261	16150	791	102	442
31393	16200	791	117	378
31501	16250	791	99	462
31639	16300	791	106	362
31751	16350	791	102	446
31902	16400	791	129	331
32026	16450	791	110	403
32166	16500	791	114	357
32298	16550	791	115	378
32442	16600	791	133	347
32562	16650	791	110	416
32702	16700	791	121	357
32838	16750	791	125	367
32974	16800	791	126	367
33102	16850	791	113	390
33337	16900	791	206	212
33559	16950	791	211	225
33698	17000	791	129	359
33920	17050	791	203	225
34147	17100	791	208	220
34358	17150	791	201	236
34582	17200	791	209	223
34801	17250	791	198	228
35022	17300	791	200	226
35234	17350	791	201	235
35458	17400	791	216	223
35688	17450	791	208	217
35890	17500	791	180	247
36114	17550	791	203	223
36322	17600	791	199	240
36554	17650	791	208	215
36770	17700	791	198	231
36982	17750	791	202	235
37214	17800	791	219	215
37454	17850	791	220	208
37658	17900	791	190	245
37887	17950	791	218	218
38118	18000	791	223	216
38358	18050	791	217	208
38574	18100	791	202	231
38792	18150	791	207	229
39026	18200	791	213	213
39267	18250	791	221	207
39478	18300	791	196	236
39703	18350	793	213	222
39922	18400	793	210	228
40166	18450	793	219	204
40370	18500	793	182	245
40593	18550	793	212	224
40822	18600	793	212	218
41067	18650	793	222	204
41254	18700	793	165	267
41394	18750	793	129	357
41542	18800	793	140	337
41710	18850	793	149	297
41953	18900	793	228	205
42182	18950	793	218	218
42439	19000	793	247	194
42682	19050	796	225	205
42925	19100	796	226	205
43170	19150	796	223	204
43446	19200	805	261	181
43674	19250	805	216	219
43930	19300	805	230	195
44171	19350	805	225	207
44430	19400	805	239	193
44574	19450	805	133	347
44708	19500	805	122	373
44858	19550	805	125	333
45022	19600	805	144	304
45206	19650	805	173	271
45342	19700	805	120	367
45486	19750	805	124	347
45654	19800	805	146	297
45790	19850	805	125	367
45922	19900	805	122	378
46065	19950	805	122	349
46314	20000	805	219	200
46446	20050	805	119	378
46586	20100	808	120	357
46718	20150	811	124	378
46898	20200	811	152	277
47038	20250	811	126	357
47186	20300	811	127	337
47438	20350	812	233	198
47602	20400	815	156	304
47744	20450	815	120	352
47877	20500	815	117	375
48007	20550	815	115	384
48160	20600	815	136	326
48286	20650	815	115	396
48426	20700	815	121	357
48559	20750	815	118	375
48707	20800	815	136	337
48838	20850	815	118	381
48980	20900	815	121	352
49138	20950	815	132	316
49306	21000	815	148	297
49442	21050	815	125	367
49655	21100	815	191	234
49792	21150	818	119	364
49949	21200	818	140	318
50085	21250	818	120	367
50246	21300	819	131	310
50390	21350	825	131	347
50546	21400	825	147	320
50722	21450	825	137	284
50878	21500	825	134	320
51094	21550	825	201	231
51370	21600	825	262	181
51562	21650	826	183	260
51770	21700	826	182	240
51974	21750	826	186	245
52194	21800	826	206	227
52418	21850	826	180	223
52622	21900	826	192	245
52826	21950	826	184	245
53066	22000	826	205	208
53270	22050	826	187	245
53474	22100	826	183	245
53686	22150	826	179	235
53906	22200	826	210	227
54110	22250	826	185	245
54278	22300	826	141	297
54434	22350	826	142	320
54746	22400	834	284	160
54996	22450	834	241	200
55250	22500	837	242	196
55529	22550	837	247	179
55838	22600	838	284	161
56079	22650	838	214	207
56234	22700	838	135	322
56378	22750	843	128	347
56570	22800	843	161	260
56746	22850	843	142	284
56918	22900	843	149	290
57130	22950	843	183	235
57286	23000	843	147	320
57454	23050	843	134	297
57622	23100	843	135	297
57790	23150	843	139	297
57974	23200	843	155	271
58126	23250	843	141	328
58274	23300	843	135	337
58494	23350	843	175	227
58694	23400	843	166	250
58854	23450	843	137	312
59018	23500	847	136	304
59162	23550	847	135	347
59342	23600	848	165	277
59510	23650	848	145	297
59682	23700	848	152	290
59942	23750	848	247	192
60146	23800	848	179	245
61950	23850	848	232	27
62242	23900	848	251	171
62530	23950	848	263	173
62854	24000	851	299	154
63150	24050	851	277	168
63430	24100	851	267	178
63582	24150	852	142	328
63918	24200	852	300	148
64218	24250	852	267	166
64506	24300	852	273	173
64806	24350	852	276	166
64982	24400	852	166	284
65282	24450	852	269	166
65582	24500	852	259	166
65870	24550	852	251	173
66062	24600	852	169	260
66270	24650	855	173	240
66537	24700	855	258	187
66842	24750	855	280	163
67202	24800	855	328	138
67514	24850	855	278	160
67811	24900	855	273	168
68082	24950	855	240	184
68266	25000	855	176	271
68441	25050	856	146	285
68670	25100	856	162	218
68874	25150	856	156	245
69094	25200	860	192	227
69301	25250	860	163	241
69494	25300	860	176	259
69702	25350	861	189	240
69961	25400	861	201	193
70139	25450	861	156	280
70326	25500	861	153	267
70498	25550	861	146	290
70710	25600	861	172	235
70869	25650	861	140	314
71034	25700	861	144	303
71193	25750	861	142	314
71384	25800	861	166	261
71535	25850	861	139	331
71702	25900	866	145	299
71847	25950	866	137	344
72029	26000	866	166	274
72196	26050	866	145	299
72357	26100	866	142	310
72513	26150	866	142	320
72699	26200	866	168	268
72843	26250	866	137	347
73005	26300	867	144	308
73172	26350	867	146	299
73360	26400	867	169	265
73523	26450	869	144	306
73682	26500	869	143	314
73832	26550	869	140	333
74011	26600	869	166	279
74176	26650	869	145	303
74344	26700	869	145	297
74529	26750	871	156	270
74730	26800	871	176	248
74906	26850	871	154	284
75070	26900	871	151	304
75262	26950	871	157	260
75478	27000	871	182	231
75674	27050	871	175	255
75850	27100	871	156	284
76018	27150	883	153	297
76198	27200	883	173	277
76525	27250	883	283	152
76783	27300	883	217	193
77093	27350	883	293	161
77445	27400	883	326	142
77735	27450	883	265	172
77894	27500	883	149	314
78198	27550	883	281	164
78474	27600	883	237	181
78782	27650	883	293	162
79014	27700	886	210	215
79322	27750	886	285	162
79574	27800	886	237	198
79875	27850	886	289	166
80114	27900	886	211	209
80429	27950	886	291	158
80694	28000	886	231	188
80992	28050	887	284	167
81234	28100	887	220	206
81526	28150	887	282	171
81810	28200	887	265	176
82151	28250	887	303	146
82374	28300	887	199	224
82687	28350	887	297	159
82950	28400	887	245	190
83254	28450	893	282	164
83490	28500	893	229	211
83822	28550	893	295	150
84098	28600	893	236	181
84419	28650	893	297	155
84650	28700	893	208	216
84974	28750	895	293	154
85230	28800	895	245	195
85554	28850	895	298	154
85790	28900	895	201	211
86106	28950	895	293	158
86370	29000	899	230	189
86671	29050	899	280	166
86922	29100	899	220	199
87207	29150	899	277	175
87482	29200	899	249	181
87835	29250	899	309	141
88038	29300	899	179	246
88226	29350	904	173	265
88470	29400	904	224	204
88794	29450	904	292	154
89089	29500	904	286	169
89435	29550	904	304	144
89832	29600	904	356	125
90155	29650	904	302	154
90470	29700	904	300	158
90785	29750	911	299	158
91138	29800	911	331	141
91317	29850	911	169	279
91521	29900	911	165	245
91709	29950	911	156	265
91918	30000	911	185	239
92098	30050	911	159	277
92294	30100	913	163	255
92458	30150	913	154	304
92666	30200	913	184	240
92966	30250	913	252	166
93290	30300	913	290	154
93550	30350	913	232	192
93814	30400	913	248	189
94070	30450	913	217	195
94306	30500	913	229	211
94558	30550	913	222	198
94862	30600	913	252	164
95119	30650	913	237	194
95374	30700	917	233	196
95626	30750	918	233	198
95918	30800	918	256	171
96154	30850	918	228	211
96430	30900	918	216	181
96694	30950	918	224	189
96910	31000	918	188	231
97114	31050	918	179	245
97442	31100	918	306	152
97766	31150	923	308	154
98116	31200	923	343	142
98474	31250	923	311	139
98798	31300	923	277	154
98992	31350	923	162	257
99199	31400	923	181	241
99361	31450	923	150	308
99535	31500	925	155	287
99696	31550	925	152	310
99904	31600	925	184	240
100095	31650	925	162	261
100273	31700	925	157	280
100448	31750	925	155	285
100641	31800	925	179	259
100815	31850	925	155	287
100985	31900	925	152	294
101169	31950	925	159	271
101383	32000	925	188	233
101566	32050	925	157	273
101774	32100	925	171	240
101950	32150	933	162	284
102158	32200	933	187	240
102350	32250	933	163	260
102538	32300	933	179	265
102862	32350	933	275	154
103286	32400	933	372	117
103510	32450	933	195	223
103818	32500	933	275	162
104114	32550	933	273	168
104434	32600	937	303	156
104710	32650	937	265	181
105014	32700	937	270	164
105334	32750	937	272	156
105683	32800	937	308	143
106006	32850	937	280	154
106323	32900	937	293	157
106646	32950	940	299	154
106994	33000	940	330	143
107290	33050	940	288	168
107625	33100	940	275	149
107954	33150	940	284	151
108298	33200	940	307	145
108610	33250	940	274	160
108802	33300	940	177	260
109028	33350	940	185	221
109406	33400	940	357	132
109752	33450	940	319	144
110114	33500	940	325	138
110474	33550	940	321	138
110882	33600	940	374	122
111214	33650	943	312	150
111410	33700	943	167	255
111610	33750	943	173	250
111807	33800	943	188	253
111992	33850	943	162	270
112192	33900	943	168	250
112370	33950	943	159	280
112584	34000	943	191	233
112761	34050	943	162	282
112942	34100	949	163	276
113117	34150	949	159	285
113318	34200	949	186	248
113507	34250	949	164	264
113734	34300	949	180	220
113938	34350	949	171	245
114174	34400	949	204	211
114366	34450	949	173	260
114582	34500	954	190	231
114790	34550	954	179	240
115174	34600	954	365	130
115543	34650	954	329	135
115926	34700	954	334	130
116286	34750	954	334	138
116506	34800	954	200	227
116847	34850	954	317	146
117205	34900	954	317	139
117538	34950	954	314	150
117942	35000	954	372	123
118314	35050	954	332	134
