#Time(ms)	States	Instructions	GC Time	Speed(st/s)
320	50	18	45	0
556	100	37	34	211
640	150	55	30	595
734	200	62	41	531
793	250	79	34	847
856	300	109	35	793
920	350	138	39	781
996	400	146	43	657
1051	450	157	33	909
1096	500	171	30	1111
1156	550	180	43	833
1209	600	194	33	943
1269	650	202	35	833
1336	700	207	39	746
1388	750	211	35	961
1459	800	214	45	704
1521	850	218	38	806
1576	900	221	35	909
1636	950	225	35	833
1692	1000	229	41	892
1740	1050	232	36	1041
1808	1100	234	42	735
1860	1150	238	35	961
1922	1200	239	41	806
1976	1250	241	38	925
2032	1300	246	45	892
2092	1350	248	47	833
2148	1400	254	46	892
2214	1450	256	48	757
2266	1500	258	43	961
2313	1550	263	37	1063
2382	1600	266	47	724
2440	1650	266	48	862
2492	1700	271	39	961
2552	1750	271	47	833
2612	1800	281	48	833
2688	1850	281	66	657
2756	1900	285	56	735
2808	1950	287	43	961
2868	2000	291	52	833
2924	2050	294	45	892
2974	2100	296	41	1000
3024	2150	301	41	1000
3079	2200	301	45	909
3144	2250	306	44	769
3227	2300	310	72	602
3277	2350	310	41	1000
3342	2400	316	46	769
3400	2450	324	45	862
3460	2500	324	47	833
3524	2550	326	53	781
3604	2600	338	55	625
3660	2650	338	45	892
3724	2700	344	45	781
3799	2750	344	64	666
3868	2800	354	53	724
3928	2850	354	45	833
3992	2900	358	49	781
4069	2950	358	67	649
4133	3000	364	53	781
4192	3050	364	50	847
4276	3100	372	73	595
4334	3150	372	49	862
4408	3200	373	62	675
4476	3250	373	54	735
4562	3300	378	73	581
4621	3350	381	50	847
4684	3400	381	55	793
4752	3450	382	54	735
4816	3500	382	55	781
4884	3550	390	57	735
4976	3600	392	82	543
5044	3650	393	55	735
5103	3700	393	49	847
5180	3750	394	59	649
5252	3800	400	59	694
5324	3850	405	51	694
5391	3900	405	54	746
5468	3950	409	58	649
5548	4000	409	71	625
5624	4050	409	62	657
5704	4100	413	68	625
5780	4150	413	64	657
5872	4200	413	71	543
5980	4250	414	95	462
6090	4300	414	96	454
6192	4350	414	92	490
6316	4400	417	115	403
6412	4450	418	86	520
6484	4500	418	61	694
6552	4550	418	58	735
6633	4600	418	64	617
6702	4650	418	58	724
6799	4700	424	70	515
6868	4750	424	59	724
6960	4800	424	75	543
7052	4850	425	66	543
7124	4900	425	63	694
7212	4950	425	77	568
7304	5000	425	71	543
7376	5050	425	62	694
7475	5100	426	88	505
7556	5150	433	67	617
7634	5200	435	65	641
7724	5250	435	73	555
7808	5300	435	74	595
7896	5350	436	69	568
7981	5400	440	73	588
8050	5450	441	58	724
8120	5500	441	57	714
8192	5550	442	56	694
8276	5600	443	65	595
8345	5650	446	56	724
8414	5700	447	57	724
8488	5750	447	58	675
8580	5800	447	74	543
8696	5850	447	94	431
8812	5900	449	107	431
8904	5950	449	71	543
9004	6000	453	84	500
9092	6050	454	69	568
9164	6100	454	62	694
9247	6150	454	61	602
9327	6200	454	68	625
9404	6250	454	59	649
9480	6300	455	62	657
9552	6350	455	60	694
9660	6400	455	82	462
9736	6450	455	66	657
9849	6500	456	101	442
9928	6550	456	69	632
10026	6600	456	87	510
10104	6650	459	61	641
10176	6700	459	61	694
10248	6750	459	62	694
10344	6800	459	79	520
10421	6850	459	63	649
10497	6900	459	63	657
10592	6950	460	73	526
10725	7000	468	98	375
10812	7050	468	75	574
10928	7100	468	98	431
11012	7150	468	73	595
11108	7200	468	81	520
11216	7250	468	98	462
11304	7300	468	77	568
11376	7350	475	64	694
11477	7400	478	77	495
11548	7450	482	63	704
11641	7500	482	71	537
11714	7550	482	64	684
11801	7600	482	76	574
11885	7650	482	69	595
11962	7700	482	66	649
12036	7750	482	66	675
12126	7800	494	76	555
12202	7850	497	65	657
12277	7900	497	66	666
12376	7950	498	79	505
12476	8000	498	90	500
12583	8050	499	97	467
12680	8100	499	78	515
12768	8150	499	77	568
12884	8200	505	107	431
12984	8250	513	80	500
13068	8300	520	76	595
13164	8350	520	83	520
13264	8400	523	90	500
13352	8450	523	80	568
13444	8500	523	80	543
13532	8550	523	80	568
13652	8600	529	110	416
13756	8650	531	94	480
13844	8700	534	79	568
13936	8750	541	83	543
14036	8800	541	92	500
14190	8850	544	134	324
14334	8900	548	135	347
14482	8950	549	138	337
14656	9000	549	163	287
14748	9050	550	83	543
14828	9100	550	69	625
14927	9150	556	76	505
15027	9200	566	88	500
15106	9250	566	70	632
15188	9300	567	71	609
15291	9350	575	80	485
15388	9400	575	88	515
15492	9450	577	83	480
15612	9500	579	113	416
15705	9550	579	82	537
15799	9600	583	82	531
15879	9650	586	71	625
