#Time(ms)	States	Instructions	GC Time	Speed(st/s)
358	50	18	61	0
585	100	37	25	220
688	150	55	32	485
775	200	62	33	574
838	250	79	28	793
891	300	109	28	943
961	350	138	29	714
1031	400	146	38	714
1088	450	157	30	877
1151	500	171	33	793
1251	550	180	34	500
1315	600	194	26	781
1379	650	202	38	781
1431	700	207	36	961
1487	750	211	39	892
1544	800	214	33	877
1611	850	218	42	746
1669	900	221	47	862
1731	950	225	39	806
1794	1000	229	44	793
1844	1050	232	38	1000
1907	1100	234	45	793
1963	1150	238	42	892
2027	1200	239	52	781
2083	1250	241	38	892
2134	1300	246	39	980
2195	1350	248	43	819
2245	1400	254	41	1000
2307	1450	256	42	806
2355	1500	258	37	1041
2411	1550	263	44	892
2475	1600	266	55	781
2530	1650	266	45	909
2584	1700	271	40	925
2643	1750	271	46	847
2695	1800	281	43	961
2747	1850	281	44	961
2795	1900	285	39	1041
2847	1950	287	45	961
2907	2000	291	51	833
2963	2050	294	45	892
3013	2100	296	41	1000
3063	2150	301	43	1000
3121	2200	301	48	862
3175	2250	306	43	925
3235	2300	310	45	833
3291	2350	310	48	892
3362	2400	316	57	704
3412	2450	324	39	1000
3467	2500	324	43	909
3531	2550	326	51	781
3627	2600	338	80	520
3695	2650	338	59	735
3761	2700	344	57	757
3851	2750	344	81	555
3913	2800	354	51	806
3979	2850	354	49	757
4039	2900	358	48	833
4127	2950	358	79	568
4187	3000	364	52	833
4243	3050	364	48	892
4303	3100	372	46	833
4363	3150	372	51	833
4427	3200	373	54	781
4487	3250	373	50	833
4559	3300	378	55	694
4654	3350	381	85	526
4727	3400	381	64	684
4799	3450	382	54	694
4864	3500	382	51	769
4943	3550	390	58	632
5012	3600	392	58	724
5083	3650	393	62	704
5163	3700	393	69	625
5239	3750	394	62	657
5311	3800	400	60	694
5395	3850	405	62	595
5463	3900	405	55	735
5572	3950	409	98	458
5667	4000	409	86	526
5731	4050	409	53	781
5811	4100	413	55	625
5883	4150	413	57	694
5972	4200	413	68	561
6059	4250	414	74	574
6143	4300	414	69	595
6219	4350	414	65	657
6299	4400	417	69	625
6383	4450	418	67	595
6459	4500	418	64	657
6576	4550	418	100	427
6695	4600	418	108	420
6767	4650	418	62	694
6842	4700	424	62	666
6911	4750	424	61	724
6991	4800	424	70	625
7071	4850	425	68	625
7139	4900	425	60	735
7214	4950	425	64	666
7295	5000	425	66	617
7371	5050	425	66	657
7451	5100	425	69	625
7523	5150	431	63	694
7615	5200	435	70	543
7695	5250	435	69	625
7767	5300	435	62	694
7843	5350	436	66	657
7927	5400	440	75	595
8003	5450	441	65	657
8119	5500	441	100	431
8199	5550	442	66	625
8282	5600	442	72	602
8355	5650	445	65	684
8432	5700	447	67	649
8507	5750	447	66	666
8591	5800	447	74	595
8679	5850	447	71	568
8759	5900	449	69	625
8869	5950	449	93	454
8953	6000	449	76	595
9031	6050	453	67	641
9106	6100	454	67	666
9184	6150	454	67	641
9272	6200	454	76	568
9346	6250	454	64	675
9429	6300	455	65	602
9506	6350	455	60	649
9607	6400	455	77	495
9685	6450	455	68	641
9822	6500	455	117	364
9898	6550	456	68	657
9988	6600	456	77	555
10073	6650	459	65	588
10159	6700	459	69	581
10235	6750	459	68	657
10339	6800	459	82	480
10423	6850	459	75	595
10511	6900	459	77	568
10595	6950	460	75	595
10763	7000	468	142	297
10855	7050	468	84	543
10940	7100	468	74	588
11023	7150	468	73	602
11123	7200	468	83	500
11203	7250	468	71	625
11294	7300	468	74	549
11387	7350	469	75	537
11491	7400	478	83	480
11571	7450	482	71	625
11719	7500	482	127	337
11823	7550	482	95	480
11919	7600	482	86	520
12007	7650	482	78	568
12091	7700	482	75	595
12175	7750	482	75	595
12279	7800	489	94	480
12363	7850	497	75	595
12447	7900	497	76	595
12550	7950	498	94	485
12655	8000	498	97	476
12747	8050	499	82	543
12831	8100	499	76	595
12927	8150	499	85	520
13085	8200	500	149	316
13227	8250	512	133	352
13368	8300	520	132	354
13491	8350	520	115	406
13597	8400	522	96	471
13678	8450	523	73	617
13775	8500	523	76	515
13875	8550	523	86	500
13971	8600	529	87	520
14063	8650	531	83	543
14147	8700	534	76	595
14259	8750	541	102	446
14354	8800	541	88	526
14454	8850	544	86	500
14534	8900	548	73	625
14613	8950	549	69	632
14706	9000	549	80	537
14803	9050	550	79	515
14899	9100	550	86	520
15019	9150	552	110	416
15127	9200	566	95	462
15211	9250	566	76	595
15303	9300	567	82	543
15391	9350	573	77	568
15499	9400	575	100	462
15591	9450	577	82	543
15679	9500	579	80	568
15787	9550	579	99	462
15903	9600	583	105	431
15991	9650	586	79	568
16087	9700	589	86	520
16183	9750	589	87	520
16360	9800	590	168	282
16508	9850	591	140	337
16661	9900	591	145	326
16811	9950	595	139	333
16919	10000	602	98	462
17015	10050	602	88	520
17127	10100	602	93	446
17231	10150	606	96	480
17361	10200	614	115	384
17454	10250	623	78	537
17567	10300	624	97	442
17679	10350	624	98	446
17811	10400	624	123	378
17907	10450	625	88	520
18063	10500	625	142	320
18179	10550	629	107	431
18315	10600	629	129	367
18414	10650	630	90	505
18515	10700	632	87	495
18611	10750	636	87	520
18719	10800	640	98	462
18819	10850	643	91	500
18915	10900	643	88	520
19011	10950	648	87	520
19119	11000	649	100	462
19215	11050	649	87	520
19359	11100	650	131	347
19451	11150	650	85	543
19563	11200	651	102	446
19659	11250	656	87	520
19774	11300	658	108	434
19871	11350	663	86	515
19972	11400	663	89	495
20076	11450	663	88	480
20170	11500	668	80	531
20283	11550	671	87	442
20388	11600	671	96	476
20485	11650	671	81	515
20573	11700	672	79	568
20659	11750	674	78	581
20763	11800	674	94	480
20855	11850	674	82	543
20944	11900	681	78	561
21048	11950	682	84	480
21155	12000	682	93	467
21243	12050	682	80	568
21337	12100	682	83	531
21426	12150	687	81	561
21526	12200	697	93	500
21617	12250	697	82	549
21710	12300	700	82	537
21800	12350	702	83	555
21908	12400	702	98	462
22012	12450	703	84	480
22106	12500	703	83	531
22207	12550	708	84	495
22317	12600	709	100	454
22412	12650	709	85	526
22505	12700	709	84	537
22601	12750	711	86	520
22710	12800	711	99	458
22806	12850	711	86	520
22901	12900	720	86	526
23000	12950	720	89	505
23116	13000	720	105	431
23221	13050	721	88	476
23318	13100	721	87	515
23412	13150	721	86	531
23521	13200	725	101	458
23618	13250	727	87	515
23714	13300	727	88	520
23831	13350	727	104	427
23943	13400	728	103	446
24059	13450	728	97	431
24183	13500	728	116	403
24355	13550	728	162	290
24469	13600	739	104	438
24579	13650	739	91	454
24679	13700	740	89	500
24778	13750	744	90	505
24894	13800	744	105	431
24991	13850	747	89	515
25093	13900	747	92	490
25194	13950	747	92	495
25308	14000	747	105	438
25406	14050	747	90	510
25518	14100	747	92	446
25628	14150	747	93	454
25741	14200	747	106	442
25845	14250	747	94	480
25952	14300	760	92	467
26051	14350	760	92	505
26170	14400	770	107	420
26331	14450	781	102	310
26443	14500	783	103	446
26559	14550	783	108	431
26683	14600	783	117	403
26811	14650	783	107	390
26923	14700	783	103	446
27111	14750	783	177	265
27243	14800	783	123	378
27354	14850	783	100	450
27457	14900	783	95	485
27565	14950	784	94	462
27690	15000	784	114	400
27797	15050	785	97	467
27900	15100	785	96	485
28008	15150	788	96	462
28134	15200	788	116	396
28240	15250	788	97	471
28344	15300	788	96	480
28455	15350	788	99	450
28592	15400	788	121	364
28700	15450	788	97	462
28805	15500	788	97	476
28920	15550	788	101	434
29046	15600	788	115	396
29153	15650	788	98	467
29260	15700	790	98	467
29371	15750	790	101	450
29495	15800	790	115	403
29604	15850	790	98	458
29713	15900	790	100	458
29824	15950	790	101	450
29964	16000	790	121	357
30069	16050	791	98	476
30183	16100	791	102	438
30294	16150	791	101	450
30418	16200	791	117	403
30524	16250	791	99	471
30646	16300	791	103	409
30756	16350	791	101	454
30903	16400	791	126	340
31023	16450	791	111	416
31159	16500	791	117	367
31279	16550	791	111	416
31419	16600	791	131	357
31551	16650	791	124	378
31683	16700	791	121	378
31889	16750	791	197	242
32043	16800	791	146	324
32245	16850	791	193	247
32471	16900	791	209	221
32611	16950	791	127	357
32859	17000	791	240	201
33063	17050	791	195	245
33204	17100	791	130	354
33423	17150	791	206	228
33559	17200	791	128	367
33783	17250	791	204	223
34011	17300	791	209	219
34135	17350	791	114	403
34383	17400	791	241	201
34604	17450	791	210	226
34747	17500	791	123	349
34963	17550	791	206	231
35127	17600	791	157	304
35356	17650	791	217	218
35494	17700	791	127	362
35718	17750	791	207	223
35871	17800	791	146	326
36096	17850	791	209	222
36235	17900	791	128	359
36461	17950	791	215	221
36603	18000	791	134	352
36835	18050	791	212	215
36975	18100	791	129	357
37119	18150	791	135	347
37362	18200	791	235	205
37605	18250	791	217	205
37840	18300	791	215	212
38061	18350	793	211	226
38319	18400	793	250	193
38567	18450	793	227	201
38703	18500	793	125	367
38831	18550	793	119	390
38971	18600	793	132	357
39115	18650	793	122	347
39247	18700	793	120	378
39379	18750	793	122	378
39523	18800	793	137	347
39655	18850	793	120	378
39875	18900	793	203	227
40002	18950	793	117	393
40142	19000	793	131	357
40263	19050	796	110	413
40388	19100	796	112	400
40512	19150	796	112	403
40657	19200	805	127	344
40781	19250	805	109	403
40931	19300	805	128	333
41073	19350	805	127	352
41231	19400	805	148	316
41359	19450	805	119	390
41582	19500	805	213	224
41731	19550	805	127	335
41874	19600	805	131	349
41994	19650	805	112	416
42139	19700	805	126	344
42281	19750	805	130	352
42443	19800	805	143	308
42623	19850	805	171	277
42748	19900	805	116	400
42873	19950	805	115	400
43043	20000	805	145	294
43175	20050	805	122	378
43311	20100	808	122	367
43439	20150	811	120	390
43607	20200	811	145	297
43759	20250	811	140	328
43955	20300	811	186	255
44201	20350	812	226	203
44351	20400	815	139	333
44551	20450	815	178	250
44747	20500	815	178	255
44947	20550	815	190	250
45163	20600	815	205	231
45355	20650	815	183	260
45559	20700	815	186	245
45763	20750	815	183	245
45979	20800	815	206	231
46171	20850	815	181	260
46351	20900	815	173	277
46499	20950	815	130	337
46675	21000	815	155	284
46919	21050	815	231	204
47167	21100	815	237	201
47398	21150	818	222	216
47694	21200	818	270	168
47952	21250	818	238	193
48183	21300	819	220	216
48331	21350	825	137	337
48487	21400	825	148	320
48645	21450	825	136	316
48795	21500	825	138	333
48939	21550	825	132	347
49111	21600	825	161	290
49246	21650	826	128	370
49407	21700	826	139	310
49659	21750	826	241	198
49899	21800	826	228	208
50073	21850	826	134	287
50212	21900	826	129	359
50341	21950	826	120	387
50497	22000	826	142	320
50633	22050	826	121	367
50764	22100	826	120	381
50901	22150	826	124	364
51067	22200	826	150	301
51227	22250	826	141	312
51395	22300	826	152	297
51559	22350	826	153	304
51775	22400	834	201	231
51907	22450	834	125	378
52051	22500	837	132	347
52207	22550	837	136	320
52391	22600	838	167	271
52543	22650	838	139	328
52687	22700	838	135	347
52831	22750	843	134	347
53015	22800	843	162	271
53191	22850	843	160	284
53449	22900	843	242	193
53639	22950	843	166	263
53921	23000	843	275	177
54193	23050	843	248	183
54367	23100	843	150	287
54633	23150	843	248	187
54822	23200	843	171	264
55079	23250	843	247	194
55243	23300	843	153	304
55526	23350	843	258	176
55843	23400	843	293	157
56111	23450	843	250	186
56279	23500	847	149	297
56532	23550	847	245	197
56731	23600	848	178	251
57019	23650	848	263	173
57195	23700	848	161	284
57460	23750	848	254	188
57675	23800	848	196	232
