#Time(ms)	States	Instructions	GC Time	Speed(st/s)
690	50	18	106	0
1152	100	37	81	108
1340	150	55	70	265
1508	200	62	79	297
1648	250	79	67	357
1756	300	109	49	462
1860	350	138	58	480
2012	400	146	80	328
2116	450	157	84	480
2212	500	171	69	520
2410	550	180	79	252
2543	600	194	70	375
2666	650	202	70	406
2808	700	207	76	352
2935	750	211	77	393
3068	800	214	69	375
3204	850	218	74	367
3298	900	221	69	531
3402	950	225	71	480
3552	1000	229	117	333
3652	1050	232	78	500
3776	1100	234	72	403
3891	1150	238	74	434
4011	1200	239	74	416
4128	1250	241	80	427
4252	1300	246	93	403
4372	1350	248	74	416
4488	1400	254	89	431
4632	1450	256	112	347
4738	1500	258	91	471
4838	1550	263	77	500
4948	1600	266	90	454
5064	1650	266	96	431
5172	1700	271	83	462
5274	1750	271	81	490
5424	1800	281	117	333
5532	1850	281	83	462
5660	1900	285	102	390
5756	1950	287	79	520
5880	2000	291	106	403
5988	2050	294	89	462
6088	2100	296	92	500
6210	2150	301	105	409
6330	2200	301	93	416
6476	2250	306	118	342
6592	2300	310	91	431
6692	2350	310	91	500
6812	2400	316	96	416
6928	2450	324	94	431
7036	2500	324	95	462
7212	2550	326	142	284
7372	2600	338	122	312
7483	2650	338	92	450
7620	2700	344	94	364
7740	2750	344	100	416
7868	2800	354	103	390
8004	2850	354	105	367
8124	2900	358	99	416
8243	2950	358	101	420
8368	3000	364	112	400
8544	3050	364	155	284
8664	3100	372	100	416
8780	3150	372	103	431
8904	3200	373	109	403
9024	3250	373	102	416
9168	3300	378	106	347
9286	3350	381	100	423
9452	3400	381	145	301
9627	3450	382	160	285
9808	3500	382	166	276
10008	3550	390	165	250
10148	3600	392	126	357
10271	3650	393	106	406
10404	3700	393	103	375
10532	3750	394	109	390
10678	3800	400	127	342
10820	3850	405	112	352
10969	3900	405	112	335
11104	3950	409	116	370
11244	4000	409	119	357
11376	4050	409	110	378
11520	4100	413	125	347
11652	4150	413	118	378
11808	4200	413	139	320
11964	4250	414	133	320
12144	4300	414	148	277
12300	4350	414	142	320
12444	4400	417	130	347
12592	4450	418	119	337
12724	4500	418	119	378
12949	4550	418	202	222
13200	4600	418	215	199
13412	4650	418	195	235
13646	4700	424	210	213
13808	4750	424	144	308
13976	4800	424	150	297
14132	4850	425	141	320
14292	4900	425	122	312
14436	4950	425	121	347
14606	5000	425	136	294
14746	5050	425	117	357
14908	5100	426	106	308
15064	5150	433	125	320
15236	5200	435	146	290
15396	5250	435	133	312
15548	5300	435	143	328
15784	5350	436	213	211
15964	5400	440	154	277
16123	5450	441	133	314
16276	5500	441	130	326
16424	5550	442	127	337
16608	5600	443	160	271
16780	5650	446	149	290
16952	5700	447	154	290
17107	5750	447	136	322
17272	5800	447	141	303
17444	5850	447	132	290
17596	5900	449	126	328
17776	5950	449	138	277
17956	6000	453	148	277
18122	6050	454	139	301
18372	6100	454	239	200
18518	6150	454	127	342
18712	6200	454	146	257
18880	6250	454	142	297
19056	6300	455	142	284
19308	6350	455	216	198
19516	6400	455	160	240
19672	6450	455	132	320
19848	6500	456	143	284
20008	6550	456	143	312
20267	6600	456	236	193
20442	6650	459	140	285
20604	6700	459	137	308
20784	6750	459	158	277
20980	6800	459	169	255
21146	6850	459	147	301
21316	6900	459	156	294
21484	6950	460	145	297
21720	7000	468	169	211
21916	7050	468	177	255
22100	7100	468	161	271
22270	7150	468	146	294
22454	7200	468	152	271
22631	7250	468	130	282
22796	7300	468	133	303
22944	7350	475	137	337
23122	7400	478	152	280
23316	7450	482	153	257
23482	7500	482	145	301
23639	7550	482	144	318
23823	7600	482	159	271
23969	7650	482	129	342
24164	7700	482	161	256
24336	7750	482	150	290
24536	7800	495	163	250
24756	7850	497	200	227
24937	7900	497	155	276
25088	7950	498	137	331
25316	8000	498	180	219
25484	8050	499	155	297
25700	8100	499	206	231
25976	8150	499	259	181
26240	8200	505	246	189
26420	8250	513	161	277
26588	8300	520	160	297
26764	8350	520	158	284
26948	8400	523	175	271
27120	8450	523	154	290
27312	8500	523	169	260
27500	8550	529	167	265
27728	8600	529	199	219
27918	8650	531	173	263
28104	8700	537	159	268
28274	8750	541	158	294
28480	8800	542	175	242
28784	8850	548	279	164
29064	8900	549	263	178
29375	8950	549	284	160
29648	9000	550	261	183
29840	9050	550	172	260
30032	9100	550	168	260
30235	9150	557	164	246
30492	9200	566	243	194
30668	9250	567	155	284
30852	9300	568	156	271
31028	9350	575	152	284
31236	9400	577	183	240
31424	9450	579	163	265
31628	9500	579	175	245
31822	9550	583	184	257
32040	9600	586	204	229
32248	9650	589	176	240
32432	9700	589	159	271
32748	9750	590	291	158
33088	9800	591	327	147
33367	9850	591	256	179
33565	9900	595	163	252
33770	9950	602	187	243
33975	10000	602	180	243
34148	10050	605	151	289
34344	10100	606	165	255
34564	10150	614	170	227
34808	10200	623	213	204
35012	10250	624	163	245
35236	10300	624	189	223
35448	10350	625	191	235
35696	10400	625	235	201
35928	10450	627	183	215
36148	10500	629	203	227
36376	10550	629	215	219
36644	10600	630	241	186
36832	10650	632	167	265
37014	10700	636	164	274
37212	10750	643	172	252
37577	10800	643	344	136
37908	10850	648	310	151
38219	10900	649	297	160
38424	10950	649	175	243
38644	11000	650	201	227
38820	11050	650	163	284
39011	11100	651	176	261
39210	11150	656	176	251
39416	11200	659	194	242
39620	11250	663	180	245
39824	11300	663	187	245
40016	11350	663	179	260
40235	11400	670	200	228
40460	11450	671	189	222
40652	11500	671	174	260
40860	11550	671	189	240
41192	11600	672	310	150
41392	11650	674	180	250
41588	11700	674	176	255
41772	11750	674	168	271
41999	11800	681	196	220
42178	11850	682	157	279
42388	11900	682	172	238
42586	11950	682	179	252
42824	12000	687	225	210
43010	12050	697	175	268
43198	12100	697	166	265
43416	12150	700	183	229
43626	12200	702	188	238
43819	12250	702	164	259
44023	12300	703	167	245
44208	12350	704	163	270
44441	12400	708	194	214
44663	12450	709	185	225
44880	12500	709	179	230
45080	12550	711	173	250
45288	12600	711	195	240
45508	12650	711	179	227
45716	12700	718	185	240
45926	12750	720	189	238
46141	12800	720	191	232
46392	12850	721	189	199
46584	12900	721	179	260
46774	12950	725	164	263
47003	13000	725	197	218
47217	13050	727	173	233
47408	13100	727	165	261
47600	13150	727	174	260
47864	13200	728	219	189
48064	13250	728	193	250
48272	13300	728	199	240
48484	13350	739	185	235
48821	13400	739	318	148
49032	13450	740	191	236
49238	13500	744	183	242
49461	13550	744	184	224
49680	13600	747	203	228
49872	13650	747	174	260
50065	13700	747	173	259
50292	13750	747	191	220
50544	13800	747	224	198
50784	13850	747	210	208
51012	13900	747	200	219
51228	13950	747	197	231
51476	14000	760	230	201
51696	14050	761	206	227
51916	14100	761	212	227
52308	14150	782	287	127
52556	14200	784	229	201
52764	14250	784	191	240
52986	14300	784	197	225
53228	14350	784	214	206
53471	14400	784	229	205
53663	14450	784	176	260
53876	14500	784	186	234
54076	14550	784	187	250
54298	14600	784	213	225
54505	14650	785	188	241
54737	14700	786	186	215
54948	14750	786	192	236
55171	14800	789	215	224
55384	14850	790	190	234
55612	14900	790	190	219
55829	14950	790	180	230
56080	15000	790	227	199
56283	15050	790	190	246
56488	15100	790	186	243
56700	15150	790	193	235
56940	15200	790	226	208
57156	15250	790	194	231
57364	15300	792	192	240
57607	15350	792	203	205
57848	15400	792	219	207
58064	15450	792	190	231
58276	15500	792	190	235
58491	15550	792	190	232
58738	15600	792	213	202
58948	15650	793	190	238
59180	15700	796	199	215
59384	15750	796	191	245
59618	15800	796	221	213
59833	15850	796	192	232
60047	15900	796	196	233
63316	15950	796	517	15
63616	16000	796	287	166
63916	16050	796	263	166
64180	16100	796	246	189
64436	16150	796	240	195
64747	16200	796	266	160
65052	16250	796	266	163
65308	16300	796	237	195
65552	16350	796	228	204
65992	16400	796	366	113
66304	16450	800	285	160
66552	16500	800	222	201
66844	16550	800	251	171
67168	16600	800	284	154
67476	16650	800	294	162
67756	16700	800	270	178
68080	16750	800	272	154
68382	16800	800	282	165
68676	16850	800	276	170
68932	16900	800	238	195
69201	16950	800	235	185
69484	17000	800	268	176
69744	17050	800	239	192
70193	17100	800	426	111
70512	17150	802	289	156
70806	17200	802	265	170
71042	17250	802	216	211
71290	17300	802	224	201
