#Time(ms)	States	Instructions	GC Time	Speed(st/s)
448	50	18	68	0
697	100	37	32	200
800	150	55	35	485
881	200	62	31	617
948	250	79	26	746
1009	300	109	27	819
1098	350	138	27	561
1178	400	146	31	625
1238	450	157	36	833
1290	500	171	32	961
1351	550	180	43	819
1409	600	194	30	862
1482	650	202	41	684
1538	700	207	35	892
1586	750	211	36	1041
1650	800	214	48	781
1710	850	218	34	833
1777	900	221	47	746
1822	950	225	33	1111
1882	1000	229	40	833
1946	1050	232	48	781
2009	1100	234	41	793
2056	1150	238	35	1063
2110	1200	239	42	925
2160	1250	241	37	1000
2214	1300	246	39	925
2266	1350	248	40	961
2322	1400	254	46	892
2389	1450	256	50	746
2454	1500	258	47	769
2510	1550	263	46	892
2584	1600	266	66	675
2633	1650	266	41	1020
2688	1700	271	41	909
2738	1750	271	41	1000
2810	1800	281	63	694
2866	1850	281	47	892
2918	1900	285	41	961
2990	1950	287	64	694
3044	2000	291	46	925
3093	2050	294	40	1020
3146	2100	296	46	943
3194	2150	301	40	1041
3258	2200	301	50	781
3326	2250	306	55	735
3378	2300	310	42	961
3430	2350	310	44	961
3494	2400	316	53	781
3546	2450	324	42	961
3614	2500	324	58	735
3678	2550	326	53	781
3758	2600	338	65	625
3846	2650	338	78	568
3906	2700	344	48	833
3973	2750	344	57	746
4038	2800	354	49	769
4110	2850	354	49	694
4170	2900	358	51	833
4230	2950	358	50	833
4302	3000	364	61	694
4370	3050	364	55	735
4430	3100	372	48	833
4506	3150	372	68	657
4570	3200	373	54	781
4634	3250	373	55	781
4694	3300	378	48	833
4762	3350	381	58	735
4846	3400	381	74	595
4930	3450	382	74	595
5032	3500	382	93	490
5102	3550	390	57	714
5171	3600	392	59	724
5234	3650	393	54	793
5302	3700	393	58	735
5366	3750	394	54	781
5442	3800	400	65	657
5540	3850	405	86	510
5642	3900	405	87	490
5709	3950	409	57	746
5782	4000	409	65	684
5854	4050	409	62	694
5924	4100	413	57	714
5995	4150	413	56	704
6074	4200	413	62	632
6142	4250	414	57	735
6215	4300	414	57	684
6278	4350	414	51	793
6366	4400	417	75	568
6435	4450	418	59	724
6501	4500	418	57	757
6569	4550	418	59	735
6646	4600	418	66	649
6719	4650	418	54	684
6810	4700	424	64	549
6886	4750	424	66	657
6966	4800	424	69	625
7042	4850	425	61	657
7114	4900	425	64	694
7186	4950	425	62	694
7266	5000	425	70	625
7338	5050	425	63	694
7422	5100	426	66	595
7526	5150	433	94	480
7618	5200	435	74	543
7690	5250	435	62	694
