#Time(ms)	States	Instructions	GC Time	Speed(st/s)
330	50	18	49	0
558	100	37	38	219
665	150	55	39	467
762	200	62	41	515
830	250	79	30	735
874	300	109	29	1136
934	350	138	32	833
991	400	146	27	877
1065	450	157	37	675
1122	500	171	36	877
1176	550	180	38	925
1240	600	194	39	781
1298	650	202	33	862
1368	700	207	48	714
1418	750	211	32	1000
1486	800	214	40	735
1546	850	218	36	833
1593	900	221	33	1063
1642	950	225	38	1020
1696	1000	229	38	925
1746	1050	232	37	1000
1824	1100	234	48	641
1886	1150	238	43	806
1940	1200	239	42	925
1994	1250	241	41	925
2050	1300	246	43	892
2098	1350	248	37	1041
2156	1400	254	44	862
2242	1450	256	63	581
2318	1500	258	66	657
2382	1550	263	50	781
2437	1600	266	46	909
2490	1650	266	42	943
2550	1700	271	48	833
2617	1750	271	56	746
2674	1800	281	42	877
2734	1850	281	51	833
2790	1900	285	42	892
2838	1950	287	40	1041
2910	2000	291	65	694
2962	2050	294	42	961
3010	2100	296	41	1041
3065	2150	301	47	909
3118	2200	301	44	943
3174	2250	306	42	892
3230	2300	310	46	892
3294	2350	310	55	781
3362	2400	316	52	735
3415	2450	324	43	943
3498	2500	324	72	602
3563	2550	326	54	769
3638	2600	338	54	666
3697	2650	338	46	847
3782	2700	344	59	588
3866	2750	344	74	595
3938	2800	354	60	694
3998	2850	354	47	833
4092	2900	358	82	531
4150	2950	358	48	862
4217	3000	364	53	746
4278	3050	364	52	819
4340	3100	372	54	806
4410	3150	372	53	714
4482	3200	373	59	694
4546	3250	373	55	781
4614	3300	378	55	735
4706	3350	381	81	543
4778	3400	381	62	694
4842	3450	382	54	781
4902	3500	382	51	833
4986	3550	390	67	595
5057	3600	392	61	704
5119	3650	393	51	806
5190	3700	393	58	704
5258	3750	394	57	735
5330	3800	400	60	694
5396	3850	405	55	757
5462	3900	405	57	757
5530	3950	409	54	735
5606	4000	409	66	657
5674	4050	409	55	735
5742	4100	413	57	735
5814	4150	413	63	694
5898	4200	413	72	595
5982	4250	414	69	595
6066	4300	414	71	595
6138	4350	414	61	694
6222	4400	417	70	595
6302	4450	418	70	625
6410	4500	418	99	462
6522	4550	418	103	446
6650	4600	418	118	390
6759	4650	418	100	458
6834	4700	424	60	666
6910	4750	424	67	657
6990	4800	424	69	625
7079	4850	425	66	561
7150	4900	425	62	704
7230	4950	425	62	625
7313	5000	425	72	602
7382	5050	425	59	724
7454	5100	426	62	694
7526	5150	433	62	694
7606	5200	435	70	625
7694	5250	435	77	568
7778	5300	435	75	595
7854	5350	436	66	657
7946	5400	440	82	543
8026	5450	441	70	625
8118	5500	441	81	543
8188	5550	442	62	714
8275	5600	443	72	574
8362	5650	446	69	574
8446	5700	447	72	595
8530	5750	447	74	595
8622	5800	447	83	543
8699	5850	447	59	649
8766	5900	449	57	746
8839	5950	449	59	684
8931	6000	453	73	543
9007	6050	454	59	657
9081	6100	454	59	675
9156	6150	454	60	666
9237	6200	454	69	617
9310	6250	454	61	684
9384	6300	455	61	675
9454	6350	455	61	714
9562	6400	455	77	462
9650	6450	455	71	568
9746	6500	456	74	520
9872	6550	456	116	396
9974	6600	456	80	490
10058	6650	459	72	595
10150	6700	459	72	543
10274	6750	459	115	403
10366	6800	459	75	543
10440	6850	459	64	675
10516	6900	459	63	657
10590	6950	460	64	675
10718	7000	468	87	390
10802	7050	468	70	595
10898	7100	468	81	520
10982	7150	468	73	595
11082	7200	468	83	500
11166	7250	468	74	595
11250	7300	468	73	595
11393	7350	475	123	349
11505	7400	478	85	446
11586	7450	482	72	617
11678	7500	482	78	543
11784	7550	482	97	471
11886	7600	482	83	490
11978	7650	482	78	543
12078	7700	482	90	500
12162	7750	482	75	595
12253	7800	494	81	549
12350	7850	497	75	515
12431	7900	497	68	617
12519	7950	498	67	568
12609	8000	498	78	555
12690	8050	499	67	617
12778	8100	499	67	568
12860	8150	499	68	609
12970	8200	505	90	454
13058	8250	513	76	568
13142	8300	520	76	595
13234	8350	520	83	543
13342	8400	523	99	462
13426	8450	523	76	595
13534	8500	523	97	462
13630	8550	523	89	520
13738	8600	529	97	462
13830	8650	531	83	543
13970	8700	534	131	357
14124	8750	541	141	324
14288	8800	541	157	304
14418	8850	544	119	384
14514	8900	548	87	520
14603	8950	549	79	561
14703	9000	549	87	500
14802	9050	550	78	505
14894	9100	550	82	543
14986	9150	556	80	543
15106	9200	566	104	416
15194	9250	566	80	568
15298	9300	567	93	480
15398	9350	575	89	500
15502	9400	575	96	480
15602	9450	577	85	500
15746	9500	579	136	347
15911	9550	579	143	303
16073	9600	583	153	308
16186	9650	586	95	442
16282	9700	589	84	520
16370	9750	589	80	568
16471	9800	590	90	495
16570	9850	591	87	505
16682	9900	591	103	446
16850	9950	595	146	297
16962	10000	602	104	446
17062	10050	602	86	500
17176	10100	605	96	438
17274	10150	606	91	510
17410	10200	614	98	367
17505	10250	623	76	526
17618	10300	624	90	442
17726	10350	624	97	462
17849	10400	625	114	406
17950	10450	625	92	495
18076	10500	627	115	396
18178	10550	629	94	490
18298	10600	629	107	416
18406	10650	630	84	462
18498	10700	632	84	543
18609	10750	636	102	450
18717	10800	640	98	462
18810	10850	643	85	537
18900	10900	643	82	555
19002	10950	648	86	490
19106	11000	649	97	480
19211	11050	649	87	476
19303	11100	650	81	543
19390	11150	651	81	574
19510	11200	656	99	416
19614	11250	656	89	480
19710	11300	663	86	520
19818	11350	663	97	462
19950	11400	663	123	378
20042	11450	663	84	543
20137	11500	670	80	526
20246	11550	671	89	458
20350	11600	671	94	480
20460	11650	671	92	454
20550	11700	672	81	555
20639	11750	674	80	561
20762	11800	674	103	406
20866	11850	674	94	480
20965	11900	681	90	505
21060	11950	682	84	526
21163	12000	682	95	485
21251	12050	682	81	568
21350	12100	687	84	505
21442	12150	696	81	543
21560	12200	697	98	423
21658	12250	697	85	510
21751	12300	700	83	537
21848	12350	702	83	515
21957	12400	702	98	458
22053	12450	703	85	520
22158	12500	703	92	476
22266	12550	708	98	462
22390	12600	709	113	403
22483	12650	709	84	537
22580	12700	709	86	515
22677	12750	711	87	515
22787	12800	711	98	454
22906	12850	711	97	420
23012	12900	720	91	471
23106	12950	720	86	531
23222	13000	720	101	431
23322	13050	721	88	500
23420	13100	721	88	510
23513	13150	725	86	537
23628	13200	725	104	434
23741	13250	727	97	442
23846	13300	727	97	476
23954	13350	727	99	462
24074	13400	728	111	416
24178	13450	728	96	480
24286	13500	728	101	462
24398	13550	734	102	446
24562	13600	739	156	304
24666	13650	739	96	480
24786	13700	740	110	416
24893	13750	744	98	467
25014	13800	744	113	413
25136	13850	747	111	409
25239	13900	747	92	485
25340	13950	747	93	495
25470	14000	747	116	384
25578	14050	747	99	462
25711	14100	747	123	375
25830	14150	747	102	420
25958	14200	747	119	390
26088	14250	747	119	384
26190	14300	760	93	490
26289	14350	760	92	505
26458	14400	780	125	295
26573	14450	781	104	434
26679	14500	783	97	471
26782	14550	783	96	485
26899	14600	783	110	427
27006	14650	783	96	467
27111	14700	783	96	476
27218	14750	783	95	467
27366	14800	783	127	337
27481	14850	783	104	434
27584	14900	783	96	485
27688	14950	784	95	480
27815	15000	785	115	393
27921	15050	785	96	471
28023	15100	785	95	490
28133	15150	788	97	454
28259	15200	788	115	396
28367	15250	788	99	462
28471	15300	788	97	480
28589	15350	788	101	423
28715	15400	788	115	396
28822	15450	788	98	467
28930	15500	788	99	462
29043	15550	788	100	442
29167	15600	788	115	403
29277	15650	788	99	454
29388	15700	790	101	450
29498	15750	790	101	454
29625	15800	790	117	393
29730	15850	790	98	476
29843	15900	790	102	442
29956	15950	790	101	442
30097	16000	790	120	354
30204	16050	791	100	467
30318	16100	791	102	438
30429	16150	791	102	450
30554	16200	791	117	400
30665	16250	791	102	450
30781	16300	791	104	431
30898	16350	791	103	427
31042	16400	791	126	347
31174	16450	791	118	378
31302	16500	791	113	390
31426	16550	791	114	403
31565	16600	791	131	359
31686	16650	791	111	413
31810	16700	791	113	403
31930	16750	791	111	416
32066	16800	791	128	367
32206	16850	791	128	357
32338	16900	791	119	378
32502	16950	791	155	304
32730	17000	791	221	219
32898	17050	791	157	297
33066	17100	791	157	297
33226	17150	791	151	312
33402	17200	791	169	284
33570	17250	791	157	297
33738	17300	791	157	297
33894	17350	791	147	320
34038	17400	791	137	347
34182	17450	791	128	347
34411	17500	791	217	218
34627	17550	791	207	231
34886	17600	791	251	193
35109	17650	791	211	224
35342	17700	791	217	214
35557	17750	791	207	232
35762	17800	791	198	243
35901	17850	791	118	359
36027	17900	791	114	396
36142	17950	791	107	434
36273	18000	791	124	381
36403	18050	791	111	384
36523	18100	791	110	416
36641	18150	791	109	423
36774	18200	791	126	375
36902	18250	791	113	390
37021	18300	791	109	420
37140	18350	793	110	420
37277	18400	793	125	364
37405	18450	793	113	390
37538	18500	793	113	375
37678	18550	793	123	357
37822	18600	793	136	347
37970	18650	793	120	337
38102	18700	793	121	378
38230	18750	793	119	390
38427	18800	793	190	253
38559	18850	793	113	378
38685	18900	793	114	396
38830	18950	793	120	344
38974	19000	793	137	347
39122	19050	796	127	337
39262	19100	796	126	357
39392	19150	796	120	384
39566	19200	805	154	287
39797	19250	805	219	216
39970	19300	805	150	289
40209	19350	805	222	209
40478	19400	805	250	185
40706	19450	805	220	219
40858	19500	805	132	328
41101	19550	805	229	205
41362	19600	805	242	191
41592	19650	805	221	217
41722	19700	805	123	384
41970	19750	805	227	201
42243	19800	805	261	183
42488	19850	805	224	204
42634	19900	805	139	342
42883	19950	805	233	200
43062	20000	805	161	279
43290	20050	805	217	219
43450	20100	808	150	312
43687	20150	811	230	210
43866	20200	811	160	279
44114	20250	811	234	201
44254	20300	811	129	357
44498	20350	812	232	204
44657	20400	815	146	314
44908	20450	815	235	199
45066	20500	815	141	316
45230	20550	815	152	304
45504	20600	815	265	182
45751	20650	815	228	202
46013	20700	815	244	190
46274	20750	815	243	191
46550	20800	815	265	181
46805	20850	815	245	196
47046	20900	815	233	207
47278	20950	815	216	215
47454	21000	815	159	284
47594	21050	815	128	357
47730	21100	815	125	367
47862	21150	818	122	378
48042	21200	818	157	277
48282	21250	818	218	208
48434	21300	819	132	328
48574	21350	825	131	357
48726	21400	825	145	328
48898	21450	825	145	290
49042	21500	825	127	347
49186	21550	825	133	347
49354	21600	825	151	297
49595	21650	826	234	207
49781	21700	826	172	268
49920	21750	826	127	359
50071	21800	826	140	331
50215	21850	826	126	347
50358	21900	826	128	349
50526	21950	826	151	297
50766	22000	826	225	208
50900	22050	826	122	373
51034	22100	826	122	373
51166	22150	826	121	378
51315	22200	826	141	335
51469	22250	826	127	324
51630	22300	826	136	310
51774	22350	826	134	347
51954	22400	834	160	277
52098	22450	836	138	347
52254	22500	837	143	320
52482	22550	837	214	219
52782	22600	838	284	166
52998	22650	838	199	231
53198	22700	838	192	250
53406	22750	843	194	240
53638	22800	843	212	215
53854	22850	843	200	231
54066	22900	843	201	235
54286	22950	843	201	227
54518	23000	843	224	215
54743	23050	843	202	222
54970	23100	843	204	220
55186	23150	843	199	231
55426	23200	843	221	208
55630	23250	843	196	245
55834	23300	843	192	245
56006	23350	843	145	290
56210	23400	843	180	245
56471	23450	843	250	191
56752	23500	847	258	177
57003	23550	848	244	199
57327	23600	848	300	154
57602	23650	848	253	181
57875	23700	848	255	183
58148	23750	848	255	183
58322	23800	848	159	287
58478	23850	848	147	320
58631	23900	848	131	326
58778	23950	848	132	340
58938	24000	851	149	312
59084	24050	851	131	342
59223	24100	851	128	359
59363	24150	852	127	357
59534	24200	852	155	292
59680	24250	852	131	342
59825	24300	852	128	344
59970	24350	852	131	344
60124	24400	852	147	324
61790	24450	852	198	30
61982	24500	852	158	260
62186	24550	852	172	245
62398	24600	852	201	235
62562	24650	855	150	304
62738	24700	855	162	284
62958	24750	855	183	227
63250	24800	855	274	171
63458	24850	855	161	240
63654	24900	855	168	255
63822	24950	855	151	297
63998	25000	856	167	284
64202	25050	856	174	245
64394	25100	856	162	260
64578	25150	856	168	271
64781	25200	860	187	246
64954	25250	860	156	289
65114	25300	860	152	312
65413	25350	861	280	167
65673	25400	861	234	192
65837	25450	861	149	304
65989	25500	861	140	328
66147	25550	861	142	316
66318	25600	861	162	292
66502	25650	861	153	271
66674	25700	861	151	290
66841	25750	861	149	299
67038	25800	861	174	253
67242	25850	861	176	245
67506	25900	866	250	189
67777	25950	866	264	184
68022	26000	866	220	204
68278	26050	866	236	195
68526	26100	866	225	201
68770	26150	866	229	204
69046	26200	866	254	181
69274	26250	866	221	219
69534	26300	867	231	192
69798	26350	867	233	189
70078	26400	867	260	178
70338	26450	869	239	192
70602	26500	869	246	189
70854	26550	869	244	198
71134	26600	869	263	178
71394	26650	869	235	192
71662	26700	869	240	186
71922	26750	871	237	192
72198	26800	871	255	181
72442	26850	871	236	204
72615	26900	871	152	289
72834	26950	871	183	228
73194	27000	871	344	138
73494	27050	871	287	166
73785	27100	879	279	171
74090	27150	883	285	163
74430	27200	883	328	147
74766	27250	883	307	148
75066	27300	883	281	166
75254	27350	883	165	265
75446	27400	883	180	260
75618	27450	883	157	290
75774	27500	883	149	320
75954	27550	883	157	277
76222	27600	883	234	186
76401	27650	883	156	279
76563	27700	886	148	308
76722	27750	886	147	314
76901	27800	886	169	279
77078	27850	886	151	282
77262	27900	886	159	271
77446	27950	886	161	271
77654	28000	887	186	240
77822	28050	887	157	297
78014	28100	887	167	260
78294	28150	887	273	178
78538	28200	887	225	204
78875	28250	887	304	148
79186	28300	887	297	160
79378	28350	887	180	260
79727	28400	893	338	143
80032	28450	893	285	163
80218	28500	893	177	268
80535	28550	893	290	157
80745	28600	893	185	238
81074	28650	893	299	151
81373	28700	893	288	167
81578	28750	895	178	243
81917	28800	895	331	147
82242	28850	895	297	153
82466	28900	895	195	223
82770	28950	895	291	164
82998	29000	899	206	219
83308	29050	899	289	161
83522	29100	899	195	233
83816	29150	899	287	170
84078	29200	899	226	190
84414	29250	899	300	148
84618	29300	899	181	245
84928	29350	904	299	161
85166	29400	904	224	210
85478	29450	904	298	160
85670	29500	904	184	260
86018	29550	904	313	143
86226	29600	904	187	240
86546	29650	904	298	156
86738	29700	904	177	260
87062	29750	911	308	154
87258	29800	911	187	255
87446	29850	911	176	265
87662	29900	911	194	231
87988	29950	911	304	153
88362	30000	911	360	133
88663	30050	911	291	166
89006	30100	913	308	145
89300	30150	913	286	170
