#Time(ms)	States	Instructions	GC Time	Speed(st/s)
302	50	18	50	0
532	100	37	34	217
639	150	55	40	467
739	200	62	39	500
806	250	79	27	746
860	300	109	28	925
923	350	138	29	793
983	400	146	30	833
1055	450	157	37	694
1106	500	171	34	980
1155	550	180	30	1020
1221	600	194	32	757
1292	650	202	37	704
1346	700	207	30	925
1399	750	211	35	943
1459	800	214	33	833
1532	850	218	44	684
1586	900	221	34	925
1639	950	225	36	943
1695	1000	229	41	892
1749	1050	232	42	925
1807	1100	234	41	862
1871	1150	238	48	781
1923	1200	239	40	961
1986	1250	241	49	793
2038	1300	246	37	961
2091	1350	248	41	943
2155	1400	254	55	781
2223	1450	256	47	735
2279	1500	258	48	892
2343	1550	263	51	781
2398	1600	266	46	909
2455	1650	266	42	877
2509	1700	271	42	925
2558	1750	271	40	1020
2615	1800	281	48	877
2690	1850	281	66	666
2743	1900	285	41	943
2807	1950	287	51	781
2859	2000	291	45	961
2934	2050	294	65	666
2991	2100	296	47	877
3047	2150	301	43	892
3118	2200	301	58	704
3175	2250	306	41	877
3239	2300	310	46	781
3294	2350	310	46	909
3368	2400	316	56	675
3434	2450	324	45	757
3503	2500	324	50	724
3558	2550	326	40	909
3655	2600	338	63	515
3727	2650	338	62	694
3799	2700	344	61	694
3860	2750	344	50	819
3939	2800	354	56	632
4003	2850	354	47	781
4095	2900	358	71	543
4171	2950	358	65	657
4251	3000	364	65	625
4315	3050	364	54	781
4379	3100	372	54	781
4439	3150	372	50	833
4515	3200	373	64	657
4583	3250	373	57	735
4682	3300	378	86	505
4776	3350	381	81	531
4878	3400	381	82	490
4943	3450	382	53	769
5007	3500	382	54	781
5075	3550	390	56	735
5143	3600	392	58	735
5207	3650	393	55	781
5275	3700	393	57	735
5339	3750	394	53	781
5411	3800	400	61	694
5479	3850	405	54	735
5581	3900	405	89	490
5659	3950	409	59	641
5731	4000	409	60	694
5795	4050	409	54	781
5875	4100	413	59	625
5947	4150	413	61	694
6023	4200	413	65	657
6107	4250	414	63	595
6179	4300	414	61	694
6251	4350	414	61	694
6371	4400	417	109	416
6439	4450	418	57	735
6519	4500	418	59	625
6586	4550	418	57	746
6675	4600	418	69	561
6747	4650	418	62	694
6827	4700	424	66	625
6925	4750	424	88	510
7022	4800	424	82	515
7107	4850	425	66	588
7177	4900	425	61	714
7252	4950	425	61	666
7339	5000	425	67	574
7411	5050	425	62	694
7483	5100	426	62	694
7559	5150	433	65	657
7643	5200	435	74	595
7764	5250	435	110	413
7879	5300	435	103	434
7955	5350	436	65	657
8039	5400	440	73	595
8118	5450	441	68	632
8192	5500	441	62	675
8263	5550	442	62	704
8359	5600	443	75	520
8451	5650	446	82	543
8527	5700	447	66	657
8611	5750	447	71	595
8703	5800	447	81	543
8787	5850	447	70	595
8863	5900	449	67	657
8995	5950	449	111	378
9081	6000	453	78	581
9163	6050	454	66	609
9239	6100	454	67	657
9319	6150	454	69	625
9403	6200	454	74	595
9483	6250	454	70	625
9571	6300	455	77	568
9663	6350	455	83	543
9799	6400	455	116	367
9877	6450	455	69	641
9958	6500	456	67	617
10035	6550	456	68	649
10147	6600	456	92	446
10232	6650	459	68	588
10308	6700	459	62	657
10383	6750	459	62	666
10487	6800	459	80	480
10579	6850	459	80	543
10671	6900	459	81	543
10801	6950	460	120	384
10927	7000	468	91	396
11023	7050	468	77	520
11115	7100	468	80	543
11199	7150	468	74	595
11355	7200	468	145	320
11439	7250	468	74	595
11527	7300	468	76	568
11635	7350	475	100	462
11737	7400	478	86	490
11817	7450	482	71	625
11899	7500	482	70	609
11972	7550	482	64	684
12066	7600	482	76	531
12144	7650	482	64	641
12222	7700	482	66	641
12300	7750	482	65	641
12407	7800	494	88	467
12495	7850	497	78	568
12579	7900	497	74	595
12679	7950	498	90	500
12779	8000	498	91	500
12883	8050	499	91	480
12971	8100	499	79	568
13063	8150	499	81	543
13175	8200	505	89	446
13327	8250	513	140	328
13462	8300	520	127	370
