#Time(ms)	States	Instructions	GC Time	Speed(st/s)
358	50	18	63	0
568	100	37	25	238
660	150	55	34	543
751	200	62	29	549
823	250	79	35	694
884	300	109	39	819
941	350	138	32	877
1012	400	146	44	704
1076	450	157	44	781
1131	500	171	36	909
1220	550	180	30	561
1291	600	194	43	704
1364	650	202	47	684
1440	700	207	47	657
1499	750	211	45	847
1584	800	214	53	588
1660	850	218	52	657
1724	900	221	44	781
1804	950	225	50	625
1876	1000	229	56	694
1952	1050	232	52	657
2025	1100	234	48	684
2092	1150	238	42	746
2164	1200	239	52	694
2216	1250	241	38	961
2276	1300	246	41	833
2334	1350	248	37	862
2396	1400	254	44	806
2481	1450	256	49	588
2536	1500	258	39	909
2592	1550	263	41	892
2660	1600	266	52	735
2716	1650	266	42	892
2784	1700	271	53	735
2836	1750	271	42	961
2894	1800	281	43	862
2948	1850	281	43	925
3000	1900	285	41	961
3050	1950	287	41	1000
3113	2000	291	44	793
3174	2050	294	43	819
3236	2100	296	46	806
3292	2150	301	48	892
3368	2200	301	65	657
3439	2250	306	46	704
3522	2300	310	46	602
3588	2350	310	53	757
3664	2400	316	51	657
3740	2450	324	59	657
3810	2500	324	53	714
3900	2550	326	77	555
4007	2600	338	85	467
4068	2650	338	45	819
4129	2700	344	44	819
4194	2750	344	46	769
4264	2800	354	55	714
4324	2850	354	46	833
4388	2900	358	46	781
4465	2950	358	62	649
4532	3000	364	52	746
4592	3050	364	50	833
4656	3100	372	54	781
4720	3150	372	54	781
4784	3200	373	52	781
4856	3250	373	49	694
4960	3300	378	83	480
5044	3350	381	74	595
5125	3400	381	71	617
5200	3450	382	57	666
5260	3500	382	50	833
5340	3550	390	58	625
5412	3600	392	61	694
5504	3650	393	83	543
5576	3700	393	57	694
5640	3750	394	53	781
5716	3800	400	65	657
5782	3850	405	53	757
5856	3900	405	60	675
5936	3950	409	69	625
6016	4000	409	61	625
6088	4050	409	57	694
6172	4100	413	61	595
6280	4150	413	95	462
6352	4200	413	62	694
6440	4250	414	62	568
6520	4300	414	59	625
6592	4350	414	61	694
6668	4400	417	65	657
6748	4450	418	62	625
6820	4500	418	62	694
6888	4550	418	57	735
6976	4600	418	67	568
7056	4650	418	67	625
7128	4700	424	59	694
7208	4750	424	65	625
7285	4800	424	66	649
7403	4850	425	98	423
7496	4900	425	84	537
7575	4950	425	67	632
7657	5000	425	65	609
7733	5050	425	57	657
7814	5100	426	55	617
7904	5150	433	66	555
8000	5200	435	80	520
8084	5250	435	66	595
8160	5300	435	65	657
8256	5350	436	75	520
8341	5400	440	74	588
8422	5450	441	55	617
8493	5500	441	56	704
8562	5550	442	55	724
8653	5600	443	66	549
8726	5650	446	59	684
8797	5700	447	57	704
8888	5750	447	67	549
8996	5800	447	97	462
9081	5850	447	60	588
9148	5900	449	57	746
9240	5950	449	67	543
9331	6000	453	76	549
9424	6050	454	70	537
9516	6100	454	72	543
9615	6150	454	73	505
9720	6200	454	86	476
9816	6250	454	81	520
9896	6300	455	68	625
9980	6350	455	72	595
10140	6400	455	131	312
10272	6450	455	121	378
10414	6500	456	117	352
10545	6550	456	121	381
10648	6600	456	86	485
10740	6650	459	75	543
10828	6700	459	72	568
10909	6750	459	69	617
10997	6800	459	72	568
11079	6850	459	63	609
11160	6900	459	63	617
11237	6950	460	65	649
11372	7000	468	82	370
11466	7050	468	69	531
11568	7100	468	76	490
11656	7150	468	73	568
11793	7200	468	116	364
11869	7250	468	64	657
11968	7300	468	79	505
12045	7350	475	67	649
12136	7400	478	75	549
12221	7450	482	64	588
12324	7500	482	79	485
12408	7550	482	75	595
12540	7600	482	115	378
12668	7650	482	118	390
12776	7700	482	91	462
12884	7750	482	90	462
13004	7800	495	108	416
13104	7850	497	90	500
13208	7900	497	81	480
13356	7950	498	134	337
13472	8000	498	103	431
13556	8050	499	74	595
13652	8100	499	79	520
13740	8150	499	78	568
13879	8200	505	118	359
13968	8250	513	73	561
14044	8300	520	66	657
14124	8350	520	69	625
14211	8400	523	77	574
14292	8450	523	69	617
14372	8500	523	68	625
14451	8550	529	67	632
14546	8600	529	80	526
14622	8650	531	67	657
14704	8700	537	69	609
14783	8750	541	70	632
14874	8800	542	79	549
14962	8850	548	69	568
15041	8900	549	69	632
15126	8950	549	71	588
15227	9000	550	83	495
15311	9050	550	71	595
15388	9100	550	68	649
15496	9150	557	83	462
