#Time(ms)	States	Instructions	GC Time	Speed(st/s)
347	50	18	58	0
591	100	37	35	204
679	150	55	32	568
779	200	62	40	500
843	250	79	41	781
902	300	109	31	847
968	350	138	32	757
1037	400	146	36	724
1095	450	157	36	862
1163	500	171	35	735
1219	550	180	38	892
1279	600	194	35	833
1333	650	202	34	925
1403	700	207	44	714
1448	750	211	31	1111
1507	800	214	33	847
1574	850	218	39	746
1621	900	221	33	1063
1683	950	225	39	806
1745	1000	229	48	806
1791	1050	232	34	1086
1859	1100	234	41	735
1912	1150	238	39	943
1967	1200	239	40	909
2019	1250	241	40	961
2072	1300	246	41	943
2123	1350	248	39	980
2175	1400	254	43	961
2239	1450	256	41	781
2304	1500	258	47	769
2355	1550	263	40	980
2415	1600	266	49	833
2471	1650	266	46	892
2521	1700	271	39	1000
2583	1750	271	44	806
2640	1800	281	45	877
2691	1850	281	42	980
2751	1900	285	49	833
2807	1950	287	48	892
2879	2000	291	64	694
2943	2050	294	54	781
2996	2100	296	45	943
3047	2150	301	43	980
3107	2200	301	50	833
3163	2250	306	44	892
3219	2300	310	44	892
3291	2350	310	63	694
3355	2400	316	49	781
3409	2450	324	44	925
3463	2500	324	44	925
3519	2550	326	46	892
3591	2600	338	56	694
3655	2650	338	52	781
3723	2700	344	51	735
3791	2750	344	57	735
3863	2800	354	56	694
3923	2850	354	47	833
3983	2900	358	51	833
4047	2950	358	53	781
4113	3000	364	47	757
4191	3050	364	55	641
4251	3100	372	48	833
4311	3150	372	52	833
4379	3200	373	57	735
4443	3250	373	54	781
4506	3300	378	51	793
4574	3350	381	58	735
4643	3400	381	55	724
4707	3450	382	50	781
4771	3500	382	51	781
4835	3550	390	52	781
4907	3600	392	59	694
4967	3650	393	51	833
5073	3700	393	96	471
5143	3750	394	60	714
5215	3800	400	61	694
5295	3850	405	59	625
5371	3900	405	58	657
5455	3950	409	73	595
5527	4000	409	62	694
5611	4050	409	74	595
5690	4100	413	58	632
5759	4150	413	55	724
5835	4200	413	61	657
5907	4250	414	58	694
5979	4300	414	58	694
6051	4350	414	62	694
6132	4400	417	61	617
6217	4450	418	64	588
6291	4500	418	65	675
6363	4550	418	62	694
6443	4600	418	69	625
6518	4650	418	66	666
6591	4700	424	61	684
6667	4750	424	65	657
6743	4800	424	66	657
6835	4850	425	68	543
6933	4900	425	89	510
7012	4950	425	61	632
7099	5000	425	72	574
7171	5050	425	62	694
7243	5100	426	62	694
7327	5150	433	74	595
7417	5200	435	72	555
7492	5250	435	60	666
7572	5300	435	63	625
7659	5350	436	67	574
7750	5400	440	75	549
7819	5450	441	58	724
7890	5500	441	56	704
7971	5550	442	61	617
8052	5600	443	64	617
8124	5650	446	56	694
8194	5700	447	56	714
8286	5750	447	64	543
8375	5800	447	72	561
8459	5850	447	68	595
8536	5900	449	67	649
8623	5950	449	73	574
8715	6000	453	74	543
8815	6050	454	78	500
8903	6100	454	76	568
9001	6150	454	75	510
9107	6200	454	86	471
9191	6250	454	73	595
9295	6300	455	83	480
9423	6350	455	118	390
9579	6400	455	141	320
9704	6450	455	114	400
9847	6500	456	123	349
9932	6550	456	76	588
10023	6600	456	81	549
10108	6650	459	64	588
10185	6700	459	62	649
10278	6750	459	70	537
10367	6800	459	71	561
10442	6850	459	62	666
10521	6900	459	63	632
10615	6950	460	71	531
10731	7000	468	82	431
10815	7050	468	74	595
10911	7100	468	80	520
10999	7150	468	78	568
11107	7200	468	96	462
11199	7250	468	82	543
11287	7300	468	74	568
11371	7350	475	74	595
11475	7400	478	92	480
11559	7450	482	76	595
11695	7500	482	125	367
11839	7550	482	132	347
11996	7600	482	146	318
12115	7650	482	102	420
12207	7700	482	81	543
12294	7750	482	77	574
12387	7800	494	83	537
12479	7850	497	82	543
12603	7900	497	114	403
12687	7950	498	74	595
12783	8000	498	86	520
12867	8050	499	74	595
12951	8100	499	75	595
13043	8150	499	81	543
13155	8200	505	103	446
13246	8250	513	79	549
13343	8300	520	89	515
13439	8350	520	87	520
13535	8400	523	87	520
13631	8450	523	82	520
13719	8500	523	76	568
13811	8550	523	84	543
13979	8600	529	158	297
14119	8650	531	130	357
14271	8700	534	139	328
14395	8750	541	115	403
14499	8800	541	97	480
14591	8850	544	75	543
14672	8900	548	70	617
14752	8950	549	68	625
14851	9000	549	82	505
14943	9050	550	74	543
15035	9100	550	82	543
15159	9150	556	111	403
15330	9200	566	155	292
15429	9250	566	91	505
15519	9300	567	79	555
