#Time(ms)	States	Instructions	GC Time	Speed(st/s)
633	50	18	101	0
1060	100	37	55	117
1188	150	55	46	390
1279	200	62	52	549
1328	250	79	29	1020
1380	300	109	28	961
1432	350	138	28	961
1496	400	146	34	781
1556	450	157	45	833
1600	500	171	33	1136
1695	550	180	36	526
1764	600	194	45	724
1838	650	202	47	675
1902	700	207	40	781
1965	750	211	43	793
2032	800	214	34	746
2092	850	218	34	833
2147	900	221	39	909
2204	950	225	34	877
2257	1000	229	36	943
2311	1050	232	36	925
2376	1100	234	39	769
2436	1150	238	42	833
2488	1200	239	38	961
2544	1250	241	35	892
2600	1300	246	40	892
2676	1350	248	55	657
2752	1400	254	63	657
2832	1450	256	52	625
2887	1500	258	46	909
2937	1550	263	38	1000
2992	1600	266	46	909
3041	1650	267	38	1020
3096	1700	271	39	909
3156	1750	271	49	833
3214	1800	281	49	862
3261	1850	281	40	1063
3311	1900	285	41	1000
3360	1950	287	42	1020
3437	2000	293	65	649
3504	2050	294	57	746
3560	2100	296	48	892
3616	2150	301	47	892
3680	2200	301	54	781
3736	2250	306	43	892
3800	2300	310	47	781
3856	2350	310	48	892
3916	2400	316	47	833
3975	2450	324	50	847
4028	2500	325	42	943
4084	2550	326	47	892
4144	2600	338	49	833
4216	2650	338	63	694
4277	2700	344	46	819
4336	2750	344	46	847
4400	2800	354	49	781
4471	2850	354	59	704
4536	2900	358	48	769
4596	2950	358	50	833
4656	3000	364	52	833
4716	3050	364	52	833
4792	3100	372	60	657
4869	3150	372	69	649
4964	3200	373	85	526
5032	3250	376	49	735
5104	3300	378	53	694
5175	3350	381	54	704
5244	3400	382	57	724
5312	3450	382	53	735
5388	3500	382	66	657
5483	3550	390	81	526
5555	3600	392	56	694
5631	3650	393	53	657
5700	3700	393	55	724
5772	3750	394	61	694
5848	3800	402	64	657
5920	3850	405	61	694
6000	3900	405	58	625
6095	3950	409	85	526
6180	4000	409	65	588
6256	4050	409	62	657
6324	4100	413	56	735
6389	4150	413	56	769
6480	4200	413	79	549
6552	4250	414	58	694
6624	4300	414	62	694
6692	4350	414	58	735
6796	4400	417	93	480
6866	4450	418	59	714
6942	4500	418	57	657
7028	4550	418	66	581
7104	4600	418	62	657
7180	4650	418	61	657
7252	4700	420	58	694
7336	4750	424	61	595
7428	4800	424	76	543
7504	4850	425	66	657
7606	4900	425	92	490
7688	4950	425	67	609
7767	5000	425	70	632
7860	5050	425	73	537
7952	5100	425	81	543
8026	5150	426	63	675
8120	5200	435	73	531
8196	5250	435	61	657
8276	5300	435	69	625
8351	5350	435	64	666
8436	5400	436	71	588
8516	5450	441	68	625
8592	5500	441	67	657
8712	5550	442	110	416
8811	5600	442	91	505
8888	5650	443	64	649
8964	5700	447	65	657
9051	5750	447	78	574
9136	5800	447	75	588
9216	5850	447	71	625
9296	5900	449	70	625
9372	5950	449	68	657
9464	6000	449	81	543
9536	6050	453	64	694
9620	6100	454	74	595
9716	6150	454	86	520
9804	6200	454	79	568
9888	6250	454	73	595
9968	6300	454	70	625
10052	6350	455	67	595
10208	6400	455	139	320
10343	6450	455	122	370
10473	6500	455	120	384
10608	6550	456	124	370
10701	6600	456	85	537
10788	6650	456	70	574
10865	6700	457	68	649
10956	6750	459	72	549
11048	6800	459	83	543
11144	6850	459	80	520
11288	6900	459	123	347
11396	6950	463	77	462
11488	7000	463	83	543
11576	7050	468	73	568
