#Time(ms)	States	Instructions	GC Time	Speed(st/s)
340	50	18	60	0
566	100	37	34	221
669	150	55	40	485
773	200	62	43	480
837	250	79	30	781
906	300	109	29	724
961	350	138	32	909
1012	400	146	27	980
1077	450	157	35	769
1128	500	171	26	980
1221	550	180	34	537
1289	600	194	45	735
1361	650	202	48	694
1425	700	207	42	781
1485	750	211	38	833
1565	800	214	50	625
1621	850	218	34	892
1679	900	221	46	862
1737	950	225	36	862
1793	1000	229	38	892
1845	1050	232	39	961
1909	1100	234	41	781
1969	1150	238	42	833
2050	1200	239	59	617
2113	1250	241	42	793
2169	1300	246	43	892
2226	1350	248	41	877
2303	1400	254	65	649
2389	1450	256	66	581
2445	1500	258	42	892
2495	1550	263	40	1000
2553	1600	266	41	862
2608	1650	266	38	909
2669	1700	271	46	819
2724	1750	271	43	909
2801	1800	281	60	649
2849	1850	281	40	1041
2905	1900	285	43	892
2965	1950	287	52	833
3023	2000	291	49	862
3081	2050	294	40	862
3133	2100	296	44	961
3189	2150	301	48	892
3246	2200	301	48	877
3301	2250	306	43	909
3361	2300	310	46	833
3417	2350	310	47	892
3477	2400	316	47	833
3561	2450	324	74	595
3621	2500	324	50	833
3681	2550	326	50	833
3756	2600	338	58	666
3813	2650	338	48	877
3877	2700	344	52	781
3937	2750	344	48	833
4021	2800	354	63	595
4081	2850	354	48	833
4141	2900	358	51	833
4200	2950	358	50	847
4265	3000	364	51	769
4331	3050	364	58	757
4393	3100	372	49	806
4449	3150	372	49	892
4514	3200	373	54	769
4575	3250	376	47	819
4653	3300	378	58	641
4713	3350	381	52	833
4785	3400	381	59	694
4865	3450	382	69	625
4933	3500	382	57	735
5029	3550	390	84	520
5105	3600	392	67	657
5173	3650	393	59	735
5237	3700	393	54	781
5305	3750	394	57	735
5381	3800	402	64	657
5453	3850	405	63	694
5524	3900	405	61	704
5592	3950	409	55	735
5655	4000	409	53	793
5737	4050	409	56	609
5813	4100	413	56	657
5881	4150	413	59	735
5985	4200	413	95	480
6061	4250	414	57	657
6130	4300	414	56	724
6195	4350	414	56	769
6285	4400	417	73	555
6364	4450	418	64	632
6432	4500	418	50	735
6499	4550	418	51	746
6585	4600	418	65	581
6665	4650	418	69	625
6745	4700	424	65	625
6825	4750	424	70	625
6913	4800	424	68	568
6993	4850	425	59	625
7063	4900	425	55	714
7149	4950	425	63	581
7237	5000	425	77	568
7333	5050	425	85	520
7405	5100	426	62	694
7484	5150	431	66	632
7572	5200	435	63	568
7665	5250	435	68	537
7749	5300	435	74	595
7841	5350	436	72	543
7926	5400	440	70	588
8017	5450	441	70	549
8104	5500	441	77	574
8185	5550	442	67	617
8264	5600	443	69	632
8336	5650	445	63	694
8415	5700	447	57	632
8481	5750	447	57	757
8565	5800	447	66	595
8653	5850	447	70	568
8733	5900	449	69	625
8817	5950	449	70	595
8905	6000	449	79	568
8981	6050	454	67	657
9057	6100	454	67	657
9153	6150	454	86	520
9249	6200	454	87	520
9333	6250	454	73	595
9409	6300	455	68	657
9493	6350	455	73	595
9646	6400	455	139	326
9778	6450	455	121	378
9904	6500	455	116	396
10039	6550	456	117	370
10137	6600	456	84	510
10220	6650	456	68	602
10293	6700	459	62	684
10366	6750	459	61	684
10458	6800	459	75	543
10533	6850	459	62	666
10652	6900	463	77	420
10727	6950	463	64	666
10821	7000	464	72	531
10921	7050	468	73	500
11005	7100	468	72	595
11138	7150	468	112	375
11229	7200	468	78	549
11327	7250	468	79	510
11400	7300	468	63	684
11484	7350	471	65	595
11566	7400	471	74	609
11654	7450	478	67	568
11753	7500	482	74	505
11861	7550	482	98	462
12017	7600	482	147	320
12097	7650	482	71	625
12181	7700	482	75	595
12281	7750	488	90	500
12431	7800	488	140	333
12505	7850	495	66	675
12595	7900	497	70	555
12689	7950	497	73	531
12793	8000	498	90	480
12885	8050	498	79	543
13025	8100	499	129	357
13103	8150	499	68	641
13190	8200	507	77	574
13268	8250	507	67	641
13346	8300	513	66	641
13424	8350	520	68	641
13537	8400	520	93	442
13625	8450	523	79	568
13709	8500	523	74	595
13829	8550	523	111	416
13937	8600	523	94	462
14015	8650	529	69	641
14093	8700	538	69	641
14170	8750	538	69	649
14268	8800	543	81	510
14352	8850	543	69	595
14428	8900	544	68	657
14518	8950	548	71	555
14606	9000	549	80	568
14686	9050	549	71	625
14762	9100	550	69	657
14861	9150	560	77	505
14959	9200	560	90	510
15049	9250	566	80	555
15145	9300	566	85	520
15241	9350	567	86	520
15341	9400	577	92	500
15445	9450	577	96	480
15541	9500	581	83	520
15633	9550	583	83	543
15741	9600	583	99	462
15891	9650	586	140	333
16044	9700	587	145	326
16200	9750	590	147	320
16309	9800	590	101	458
16397	9850	593	79	568
16479	9900	595	72	609
16561	9950	595	73	609
16658	10000	600	85	515
16746	10050	602	73	568
16857	10100	602	83	450
16949	10150	615	84	543
17065	10200	615	107	431
17177	10250	623	89	446
17289	10300	624	93	446
17385	10350	624	88	520
17513	10400	626	114	390
17645	10450	627	118	378
17741	10500	627	87	520
17837	10550	630	85	520
17969	10600	630	111	378
18089	10650	633	106	416
18197	10700	636	85	462
18317	10750	636	105	416
18445	10800	645	119	390
18561	10850	648	101	431
18665	10900	648	96	480
18773	10950	649	98	462
18973	11000	650	190	250
19161	11050	650	170	265
19341	11100	655	161	277
19457	11150	655	103	431
19589	11200	656	118	378
19689	11250	656	86	500
19805	11300	663	104	431
19901	11350	670	86	520
20017	11400	670	106	431
20113	11450	670	88	520
20232	11500	671	110	420
20328	11550	671	87	520
20437	11600	671	101	458
20558	11650	672	102	413
20657	11700	672	90	505
20753	11750	675	86	520
20865	11800	675	95	446
20953	11850	681	80	568
21045	11900	687	82	543
21147	11950	687	84	490
21247	12000	687	92	500
21348	12050	690	83	495
21439	12100	700	82	549
21526	12150	700	80	574
21632	12200	701	96	471
21724	12250	703	82	543
21813	12300	703	81	561
21922	12350	704	88	458
22045	12400	704	106	406
22149	12450	709	95	480
22282	12500	711	123	375
22385	12550	711	93	485
22497	12600	711	104	446
22597	12650	720	91	500
22729	12700	720	121	378
22833	12750	720	96	480
22953	12800	721	107	416
23061	12850	721	98	462
23169	12900	721	100	462
23279	12950	723	100	454
23389	13000	723	101	454
23481	13050	727	84	543
23575	13100	728	86	531
23689	13150	728	97	438
23802	13200	728	106	442
23899	13250	739	85	515
24021	13300	739	100	409
24169	13350	739	140	337
24285	13400	743	108	431
24393	13450	743	98	462
24501	13500	743	99	462
24609	13550	744	98	462
24777	13600	744	159	297
24893	13650	744	101	431
25007	13700	747	104	438
25123	13750	747	95	431
25253	13800	747	111	384
25357	13850	747	96	480
25465	13900	748	100	462
25581	13950	760	103	431
25709	14000	760	118	390
25821	14050	760	101	446
25985	14100	762	153	304
26101	14150	762	106	431
26237	14200	762	128	367
26381	14250	783	103	347
26517	14300	783	126	367
26633	14350	783	99	431
26761	14400	783	120	390
26884	14450	783	113	406
26990	14500	783	94	471
27094	14550	783	93	480
27211	14600	783	107	427
27312	14650	784	92	495
27433	14700	784	105	413
27545	14750	785	102	446
27701	14800	785	146	320
27821	14850	785	103	416
