#Time(ms)	States	Instructions	GC Time	Speed(st/s)
317	50	18	38	0
530	100	37	29	234
618	150	55	37	568
713	200	62	59	526
778	250	79	40	769
834	300	109	41	892
894	350	138	40	833
966	400	146	41	694
1034	450	157	42	735
1086	500	171	30	961
1186	550	180	38	500
1251	600	194	45	769
1321	650	202	47	714
1386	700	207	41	769
1458	750	211	50	694
1542	800	214	47	595
1608	850	218	45	757
1668	900	221	47	833
1746	950	225	47	641
1823	1000	229	54	649
1893	1050	232	49	714
1954	1100	234	38	819
2018	1150	238	38	781
2090	1200	239	48	694
2150	1250	241	45	833
2206	1300	246	43	892
2266	1350	248	41	833
2335	1400	254	58	724
2414	1450	256	52	632
2480	1500	258	56	757
2531	1550	263	41	980
2586	1600	266	45	909
2640	1650	267	41	925
2694	1700	271	38	925
2752	1750	271	43	862
2803	1800	281	42	980
2854	1850	281	42	980
2904	1900	285	41	1000
2958	1950	287	45	925
3019	2000	293	49	819
3086	2050	294	47	746
3138	2100	296	43	961
3207	2150	301	59	724
3265	2200	301	47	862
3316	2250	306	38	980
3386	2300	310	43	714
3470	2350	310	54	595
3543	2400	316	56	684
3602	2450	324	48	847
3670	2500	325	53	735
3730	2550	326	48	833
3814	2600	338	56	595
3874	2650	338	48	833
3962	2700	344	68	568
4057	2750	344	80	526
4126	2800	354	55	724
4207	2850	354	64	617
4286	2900	358	63	632
4357	2950	358	50	704
4434	3000	364	61	649
4498	3050	364	52	781
4594	3100	372	82	520
4678	3150	372	73	595
4786	3200	373	87	462
4894	3250	374	81	462
4978	3300	378	56	595
5042	3350	381	52	781
5112	3400	382	57	714
5177	3450	382	51	769
5242	3500	382	54	769
5309	3550	390	52	746
5382	3600	392	60	684
5466	3650	393	73	595
5533	3700	393	52	746
5602	3750	394	53	724
5686	3800	401	68	595
5750	3850	405	51	781
5834	3900	405	60	595
5933	3950	409	89	505
6018	4000	409	65	588
6090	4050	409	56	694
6162	4100	413	55	694
6230	4150	413	56	735
6302	4200	413	62	694
6386	4250	414	64	595
6462	4300	414	58	657
6538	4350	414	65	657
6655	4400	417	105	427
6742	4450	418	60	574
6826	4500	418	71	595
6899	4550	418	60	684
6986	4600	418	71	574
7078	4650	418	80	543
7154	4700	418	61	657
7222	4750	424	58	735
7342	4800	424	99	416
7426	4850	425	72	595
7497	4900	425	59	704
7585	4950	425	67	568
7666	5000	425	71	617
7742	5050	425	63	657
7818	5100	425	65	657
7890	5150	426	61	694
8038	5200	433	129	337
8122	5250	435	72	595
8202	5300	435	67	625
8278	5350	435	65	657
8362	5400	436	73	595
8442	5450	440	64	625
8537	5500	441	80	526
8613	5550	442	64	657
8695	5600	442	70	609
8786	5650	443	67	549
8874	5700	446	73	568
8954	5750	447	70	625
9067	5800	447	100	442
9150	5850	447	70	602
9228	5900	449	66	641
9326	5950	449	80	510
9418	6000	449	79	543
9502	6050	453	73	595
9586	6100	454	73	595
9670	6150	454	72	595
9802	6200	454	122	378
9934	6250	454	120	378
10010	6300	454	66	657
10154	6350	455	122	347
10286	6400	455	118	378
10378	6450	455	70	543
10486	6500	455	97	462
10586	6550	456	88	500
10682	6600	456	84	520
10766	6650	456	72	595
10874	6700	459	87	462
10955	6750	459	64	617
11066	6800	459	88	450
11152	6850	459	65	581
11249	6900	459	68	515
11326	6950	459	62	649
11454	7000	464	83	390
11538	7050	468	73	595
11626	7100	468	76	568
11767	7150	468	130	354
11864	7200	468	86	515
11950	7250	468	75	581
12035	7300	468	67	588
12134	7350	468	78	505
12226	7400	475	81	543
12330	7450	482	79	480
12450	7500	482	108	416
12546	7550	482	75	520
12658	7600	482	102	446
12750	7650	482	75	543
12846	7700	482	87	520
12946	7750	482	78	500
13042	7800	488	85	520
13150	7850	495	87	462
13238	7900	497	80	568
13334	7950	497	85	520
13438	8000	498	95	480
13526	8050	498	77	568
13610	8100	499	74	595
13702	8150	499	80	543
13865	8200	499	147	306
14015	8250	505	131	333
14157	8300	517	132	352
14254	8350	520	88	515
14354	8400	520	88	500
14438	8450	523	71	595
14522	8500	523	69	595
14613	8550	523	69	549
14722	8600	529	89	458
14826	8650	529	81	480
14914	8700	531	79	568
15009	8750	541	81	526
15109	8800	541	88	500
15222	8850	543	95	442
15322	8900	548	89	500
15414	8950	549	82	543
15526	9000	549	96	446
15664	9050	549	130	362
15819	9100	550	134	322
15957	9150	550	130	362
16074	9200	566	98	427
16169	9250	566	73	526
16258	9300	567	74	561
16345	9350	567	72	574
16450	9400	575	88	476
16542	9450	577	81	543
16638	9500	579	80	520
16730	9550	579	82	543
16878	9600	583	137	337
16966	9650	583	79	568
17058	9700	589	78	543
17154	9750	589	85	520
17258	9800	591	94	480
17350	9850	591	81	543
17446	9900	591	86	520
17554	9950	595	84	462
17670	10000	602	105	431
17770	10050	602	91	500
17898	10100	602	101	390
18014	10150	606	108	431
18203	10200	614	165	264
18370	10250	623	150	299
18538	10300	624	149	297
18713	10350	624	160	285
18849	10400	624	105	367
18946	10450	625	89	515
19042	10500	627	86	520
19148	10550	629	85	471
19258	10600	629	101	454
19390	10650	630	118	378
19483	10700	632	82	537
19582	10750	636	84	505
19702	10800	640	98	416
19815	10850	643	102	442
19910	10900	643	86	526
20006	10950	648	85	520
20130	11000	649	109	403
20230	11050	650	89	500
20324	11100	650	80	531
20411	11150	650	76	574
20513	11200	656	90	490
20606	11250	656	79	537
20694	11300	661	76	568
20802	11350	663	86	462
20930	11400	663	104	390
21027	11450	663	89	515
21143	11500	670	91	431
21254	11550	671	88	450
21364	11600	671	96	454
21456	11650	671	81	543
21561	11700	672	82	476
21650	11750	674	79	561
21755	11800	674	94	476
21847	11850	674	81	543
21939	11900	681	80	543
22035	11950	682	82	520
22139	12000	682	93	480
22228	12050	682	80	561
22323	12100	687	82	526
22421	12150	697	81	510
22535	12200	697	99	438
