#Time(ms)	States	Instructions	GC Time	Speed(st/s)
601	50	18	99	0
1026	100	37	66	117
1186	150	55	66	312
1338	200	62	70	328
1458	250	79	55	416
1554	300	109	53	520
1635	350	138	48	617
1706	400	146	34	704
1758	450	157	32	961
1809	500	171	37	980
1894	550	180	32	588
1964	600	194	44	714
2030	650	202	48	757
2095	700	207	39	769
2162	750	211	44	746
2234	800	214	33	694
2294	850	218	34	833
2356	900	221	40	806
2424	950	225	42	735
2478	1000	229	40	925
2530	1050	232	40	961
2602	1100	234	50	694
2666	1150	238	39	781
2722	1200	239	42	892
2786	1250	241	46	781
2851	1300	246	45	769
2903	1350	248	38	961
2951	1400	254	38	1041
3030	1450	256	54	632
3082	1500	258	41	961
3134	1550	263	42	961
3198	1600	266	54	781
3250	1650	266	40	961
3302	1700	271	39	961
3351	1750	271	40	1020
3410	1800	281	48	847
3458	1850	281	40	1041
3514	1900	285	47	892
3574	1950	287	48	833
3630	2000	291	44	892
3686	2050	294	45	892
3742	2100	296	48	892
3794	2150	301	44	961
3851	2200	301	46	877
3910	2250	306	44	847
3968	2300	310	42	862
4030	2350	310	53	806
4094	2400	316	52	781
4154	2450	324	49	833
4212	2500	324	44	862
4269	2550	326	47	877
4330	2600	338	49	819
4390	2650	338	51	833
4462	2700	344	57	694
4526	2750	344	52	781
4621	2800	354	83	526
4682	2850	354	45	819
4742	2900	358	48	833
4816	2950	358	64	675
4886	3000	364	55	714
4955	3050	364	61	724
5019	3100	372	48	781
5077	3150	372	43	862
5158	3200	373	55	617
5230	3250	373	52	694
5330	3300	378	83	500
5394	3350	381	54	781
5462	3400	381	58	735
5526	3450	382	52	781
5594	3500	382	58	735
5672	3550	390	63	641
5754	3600	392	62	609
5814	3650	393	50	833
5920	3700	393	91	471
5992	3750	394	62	694
6066	3800	399	58	675
6146	3850	405	60	625
6218	3900	405	59	694
6282	3950	409	54	781
6354	4000	409	61	694
6426	4050	409	57	694
6506	4100	413	57	625
6612	4150	413	96	471
6698	4200	413	67	581
6775	4250	414	62	649
6862	4300	414	67	574
6934	4350	414	60	694
7022	4400	415	71	568
7090	4450	418	57	735
7166	4500	418	59	657
7280	4550	418	93	438
7354	4600	418	63	675
7434	4650	418	61	625
7506	4700	418	58	694
7574	4750	424	58	735
7650	4800	424	65	657
7728	4850	425	66	641
7802	4900	425	64	675
7878	4950	425	65	657
7962	5000	425	75	595
8054	5050	425	72	543
8126	5100	425	61	694
8202	5150	426	65	657
8335	5200	433	112	375
8452	5250	435	108	427
8546	5300	435	77	531
8622	5350	435	65	657
8730	5400	436	95	462
8808	5450	441	65	641
8880	5500	441	61	694
8955	5550	442	65	666
9037	5600	442	72	609
9122	5650	443	68	588
9206	5700	446	71	595
9278	5750	447	64	694
9378	5800	447	89	500
9458	5850	447	71	625
9546	5900	449	78	568
9626	5950	449	67	625
9710	6000	449	74	595
9793	6050	453	74	602
9870	6100	454	67	649
9950	6150	454	69	625
10033	6200	454	75	602
10135	6250	454	83	490
10209	6300	455	62	675
10300	6350	455	65	549
10405	6400	455	80	476
10510	6450	455	71	476
10583	6500	455	61	684
10667	6550	456	61	595
10752	6600	456	71	588
10830	6650	456	63	641
10905	6700	459	61	666
10977	6750	459	60	694
11060	6800	459	71	602
11141	6850	459	64	617
11236	6900	459	72	526
11306	6950	459	61	714
11426	7000	464	83	416
11499	7050	468	62	684
11587	7100	468	64	568
11680	7150	468	66	537
11790	7200	468	87	454
11874	7250	468	74	595
11958	7300	468	73	595
12042	7350	468	75	595
12214	7400	475	153	290
12313	7450	482	89	505
12398	7500	482	72	588
12490	7550	482	74	543
12582	7600	482	82	543
12678	7650	482	87	520
12762	7700	482	75	595
12862	7750	482	90	500
12966	7800	489	95	480
13050	7850	497	73	595
13134	7900	497	76	595
13230	7950	498	84	520
13384	8000	498	146	324
13530	8050	498	131	342
13672	8100	499	134	352
13782	8150	499	99	454
13880	8200	499	89	510
13968	8250	505	76	568
14074	8300	520	78	471
14161	8350	520	79	574
14259	8400	520	79	510
14335	8450	523	67	657
14430	8500	523	70	526
14519	8550	523	69	561
14606	8600	529	78	574
14686	8650	531	69	625
14769	8700	532	67	602
14851	8750	541	69	609
14940	8800	541	78	561
15022	8850	542	69	609
15107	8900	548	68	588
15189	8950	549	69	609
15298	9000	549	87	458
15383	9050	550	77	588
15480	9100	550	78	515
15557	9150	550	69	649
15654	9200	561	81	515
15738	9250	566	69	595
15820	9300	567	70	609
15901	9350	575	70	617
15997	9400	575	81	520
16079	9450	577	70	609
16160	9500	579	70	617
16266	9550	579	82	471
16382	9600	583	104	431
16523	9650	586	132	354
16614	9700	589	80	549
16706	9750	589	83	543
16818	9800	590	102	446
16966	9850	591	138	337
17058	9900	591	81	543
17158	9950	595	87	500
17269	10000	602	101	450
17356	10050	602	73	574
17458	10100	606	81	490
17554	10150	606	84	520
17674	10200	614	100	416
17760	10250	624	76	581
17842	10300	624	73	609
17952	10350	624	88	454
18066	10400	625	95	438
18162	10450	625	83	520
18258	10500	627	82	520
18354	10550	629	86	520
18462	10600	629	99	462
18558	10650	630	86	520
18654	10700	632	86	520
18826	10750	636	152	290
18946	10800	643	105	416
19057	10850	643	103	450
19176	10900	643	101	420
19262	10950	649	75	581
19358	11000	649	88	520
19456	11050	650	78	510
19540	11100	650	76	595
19626	11150	651	76	581
19733	11200	656	90	467
19842	11250	656	88	458
19942	11300	663	90	500
20074	11350	663	122	378
20182	11400	663	99	462
20278	11450	664	86	520
20382	11500	671	95	480
20475	11550	671	86	537
20578	11600	671	91	485
20665	11650	672	78	574
20749	11700	674	77	595
20841	11750	674	79	543
20970	11800	674	103	387
21066	11850	681	88	520
21166	11900	682	89	500
21262	11950	682	87	520
21382	12000	682	112	416
21478	12050	687	87	520
21590	12100	697	104	446
21698	12150	697	100	462
21810	12200	700	103	446
21906	12250	702	88	520
22010	12300	702	92	480
22177	12350	703	157	299
22374	12400	703	189	253
22558	12450	708	171	271
22659	12500	709	90	495
22749	12550	709	82	555
22852	12600	709	95	485
22944	12650	711	82	543
23036	12700	711	82	543
23129	12750	711	83	537
23254	12800	720	104	400
23358	12850	720	94	480
23466	12900	720	100	462
23578	12950	721	102	446
23698	13000	721	111	416
23814	13050	725	107	431
23921	13100	726	97	467
24030	13150	727	99	458
24150	13200	727	113	416
24258	13250	727	98	462
24438	13300	728	172	277
24610	13350	728	164	290
24802	13400	728	179	260
24914	13450	739	99	446
25019	13500	739	96	476
25113	13550	740	85	531
25228	13600	744	102	434
25327	13650	744	85	505
25420	13700	747	85	537
25521	13750	747	87	495
25650	13800	747	108	387
25754	13850	747	96	480
25874	13900	747	109	416
25977	13950	747	87	485
26087	14000	747	101	454
26196	14050	747	88	458
26312	14100	755	99	431
26426	14150	761	105	438
26538	14200	761	104	446
26686	14250	782	96	337
26810	14300	784	114	403
26918	14350	784	99	462
27042	14400	784	116	403
27162	14450	784	109	416
27282	14500	784	111	416
27406	14550	784	116	403
27539	14600	784	123	375
27654	14650	784	105	434
27762	14700	784	99	462
27874	14750	785	101	446
28006	14800	785	118	378
28118	14850	786	101	446
28303	14900	786	177	270
28434	14950	789	117	381
28562	15000	790	117	390
28670	15050	790	99	462
28785	15100	790	102	434
28898	15150	790	102	442
29026	15200	790	119	390
29202	15250	790	167	284
29330	15300	790	110	390
29447	15350	790	107	427
29586	15400	790	122	359
29702	15450	792	107	431
29830	15500	792	118	390
29954	15550	792	104	403
30078	15600	792	115	403
30215	15650	792	124	364
30330	15700	792	106	434
30443	15750	792	104	442
30570	15800	793	118	393
30699	15850	796	109	387
30803	15900	796	95	480
30909	15950	796	94	471
31032	16000	796	112	406
31140	16050	796	96	462
31261	16100	796	104	413
31365	16150	796	96	480
31492	16200	796	114	393
31622	16250	796	107	384
31738	16300	796	107	431
31858	16350	796	111	416
31990	16400	796	121	378
32110	16450	796	110	416
32222	16500	798	103	446
32426	16550	798	184	245
32558	16600	802	121	378
32669	16650	802	102	450
32774	16700	802	96	476
32902	16750	802	108	390
33042	16800	802	130	357
33157	16850	802	106	434
33278	16900	802	110	413
33394	16950	802	106	431
