#Time(ms)	States	Instructions	GC Time	Speed(st/s)
328	50	18	40	0
549	100	37	40	226
630	150	55	41	617
713	200	62	41	602
783	250	79	38	714
830	300	109	29	1063
890	350	138	34	833
958	400	146	33	735
1012	450	157	36	925
1066	500	171	29	925
1151	550	180	28	588
1200	600	194	30	1020
1266	650	202	34	757
1350	700	207	46	595
1405	750	211	30	909
1478	800	214	35	684
1528	850	218	32	1000
1583	900	221	33	909
1657	950	225	50	675
1718	1000	229	37	819
1785	1050	232	46	746
1854	1100	234	43	724
1926	1150	238	47	694
1982	1200	239	45	892
2034	1250	241	38	961
2093	1300	246	38	847
2153	1350	248	38	833
2201	1400	254	40	1041
2278	1450	256	48	649
2346	1500	258	56	735
2398	1550	263	43	961
2458	1600	266	51	833
2516	1650	266	48	862
2570	1700	271	45	925
2624	1750	271	43	925
2686	1800	281	45	806
2742	1850	281	48	892
2806	1900	285	54	781
2862	1950	287	49	892
2922	2000	291	51	833
2974	2050	294	43	961
3038	2100	296	57	781
3090	2150	301	45	961
3150	2200	301	51	833
3222	2250	306	62	694
3298	2300	310	68	657
3379	2350	310	70	617
3450	2400	316	50	704
3502	2450	324	43	961
3558	2500	324	43	892
3638	2550	326	65	625
3704	2600	338	54	757
3766	2650	338	48	806
3823	2700	344	45	877
3890	2750	344	48	746
3958	2800	354	57	735
4030	2850	354	59	694
4090	2900	358	50	833
4182	2950	358	81	543
4245	3000	364	55	793
4302	3050	364	50	877
4362	3100	372	53	833
4418	3150	372	48	892
4486	3200	373	53	735
4558	3250	373	61	694
4638	3300	378	66	625
4702	3350	381	56	781
4774	3400	381	56	694
4838	3450	382	51	781
4898	3500	382	44	833
4974	3550	390	50	657
5035	3600	392	50	819
5090	3650	393	44	909
5149	3700	393	46	847
5207	3750	394	46	862
5287	3800	399	61	625
5366	3850	405	54	632
5442	3900	405	58	657
5514	3950	409	60	694
5594	4000	409	68	625
5671	4050	409	65	649
5762	4100	413	74	549
5834	4150	413	59	694
5914	4200	413	70	625
5982	4250	414	58	735
6054	4300	414	63	694
6158	4350	414	94	480
6286	4400	416	113	390
6395	4450	418	100	458
6498	4500	418	93	485
6585	4550	418	78	574
6670	4600	418	76	588
6744	4650	418	64	675
6826	4700	418	61	609
6894	4750	424	58	735
6975	4800	424	67	617
7054	4850	425	63	632
7124	4900	425	61	714
7202	4950	425	69	641
7278	5000	425	67	657
7382	5050	425	94	480
7454	5100	425	62	694
7534	5150	426	72	625
7617	5200	435	63	602
7702	5250	435	64	588
7790	5300	435	74	568
7870	5350	435	70	625
7975	5400	438	96	476
8068	5450	441	63	537
8144	5500	441	61	657
8216	5550	442	62	694
8304	5600	442	66	568
8390	5650	443	65	581
8474	5700	447	67	595
8570	5750	447	88	520
8654	5800	447	67	595
8738	5850	447	71	595
8818	5900	449	68	625
8898	5950	449	66	625
8986	6000	449	79	568
9066	6050	453	71	625
9184	6100	454	108	423
9267	6150	454	61	602
9368	6200	454	81	495
9445	6250	454	62	649
9516	6300	455	59	704
9595	6350	455	61	632
9678	6400	455	71	602
9749	6450	455	60	704
9835	6500	455	62	581
9922	6550	456	71	574
10030	6600	456	91	462
