#Time(ms)	States	Instructions	GC Time	Speed(st/s)
655	50	18	112	0
1068	100	37	54	121
1225	150	55	64	318
1378	200	62	60	326
1465	250	79	44	574
1532	300	109	37	746
1592	350	138	30	833
1656	400	146	33	781
1708	450	157	33	961
1764	500	171	37	892
1852	550	180	33	568
1924	600	194	46	694
1992	650	202	48	735
2064	700	207	48	694
2124	750	211	45	833
2196	800	214	41	694
2256	850	218	40	833
2307	900	221	38	980
2359	950	225	33	961
2416	1000	229	40	877
2468	1050	232	40	961
2525	1100	234	42	877
2590	1150	238	51	769
2660	1200	239	47	714
2721	1250	241	46	819
2779	1300	246	42	862
2840	1350	248	45	819
2888	1400	254	39	1041
2955	1450	256	41	746
3004	1500	258	39	1020
3061	1550	263	47	877
3112	1600	266	42	980
3172	1650	267	49	833
3224	1700	271	38	961
3280	1750	271	42	892
3332	1800	281	43	961
3380	1850	281	40	1041
3430	1900	285	40	1000
3480	1950	287	41	1000
3543	2000	293	54	793
3600	2050	294	45	877
3664	2100	296	56	781
3720	2150	301	49	892
3780	2200	301	50	833
3841	2250	306	49	819
3900	2300	310	42	847
3951	2350	310	42	980
4017	2400	316	47	757
4071	2450	324	38	925
4148	2500	325	48	649
4221	2550	326	48	684
4314	2600	338	73	537
4376	2650	338	46	806
4440	2700	344	43	781
4504	2750	344	49	781
4576	2800	354	51	694
4656	2850	354	64	625
4720	2900	358	54	781
4780	2950	358	49	833
4860	3000	364	58	625
4920	3050	364	51	833
5024	3100	372	82	480
5121	3150	372	84	515
5204	3200	373	72	602
5276	3250	374	53	694
5352	3300	378	58	657
5417	3350	381	55	769
5492	3400	382	62	666
5564	3450	382	60	694
5636	3500	382	51	694
5716	3550	390	59	625
5784	3600	392	57	735
5847	3650	393	53	793
5941	3700	393	85	531
6016	3750	394	56	666
6094	3800	402	66	641
6172	3850	405	57	641
6244	3900	405	60	694
6308	3950	409	54	781
6388	4000	409	68	625
6489	4050	409	87	495
6568	4100	413	59	632
6660	4150	413	81	543
6744	4200	414	75	595
6816	4250	414	58	694
6892	4300	414	60	657
6962	4350	414	61	714
7036	4400	417	65	675
7109	4450	418	60	684
7204	4500	418	76	526
7276	4550	418	58	694
7360	4600	418	64	595
7428	4650	418	58	735
7550	4700	424	105	409
7636	4750	424	78	581
7720	4800	424	62	595
7817	4850	425	69	515
7904	4900	425	69	574
7988	4950	425	60	595
8072	5000	425	74	595
8156	5050	425	73	595
8236	5100	425	64	625
8308	5150	426	63	694
8409	5200	435	89	495
