#Time(ms)	States	Instructions	GC Time	Speed(st/s)
546	50	18	70	0
775	100	37	36	218
870	150	55	34	526
969	200	62	39	505
1042	250	79	35	684
1101	300	109	30	847
1155	350	138	26	925
1223	400	146	35	735
1275	450	157	32	961
1331	500	171	34	892
1416	550	180	32	588
1489	600	194	45	684
1550	650	202	41	819
1620	700	207	48	714
1689	750	211	50	724
1747	800	214	37	862
1803	850	218	32	892
1855	900	221	32	961
1922	950	225	44	746
1985	1000	229	37	793
2049	1050	232	43	781
2118	1100	234	43	724
2181	1150	238	42	793
2240	1200	239	47	847
2306	1250	241	38	757
2381	1300	246	54	666
2448	1350	248	48	746
2501	1400	254	42	943
2585	1450	256	56	595
2637	1500	258	39	961
2697	1550	263	40	833
2752	1600	266	45	909
2810	1650	266	40	862
2885	1700	271	54	666
2945	1750	271	48	833
3005	1800	281	49	833
3064	1850	281	50	847
3113	1900	285	39	1020
3173	1950	287	47	833
3245	2000	291	63	694
3300	2050	294	44	909
3361	2100	296	39	819
3429	2150	301	41	735
3497	2200	301	47	735
3557	2250	306	43	833
3625	2300	310	55	735
3683	2350	310	48	862
3757	2400	316	56	675
3816	2450	324	47	847
3877	2500	324	47	819
3933	2550	326	45	892
4005	2600	338	50	694
4065	2650	338	45	833
4145	2700	344	61	625
4245	2750	344	84	500
4325	2800	354	71	625
4413	2850	354	69	568
4477	2900	358	50	781
4553	2950	358	64	657
4621	3000	364	54	735
4685	3050	364	55	781
4745	3100	372	51	833
4805	3150	372	51	833
4877	3200	373	58	694
4975	3250	376	82	510
5065	3300	378	61	555
5125	3350	381	50	833
5189	3400	381	54	781
5261	3450	382	56	694
5333	3500	382	62	694
5405	3550	390	58	694
5476	3600	392	60	704
5576	3650	393	90	500
5657	3700	393	70	617
5725	3750	394	57	735
5801	3800	402	61	657
5885	3850	405	71	595
5957	3900	405	56	694
6029	3950	409	61	694
6106	4000	409	65	649
6182	4050	409	58	657
6261	4100	413	59	632
6332	4150	413	59	704
6448	4200	414	106	431
6525	4250	414	62	649
6602	4300	414	65	649
6671	4350	414	54	724
6762	4400	417	66	549
6833	4450	418	58	704
6901	4500	418	58	735
6989	4550	418	75	568
7067	4600	418	67	641
7141	4650	418	60	675
7233	4700	424	65	543
7320	4750	424	77	574
7397	4800	424	59	649
7485	4850	425	58	568
7557	4900	425	61	694
7626	4950	425	54	724
7716	5000	425	64	555
7785	5050	425	52	724
7854	5100	426	53	724
7925	5150	433	53	704
8008	5200	435	61	602
8104	5250	435	62	520
8173	5300	435	55	724
8265	5350	436	68	543
8356	5400	440	69	549
8431	5450	441	56	666
8506	5500	442	58	666
8595	5550	442	67	561
8678	5600	443	64	602
8768	5650	446	66	555
8838	5700	447	57	714
8908	5750	447	58	714
9001	5800	447	76	537
9077	5850	449	65	657
9157	5900	449	69	625
9244	5950	449	75	574
9337	6000	449	82	537
9429	6050	454	71	543
9517	6100	454	77	568
9617	6150	454	77	500
9705	6200	454	78	568
9789	6250	454	66	595
9922	6300	455	111	375
10062	6350	455	118	357
10213	6400	455	134	331
10345	6450	455	110	378
10443	6500	456	76	510
10533	6550	456	70	555
10637	6600	456	86	480
10733	6650	456	78	520
10821	6700	459	69	568
10902	6750	459	70	617
11011	6800	459	98	458
11091	6850	459	62	625
11204	6900	463	72	442
11297	6950	463	74	537
11391	7000	464	77	531
11485	7050	468	71	531
11572	7100	468	72	574
11651	7150	468	66	632
11753	7200	468	79	490
11849	7250	468	75	520
11933	7300	468	73	595
12053	7350	471	99	416
12142	7400	478	72	561
12219	7450	482	65	649
12321	7500	482	77	490
12405	7550	482	73	595
12510	7600	482	94	476
12597	7650	482	77	574
12685	7700	482	77	568
12793	7750	488	96	462
12953	7800	488	149	312
13056	7850	495	88	485
13132	7900	497	66	657
