#Time(ms)	States	Instructions	GC Time	Speed(st/s)
348	50	18	69	0
561	100	37	30	234
643	150	55	32	609
739	200	62	45	520
815	250	79	34	657
875	300	109	37	833
943	350	138	35	735
1007	400	146	29	781
1066	450	157	35	847
1131	500	171	44	769
1205	550	180	31	675
1255	600	194	33	1000
1315	650	202	26	833
1382	700	207	30	746
1439	750	211	33	877
1511	800	214	35	694
1571	850	218	34	833
1627	900	221	36	892
1683	950	225	38	892
1743	1000	229	40	833
1791	1050	232	35	1041
1863	1100	234	47	694
1919	1150	238	42	892
1971	1200	239	40	961
2040	1250	241	48	724
2091	1300	246	39	980
2151	1350	248	45	833
2207	1400	254	48	892
2269	1450	256	44	806
2326	1500	258	39	877
2383	1550	263	48	877
2451	1600	266	59	735
2507	1650	266	43	892
2562	1700	271	46	909
2609	1750	271	38	1063
2679	1800	281	48	714
2743	1850	281	56	781
2799	1900	285	46	892
2848	1950	287	42	1020
2907	2000	291	48	847
2963	2050	294	46	892
3015	2100	296	45	961
3071	2150	301	47	892
3151	2200	301	70	625
3211	2250	306	41	833
3271	2300	310	42	833
3321	2350	310	41	1000
3386	2400	316	56	769
3447	2450	324	48	819
3503	2500	324	46	892
3559	2550	326	46	892
3655	2600	338	85	520
3710	2650	338	44	909
3799	2700	344	63	561
3899	2750	344	78	500
3964	2800	354	52	769
4027	2850	354	48	793
4090	2900	358	48	793
4155	2950	358	54	769
4215	3000	364	51	833
4275	3050	364	52	833
4339	3100	372	55	781
4403	3150	372	55	781
4467	3200	373	53	781
4539	3250	373	51	694
4623	3300	378	62	595
4694	3350	381	57	704
4779	3400	381	58	588
4851	3450	382	56	694
4946	3500	382	85	526
5050	3550	390	90	480
5123	3600	392	61	684
5183	3650	393	51	833
5251	3700	393	58	735
5315	3750	394	54	781
5387	3800	400	62	694
5467	3850	405	59	625
5539	3900	405	61	694
5618	3950	409	69	632
5695	4000	409	64	649
5769	4050	409	64	675
5834	4100	413	54	769
5895	4150	413	51	819
5987	4200	413	67	543
6067	4250	414	59	625
6139	4300	414	62	694
6211	4350	414	61	694
6294	4400	417	73	602
6364	4450	418	50	714
6443	4500	418	58	632
6523	4550	418	66	625
6604	4600	418	67	617
6671	4650	418	58	746
6767	4700	424	76	520
6835	4750	424	59	735
6961	4800	424	116	396
7043	4850	425	62	609
7115	4900	425	63	694
7195	4950	425	69	625
7279	5000	425	74	595
7351	5050	425	62	694
7423	5100	426	62	694
7535	5150	433	103	446
7628	5200	435	76	537
7701	5250	435	60	684
7778	5300	435	57	649
7848	5350	436	57	714
7930	5400	440	63	609
8004	5450	441	56	675
8081	5500	441	56	649
8164	5550	442	64	602
8271	5600	443	83	467
8345	5650	446	60	675
8419	5700	447	58	675
8513	5750	447	78	531
8595	5800	447	72	609
8691	5850	447	76	520
8783	5900	449	82	543
8864	5950	449	69	617
8975	6000	453	97	450
9065	6050	454	77	555
9139	6100	454	66	675
9227	6150	454	77	568
9370	6200	454	134	349
9493	6250	454	113	406
9631	6300	455	119	362
9758	6350	455	117	393
9860	6400	455	76	490
9932	6450	455	60	694
10035	6500	456	73	485
10119	6550	456	74	595
10215	6600	456	85	520
10299	6650	459	74	595
10399	6700	459	80	500
10491	6750	459	83	543
10591	6800	459	90	500
10671	6850	459	70	625
10755	6900	459	71	595
10847	6950	460	80	543
11007	7000	468	139	312
11151	7050	468	133	347
11281	7100	468	118	384
11424	7150	468	134	349
11543	7200	468	108	420
11627	7250	468	74	595
11715	7300	468	71	568
11792	7350	475	63	649
11885	7400	478	76	537
