#Time(ms)	States	Instructions	GC Time	Speed(st/s)
810	50	23	108	0
1106	100	40	54	168
1194	150	54	58	568
1270	200	64	58	657
1350	250	74	69	625
1422	300	85	60	694
1496	350	96	60	675
1571	400	118	46	666
1634	450	127	39	793
1685	500	139	34	980
1733	550	149	24	1041
1774	600	165	33	1219
1810	650	174	23	1388
1852	700	185	25	1190
1885	750	191	27	1515
1918	800	195	27	1515
1960	850	200	24	1190
2009	900	214	28	1020
2041	950	223	26	1562
2072	1000	231	19	1612
2110	1050	239	20	1315
2157	1100	252	28	1063
2205	1150	256	36	1041
2236	1200	268	23	1612
2269	1250	288	19	1515
2301	1300	292	27	1562
2334	1350	303	26	1515
2378	1400	312	31	1136
2418	1450	320	31	1250
2462	1500	326	37	1136
2498	1550	336	29	1388
2558	1600	350	47	833
2622	1650	354	60	781
2666	1700	356	41	1136
2714	1750	375	42	1041
2770	1800	376	53	892
2806	1850	384	28	1388
2846	1900	388	36	1250
2895	1950	405	42	1020
2952	2000	428	51	877
3004	2050	431	44	961
3053	2100	436	44	1020
3101	2150	439	43	1041
3161	2200	446	52	833
3217	2250	460	51	892
3266	2300	465	43	1020
3318	2350	468	48	961
3362	2400	471	38	1136
3412	2450	481	37	1000
3458	2500	489	41	1086
3502	2550	490	39	1136
3550	2600	500	42	1041
3617	2650	508	57	746
3673	2700	516	51	892
3718	2750	525	40	1111
3754	2800	526	33	1388
3798	2850	533	40	1136
3844	2900	536	41	1086
3886	2950	538	38	1190
3926	3000	539	36	1250
3963	3050	543	32	1351
4009	3100	548	36	1086
4050	3150	551	37	1219
4102	3200	562	46	961
4147	3250	567	41	1111
4186	3300	575	34	1282
4230	3350	577	40	1136
4270	3400	584	35	1250
4314	3450	586	38	1136
4354	3500	594	36	1250
4398	3550	598	41	1136
4438	3600	602	37	1250
4482	3650	612	41	1136
4601	3700	619	54	420
4638	3750	624	34	1351
4694	3800	632	51	892
4734	3850	642	34	1250
4778	3900	651	39	1136
4826	3950	659	43	1041
4878	4000	665	49	961
4922	4050	671	41	1136
4982	4100	684	54	833
5030	4150	697	42	1041
5074	4200	702	40	1136
5122	4250	702	45	1041
5177	4300	702	52	909
