#Time(ms)	States	Instructions	GC Time	Speed(st/s)
347	50	18	57	0
578	100	37	38	216
657	150	55	30	632
731	200	62	35	675
797	250	79	40	757
859	300	109	35	806
932	350	138	40	684
998	400	146	30	757
1060	450	157	29	806
1110	500	171	28	1000
1202	550	180	39	543
1250	600	194	31	1041
1311	650	202	31	819
1374	700	207	42	793
1422	750	211	36	1041
1499	800	214	51	649
1564	850	218	49	769
1632	900	221	55	735
1691	950	225	42	847
1754	1000	229	42	793
1806	1050	232	39	961
1878	1100	234	53	694
1934	1150	238	40	892
1994	1200	239	47	833
2041	1250	241	35	1063
2110	1300	246	40	724
2170	1350	248	41	833
2248	1400	254	61	641
2330	1450	256	54	609
2390	1500	258	49	833
2450	1550	263	49	833
2503	1600	266	41	943
2558	1650	267	41	909
2618	1700	271	47	833
2670	1750	271	40	961
2725	1800	281	44	909
2774	1850	281	41	1020
2834	1900	285	47	833
2894	1950	287	50	833
2958	2000	293	52	781
3013	2050	294	44	909
3082	2100	296	49	724
3138	2150	301	46	892
3209	2200	301	60	704
3270	2250	306	44	819
3342	2300	310	47	694
3398	2350	310	44	892
3474	2400	316	54	657
3530	2450	324	46	892
3586	2500	325	45	892
3650	2550	326	50	781
3726	2600	338	58	657
3810	2650	338	63	595
3882	2700	344	59	694
3962	2750	344	58	625
4034	2800	354	55	694
4118	2850	354	64	595
4182	2900	358	50	781
4254	2950	358	57	694
4334	3000	364	65	625
4398	3050	364	54	781
4466	3100	372	59	735
4556	3150	372	81	555
4659	3200	373	84	485
4764	3250	374	81	476
4869	3300	378	87	476
4971	3350	381	84	490
5038	3400	382	57	746
5110	3450	382	57	694
5182	3500	382	55	694
5254	3550	390	58	694
5326	3600	392	58	694
5393	3650	393	57	746
5458	3700	393	55	769
5526	3750	394	57	735
5606	3800	401	63	625
5678	3850	405	61	694
5779	3900	405	88	495
5844	3950	409	55	769
5922	4000	409	65	641
5998	4050	409	60	657
6078	4100	413	58	625
6150	4150	413	61	694
6230	4200	413	69	625
6306	4250	414	60	657
6415	4300	414	98	458
6486	4350	414	57	704
6570	4400	417	67	595
6662	4450	418	74	543
6740	4500	418	61	641
6818	4550	418	61	641
6914	4600	418	85	520
6984	4650	418	59	714
7066	4700	418	59	609
7146	4750	424	70	625
7240	4800	424	79	531
7311	4850	425	60	704
7382	4900	425	60	704
7470	4950	425	69	568
7550	5000	425	71	625
7638	5050	425	71	568
7710	5100	425	61	694
7794	5150	426	70	595
7878	5200	433	70	595
7950	5250	435	62	694
8066	5300	435	94	431
8146	5350	435	69	625
8234	5400	436	70	568
8326	5450	440	70	543
8412	5500	441	73	581
8498	5550	442	70	581
8597	5600	442	89	505
8678	5650	443	66	617
8774	5700	446	75	520
8873	5750	447	89	505
8987	5800	447	91	438
9071	5850	447	68	595
9148	5900	449	61	649
9217	5950	449	58	724
9323	6000	449	72	471
9400	6050	453	58	649
9476	6100	454	59	657
9562	6150	454	62	581
9643	6200	454	68	617
9718	6250	454	60	666
9788	6300	454	59	714
9865	6350	455	62	649
