#Time(ms)	States	Instructions	GC Time	Speed(st/s)
330	50	18	45	0
548	100	37	38	229
637	150	55	30	561
717	200	62	42	625
785	250	79	34	735
833	300	109	28	1041
883	350	138	27	1000
943	400	146	31	833
1009	450	157	38	757
1062	500	171	38	943
1153	550	180	36	549
1221	600	194	45	735
1289	650	202	41	735
1361	700	207	45	694
1421	750	211	45	833
1485	800	214	34	781
1546	850	218	32	819
1601	900	221	35	909
1653	950	225	37	961
1713	1000	229	45	833
1761	1050	232	36	1041
1840	1100	234	53	632
1895	1150	238	36	909
1951	1200	239	39	892
2009	1250	241	42	862
2061	1300	246	40	961
2121	1350	248	45	833
2173	1400	254	43	961
2245	1450	256	48	694
2317	1500	258	62	694
2365	1550	263	39	1041
2429	1600	266	53	781
2479	1650	267	38	1000
2549	1700	271	49	714
2621	1750	271	58	694
2681	1800	281	46	833
2737	1850	281	46	892
2789	1900	285	42	961
2845	1950	287	47	892
2909	2000	293	48	781
2991	2050	294	68	609
3065	2100	296	66	675
3125	2150	301	52	833
3197	2200	301	44	694
3270	2250	306	51	684
3326	2300	310	46	892
3393	2350	310	50	746
3465	2400	316	59	694
3524	2450	324	48	847
3593	2500	325	57	724
3649	2550	326	44	892
3721	2600	338	54	694
3793	2650	338	59	694
3857	2700	344	50	781
3927	2750	344	54	714
4009	2800	354	63	609
4096	2850	354	72	574
4189	2900	358	80	537
4281	2950	358	78	543
4385	3000	364	88	480
4472	3050	364	76	574
4565	3100	372	74	537
4659	3150	372	84	531
4729	3200	373	58	714
4801	3250	376	52	694
4885	3300	378	64	595
4961	3350	381	57	657
5036	3400	382	64	666
5104	3450	382	51	735
5173	3500	382	50	724
5249	3550	390	51	657
5336	3600	392	71	574
5401	3650	393	53	769
5469	3700	393	58	735
5541	3750	394	56	694
5625	3800	402	62	595
5693	3850	405	58	735
5801	3900	405	91	462
5869	3950	409	57	735
5942	4000	409	61	684
6009	4050	409	56	746
6101	4100	413	75	543
6173	4150	413	61	694
6249	4200	414	65	657
6329	4250	414	63	625
6401	4300	414	57	694
6510	4350	414	99	458
6593	4400	417	63	602
6673	4450	418	58	625
6749	4500	418	65	657
6825	4550	418	65	657
6917	4600	418	75	543
6985	4650	418	58	735
7073	4700	424	67	568
7145	4750	424	62	694
7273	4800	424	116	390
7349	4850	425	65	657
7421	4900	425	62	694
7512	4950	425	71	549
7601	5000	425	73	561
7673	5050	425	59	694
7745	5100	426	61	694
7829	5150	426	74	595
7921	5200	435	72	543
8000	5250	435	66	632
8077	5300	435	66	649
8150	5350	436	62	684
8230	5400	436	70	625
8315	5450	441	65	588
8393	5500	441	65	641
8469	5550	442	66	657
8561	5600	443	76	543
8673	5650	443	101	446
8753	5700	447	68	625
8825	5750	447	63	694
8913	5800	447	76	568
8993	5850	447	70	625
9105	5900	449	101	446
9181	5950	449	66	657
9276	6000	449	79	526
9353	6050	453	66	649
9449	6100	454	67	520
9533	6150	454	73	595
9629	6200	454	86	520
9749	6250	454	104	416
9825	6300	454	66	657
9909	6350	455	73	595
10005	6400	455	81	520
10101	6450	455	74	520
10185	6500	455	74	595
10271	6550	456	72	581
10358	6600	456	71	574
10440	6650	456	61	609
10517	6700	459	61	649
10629	6750	459	89	446
10724	6800	459	79	526
10817	6850	459	75	537
10892	6900	459	64	666
11013	6950	463	77	413
11113	7000	464	72	500
11221	7050	468	78	462
11305	7100	468	69	595
11408	7150	468	81	485
11513	7200	468	82	476
11609	7250	468	75	520
11701	7300	468	77	543
11838	7350	471	125	364
11932	7400	471	76	531
12037	7450	478	79	476
12136	7500	482	85	505
12218	7550	482	73	609
12316	7600	482	85	510
12405	7650	482	78	561
12493	7700	482	77	568
12585	7750	482	78	543
12681	7800	488	85	520
12765	7850	488	74	595
12861	7900	495	86	520
12945	7950	497	74	595
13057	8000	497	101	446
13149	8050	498	82	543
13237	8100	498	75	568
13325	8150	499	76	568
13425	8200	499	84	500
13564	8250	507	129	359
13716	8300	507	135	328
13868	8350	513	137	328
13997	8400	520	119	387
14088	8450	520	82	549
14185	8500	523	79	515
14271	8550	523	77	581
14377	8600	523	90	471
14462	8650	523	74	588
14545	8700	529	70	602
14630	8750	538	69	588
14747	8800	538	94	427
14837	8850	543	76	555
14921	8900	543	70	595
15009	8950	544	70	568
15125	9000	548	94	431
15245	9050	549	111	416
15396	9100	549	139	331
15489	9150	549	84	537
15593	9200	560	93	480
15681	9250	560	78	568
15785	9300	566	83	480
15881	9350	566	79	520
15989	9400	567	100	462
16085	9450	573	86	520
16192	9500	577	97	467
16292	9550	577	90	500
16405	9600	583	102	442
16501	9650	583	86	520
16655	9700	586	143	324
16810	9750	586	145	322
16996	9800	589	172	268
17125	9850	590	115	387
17217	9900	591	83	543
17307	9950	595	75	555
17405	10000	595	86	510
17517	10050	595	88	446
17629	10100	602	89	446
17745	10150	602	97	431
17843	10200	608	88	510
17945	10250	615	81	490
18057	10300	617	89	446
18181	10350	623	99	403
18313	10400	624	101	378
18449	10450	624	117	367
18577	10500	626	105	390
18677	10550	627	87	500
18805	10600	627	107	390
18960	10650	630	141	322
19068	10700	630	93	462
19193	10750	630	98	400
19327	10800	636	124	373
19429	10850	636	92	490
19525	10900	640	86	520
19627	10950	648	93	490
19733	11000	648	92	471
19822	11050	648	79	561
19920	11100	650	79	510
20007	11150	650	78	574
20111	11200	655	93	480
20206	11250	655	79	526
20295	11300	656	78	561
20409	11350	656	91	438
20522	11400	656	94	442
20623	11450	663	82	495
20733	11500	670	90	454
20827	11550	670	84	531
20927	11600	670	93	500
21020	11650	670	81	537
21132	11700	671	89	446
21227	11750	671	81	526
21335	11800	671	96	462
21447	11850	672	94	446
21538	11900	674	80	549
21633	11950	675	83	526
21738	12000	675	95	476
21834	12050	682	82	520
21930	12100	687	83	520
22025	12150	687	83	526
22142	12200	687	101	427
22238	12250	690	85	520
22332	12300	700	83	531
22429	12350	700	84	515
22540	12400	700	100	450
22664	12450	703	105	403
22769	12500	703	96	476
22867	12550	703	85	510
22976	12600	704	99	458
23073	12650	704	85	515
23169	12700	709	86	520
23267	12750	711	87	510
23381	12800	711	102	438
23476	12850	711	85	526
23584	12900	720	85	462
23689	12950	720	89	476
23807	13000	720	101	423
23907	13050	721	88	500
24005	13100	721	87	510
24099	13150	721	87	531
24213	13200	723	104	438
24311	13250	723	88	510
24409	13300	723	89	510
24533	13350	727	103	403
24644	13400	728	102	450
24758	13450	728	90	438
24854	13500	728	87	520
24966	13550	739	89	446
25109	13600	739	122	349
25214	13650	739	94	476
25315	13700	739	90	495
25413	13750	743	90	510
25528	13800	743	105	434
25629	13850	744	89	495
25730	13900	744	90	495
25833	13950	744	92	485
25950	14000	744	105	427
26052	14050	747	91	490
26153	14100	747	91	495
26254	14150	747	91	495
26367	14200	747	106	442
26472	14250	754	93	476
26575	14300	760	91	485
26685	14350	760	93	454
26802	14400	760	107	427
26906	14450	762	93	480
27017	14500	762	93	450
27119	14550	762	93	490
27304	14600	783	129	270
27421	14650	783	101	427
27533	14700	783	102	446
