#Time(ms)	States	Instructions	GC Time	Speed(st/s)
619	50	18	99	0
1028	100	37	68	122
1196	150	55	81	297
1360	200	62	71	304
1469	250	79	59	458
1561	300	109	50	543
1624	350	138	31	793
1692	400	146	32	735
1748	450	157	38	892
1806	500	171	41	862
1896	550	180	34	555
1964	600	194	46	735
2023	650	202	30	847
2088	700	207	38	769
2141	750	211	39	943
2200	800	214	36	847
2260	850	218	35	833
2306	900	221	35	1086
2364	950	225	35	862
2432	1000	229	48	735
2480	1050	232	34	1041
2552	1100	234	45	694
2624	1150	238	48	694
2676	1200	239	41	961
2728	1250	241	41	961
2781	1300	246	41	943
2836	1350	248	39	909
2892	1400	254	47	892
2956	1450	256	43	781
3010	1500	258	40	925
3064	1550	263	40	925
3120	1600	266	47	892
3171	1650	267	39	980
3227	1700	271	41	892
3277	1750	271	39	1000
3334	1800	281	44	877
3392	1850	281	41	862
3452	1900	285	45	833
3508	1950	287	42	892
3568	2000	293	49	833
3628	2050	294	49	833
3676	2100	296	40	1041
3728	2150	301	45	961
3785	2200	301	46	877
3860	2250	306	57	666
3924	2300	310	49	781
3976	2350	310	43	961
4053	2400	316	65	649
4108	2450	324	45	909
4168	2500	325	49	833
4232	2550	326	46	781
4312	2600	338	68	625
4372	2650	338	47	833
4450	2700	344	58	641
4536	2750	344	66	581
4603	2800	354	53	746
4668	2850	354	51	769
4728	2900	358	49	833
4792	2950	358	54	781
4860	3000	364	59	735
4932	3050	364	64	694
5004	3100	372	60	694
5076	3150	372	64	694
5148	3200	373	62	694
5212	3250	374	52	781
5320	3300	378	90	462
5416	3350	381	86	520
5503	3400	382	78	574
5576	3450	382	54	684
5638	3500	382	53	806
5716	3550	390	65	641
5788	3600	392	61	694
5864	3650	393	66	657
5948	3700	393	75	595
6016	3750	394	57	735
6101	3800	401	72	588
6172	3850	405	55	704
6252	3900	405	61	625
6324	3950	409	63	694
6424	4000	409	88	500
6492	4050	409	54	735
6564	4100	413	55	694
6629	4150	413	56	769
6701	4200	413	56	694
6790	4250	414	59	561
6862	4300	414	53	694
6939	4350	414	52	649
7028	4400	417	63	561
7112	4450	418	63	595
7184	4500	418	62	694
7291	4550	418	96	467
7378	4600	418	68	574
7456	4650	418	61	641
7540	4700	418	64	595
7612	4750	424	62	694
7696	4800	424	72	595
7802	4850	425	95	471
7892	4900	425	71	555
7976	4950	425	72	595
8056	5000	425	71	625
8132	5050	425	64	657
8212	5100	425	70	625
8284	5150	426	62	694
8372	5200	433	71	568
8476	5250	435	95	480
8601	5300	435	109	400
8700	5350	435	88	505
8780	5400	436	69	625
8871	5450	440	70	549
8944	5500	441	63	684
9020	5550	442	63	657
9106	5600	442	77	581
9196	5650	443	76	555
9296	5700	446	71	500
9376	5750	447	71	625
9464	5800	447	76	568
9544	5850	447	71	625
9628	5900	449	73	595
9724	5950	449	87	520
9820	6000	449	85	520
9904	6050	453	74	595
9988	6100	454	69	595
10115	6150	454	116	393
10263	6200	454	131	337
10396	6250	454	122	375
10520	6300	454	115	403
10612	6350	455	71	543
10708	6400	455	81	520
10796	6450	455	73	568
