#Time(ms)	States	Instructions	GC Time	Speed(st/s)
346	50	18	49	0
572	100	37	35	221
660	150	55	38	568
740	200	62	30	625
804	250	79	30	781
852	300	109	29	1041
910	350	138	28	862
974	400	146	35	781
1029	450	157	37	909
1083	500	171	44	925
1164	550	180	31	617
1224	600	194	37	833
1302	650	202	51	641
1363	700	207	40	819
1432	750	211	50	724
1507	800	214	52	666
1566	850	218	33	847
1628	900	221	42	806
1677	950	225	36	1020
1731	1000	229	38	925
1784	1050	232	39	943
1844	1100	234	37	833
1918	1150	238	56	675
1976	1200	239	44	862
2032	1250	241	38	892
2096	1300	246	43	781
2156	1350	248	41	833
2212	1400	254	44	892
2299	1450	256	62	574
2356	1500	258	44	877
2408	1550	263	42	961
2468	1600	266	49	833
2548	1650	266	68	625
2624	1700	271	63	657
2680	1750	271	46	892
2736	1800	281	44	892
2788	1850	281	43	961
2838	1900	285	40	1000
2888	1950	287	42	1000
2952	2000	291	54	781
3012	2050	294	47	833
3075	2100	296	55	793
3130	2150	301	44	909
3184	2200	301	44	925
3244	2250	306	44	833
3300	2300	310	44	892
3355	2350	310	45	909
3420	2400	316	53	769
3476	2450	324	45	892
3536	2500	324	48	833
3596	2550	326	49	833
3676	2600	338	62	625
3748	2650	338	62	694
3813	2700	344	52	769
3876	2750	344	46	793
3948	2800	354	54	694
4008	2850	354	45	833
4080	2900	358	57	694
4140	2950	358	50	833
4208	3000	364	57	735
4284	3050	364	67	657
4344	3100	372	50	833
4400	3150	372	48	892
4472	3200	373	58	694
4544	3250	373	61	694
4632	3300	378	70	568
4704	3350	381	61	694
4772	3400	381	57	735
4840	3450	382	55	735
4904	3500	382	54	781
4988	3550	390	60	595
5092	3600	392	92	480
5152	3650	393	50	833
5232	3700	393	56	625
5300	3750	394	55	735
5384	3800	399	68	595
5452	3850	404	56	735
5523	3900	405	59	704
5588	3950	409	56	769
5660	4000	409	61	694
5736	4050	409	65	657
5804	4100	413	56	735
5876	4150	413	60	694
5960	4200	413	75	595
6028	4250	414	57	735
6100	4300	414	63	694
6169	4350	414	59	724
6276	4400	415	97	467
6343	4450	418	57	746
6416	4500	418	61	684
6488	4550	418	59	694
6564	4600	418	67	657
6640	4650	418	66	657
6720	4700	418	64	625
6792	4750	424	63	694
6873	4800	424	71	617
6960	4850	425	77	574
7030	4900	425	61	714
7124	4950	425	68	531
7222	5000	425	82	510
7290	5050	425	55	735
7371	5100	425	60	617
7442	5150	426	56	704
7536	5200	433	71	531
7612	5250	435	61	657
7692	5300	435	64	625
7772	5350	435	68	625
7860	5400	436	78	568
7944	5450	441	71	595
8028	5500	441	75	595
8108	5550	442	70	625
8192	5600	442	74	595
8268	5650	443	66	657
8348	5700	446	69	625
8424	5750	447	68	657
8516	5800	447	81	543
8592	5850	447	67	657
8688	5900	449	83	520
8772	5950	449	74	595
8916	6000	449	130	347
9039	6050	453	113	406
9163	6100	454	106	403
9298	6150	454	115	370
9444	6200	454	137	342
9528	6250	454	73	595
9604	6300	455	68	657
9683	6350	455	65	632
9784	6400	455	79	495
9865	6450	455	70	617
9956	6500	455	73	549
10048	6550	456	80	543
10144	6600	456	85	520
10235	6650	456	77	549
10324	6700	459	79	561
10404	6750	459	71	625
10500	6800	459	86	520
10626	6850	459	116	396
10728	6900	459	83	490
10808	6950	459	72	625
10920	7000	464	84	446
11004	7050	468	73	595
11088	7100	468	72	595
11176	7150	468	71	568
11272	7200	468	85	520
11356	7250	468	74	595
11441	7300	468	74	588
11528	7350	468	78	574
11671	7400	478	134	349
