#Time(ms)	States	Instructions	GC Time	Speed(st/s)
332	50	18	52	0
559	100	37	26	220
655	150	55	35	520
729	200	62	34	675
799	250	79	39	714
849	300	109	32	1000
912	350	138	37	793
984	400	146	35	694
1044	450	157	36	833
1108	500	171	38	781
1208	550	180	43	500
1261	600	194	31	943
1340	650	202	47	632
1408	700	207	47	735
1472	750	211	50	781
1552	800	214	52	625
1625	850	218	50	684
1684	900	221	47	847
1755	950	225	54	704
1828	1000	229	47	684
1898	1050	232	48	714
1976	1100	234	49	641
2041	1150	238	42	769
2100	1200	239	39	847
2164	1250	241	42	781
2220	1300	246	38	892
2284	1350	248	41	781
2344	1400	254	41	833
2440	1450	256	63	520
2500	1500	258	44	833
2552	1550	263	39	961
2609	1600	266	43	877
2666	1650	266	40	877
2718	1700	271	38	961
2784	1750	271	50	757
2848	1800	281	45	781
2904	1850	281	46	892
2964	1900	285	49	833
3018	1950	287	44	925
3079	2000	291	48	819
3136	2050	294	44	877
3208	2100	296	53	694
3268	2150	301	50	833
3328	2200	301	50	833
3392	2250	306	50	781
3474	2300	310	68	609
3552	2350	310	68	641
3612	2400	316	46	833
3680	2450	324	57	735
3741	2500	324	49	819
3800	2550	326	43	847
3880	2600	338	56	625
3940	2650	338	49	833
3998	2700	344	45	862
4064	2750	344	47	757
4126	2800	354	50	806
4204	2850	354	53	641
4276	2900	358	62	694
4334	2950	358	48	862
4408	3000	364	58	675
4476	3050	364	50	735
4544	3100	372	53	735
4616	3150	372	63	694
4684	3200	373	56	735
4752	3250	376	50	735
4836	3300	378	62	595
4920	3350	381	74	595
4988	3400	381	58	735
5052	3450	382	52	781
5124	3500	382	52	694
5208	3550	390	63	595
5276	3600	392	57	735
5340	3650	393	54	781
5448	3700	393	87	462
5524	3750	394	65	657
5600	3800	402	59	657
5672	3850	404	60	694
5740	3900	405	56	735
5812	3950	409	60	694
5884	4000	409	61	694
5955	4050	409	56	704
6036	4100	413	63	617
6137	4150	413	91	495
6216	4200	413	68	632
6288	4250	414	56	694
6368	4300	414	65	625
6436	4350	414	57	735
6516	4400	417	69	625
6588	4450	418	60	694
6664	4500	418	65	657
6744	4550	418	69	625
6862	4600	418	107	423
6932	4650	418	59	714
7003	4700	424	59	704
7104	4750	424	81	495
7186	4800	424	68	609
7258	4850	425	61	694
7328	4900	425	60	714
7408	4950	425	64	625
7484	5000	425	66	657
7604	5050	425	109	416
7675	5100	426	60	704
7742	5150	426	54	746
7840	5200	435	73	510
7920	5250	435	60	625
8020	5300	435	66	500
8104	5350	436	65	595
8192	5400	439	71	568
8296	5450	441	79	480
8414	5500	441	104	423
8493	5550	442	62	632
8581	5600	443	71	568
8666	5650	443	64	588
8745	5700	447	58	632
8832	5750	447	66	574
8936	5800	447	81	480
9018	5850	447	63	609
9086	5900	449	57	735
9164	5950	449	59	641
9280	6000	449	80	431
9364	6050	453	71	595
9448	6100	454	69	595
9538	6150	454	71	555
9640	6200	454	89	490
9740	6250	454	87	500
9823	6300	454	71	602
9916	6350	455	72	537
10012	6400	455	81	520
10145	6450	455	111	375
10287	6500	455	122	352
10419	6550	456	118	378
10573	6600	456	135	324
10692	6650	456	101	420
10784	6700	459	71	543
10867	6750	459	71	602
10960	6800	459	80	537
11058	6850	459	81	510
11168	6900	463	74	454
11253	6950	463	67	588
11360	7000	464	78	467
11456	7050	468	73	520
11540	7100	468	75	595
11679	7150	468	119	359
11769	7200	468	79	555
11851	7250	468	65	609
11933	7300	468	64	609
12016	7350	471	65	602
12101	7400	471	74	588
12177	7450	478	64	657
12258	7500	482	66	617
12352	7550	482	77	531
12468	7600	482	105	431
12599	7650	482	119	381
12677	7700	482	66	641
12753	7750	482	66	657
12846	7800	488	76	537
12920	7850	493	66	675
13028	7900	497	78	462
13112	7950	497	74	595
13208	8000	498	85	520
13296	8050	498	77	568
13392	8100	498	80	520
13488	8150	499	85	520
13592	8200	503	95	480
13692	8250	507	87	500
13786	8300	513	80	531
13880	8350	520	79	531
13980	8400	520	88	500
14072	8450	520	82	543
14219	8500	523	136	340
14364	8550	523	135	344
14535	8600	523	159	292
14648	8650	525	104	442
14744	8700	536	85	520
14832	8750	538	78	568
14936	8800	541	90	480
15032	8850	543	85	520
15152	8900	544	110	416
15240	8950	548	76	568
15343	9000	548	89	485
15429	9050	549	75	581
15509	9100	549	70	625
15594	9150	559	69	588
15708	9200	560	97	438
15800	9250	566	81	543
15889	9300	566	73	561
15987	9350	566	81	510
16080	9400	569	83	537
16160	9450	577	71	625
16244	9500	577	72	595
16330	9550	583	71	581
16428	9600	583	83	510
16512	9650	586	72	595
16595	9700	586	72	602
16677	9750	589	72	609
16773	9800	590	84	520
16856	9850	591	71	602
16940	9900	595	73	595
17026	9950	595	74	581
17122	10000	595	85	520
17213	10050	602	74	549
17316	10100	602	86	485
17412	10150	611	86	520
17520	10200	615	98	462
17610	10250	623	73	555
17704	10300	623	75	531
17812	10350	624	88	462
17916	10400	624	95	480
18016	10450	627	82	500
18110	10500	627	83	531
18236	10550	628	110	396
18348	10600	630	101	446
18444	10650	630	87	520
18556	10700	634	91	446
18659	10750	636	92	485
18820	10800	640	152	310
18924	10850	645	89	480
19020	10900	648	85	520
19120	10950	648	90	500
19240	11000	650	109	416
19331	11050	650	82	549
19433	11100	655	87	490
19544	11150	655	93	450
19652	11200	656	100	462
19772	11250	656	107	416
19868	11300	656	85	520
19972	11350	663	93	480
20112	11400	670	119	357
20221	11450	670	94	458
20357	11500	670	123	367
20472	11550	671	91	434
20605	11600	671	113	375
20696	11650	671	81	549
20787	11700	672	80	549
20877	11750	672	80	555
20979	11800	675	92	490
21100	11850	675	94	413
21200	11900	682	92	500
21308	11950	687	95	462
21421	12000	687	104	442
21552	12050	687	118	381
21647	12100	690	82	526
21764	12150	700	97	427
21879	12200	700	105	434
21974	12250	701	84	526
22086	12300	703	92	446
22179	12350	703	82	537
22308	12400	704	110	387
22405	12450	704	86	515
22500	12500	709	82	526
22594	12550	711	84	531
22703	12600	711	98	458
22795	12650	711	83	543
22895	12700	720	84	500
22990	12750	720	85	526
23096	12800	720	97	471
23198	12850	721	85	490
23300	12900	721	85	490
23393	12950	721	84	537
23507	13000	723	99	438
