#Time(ms)	States	Instructions	GC Time	Speed(st/s)
347	50	18	70	0
575	100	37	34	219
669	150	55	44	531
744	200	62	32	666
806	250	79	30	806
860	300	109	27	925
916	350	138	32	892
976	400	146	32	833
1038	450	157	33	806
1092	500	171	36	925
1180	550	180	38	568
1243	600	194	45	793
1312	650	202	47	724
1380	700	207	43	735
1432	750	211	40	961
1503	800	214	42	704
1568	850	218	48	769
1616	900	221	36	1041
1668	950	225	34	961
1736	1000	229	50	735
1800	1050	232	51	781
1880	1100	234	57	625
1952	1150	238	47	694
2036	1200	239	62	595
2104	1250	241	54	735
2173	1300	246	54	724
2252	1350	248	60	632
2333	1400	254	70	617
2420	1450	256	61	574
2481	1500	258	49	819
2536	1550	263	40	909
2596	1600	266	44	833
2657	1650	266	45	819
2724	1700	271	41	746
2796	1750	271	47	694
2856	1800	281	49	833
2906	1850	281	40	1000
2964	1900	285	43	862
3018	1950	287	43	925
3080	2000	291	47	806
3138	2050	294	46	862
3187	2100	296	40	1020
3248	2150	301	47	819
3304	2200	301	45	892
3368	2250	306	47	781
3436	2300	310	47	735
3500	2350	310	52	781
3568	2400	316	47	735
3625	2450	324	44	877
3704	2500	324	46	632
3776	2550	326	50	694
3856	2600	338	55	625
3920	2650	338	45	781
4013	2700	344	69	537
4092	2750	344	59	632
4156	2800	354	49	781
4229	2850	354	53	684
4294	2900	358	46	769
4355	2950	358	47	819
4423	3000	364	51	735
4484	3050	364	47	819
4552	3100	372	53	735
4616	3150	372	54	781
4696	3200	373	68	625
4768	3250	376	56	694
4868	3300	378	82	500
4948	3350	381	55	625
5024	3400	381	56	657
5104	3450	382	56	625
5183	3500	382	57	632
5256	3550	390	57	684
5328	3600	392	59	694
5404	3650	393	56	657
5510	3700	393	84	471
5583	3750	394	60	684
5655	3800	402	57	694
5720	3850	405	51	769
5800	3900	405	55	625
5880	3950	409	60	625
5956	4000	409	63	657
6028	4050	409	56	694
6108	4100	413	62	625
6180	4150	413	61	694
6287	4200	414	95	467
6364	4250	414	60	649
6432	4300	414	56	735
6504	4350	414	58	694
6599	4400	417	83	526
6673	4450	418	56	675
6757	4500	418	55	595
6852	4550	418	59	526
6935	4600	418	67	602
7011	4650	418	53	657
7104	4700	424	60	537
7191	4750	424	65	574
7276	4800	424	66	588
7360	4850	425	67	595
7432	4900	425	61	694
