#Time(ms)	States	Instructions	GC Time	Speed(st/s)
339	50	18	52	0
559	100	37	29	227
653	150	55	32	531
719	200	62	34	757
783	250	79	28	781
839	300	109	27	892
893	350	138	29	925
961	400	146	34	735
1017	450	157	32	892
1071	500	171	32	925
1175	550	180	36	480
1230	600	194	35	909
1295	650	202	41	769
1343	700	207	32	1041
1403	750	211	33	833
1477	800	214	45	675
1531	850	218	38	925
1579	900	221	37	1041
1635	950	225	43	892
1687	1000	229	38	961
1743	1050	232	44	892
1807	1100	234	39	781
1865	1150	238	40	862
1919	1200	239	42	925
1975	1250	241	41	892
2035	1300	246	49	833
2095	1350	248	41	833
2143	1400	254	39	1041
2239	1450	256	72	520
2295	1500	258	48	892
2349	1550	263	45	925
2401	1600	266	43	961
2461	1650	266	44	833
2515	1700	271	43	925
2571	1750	271	46	892
2635	1800	281	54	781
2683	1850	281	40	1041
2747	1900	285	51	781
2799	1950	287	44	961
2856	2000	291	48	877
2911	2050	294	45	909
2967	2100	296	49	892
3015	2150	301	41	1041
3075	2200	301	50	833
3157	2250	306	67	609
3223	2300	310	52	757
3283	2350	310	47	833
3343	2400	316	49	833
3407	2450	324	53	781
3471	2500	324	53	781
3531	2550	326	50	833
3607	2600	338	60	657
3679	2650	338	63	694
3747	2700	344	59	735
3811	2750	344	54	781
3907	2800	354	75	520
3975	2850	354	54	735
4039	2900	358	55	781
4099	2950	358	50	833
4175	3000	364	65	657
4239	3050	364	55	781
4311	3100	372	63	694
4375	3150	372	56	781
4447	3200	373	62	694
4519	3250	373	58	694
4599	3300	378	63	625
4671	3350	381	63	694
4772	3400	381	92	495
4867	3450	382	83	526
4971	3500	382	91	480
5071	3550	390	84	500
5175	3600	392	93	480
5239	3650	393	55	781
5307	3700	393	57	735
5387	3750	394	70	625
5463	3800	399	64	657
5535	3850	404	59	694
5607	3900	405	61	694
5671	3950	409	54	781
5751	4000	409	70	625
5851	4050	409	90	500
5931	4100	413	68	625
5999	4150	413	57	735
6075	4200	413	62	657
6155	4250	414	58	625
6223	4300	414	56	735
6303	4350	414	66	625
6384	4400	415	69	617
6459	4450	418	65	666
6531	4500	418	61	694
6646	4550	418	104	434
6723	4600	418	67	649
6795	4650	418	62	694
6874	4700	418	62	632
6951	4750	424	63	649
7027	4800	424	65	657
7099	4850	425	60	694
7167	4900	425	58	735
7255	4950	425	70	568
7335	5000	425	71	625
7411	5050	425	64	657
7483	5100	425	62	694
7595	5150	426	103	446
7675	5200	433	68	625
7755	5250	435	64	625
7835	5300	435	69	625
7919	5350	435	67	595
8046	5400	436	117	393
8151	5450	441	84	476
8230	5500	441	68	632
8304	5550	442	62	675
8387	5600	442	73	602
8463	5650	443	66	657
8542	5700	446	67	632
8615	5750	447	65	684
8699	5800	447	73	595
8775	5850	447	67	657
8867	5900	449	80	543
8987	5950	449	110	416
9073	6000	449	74	581
9145	6050	453	63	694
9241	6100	454	84	520
9339	6150	454	73	510
9435	6200	454	86	520
9515	6250	454	64	625
9591	6300	455	64	657
9675	6350	455	66	595
9771	6400	455	85	520
9867	6450	455	75	520
9992	6500	455	113	400
10079	6550	456	74	574
10191	6600	456	101	446
10275	6650	456	75	595
10362	6700	459	69	574
10437	6750	459	63	666
10543	6800	459	79	471
10623	6850	459	71	625
10719	6900	459	71	520
10827	6950	459	100	462
10940	7000	464	80	442
11023	7050	468	75	602
11139	7100	468	104	431
11220	7150	468	69	617
11327	7200	468	82	467
11416	7250	468	79	561
11494	7300	468	68	641
11577	7350	468	64	602
11662	7400	478	73	588
11767	7450	482	77	476
11851	7500	482	74	595
11935	7550	482	75	595
12051	7600	482	95	431
12144	7650	482	75	537
12247	7700	482	90	485
12335	7750	482	78	568
12427	7800	489	83	543
12519	7850	497	81	543
12648	7900	497	121	387
12794	7950	497	131	342
12957	8000	498	155	306
13095	8050	498	120	362
13181	8100	499	78	581
13259	8150	499	67	641
13350	8200	499	76	549
13429	8250	507	67	632
13535	8300	520	78	471
13619	8350	520	76	595
13727	8400	520	93	462
13823	8450	523	87	520
13919	8500	523	80	520
14023	8550	523	94	480
14123	8600	529	92	500
14227	8650	531	84	480
14315	8700	531	80	568
14460	8750	541	136	344
14628	8800	541	156	297
14780	8850	542	143	328
14911	8900	548	122	381
14997	8950	549	76	581
15091	9000	549	81	531
15183	9050	549	75	543
15307	9100	550	106	403
15453	9150	550	137	342
15559	9200	560	93	471
15659	9250	566	82	500
15763	9300	567	94	480
15918	9350	567	139	322
16019	9400	575	91	495
16115	9450	577	87	520
16211	9500	579	83	520
16303	9550	579	83	543
16411	9600	583	97	462
16519	9650	583	99	462
16615	9700	589	78	520
16711	9750	589	84	520
16843	9800	590	123	378
16939	9850	591	86	520
17025	9900	591	78	581
17159	9950	595	118	373
17263	10000	602	92	480
17351	10050	602	79	568
17487	10100	602	117	367
17593	10150	606	88	471
17698	10200	614	96	476
17790	10250	623	76	543
