#Time(ms)	States	Instructions	GC Time	Speed(st/s)
335	50	18	39	0
548	100	37	40	234
641	150	55	39	537
727	200	62	38	581
804	250	79	41	649
852	300	109	26	1041
905	350	138	30	943
964	400	146	30	847
1037	450	157	36	684
1089	500	171	40	961
1176	550	180	37	574
1240	600	194	38	781
1308	650	202	41	735
1367	700	207	31	847
1423	750	211	34	892
1484	800	214	38	819
1548	850	218	49	781
1596	900	221	37	1041
1648	950	225	35	961
1704	1000	229	37	892
1772	1050	232	51	735
1832	1100	234	38	833
1888	1150	238	38	892
1944	1200	239	44	892
2003	1250	241	47	847
2054	1300	246	40	980
2104	1350	248	39	1000
2152	1400	254	40	1041
2232	1450	256	56	625
2301	1500	258	61	724
2350	1550	263	38	1020
2420	1600	266	46	714
2479	1650	266	47	847
2532	1700	271	42	943
2584	1750	271	41	961
2644	1800	281	52	833
2692	1850	281	40	1041
2752	1900	285	46	833
2812	1950	287	52	833
2872	2000	291	50	833
2936	2050	294	53	781
2989	2100	296	45	943
3036	2150	301	40	1063
3104	2200	301	49	735
3172	2250	306	55	735
3243	2300	310	50	704
3308	2350	310	50	769
3372	2400	316	53	781
3444	2450	324	61	694
3504	2500	324	50	833
3564	2550	326	50	833
3628	2600	338	52	781
3688	2650	338	49	833
3756	2700	344	54	735
3820	2750	344	50	781
3904	2800	354	63	595
3984	2850	354	59	625
4044	2900	358	50	833
4108	2950	358	54	781
4176	3000	364	57	735
4240	3050	364	55	781
4352	3100	372	93	446
4443	3150	372	81	549
4548	3200	373	95	476
4652	3250	373	88	480
4724	3300	378	55	694
4788	3350	381	54	781
4860	3400	381	59	694
4932	3450	382	60	694
5000	3500	382	58	735
5072	3550	390	59	694
5141	3600	392	58	724
5207	3650	393	53	757
5280	3700	393	59	684
5377	3750	394	87	515
5456	3800	400	68	632
5526	3850	405	53	714
5600	3900	405	55	675
5664	3950	409	55	781
5744	4000	409	70	625
5814	4050	409	61	714
5888	4100	413	63	675
5998	4150	413	100	454
6079	4200	413	66	617
6156	4250	414	58	649
6232	4300	414	62	657
6308	4350	414	66	657
6382	4400	417	64	675
6456	4450	418	57	675
6540	4500	418	62	595
6608	4550	418	58	735
6692	4600	418	69	595
6788	4650	418	87	520
6860	4700	424	60	694
6940	4750	424	71	625
7024	4800	424	73	595
7100	4850	425	64	657
7168	4900	425	59	735
7244	4950	425	62	657
7324	5000	425	69	625
7396	5050	425	62	694
7476	5100	426	69	625
7554	5150	433	68	641
7632	5200	435	68	641
7714	5250	435	62	609
7796	5300	435	68	609
7884	5350	436	65	568
7988	5400	440	81	480
8068	5450	441	68	625
8152	5500	441	72	595
8228	5550	442	64	657
8340	5600	443	91	446
8422	5650	446	67	609
8512	5700	447	63	555
8604	5750	447	70	543
8688	5800	447	75	595
8768	5850	447	68	625
8848	5900	449	70	625
8926	5950	449	68	641
9016	6000	453	82	555
9104	6050	454	72	568
9196	6100	454	84	543
9284	6150	454	76	568
9376	6200	454	83	543
9460	6250	454	74	595
9544	6300	455	73	595
9669	6350	455	117	400
9824	6400	455	132	322
9949	6450	455	116	400
10092	6500	456	128	349
10174	6550	456	73	609
10274	6600	456	80	500
10360	6650	459	69	581
10459	6700	459	78	505
10537	6750	459	66	641
10620	6800	459	72	602
10696	6850	459	62	657
10770	6900	459	63	675
10872	6950	460	78	490
10972	7000	468	81	500
11056	7050	468	74	595
11172	7100	468	105	431
11256	7150	468	73	595
11352	7200	468	85	520
11436	7250	468	75	595
11520	7300	468	73	595
11600	7350	475	72	625
11724	7400	478	107	403
11808	7450	482	71	595
11895	7500	482	74	574
11971	7550	482	68	657
12080	7600	482	92	458
12161	7650	482	72	617
12244	7700	482	69	602
12325	7750	482	66	617
12436	7800	495	83	450
12520	7850	497	74	595
12608	7900	497	75	568
12712	7950	498	83	480
12808	8000	498	87	520
12894	8050	499	76	581
12992	8100	499	89	510
13094	8150	499	92	490
13192	8200	505	89	510
13280	8250	513	77	568
13422	8300	520	127	352
13565	8350	520	135	349
13726	8400	523	152	310
13864	8450	523	129	362
13960	8500	523	85	520
14044	8550	523	76	595
14140	8600	529	86	520
14232	8650	531	83	543
14340	8700	534	99	462
14419	8750	541	70	632
14506	8800	542	78	574
14600	8850	546	71	531
14677	8900	548	68	649
14759	8950	549	70	609
14857	9000	549	82	510
14938	9050	550	69	617
15028	9100	550	70	555
15108	9150	556	70	625
15204	9200	566	81	520
15312	9250	567	84	462
15416	9300	567	93	480
15514	9350	575	87	510
15610	9400	575	87	520
15696	9450	579	74	581
15776	9500	579	69	625
15859	9550	583	72	602
15951	9600	583	82	543
16038	9650	586	71	574
16144	9700	589	80	471
16225	9750	590	71	617
16322	9800	591	84	515
16415	9850	591	74	537
16498	9900	594	73	602
16585	9950	602	73	574
16676	10000	602	83	549
16759	10050	602	74	602
16856	10100	606	79	515
16961	10150	614	82	476
17088	10200	623	101	393
17188	10250	624	83	500
17280	10300	624	83	543
17384	10350	624	85	480
17488	10400	625	95	480
17596	10450	625	90	462
17736	10500	629	130	357
17840	10550	629	96	480
17945	10600	630	96	476
18055	10650	632	89	454
18148	10700	636	84	537
18272	10750	640	104	403
18387	10800	643	101	434
18492	10850	643	97	476
18579	10900	648	78	574
18668	10950	649	75	561
18766	11000	649	89	510
18853	11050	650	76	574
18935	11100	651	75	609
19025	11150	656	79	555
19123	11200	656	90	510
19236	11250	663	89	442
19336	11300	663	88	500
19420	11350	663	77	595
19519	11400	663	90	505
19616	11450	670	80	515
19721	11500	671	85	476
19824	11550	671	86	485
19956	11600	672	121	378
20052	11650	672	89	520
20159	11700	674	98	467
20315	11750	674	146	320
20414	11800	674	92	505
20514	11850	682	80	500
20604	11900	682	80	555
20690	11950	682	78	581
20792	12000	687	93	490
20883	12050	697	80	549
20970	12100	697	80	574
21065	12150	698	81	526
21186	12200	702	106	413
21273	12250	702	80	574
21365	12300	703	81	543
21459	12350	703	82	531
21564	12400	704	94	476
21654	12450	709	80	555
21748	12500	709	83	531
21839	12550	709	81	549
21944	12600	711	96	476
22038	12650	711	84	531
22128	12700	711	81	555
22221	12750	720	84	537
22329	12800	720	97	462
22420	12850	720	83	549
22512	12900	721	84	543
22608	12950	721	85	520
22714	13000	721	97	471
22806	13050	726	84	543
22901	13100	727	86	526
22993	13150	727	84	543
23101	13200	727	99	462
23216	13250	728	96	434
23319	13300	728	95	485
23428	13350	728	101	458
23594	13400	739	157	301
23690	13450	739	87	520
23783	13500	740	85	537
23878	13550	744	86	526
23988	13600	744	101	454
24083	13650	744	87	526
24180	13700	747	87	515
24279	13750	747	87	505
24390	13800	747	102	450
24501	13850	747	98	450
24598	13900	747	88	515
24718	13950	747	96	416
24827	14000	747	102	458
24934	14050	755	90	467
25034	14100	761	89	500
25137	14150	761	89	485
25246	14200	773	103	458
25420	14250	784	116	287
25528	14300	784	99	462
25636	14350	784	100	462
25764	14400	784	118	390
25884	14450	784	111	416
25996	14500	784	102	446
26172	14550	784	169	284
