#Time(ms)	States	Instructions	GC Time	Speed(st/s)
667	50	18	123	0
1013	100	37	43	144
1148	150	55	57	370
1257	200	62	50	458
1346	250	79	43	561
1424	300	109	56	641
1504	350	138	53	625
1593	400	146	41	561
1690	450	157	59	515
1780	500	171	66	555
1907	550	180	50	393
1996	600	194	58	561
2084	650	202	62	568
2167	700	207	56	602
2233	750	211	52	757
2343	800	214	68	454
2454	850	218	89	450
2541	900	221	62	574
2608	950	225	39	746
2667	1000	229	41	847
2720	1050	232	37	943
2780	1100	234	37	833
2833	1150	238	39	943
2892	1200	239	43	847
2952	1250	241	45	833
3008	1300	246	44	892
3062	1350	248	38	925
3116	1400	254	41	925
3180	1450	256	39	781
3235	1500	258	44	909
3279	1550	263	36	1136
3336	1600	266	43	877
3390	1650	266	42	925
3448	1700	271	42	862
3512	1750	271	41	781
3576	1800	281	53	781
3628	1850	281	42	961
3683	1900	285	43	909
3737	1950	287	46	925
3803	2000	291	50	757
3854	2050	294	40	980
3908	2100	296	44	925
3964	2150	301	47	892
4024	2200	301	52	833
4084	2250	306	47	833
4148	2300	310	49	781
4220	2350	310	63	694
4284	2400	316	53	781
4340	2450	324	46	892
4409	2500	324	57	724
4472	2550	326	44	793
4556	2600	338	62	595
4620	2650	338	54	781
4687	2700	344	57	746
4760	2750	344	54	684
4850	2800	354	79	555
4924	2850	354	55	675
4984	2900	358	49	833
5048	2950	358	54	781
5116	3000	364	54	735
5172	3050	364	48	892
5232	3100	372	48	833
5291	3150	372	51	847
5360	3200	373	55	724
5432	3250	373	57	694
5508	3300	378	59	657
5568	3350	381	51	833
5648	3400	381	71	625
5752	3450	382	89	480
5836	3500	382	75	595
5908	3550	390	58	694
5992	3600	392	73	595
6072	3650	393	71	625
6142	3700	393	59	714
6220	3750	394	59	641
6292	3800	400	61	694
6397	3850	405	90	476
6504	3900	405	91	467
6604	3950	409	89	500
6724	4000	409	109	416
6816	4050	409	77	543
6890	4100	413	63	675
6968	4150	413	62	641
7078	4200	413	97	454
7160	4250	414	58	609
7228	4300	414	57	735
7298	4350	414	60	714
7384	4400	417	72	581
7468	4450	418	71	595
7540	4500	418	58	694
7618	4550	418	62	641
7704	4600	418	70	581
7776	4650	418	63	694
7860	4700	424	62	595
7932	4750	424	62	694
8048	4800	424	105	431
8136	4850	425	76	568
8220	4900	425	75	595
8300	4950	425	69	625
8384	5000	425	73	595
8458	5050	425	64	675
8532	5100	426	63	675
8603	5150	433	61	704
8708	5200	435	82	476
8792	5250	435	63	595
8876	5300	435	70	595
8952	5350	436	65	657
9036	5400	440	73	595
9152	5450	441	97	431
9234	5500	441	66	609
9304	5550	442	62	714
9398	5600	443	75	531
9476	5650	446	63	641
9560	5700	447	70	595
9640	5750	447	70	625
9740	5800	447	90	500
9859	5850	447	108	420
9928	5900	449	61	724
10002	5950	449	59	675
10100	6000	453	88	510
10192	6050	454	63	543
10268	6100	454	58	657
10350	6150	454	59	609
10433	6200	454	69	602
10507	6250	454	60	675
10581	6300	455	61	675
10652	6350	455	61	704
10742	6400	455	71	555
10813	6450	455	61	704
10893	6500	456	62	625
10966	6550	456	61	684
11067	6600	456	72	495
11143	6650	459	61	657
11220	6700	459	62	649
11292	6750	459	62	694
11378	6800	459	71	581
11458	6850	459	63	625
11534	6900	459	62	657
11626	6950	460	67	543
11752	7000	468	88	396
11843	7050	468	80	549
11928	7100	468	73	588
12012	7150	468	71	595
12108	7200	468	80	520
