#Time(ms)	States	Instructions	GC Time	Speed(st/s)
534	50	18	63	0
775	100	37	40	207
865	150	55	34	555
947	200	62	35	609
1006	250	79	27	847
1061	300	109	29	909
1108	350	138	24	1063
1191	400	146	45	602
1245	450	157	35	925
1305	500	171	30	833
1407	550	180	45	490
1463	600	194	33	892
1520	650	202	34	877
1583	700	207	43	793
1651	750	211	50	735
1727	800	214	51	657
1792	850	218	46	769
1839	900	221	34	1063
1887	950	225	37	1041
1944	1000	229	38	877
2003	1050	232	38	847
2060	1100	234	38	877
2127	1150	238	42	746
2187	1200	239	43	833
2260	1250	241	56	684
2318	1300	246	38	862
2375	1350	248	41	877
2435	1400	254	50	833
2507	1450	256	48	694
2563	1500	258	45	892
2611	1550	263	38	1041
2675	1600	266	49	781
2745	1650	266	59	714
2815	1700	271	59	714
2875	1750	271	43	833
2930	1800	281	46	909
2978	1850	281	39	1041
3031	1900	285	44	943
3087	1950	287	47	892
3144	2000	291	48	877
3199	2050	294	45	909
3255	2100	296	49	892
3324	2150	301	62	724
3387	2200	301	51	793
3443	2250	306	44	892
3498	2300	310	42	909
3555	2350	310	49	877
3620	2400	316	52	769
3679	2450	324	42	847
3735	2500	324	43	892
3799	2550	326	54	781
3859	2600	338	48	833
3931	2650	338	58	694
3991	2700	344	45	833
4051	2750	344	48	833
4123	2800	354	51	694
4207	2850	354	63	595
4263	2900	358	46	892
4323	2950	358	50	833
4399	3000	364	58	657
4467	3050	364	57	735
4575	3100	372	92	462
4635	3150	372	52	833
4715	3200	373	61	625
4775	3250	376	48	833
4851	3300	378	54	657
4931	3350	381	65	625
5007	3400	381	61	657
5109	3450	382	80	490
5191	3500	382	72	609
5255	3550	390	51	781
5323	3600	392	58	735
5387	3650	393	55	781
5455	3700	393	58	735
5555	3750	394	90	500
5623	3800	402	57	735
5694	3850	405	55	704
5771	3900	405	54	649
5843	3950	409	54	694
5915	4000	409	62	694
5987	4050	409	62	694
6063	4100	413	63	657
6135	4150	413	58	694
6231	4200	413	87	520
6305	4250	414	56	675
6388	4300	414	58	602
6466	4350	414	58	641
6549	4400	417	66	602
6616	4450	418	56	746
6691	4500	418	61	666
6783	4550	418	80	543
6866	4600	418	71	602
6937	4650	418	62	704
7011	4700	421	61	675
7087	4750	424	63	657
7171	4800	424	71	595
7247	4850	425	65	657
7319	4900	425	63	694
7438	4950	425	108	420
7519	5000	425	70	617
7595	5050	425	65	657
7666	5100	425	55	704
7740	5150	426	53	675
7828	5200	435	61	568
7919	5250	435	68	549
7995	5300	435	64	657
8075	5350	436	71	625
8187	5400	436	102	446
8271	5450	441	63	595
8355	5500	441	75	595
8434	5550	442	67	632
8519	5600	442	76	588
8595	5650	443	67	657
