#Time(ms)	States	Instructions	GC Time	Speed(st/s)
346	50	18	54	0
569	100	37	40	224
655	150	55	34	581
741	200	62	38	581
809	250	79	31	735
862	300	109	25	943
917	350	138	30	909
984	400	146	36	746
1035	450	157	35	980
1088	500	171	36	943
1178	550	180	38	555
1229	600	194	36	980
1297	650	202	46	735
1361	700	207	42	781
1429	750	211	46	735
1501	800	214	46	694
1561	850	218	34	833
1621	900	221	41	833
1667	950	225	34	1086
1729	1000	229	41	806
1777	1050	232	35	1041
1838	1100	234	44	819
1915	1150	238	55	649
1973	1200	239	46	862
2038	1250	241	39	769
2091	1300	246	41	943
2145	1350	248	39	925
2200	1400	254	45	909
2261	1450	256	42	819
2313	1500	258	41	961
2365	1550	263	40	961
2417	1600	266	41	961
2468	1650	267	39	980
2525	1700	271	41	877
2584	1750	271	48	847
2637	1800	281	43	943
2685	1850	281	40	1041
2736	1900	285	42	980
2805	1950	287	52	724
2861	2000	293	45	892
2925	2050	294	50	781
2989	2100	296	47	781
3045	2150	301	48	892
3121	2200	301	65	657
3181	2250	306	48	833
3237	2300	310	42	892
3309	2350	310	59	694
3369	2400	316	48	833
3452	2450	324	72	602
3521	2500	325	56	724
3585	2550	326	43	781
3649	2600	338	50	781
3713	2650	338	51	781
3781	2700	344	53	735
3849	2750	344	54	735
3913	2800	354	52	781
3981	2850	354	56	735
4041	2900	358	50	833
4101	2950	358	50	833
4169	3000	364	54	735
4237	3050	364	60	735
4313	3100	372	52	657
4369	3150	372	48	892
4453	3200	373	74	595
4517	3250	376	53	781
4593	3300	378	61	657
4657	3350	381	55	781
4729	3400	382	64	694
4793	3450	382	52	781
4860	3500	382	57	746
4960	3550	390	87	500
5037	3600	392	66	649
5113	3650	393	58	657
5181	3700	393	59	735
5245	3750	394	54	781
5330	3800	402	71	588
5397	3850	405	55	746
5474	3900	405	63	649
5540	3950	409	56	757
5610	4000	409	60	714
5677	4050	409	58	746
5749	4100	413	61	694
5821	4150	413	62	694
5897	4200	413	67	657
6005	4250	414	97	462
6077	4300	414	60	694
6145	4350	414	58	735
6225	4400	417	66	625
6296	4450	418	60	704
6365	4500	418	60	724
6437	4550	418	63	694
6512	4600	418	66	666
6580	4650	418	58	735
6659	4700	420	54	632
6729	4750	424	52	714
6833	4800	424	70	480
6913	4850	425	66	625
6993	4900	425	67	625
7108	4950	425	104	434
7193	5000	425	67	588
7270	5050	425	59	649
7353	5100	425	63	602
7425	5150	426	61	694
7521	5200	435	73	520
7601	5250	435	66	625
7677	5300	435	64	657
7761	5350	435	67	595
7846	5400	436	73	588
7953	5450	441	97	467
8025	5500	441	62	694
8105	5550	442	70	625
8189	5600	442	75	595
8268	5650	443	69	632
8357	5700	446	70	561
8433	5750	447	67	657
8529	5800	447	82	520
8609	5850	447	71	625
8734	5900	449	115	400
8860	5950	449	118	396
8945	6000	449	74	588
9020	6050	453	67	666
9101	6100	454	71	617
9181	6150	454	70	625
9265	6200	454	75	595
9349	6250	454	73	595
9425	6300	454	66	657
9505	6350	455	70	625
9661	6400	455	139	320
9745	6450	455	71	595
9821	6500	455	67	657
9913	6550	456	76	543
10013	6600	456	87	500
10097	6650	456	72	595
10177	6700	457	71	625
10261	6750	459	69	595
10349	6800	459	79	568
10445	6850	459	76	520
10529	6900	459	75	595
10693	6950	463	129	304
10801	7000	463	99	462
10905	7050	468	83	480
10989	7100	468	74	595
11077	7150	468	71	568
11173	7200	468	81	520
11265	7250	468	77	543
11349	7300	468	73	595
11441	7350	468	81	543
11533	7400	471	81	543
11617	7450	478	76	595
11716	7500	482	76	505
11805	7550	482	77	561
11901	7600	482	86	520
11985	7650	482	74	595
12073	7700	482	78	568
12169	7750	482	86	520
12269	7800	488	89	500
12365	7850	488	86	520
12461	7900	495	87	520
12553	7950	497	82	543
12645	8000	497	83	543
12741	8050	498	85	520
12829	8100	498	80	568
12973	8150	499	132	347
13137	8200	499	154	304
13282	8250	507	134	344
13389	8300	507	96	467
13482	8350	513	83	537
13593	8400	520	86	450
13685	8450	520	76	543
13793	8500	523	98	462
13881	8550	523	78	568
13985	8600	523	94	480
14102	8650	523	106	427
14189	8700	529	79	574
14281	8750	538	83	543
14381	8800	538	90	500
14468	8850	541	71	574
14552	8900	543	70	595
14631	8950	544	70	632
14741	9000	548	90	454
14833	9050	548	84	543
14945	9100	549	103	446
15101	9150	549	147	320
15205	9200	551	93	480
15293	9250	560	78	568
15385	9300	566	84	543
15481	9350	566	85	520
15581	9400	566	92	500
15674	9450	569	84	537
15769	9500	577	81	526
15864	9550	577	86	526
15967	9600	583	86	485
16050	9650	583	72	602
16134	9700	583	74	595
16226	9750	586	74	543
16337	9800	589	92	450
16435	9850	590	80	510
16525	9900	590	74	555
16612	9950	595	76	574
16706	10000	595	86	531
16795	10050	595	74	561
16908	10100	602	86	442
17013	10150	602	91	476
17114	10200	602	88	495
17229	10250	615	94	434
17333	10300	615	91	480
