#Time(ms)	States	Instructions	GC Time	Speed(st/s)
347	50	18	62	0
554	100	37	34	241
642	150	55	32	568
718	200	62	35	657
788	250	79	33	714
848	300	109	31	833
914	350	138	41	757
986	400	146	36	694
1034	450	157	34	1041
1100	500	171	33	757
1198	550	180	35	510
1259	600	194	42	819
1322	650	202	42	793
1388	700	207	43	757
1448	750	211	47	833
1514	800	214	37	757
1565	850	218	35	980
1614	900	221	33	1020
1670	950	225	35	892
1742	1000	229	50	694
1798	1050	232	37	892
1862	1100	234	40	781
1926	1150	238	38	781
1989	1200	239	42	793
2045	1250	241	40	892
2094	1300	246	38	1020
2154	1350	248	42	833
2203	1400	254	39	1020
2274	1450	256	47	704
2336	1500	258	51	806
2382	1550	263	37	1086
2458	1600	266	46	657
2510	1650	267	39	961
2564	1700	271	39	925
2647	1750	271	67	602
2706	1800	281	47	847
2758	1850	281	42	961
2810	1900	285	41	961
2862	1950	287	42	961
2922	2000	293	48	833
3006	2050	294	63	595
3062	2100	296	45	892
3120	2150	301	50	862
3185	2200	301	47	769
3247	2250	306	44	806
3310	2300	310	47	793
3366	2350	310	44	892
3426	2400	316	47	833
3490	2450	324	53	781
3558	2500	325	56	735
3614	2550	326	45	892
3690	2600	338	57	657
3766	2650	338	66	657
3828	2700	344	49	806
3903	2750	344	51	666
3968	2800	354	52	769
4030	2850	354	49	806
4090	2900	358	50	833
4154	2950	358	54	781
4222	3000	364	54	735
4282	3050	364	52	833
4346	3100	372	56	781
4402	3150	372	48	892
4466	3200	373	54	781
4538	3250	376	51	694
4642	3300	378	87	480
4710	3350	381	58	735
4778	3400	382	56	735
4858	3450	382	59	625
4925	3500	382	53	746
4998	3550	390	59	684
5070	3600	392	60	694
5150	3650	393	68	625
5214	3700	393	53	781
5313	3750	394	87	505
5390	3800	402	60	649
5462	3850	405	58	694
5545	3900	405	71	602
5609	3950	409	54	781
5681	4000	409	57	694
5762	4050	409	56	617
5837	4100	413	50	666
5918	4150	413	55	617
5994	4200	413	66	657
6074	4250	414	65	625
6158	4300	414	71	595
6238	4350	414	69	625
6318	4400	417	69	625
6390	4450	418	60	694
6458	4500	418	57	735
6530	4550	418	61	694
6654	4600	418	113	403
6758	4650	418	94	480
6830	4700	420	59	694
6914	4750	424	73	595
6997	4800	424	68	602
7078	4850	425	63	617
7154	4900	425	65	657
7226	4950	425	61	694
7314	5000	425	73	568
7394	5050	425	68	625
7466	5100	425	62	694
7542	5150	426	65	657
7684	5200	435	122	352
7778	5250	435	84	531
7854	5300	435	63	657
7934	5350	435	69	625
8018	5400	436	72	595
8106	5450	441	70	568
8186	5500	441	69	625
8262	5550	442	65	657
8346	5600	442	74	595
8426	5650	443	69	625
8550	5700	446	111	403
8638	5750	447	77	568
8726	5800	447	76	568
8802	5850	447	66	657
8883	5900	449	65	617
8958	5950	449	66	666
9062	6000	449	83	480
9138	6050	453	67	657
9218	6100	454	68	625
9302	6150	454	73	595
9444	6200	454	131	352
9542	6250	454	82	510
9622	6300	454	69	625
9710	6350	455	78	568
9806	6400	455	82	520
9892	6450	455	72	581
9971	6500	455	69	632
10058	6550	456	69	574
10162	6600	456	83	480
10258	6650	456	79	520
10342	6700	457	74	595
10438	6750	459	84	520
10534	6800	459	87	520
10618	6850	459	69	595
10699	6900	459	71	617
10818	6950	463	81	420
10958	7000	463	130	357
11050	7050	468	73	543
11137	7100	468	76	574
11218	7150	468	70	617
11310	7200	468	80	543
11395	7250	468	71	588
11483	7300	468	71	568
11590	7350	471	79	467
11686	7400	471	81	520
11766	7450	478	70	625
11854	7500	482	72	568
11934	7550	482	71	625
12046	7600	482	87	446
12126	7650	482	71	625
12222	7700	482	79	520
12318	7750	482	87	520
12422	7800	488	90	480
12510	7850	488	78	568
12594	7900	495	74	595
12682	7950	497	78	568
12844	8000	497	152	308
12986	8050	498	132	352
13136	8100	498	140	333
13246	8150	499	98	454
13346	8200	499	90	500
13434	8250	507	76	568
13526	8300	510	83	543
13614	8350	519	78	568
13767	8400	520	119	326
13862	8450	520	86	526
13951	8500	523	77	561
14042	8550	523	78	549
14158	8600	523	95	431
14266	8650	524	100	462
14408	8700	536	130	352
14510	8750	538	88	490
14614	8800	541	90	480
14702	8850	543	77	568
14794	8900	544	83	543
14900	8950	548	96	471
14994	9000	548	85	531
15081	9050	549	70	574
15161	9100	549	70	625
15262	9150	560	80	495
15370	9200	560	94	462
15455	9250	566	70	588
15558	9300	566	79	485
15654	9350	567	83	520
15754	9400	575	89	500
15846	9450	577	82	543
15966	9500	581	111	416
16054	9550	583	74	568
16147	9600	583	82	537
16231	9650	586	72	595
16315	9700	586	73	595
16396	9750	590	72	617
16491	9800	590	84	526
16576	9850	591	73	588
16661	9900	595	73	588
16757	9950	595	76	520
16856	10000	597	86	505
16948	10050	602	74	543
17062	10100	602	89	438
17162	10150	615	92	500
17270	10200	615	95	462
17378	10250	623	85	462
17486	10300	624	82	462
17606	10350	624	97	416
17725	10400	626	98	420
17842	10450	627	90	427
17942	10500	627	91	500
18032	10550	630	77	555
18170	10600	630	109	362
18274	10650	632	94	480
18404	10700	636	116	384
18500	10750	637	86	520
18604	10800	645	89	480
18692	10850	648	77	568
18775	10900	648	75	602
18890	10950	649	88	434
18998	11000	650	98	462
19104	11050	650	88	471
19199	11100	655	79	526
19284	11150	655	77	588
19400	11200	656	93	431
19491	11250	656	78	549
19583	11300	663	77	543
19674	11350	670	79	549
19794	11400	670	99	416
19890	11450	670	87	520
20006	11500	671	94	431
20099	11550	671	83	537
20222	11600	671	100	406
20330	11650	672	93	462
20453	11700	674	113	406
20554	11750	675	89	495
20660	11800	675	96	471
20749	11850	682	80	561
20842	11900	687	81	537
20939	11950	687	80	515
21058	12000	687	98	420
21170	12050	690	91	446
21266	12100	700	87	520
21379	12150	700	104	442
21503	12200	701	106	403
21596	12250	703	83	537
21687	12300	703	82	549
21779	12350	704	83	543
21882	12400	704	95	485
21977	12450	710	82	526
22075	12500	711	84	510
22168	12550	711	85	537
22272	12600	718	96	480
22365	12650	720	83	537
22460	12700	720	84	526
22553	12750	721	84	537
22663	12800	721	99	454
22756	12850	721	84	537
22850	12900	723	85	531
22947	12950	723	86	515
23056	13000	723	98	458
23150	13050	728	85	531
23248	13100	728	87	510
23341	13150	728	85	537
23477	13200	736	118	367
23580	13250	739	93	485
23675	13300	739	86	526
23790	13350	739	96	434
23908	13400	743	109	423
24006	13450	743	86	510
24103	13500	744	87	515
24202	13550	744	90	505
24315	13600	744	101	442
24409	13650	745	86	531
24506	13700	747	87	515
24605	13750	747	88	505
24717	13800	747	103	446
24813	13850	747	88	520
24913	13900	760	88	500
25018	13950	760	90	476
25133	14000	760	104	434
25235	14050	762	91	490
25335	14100	762	89	500
25432	14150	762	89	515
25614	14200	783	125	274
25722	14250	783	98	462
25830	14300	783	99	462
25934	14350	783	96	480
26066	14400	783	121	378
26178	14450	783	102	446
26289	14500	783	101	450
26402	14550	784	103	442
26602	14600	784	190	250
26707	14650	784	96	476
26807	14700	785	91	500
26922	14750	785	93	434
27054	14800	785	115	378
27170	14850	788	101	431
27290	14900	788	110	416
27441	14950	788	142	331
27561	15000	788	111	416
27669	15050	788	96	462
27771	15100	788	93	490
27879	15150	788	95	462
28003	15200	788	110	403
28130	15250	788	103	393
28242	15300	788	103	446
28358	15350	788	106	431
28490	15400	790	122	378
28602	15450	790	102	446
28718	15500	790	107	431
28838	15550	790	109	416
29034	15600	790	187	255
29153	15650	790	107	420
