#Time(ms)	States	Instructions	GC Time	Speed(st/s)
327	50	18	60	0
565	100	37	30	210
668	150	55	43	485
764	200	62	51	520
837	250	79	36	684
897	300	109	27	833
953	350	138	29	892
1017	400	146	29	781
1073	450	157	32	892
1123	500	171	30	1000
1205	550	180	29	609
1261	600	194	33	892
1333	650	202	41	694
1409	700	207	50	657
1468	750	211	45	847
1548	800	214	48	625
1603	850	218	38	909
1654	900	221	34	980
1716	950	225	38	806
1769	1000	229	39	943
1821	1050	232	39	961
1893	1100	234	53	694
1957	1150	238	38	781
2029	1200	239	52	694
2089	1250	241	40	833
2145	1300	246	43	892
2209	1350	248	46	781
2269	1400	254	47	833
2337	1450	256	50	735
2401	1500	258	49	781
2451	1550	263	40	1000
2513	1600	266	43	806
2573	1650	267	50	833
2629	1700	271	45	892
2689	1750	271	50	833
2749	1800	281	50	833
2797	1850	281	40	1041
2861	1900	285	52	781
2917	1950	287	47	892
2977	2000	293	51	833
3035	2050	294	44	862
3085	2100	296	42	1000
3160	2150	301	66	666
3257	2200	301	82	515
3313	2250	306	43	892
3373	2300	310	47	833
3433	2350	310	50	833
3501	2400	316	50	735
3561	2450	324	50	833
3635	2500	325	62	675
3693	2550	326	46	862
3769	2600	338	58	657
3825	2650	338	44	892
3905	2700	344	59	625
3977	2750	344	58	694
4057	2800	354	61	625
4125	2850	354	55	735
4193	2900	358	54	735
4257	2950	358	52	781
4363	3000	364	90	471
4432	3050	364	59	724
4498	3100	372	49	757
4557	3150	372	49	847
4625	3200	373	54	735
4697	3250	374	54	694
4773	3300	378	57	657
4833	3350	381	51	833
4921	3400	382	79	568
4985	3450	382	51	781
5045	3500	382	51	833
5113	3550	390	53	735
5185	3600	392	60	694
5249	3650	393	54	781
5317	3700	393	58	735
5389	3750	394	61	694
5473	3800	401	68	595
5537	3850	405	53	781
5645	3900	405	88	462
5751	3950	409	96	471
5837	4000	409	75	581
5905	4050	409	58	735
5981	4100	413	59	657
6049	4150	413	58	735
6137	4200	413	78	568
6215	4250	414	56	641
6301	4300	414	63	581
6373	4350	414	62	694
6453	4400	417	69	625
6525	4450	418	61	694
6609	4500	418	73	595
6681	4550	418	61	694
6765	4600	418	73	595
6837	4650	418	61	694
6961	4700	418	102	403
7065	4750	424	95	480
7149	4800	424	66	595
7219	4850	425	57	714
7309	4900	425	63	555
7389	4950	425	65	625
7473	5000	425	75	595
7561	5050	425	75	568
7653	5100	425	81	543
7730	5150	426	60	649
7825	5200	433	68	526
7905	5250	435	66	625
7986	5300	435	69	617
8061	5350	435	65	666
8149	5400	436	77	568
8241	5450	440	78	543
8329	5500	441	76	568
8448	5550	442	108	420
8541	5600	442	79	537
8661	5650	443	109	416
8796	5700	446	114	370
8881	5750	447	76	588
8977	5800	447	74	520
9072	5850	447	82	526
9153	5900	449	69	617
9229	5950	449	66	657
9325	6000	449	85	520
9409	6050	453	74	595
9493	6100	454	73	595
9573	6150	454	69	625
9660	6200	454	78	574
9739	6250	454	61	632
9841	6300	454	77	490
9922	6350	455	62	617
10025	6400	455	78	485
10121	6450	455	75	520
10200	6500	455	68	632
10289	6550	456	71	561
10385	6600	456	80	520
10465	6650	456	70	625
10553	6700	459	77	568
10685	6750	459	122	378
10841	6800	459	145	320
10935	6850	459	81	531
11021	6900	459	74	581
11101	6950	459	71	625
11225	7000	464	86	403
11313	7050	468	76	568
11417	7100	468	91	480
11509	7150	468	81	543
11621	7200	468	96	446
11721	7250	468	90	500
11805	7300	468	73	595
11897	7350	468	81	543
11997	7400	475	91	500
12133	7450	482	124	367
12276	7500	482	125	349
12405	7550	482	118	387
12501	7600	482	87	520
12597	7650	482	85	520
12725	7700	482	116	390
12813	7750	482	76	568
12905	7800	489	84	543
13001	7850	495	78	520
13085	7900	497	76	595
13173	7950	497	77	568
13269	8000	498	86	520
13361	8050	498	81	543
13449	8100	499	79	568
13537	8150	499	77	568
13633	8200	499	86	520
13785	8250	505	141	328
13905	8300	520	110	416
13993	8350	520	79	568
14101	8400	520	87	462
14193	8450	523	76	543
14297	8500	523	82	480
14385	8550	523	78	568
14481	8600	529	87	520
14613	8650	530	111	378
14697	8700	531	76	595
14789	8750	541	82	543
14897	8800	541	95	462
14993	8850	542	86	520
15081	8900	548	79	568
15165	8950	549	75	595
15269	9000	549	93	480
15353	9050	550	76	595
15449	9100	550	82	520
15536	9150	550	78	574
15713	9200	558	166	282
15829	9250	566	105	431
15917	9300	567	78	568
16009	9350	569	81	543
16105	9400	575	87	520
16201	9450	577	86	520
16288	9500	579	77	574
16385	9550	579	83	515
16501	9600	583	96	431
16601	9650	583	91	500
16705	9700	589	89	480
16801	9750	589	86	520
16909	9800	590	98	462
17005	9850	591	86	520
17152	9900	591	139	340
17317	9950	595	153	303
17491	10000	602	163	287
17608	10050	602	108	427
17729	10100	602	96	413
17833	10150	606	96	480
17953	10200	614	104	416
18049	10250	623	83	520
18153	10300	624	83	480
18261	10350	624	83	462
18409	10400	625	130	337
18525	10450	625	98	431
18633	10500	625	97	462
18749	10550	629	97	431
18853	10600	629	95	480
19009	10650	630	134	320
19104	10700	632	80	526
19209	10750	636	88	476
19329	10800	640	103	416
19438	10850	643	97	458
19533	10900	643	86	526
19669	10950	648	104	367
19815	11000	649	137	342
19914	11050	649	89	505
20037	11100	650	94	406
20149	11150	650	95	446
20275	11200	651	96	396
20405	11250	656	96	384
20546	11300	659	129	354
20657	11350	663	90	450
20763	11400	663	92	471
20868	11450	663	90	476
20968	11500	670	89	500
21073	11550	671	93	476
21195	11600	671	108	409
21309	11650	671	91	438
21409	11700	672	90	500
21529	11750	674	105	416
21648	11800	674	107	420
21744	11850	674	82	520
21845	11900	681	80	495
21944	11950	682	84	505
22055	12000	682	96	450
22151	12050	682	81	520
22246	12100	687	82	526
22339	12150	697	82	537
22448	12200	697	94	458
22545	12250	698	83	515
22639	12300	702	84	531
22730	12350	702	83	549
22838	12400	702	97	462
22937	12450	703	84	505
23034	12500	703	83	515
23129	12550	708	84	526
23241	12600	709	99	446
23335	12650	709	85	531
23449	12700	710	93	438
23561	12750	711	93	446
23693	12800	711	123	378
23794	12850	712	87	495
23892	12900	720	87	510
24005	12950	720	95	442
24133	13000	720	117	390
24289	13050	721	140	320
24390	13100	721	92	495
24491	13150	725	87	495
24603	13200	727	102	446
24704	13250	727	89	495
24799	13300	727	87	526
24918	13350	728	99	420
25044	13400	728	108	396
25145	13450	728	88	495
25246	13500	728	89	495
25352	13550	739	89	471
25468	13600	739	104	431
25568	13650	740	89	500
25669	13700	744	90	495
25774	13750	744	92	476
25885	13800	747	104	450
25988	13850	747	91	485
26095	13900	747	92	467
26199	13950	747	90	480
26313	14000	747	105	438
26424	14050	747	93	450
26532	14100	747	92	462
26642	14150	747	95	454
26778	14200	747	109	367
26881	14250	760	91	485
26984	14300	760	92	485
27101	14350	771	100	427
27269	14400	781	125	297
27381	14450	783	102	446
27490	14500	783	100	458
27601	14550	783	103	450
27733	14600	783	121	378
27861	14650	783	112	390
27981	14700	783	110	416
28101	14750	783	109	416
28309	14800	783	196	240
28419	14850	783	101	454
28523	14900	784	95	480
28635	14950	785	97	446
28760	15000	785	113	400
28863	15050	785	95	485
28976	15100	788	97	442
29086	15150	788	98	454
29209	15200	788	114	406
29316	15250	788	96	467
29429	15300	788	98	442
29538	15350	788	99	458
29689	15400	788	127	331
29821	15450	788	112	378
29941	15500	788	108	416
30141	15550	788	179	250
30276	15600	790	120	370
30390	15650	790	100	438
30499	15700	790	99	458
30607	15750	790	98	462
30732	15800	790	115	400
30843	15850	790	100	450
30955	15900	790	100	446
31089	15950	790	113	373
31223	16000	791	122	373
31334	16050	791	100	450
31460	16100	791	108	396
31566	16150	791	99	471
31705	16200	791	120	359
31834	16250	791	104	387
31947	16300	791	101	442
32056	16350	791	100	458
32221	16400	791	134	303
32349	16450	791	115	390
32473	16500	791	112	403
32589	16550	791	108	431
32737	16600	791	127	337
32877	16650	791	120	357
32997	16700	791	111	416
33117	16750	791	111	416
33265	16800	791	130	337
33417	16850	791	132	328
33626	16900	791	199	239
33842	16950	791	203	231
34101	17000	791	239	193
34321	17050	791	209	227
34509	17100	791	177	265
34640	17150	791	121	381
34799	17200	791	139	314
34916	17250	791	105	427
35028	17300	791	104	446
35145	17350	791	106	427
35311	17400	791	137	301
35445	17450	791	114	373
35569	17500	791	116	403
35753	17550	791	167	271
35900	17600	791	125	340
36016	17650	791	106	431
36130	17700	791	105	438
36277	17750	791	120	340
36425	17800	791	136	337
36553	17850	791	118	390
36677	17900	791	116	403
36803	17950	791	112	396
36944	18000	791	126	354
37063	18050	791	108	420
37180	18100	791	106	427
37327	18150	791	115	340
37463	18200	793	125	367
37583	18250	793	109	416
37698	18300	793	107	434
37827	18350	793	113	387
37965	18400	793	126	362
38083	18450	793	108	423
38212	18500	793	109	387
38345	18550	793	113	375
38486	18600	793	128	354
38605	18650	793	109	420
38720	18700	793	108	434
38852	18750	793	113	378
39021	18800	793	139	295
39153	18850	793	121	378
39285	18900	794	124	378
39421	18950	796	121	367
39585	19000	796	142	304
39725	19050	805	126	357
39881	19100	805	142	320
40121	19150	805	222	208
40413	19200	805	261	171
40613	19250	805	175	250
40745	19300	805	121	378
40961	19350	805	208	231
41201	19400	805	223	208
41429	19450	805	204	219
41657	19500	805	212	219
41873	19550	805	207	231
42117	19600	805	235	204
42357	19650	805	217	208
42585	19700	805	217	219
42821	19750	805	226	211
43061	19800	805	232	208
43291	19850	805	210	217
43521	19900	805	213	217
43749	19950	808	216	219
43989	20000	808	230	208
44205	20050	811	205	231
44369	20100	811	131	304
44553	20150	811	168	271
44841	20200	812	265	173
45067	20250	812	217	221
45322	20300	815	228	196
45572	20350	815	228	200
45864	20400	815	266	171
46111	20450	815	234	202
46336	20500	815	217	222
46603	20550	815	237	187
46895	20600	815	263	171
47104	20650	815	185	239
47261	20700	815	139	318
47393	20750	815	124	378
47573	20800	815	152	277
47715	20850	815	126	352
47933	20900	815	195	229
48077	20950	815	125	347
48225	21000	818	140	337
48377	21050	818	128	328
48537	21100	819	131	312
48705	21150	822	146	297
48873	21200	825	157	297
49005	21250	825	125	378
49173	21300	825	142	297
49433	21350	825	245	192
49685	21400	825	237	198
49830	21450	825	134	344
49956	21500	826	118	396
50094	21550	826	123	362
50249	21600	826	141	322
50384	21650	826	122	370
50527	21700	826	125	349
50657	21750	826	120	384
50807	21800	826	139	333
50954	21850	826	125	340
51086	21900	826	121	378
51227	21950	826	125	354
51376	22000	826	139	335
51506	22050	826	120	384
51647	22100	826	125	354
51785	22150	826	124	362
51961	22200	834	146	284
52094	22250	834	122	375
52221	22300	837	119	393
52360	22350	837	124	359
52519	22400	837	144	314
52664	22450	838	126	344
52808	22500	838	126	347
52940	22550	838	121	378
53093	22600	843	142	326
53280	22650	843	142	267
53429	22700	843	135	335
53593	22750	843	138	304
53753	22800	843	150	312
53935	22850	843	157	274
54173	22900	843	213	210
54449	22950	843	252	181
54661	23000	843	186	235
54886	23050	843	214	222
55097	23100	843	203	236
55333	23150	843	207	211
55577	23200	843	223	204
55813	23250	843	216	211
56065	23300	847	214	198
56289	23350	847	213	223
56565	23400	848	253	181
56817	23450	848	223	198
57057	23500	848	221	208
57301	23550	848	219	204
57553	23600	848	232	198
57763	23650	848	202	238
57937	23700	848	150	287
58117	23750	848	163	277
58427	23800	851	295	161
58717	23850	851	265	172
58980	23900	851	252	190
59244	23950	852	250	189
59568	24000	852	303	154
59850	24050	852	263	177
60017	24100	852	143	299
60164	24150	852	133	340
60318	24200	852	146	324
60464	24250	852	130	342
60615	24300	852	132	331
60763	24350	852	130	337
60951	24400	855	157	265
61088	24450	855	127	364
61222	24500	855	126	373
61373	24550	855	133	331
61581	24600	855	165	240
61749	24650	855	143	297
61917	24700	855	142	297
62065	24750	855	138	337
62233	24800	856	157	297
62425	24850	856	163	260
62701	24900	856	257	181
62986	24950	860	268	175
63229	25000	860	219	205
63381	25050	860	141	328
63625	25100	861	232	204
63889	25150	861	240	189
64161	25200	861	248	183
64413	25250	861	228	198
64681	25300	861	239	186
64933	25350	861	241	198
65209	25400	861	268	181
65485	25450	861	250	181
65761	25500	861	248	181
66033	25550	861	252	183
66333	25600	866	260	166
66597	25650	866	238	189
66837	25700	866	230	208
67005	25750	866	146	297
67221	25800	866	181	231
67509	25850	866	262	173
67821	25900	866	276	160
68087	25950	866	255	187
68405	26000	866	306	157
68692	26050	867	263	174
68993	26100	867	270	166
69284	26150	869	265	171
69499	26200	869	187	232
69669	26250	869	149	294
69817	26300	869	140	337
69964	26350	869	133	340
70141	26400	869	159	282
70301	26450	869	138	312
70461	26500	871	139	312
70615	26550	871	138	324
70778	26600	871	152	306
70927	26650	871	135	335
71086	26700	871	139	314
71258	26750	871	145	290
71461	26800	871	166	246
71629	26850	883	145	297
71779	26900	883	139	333
71945	26950	883	150	301
72149	27000	883	178	245
72405	27050	883	226	195
72705	27100	883	275	166
72885	27150	883	160	277
73141	27200	883	244	195
73361	27250	883	212	227
73601	27300	883	215	208
73841	27350	883	207	208
74105	27400	886	235	189
74349	27450	886	216	204
74589	27500	886	220	208
74825	27550	886	227	211
75093	27600	886	249	186
75357	27650	886	235	189
75617	27700	887	234	192
75865	27750	887	227	201
76141	27800	887	254	181
76373	27850	887	221	215
76613	27900	887	220	208
76853	27950	887	214	208
77065	28000	887	176	235
77245	28050	887	161	277
77537	28100	893	272	171
77816	28150	893	268	179
78140	28200	893	316	154
78437	28250	893	268	168
78754	28300	893	282	157
79021	28350	893	241	187
79225	28400	893	179	245
79380	28450	895	141	322
79523	28500	895	134	349
79681	28550	895	141	316
79868	28600	895	168	267
80030	28650	895	142	308
80192	28700	899	138	308
80356	28750	899	144	304
80527	28800	899	160	292
80672	28850	899	136	344
80830	28900	899	141	316
81021	28950	899	155	261
81225	29000	903	175	245
81385	29050	904	147	312
81565	29100	904	153	277
81733	29150	904	148	297
81913	29200	904	172	277
82101	29250	904	160	265
82297	29300	904	159	255
82521	29350	904	209	223
82833	29400	904	284	160
83061	29450	911	207	219
83265	29500	911	194	245
83469	29550	911	194	245
83721	29600	911	214	198
83961	29650	911	202	208
84177	29700	911	203	231
84409	29750	913	209	215
84649	29800	913	226	208
84873	29850	913	215	223
85101	29900	913	213	219
85333	29950	913	204	215
85597	30000	913	234	189
85825	30050	913	204	219
86065	30100	913	205	208
86277	30150	913	201	235
86517	30200	913	232	208
86749	30250	913	208	215
86985	30300	913	199	211
87177	30350	913	159	260
87421	30400	917	208	204
87745	30450	917	288	154
88043	30500	917	277	167
88316	30550	917	266	183
88717	30600	917	353	124
89046	30650	917	289	151
89359	30700	917	283	159
89689	30750	917	297	151
89941	30800	922	227	198
90128	30850	922	163	267
90275	30900	922	140	340
90447	30950	922	149	290
90648	31000	922	176	248
90817	31050	922	148	295
90980	31100	922	147	306
91145	31150	924	147	303
91329	31200	924	166	271
91477	31250	924	139	337
91649	31300	924	149	290
91830	31350	924	154	276
92022	31400	924	173	260
92184	31450	924	146	308
92353	31500	924	149	295
92507	31550	924	143	324
92683	31600	924	166	284
92858	31650	924	151	285
93034	31700	924	153	284
93214	31750	924	151	277
93421	31800	932	178	241
93609	31850	932	162	265
93789	31900	932	160	277
93961	31950	932	161	290
94165	32000	932	183	245
94507	32050	932	306	146
94685	32100	932	153	280
94851	32150	932	148	301
95046	32200	932	175	256
95210	32250	935	148	304
95367	32300	935	145	318
