#Time(ms)	States	Instructions	GC Time	Speed(st/s)
354	50	18	59	0
569	100	37	41	232
652	150	55	28	602
734	200	62	38	609
790	250	79	29	892
846	300	109	31	892
907	350	138	30	819
979	400	146	37	694
1034	450	157	39	909
1089	500	171	39	909
1174	550	180	30	588
1247	600	194	54	684
1308	650	202	38	819
1374	700	207	36	757
1434	750	211	39	833
1502	800	214	35	735
1578	850	218	50	657
1642	900	221	47	781
1713	950	225	50	704
1794	1000	229	58	617
1856	1050	232	48	806
1938	1100	234	53	609
2015	1150	238	55	649
2098	1200	239	64	602
2165	1250	241	52	746
2241	1300	246	53	657
2315	1350	248	45	675
2374	1400	254	40	847
2464	1450	256	53	555
2530	1500	258	39	757
2602	1550	263	49	694
2674	1600	266	59	694
2741	1650	266	52	746
2795	1700	271	39	925
2854	1750	271	42	847
2914	1800	281	49	833
2965	1850	281	42	980
3019	1900	285	39	925
3072	1950	287	44	943
3125	2000	291	43	943
3176	2050	294	39	980
3230	2100	296	45	925
3286	2150	301	48	892
3358	2200	301	61	694
3418	2250	306	47	833
3476	2300	310	41	862
3534	2350	310	48	862
3617	2400	316	69	602
3676	2450	324	45	847
3737	2500	324	49	819
3794	2550	326	44	877
3882	2600	338	59	568
3966	2650	338	55	595
4054	2700	344	57	568
4146	2750	344	51	543
4222	2800	354	51	657
4298	2850	354	48	657
4370	2900	358	51	694
4430	2950	358	47	833
4490	3000	364	50	833
4558	3050	364	53	735
4618	3100	372	49	833
4694	3150	372	59	657
4762	3200	373	55	735
4838	3250	376	55	657
4922	3300	378	66	595
4994	3350	381	52	694
5078	3400	381	68	595
5162	3450	382	65	595
5231	3500	382	57	724
5310	3550	390	57	632
5394	3600	392	63	595
5462	3650	393	57	735
5546	3700	393	66	595
5647	3750	394	86	495
5762	3800	402	94	434
5868	3850	405	86	471
5978	3900	405	92	454
6086	3950	409	95	462
6162	4000	409	59	657
6245	4050	409	54	602
6330	4100	413	59	588
6414	4150	413	69	595
6504	4200	413	67	555
6582	4250	414	60	641
6654	4300	414	57	694
6749	4350	414	73	526
6838	4400	417	66	561
6918	4450	418	58	625
6998	4500	418	58	625
7086	4550	418	67	568
7206	4600	418	107	416
7286	4650	418	59	625
7362	4700	424	58	657
7446	4750	424	60	595
7538	4800	424	75	543
7614	4850	425	62	657
7698	4900	425	64	595
7818	4950	425	98	416
7910	5000	425	70	543
7984	5050	425	60	675
8066	5100	426	63	609
8141	5150	426	63	666
8234	5200	435	70	537
8334	5250	435	84	500
8422	5300	435	75	568
8505	5350	436	69	602
8586	5400	438	69	617
8678	5450	441	66	543
8792	5500	441	94	438
8870	5550	442	66	641
8954	5600	443	72	595
9038	5650	443	64	595
9134	5700	447	74	520
9214	5750	447	69	625
9302	5800	447	74	568
9434	5850	447	112	378
9514	5900	449	67	625
9598	5950	449	67	595
9702	6000	449	83	480
9820	6050	453	107	423
9925	6100	454	84	476
10010	6150	454	69	588
10098	6200	454	76	568
10183	6250	454	67	588
10261	6300	454	67	641
10362	6350	455	71	495
10466	6400	455	83	480
10580	6450	455	91	438
10666	6500	455	73	581
10754	6550	456	75	568
10846	6600	456	79	543
10985	6650	456	109	359
11070	6700	459	69	588
11146	6750	459	62	657
11246	6800	459	80	500
11342	6850	459	73	520
11456	6900	463	72	438
11539	6950	463	64	602
11659	7000	464	81	416
11754	7050	468	79	526
11838	7100	468	75	595
11985	7150	468	127	340
12082	7200	468	86	515
12174	7250	468	79	543
12258	7300	468	73	595
12382	7350	471	103	403
12489	7400	471	86	467
12570	7450	478	64	617
12653	7500	482	66	602
12727	7550	482	65	675
12834	7600	482	85	467
12922	7650	482	77	568
13014	7700	482	79	543
13110	7750	482	87	520
13214	7800	488	89	480
13314	7850	488	79	500
13410	7900	495	85	520
13502	7950	497	81	543
13610	8000	497	98	462
13755	8050	498	133	344
13894	8100	498	129	359
14046	8150	499	135	328
14162	8200	499	101	431
14254	8250	507	81	543
14339	8300	507	70	588
14433	8350	513	72	531
14538	8400	520	86	476
14622	8450	520	75	595
14714	8500	523	82	543
14802	8550	523	77	568
14906	8600	523	93	480
15002	8650	523	84	520
15086	8700	529	76	595
15182	8750	537	85	520
15298	8800	538	104	431
15398	8850	543	86	500
15494	8900	543	78	520
15590	8950	544	87	520
15690	9000	548	89	500
15843	9050	548	143	326
15999	9100	549	140	320
16154	9150	549	144	322
16290	9200	551	127	367
16388	9250	560	78	510
16478	9300	561	77	555
16578	9350	566	81	500
16694	9400	566	105	431
16788	9450	569	83	531
16874	9500	577	72	581
16977	9550	577	74	485
17077	9600	581	84	500
17168	9650	583	72	549
17261	9700	583	75	537
17370	9750	586	86	458
17474	9800	586	94	480
17557	9850	590	73	602
17648	9900	590	74	549
17734	9950	591	74	581
17834	10000	595	86	500
17930	10050	595	74	520
18034	10100	595	82	480
18154	10150	602	98	416
18253	10200	602	89	505
18358	10250	611	83	476
18467	10300	615	83	458
18574	10350	622	87	467
18706	10400	623	110	378
18814	10450	624	90	462
18910	10500	624	85	520
19018	10550	626	86	462
19202	10600	627	147	271
19322	10650	627	97	416
19422	10700	630	90	500
19542	10750	630	94	416
19717	10800	630	138	285
19812	10850	636	80	526
19926	10900	636	92	438
20026	10950	640	89	500
20138	11000	648	101	446
20238	11050	648	88	500
20338	11100	649	89	500
20478	11150	650	125	357
20592	11200	650	99	438
20684	11250	655	79	543
20782	11300	655	80	510
20891	11350	655	92	458
20996	11400	656	92	476
21090	11450	656	82	531
21181	11500	660	80	549
21286	11550	670	82	476
21394	11600	670	95	462
21484	11650	670	80	555
21577	11700	670	81	537
21672	11750	671	83	526
21775	11800	671	94	485
21890	11850	671	85	434
22002	11900	672	93	446
22116	11950	672	105	438
22221	12000	675	95	476
22322	12050	675	85	495
22416	12100	675	83	531
22515	12150	687	83	505
22649	12200	687	109	373
22742	12250	687	83	537
22840	12300	688	83	510
22936	12350	690	84	520
23043	12400	700	97	467
23154	12450	700	93	450
23326	12500	701	152	290
23446	12550	703	99	416
23608	12600	703	154	308
23707	12650	704	86	505
23807	12700	704	87	500
23902	12750	704	85	526
24013	12800	711	99	450
24114	12850	711	87	495
24212	12900	711	86	510
24310	12950	714	88	510
24424	13000	720	102	438
24531	13050	720	88	467
24627	13100	720	87	520
24746	13150	721	99	420
24874	13200	721	116	390
24986	13250	721	103	446
25082	13300	723	87	520
25204	13350	723	91	409
25333	13400	723	108	387
25430	13450	727	88	515
25546	13500	728	99	431
25676	13550	728	113	384
25810	13600	728	123	373
25915	13650	739	91	476
26024	13700	739	92	458
26125	13750	739	91	495
26239	13800	739	105	438
26341	13850	743	92	490
26445	13900	743	92	480
26547	13950	743	91	490
26681	14000	744	114	373
26802	14050	744	101	413
26908	14100	744	92	471
27008	14150	744	91	500
27131	14200	747	108	406
27245	14250	747	94	438
27351	14300	747	95	471
27470	14350	747	102	420
27595	14400	760	109	400
27703	14450	760	94	462
27819	14500	760	94	431
27920	14550	760	92	495
28043	14600	762	111	406
28150	14650	762	96	467
28255	14700	762	94	476
28380	14750	776	103	400
28566	14800	783	121	268
28772	14850	783	189	242
28890	14900	783	103	423
29010	14950	783	103	416
29154	15000	783	127	347
29274	15050	783	108	416
29398	15100	783	107	403
29514	15150	783	107	431
29658	15200	784	127	347
29846	15250	784	176	265
29962	15300	784	106	431
30090	15350	785	117	390
30234	15400	785	130	347
30390	15450	785	145	320
30514	15500	785	111	403
30646	15550	788	120	378
30794	15600	788	126	337
30914	15650	788	108	416
31038	15700	788	115	403
31178	15750	788	118	357
31320	15800	788	130	352
31454	15850	788	111	373
31571	15900	788	106	427
31779	15950	788	192	240
31909	16000	788	117	384
32023	16050	788	101	438
32154	16100	790	115	381
32276	16150	790	106	409
32418	16200	790	120	352
32538	16250	790	102	416
32648	16300	790	100	454
32763	16350	790	102	434
32922	16400	790	131	314
33042	16450	790	109	416
33162	16500	791	109	416
33294	16550	791	110	378
33446	16600	791	130	328
33570	16650	791	113	403
33702	16700	791	124	378
33858	16750	791	134	320
34070	16800	791	200	235
34287	16850	791	205	230
34466	16900	791	170	279
34674	16950	791	190	240
34888	17000	791	193	233
35088	17050	791	184	250
35274	17100	791	178	268
35478	17150	791	192	245
35702	17200	791	201	223
35898	17250	791	184	255
36026	17300	793	119	390
36186	17350	793	148	312
36441	17400	793	241	196
36667	17450	793	204	221
36875	17500	793	200	240
37101	17550	793	210	221
37362	17600	793	240	191
37589	17650	793	216	220
37806	17700	793	207	230
37994	17750	793	176	265
38150	17800	793	135	320
38278	17850	793	116	390
38402	17900	793	114	403
38530	17950	793	116	390
38686	18000	793	137	320
38822	18050	793	116	367
38950	18100	793	117	390
39082	18150	793	122	378
39230	18200	793	134	337
39434	18250	793	193	245
39568	18300	793	113	373
39683	18350	800	108	434
39828	18400	800	127	344
39951	18450	800	110	406
40072	18500	800	108	413
40186	18550	800	106	438
40350	18600	800	142	304
40508	18650	800	145	316
40638	18700	800	116	384
40770	18750	800	119	378
40923	18800	800	132	326
41049	18850	800	112	396
41198	18900	802	122	335
41330	18950	802	120	378
41478	19000	802	136	337
41622	19050	802	120	347
41766	19100	802	123	347
41910	19150	802	132	347
42062	19200	810	141	328
42210	19250	810	126	337
42458	19300	810	225	201
42690	19350	810	216	215
42850	19400	810	143	312
42982	19450	810	120	378
43138	19500	810	133	320
43278	19550	810	126	357
43434	19600	810	139	320
43566	19650	810	124	378
43702	19700	813	121	367
43900	19750	813	175	252
44042	19800	818	130	352
44203	19850	822	130	310
44324	19900	822	112	413
44483	19950	822	128	314
44666	20000	822	149	273
44798	20050	822	120	378
44946	20100	822	128	337
45074	20150	842	121	390
45227	20200	842	141	326
45386	20250	842	137	314
45534	20300	842	137	337
45774	20350	842	219	208
46014	20400	844	233	208
46255	20450	844	225	207
46514	20500	844	234	193
46654	20550	844	129	357
46918	20600	844	252	189
47150	20650	846	225	215
47402	20700	846	228	198
47654	20750	846	229	198
47926	20800	849	260	183
48163	20850	849	225	210
48302	20900	853	127	359
48562	20950	853	236	192
48862	21000	853	278	166
49116	21050	854	234	196
49262	21100	854	129	342
49502	21150	860	232	208
49670	21200	860	146	297
