#Time(ms)	States	Instructions	GC Time	Speed(st/s)
346	50	18	71	0
566	100	37	31	227
659	150	55	42	537
758	200	62	43	505
834	250	79	41	657
881	300	109	31	1063
938	350	138	28	877
1006	400	146	31	735
1062	450	157	32	892
1114	500	171	27	961
1214	550	180	35	500
1286	600	194	54	694
1362	650	202	50	657
1432	700	207	43	714
1494	750	211	43	806
1558	800	214	34	781
1634	850	218	44	657
1688	900	221	35	925
1739	950	225	35	980
1798	1000	229	38	847
1863	1050	232	50	769
1930	1100	234	44	746
1986	1150	238	39	892
2052	1200	239	47	757
2107	1250	241	39	909
2162	1300	246	43	909
2229	1350	248	49	746
2278	1400	254	40	1020
2354	1450	256	52	657
2418	1500	258	46	781
2466	1550	263	39	1041
2526	1600	266	50	833
2581	1650	266	44	909
2638	1700	271	48	877
2694	1750	271	43	892
2758	1800	281	54	781
2806	1850	281	40	1041
2866	1900	285	47	833
2922	1950	287	48	892
2974	2000	291	43	961
3041	2050	294	56	746
3091	2100	296	42	1000
3142	2150	301	43	980
3198	2200	301	47	892
3262	2250	306	52	781
3322	2300	310	45	833
3378	2350	310	47	892
3442	2400	316	50	781
3498	2450	324	46	892
3555	2500	324	45	877
3622	2550	326	52	746
3727	2600	338	87	476
3782	2650	338	45	909
3846	2700	344	48	781
3918	2750	344	51	694
3986	2800	354	53	735
4057	2850	354	58	704
4121	2900	358	49	781
4194	2950	358	49	684
4266	3000	364	60	694
4322	3050	364	47	892
4386	3100	372	55	781
4447	3150	372	52	819
4509	3200	373	52	806
4567	3250	376	47	862
4638	3300	378	61	704
4698	3350	381	49	833
4766	3400	381	59	735
4830	3450	382	52	781
4890	3500	382	51	833
4974	3550	390	63	595
5058	3600	392	69	595
5130	3650	393	62	694
5202	3700	393	61	694
5266	3750	394	52	781
5346	3800	402	59	625
5451	3850	404	88	476
5554	3900	405	83	485
5649	3950	409	82	526
5726	4000	409	62	649
5794	4050	409	57	735
5878	4100	413	63	595
5966	4150	413	78	568
6042	4200	413	63	657
6126	4250	414	64	595
6198	4300	414	62	694
6268	4350	414	59	714
6386	4400	417	99	423
6469	4450	418	64	602
6574	4500	418	85	476
6646	4550	418	61	694
6722	4600	418	65	657
6794	4650	418	61	694
6866	4700	421	60	694
6983	4750	424	97	427
7070	4800	424	70	574
7153	4850	425	61	602
7226	4900	425	61	684
7301	4950	425	64	666
7378	5000	425	67	649
7462	5050	425	62	595
7542	5100	425	60	625
7618	5150	426	66	657
7706	5200	435	73	568
7782	5250	435	66	657
7866	5300	435	64	595
7946	5350	436	66	625
8034	5400	436	77	568
8158	5450	441	102	403
8234	5500	441	64	657
8310	5550	442	66	657
8394	5600	442	74	595
8474	5650	443	70	625
8562	5700	447	76	568
8674	5750	447	103	446
8765	5800	447	80	549
8838	5850	447	64	684
8916	5900	449	65	641
8988	5950	449	59	694
9094	6000	449	76	471
9178	6050	453	70	595
9260	6100	454	68	609
9339	6150	454	60	632
9423	6200	454	68	595
9499	6250	454	60	657
9593	6300	454	70	531
9678	6350	455	62	588
9774	6400	455	76	520
9874	6450	455	69	500
9966	6500	455	72	543
10062	6550	456	80	520
10162	6600	456	89	500
10306	6650	456	126	347
10438	6700	459	120	378
10530	6750	459	81	543
10618	6800	459	79	568
10714	6850	459	81	520
10806	6900	459	82	543
10906	6950	463	71	500
10994	7000	464	80	568
11110	7050	468	97	431
11188	7100	468	69	641
11268	7150	468	65	625
11374	7200	468	80	471
11458	7250	468	65	595
11554	7300	468	76	520
11646	7350	471	75	543
11742	7400	471	87	520
11830	7450	478	74	568
11926	7500	482	84	520
12010	7550	482	75	595
12106	7600	482	86	520
12198	7650	482	83	543
12294	7700	482	85	520
12378	7750	482	75	595
12490	7800	488	92	446
