#Time(ms)	States	Instructions	GC Time	Speed(st/s)
495	50	18	98	0
896	100	37	47	124
1020	150	55	62	403
1110	200	62	45	555
1179	250	79	36	724
1220	300	109	27	1219
1272	350	138	27	961
1352	400	146	36	625
1415	450	157	40	793
1483	500	171	41	735
1580	550	180	36	515
1648	600	194	46	735
1708	650	202	37	833
1768	700	207	33	833
1811	750	211	31	1162
1874	800	214	36	793
1921	850	218	31	1063
1976	900	221	34	909
2032	950	225	33	892
2100	1000	229	43	735
2156	1050	232	37	892
2220	1100	234	41	781
2289	1150	238	48	724
2348	1200	239	41	847
2408	1250	241	41	833
2464	1300	246	38	892
2521	1350	248	36	877
2576	1400	254	45	909
2635	1450	256	41	847
2704	1500	258	51	724
2768	1550	263	55	781
2821	1600	266	43	943
2884	1650	266	43	793
2944	1700	271	47	833
2996	1750	271	41	961
3050	1800	281	44	925
3099	1850	281	41	1020
3152	1900	285	39	943
3205	1950	287	42	943
3270	2000	291	56	769
3328	2050	294	46	862
3380	2100	296	43	961
3452	2150	301	63	694
3512	2200	301	50	833
3572	2250	306	42	833
3636	2300	310	48	781
3696	2350	310	51	833
3756	2400	316	46	833
3824	2450	324	59	735
3892	2500	324	46	735
3952	2550	326	49	833
4032	2600	338	61	625
4092	2650	338	48	833
4152	2700	344	45	833
4248	2750	344	74	520
4324	2800	354	63	657
4388	2850	354	49	781
4459	2900	358	62	704
4516	2950	358	47	877
4592	3000	364	58	657
4648	3050	364	48	892
4710	3100	372	53	806
4768	3150	372	50	862
4870	3200	373	92	490
4936	3250	376	48	757
5012	3300	378	54	657
5076	3350	381	54	781
5152	3400	381	62	657
5247	3450	382	83	526
5328	3500	382	71	617
5400	3550	390	58	694
5495	3600	392	84	526
5562	3650	393	51	746
5648	3700	393	67	581
5740	3750	394	81	543
5809	3800	402	59	724
5880	3850	405	59	704
5952	3900	405	59	694
6020	3950	409	57	735
6092	4000	409	61	694
6163	4050	409	56	704
6240	4100	413	59	649
6308	4150	413	57	735
6388	4200	413	64	625
6464	4250	414	60	657
6540	4300	414	63	657
6636	4350	414	86	520
6714	4400	417	63	641
6778	4450	418	51	781
