#Time(ms)	States	Instructions	GC Time	Speed(st/s)
348	50	18	56	0
574	100	37	27	221
674	150	55	36	500
770	200	62	45	520
842	250	79	34	694
900	300	109	43	862
954	350	138	30	925
1017	400	146	31	793
1078	450	157	32	819
1136	500	171	39	862
1230	550	180	36	531
1292	600	194	44	806
1358	650	202	45	757
1430	700	207	52	694
1488	750	211	45	862
1555	800	214	35	746
1618	850	218	37	793
1676	900	221	33	862
1734	950	225	41	862
1794	1000	229	43	833
1846	1050	232	36	961
1922	1100	234	45	657
1978	1150	238	35	892
2044	1200	239	41	757
2091	1250	241	35	1063
2150	1300	246	43	847
2226	1350	248	59	657
2275	1400	254	39	1020
2346	1450	256	43	704
2422	1500	258	55	657
2478	1550	263	47	892
2530	1600	266	41	961
2587	1650	266	41	877
2642	1700	271	41	909
2702	1750	271	48	833
2762	1800	281	50	833
2818	1850	281	47	892
2870	1900	285	42	961
2929	1950	287	50	847
2983	2000	291	44	925
3046	2050	294	43	793
3098	2100	296	44	961
3154	2150	301	49	892
3214	2200	301	49	833
3294	2250	306	69	625
3358	2300	310	43	781
3422	2350	310	44	781
3490	2400	316	53	735
3566	2450	324	63	657
3634	2500	324	54	735
3719	2550	326	68	588
3822	2600	338	82	485
3895	2650	338	47	684
3957	2700	344	49	806
4019	2750	344	45	806
4095	2800	354	56	657
4160	2850	354	47	769
4218	2900	358	48	862
4282	2950	358	53	781
4359	3000	364	65	649
4417	3050	364	45	862
4503	3100	372	54	581
4566	3150	372	51	793
4646	3200	373	59	625
4718	3250	373	48	694
4806	3300	378	65	568
4866	3350	381	50	833
4934	3400	381	58	735
5016	3450	382	68	609
5082	3500	382	55	757
5147	3550	390	52	769
5220	3600	392	59	684
5282	3650	393	53	806
5349	3700	393	56	746
5418	3750	394	54	724
5498	3800	399	57	625
5566	3850	405	51	735
5642	3900	405	55	657
5710	3950	409	58	735
5822	4000	409	101	446
5894	4050	409	56	694
5974	4100	413	62	625
6050	4150	413	58	657
6132	4200	413	60	609
6233	4250	414	57	495
6299	4300	414	49	757
6390	4350	414	62	549
6474	4400	416	66	595
6558	4450	418	67	595
6649	4500	418	71	549
6738	4550	418	59	561
6814	4600	418	65	657
6902	4650	418	76	568
6990	4700	418	65	568
7063	4750	424	63	684
7150	4800	424	68	574
7230	4850	425	62	625
7302	4900	425	62	694
7382	4950	425	68	625
7458	5000	425	66	657
7530	5050	425	60	694
7602	5100	425	61	694
7671	5150	426	60	724
7758	5200	435	70	574
7834	5250	435	65	657
7956	5300	435	111	409
8058	5350	435	90	490
8142	5400	438	74	595
8222	5450	441	65	625
8310	5500	441	77	568
8386	5550	442	65	657
8470	5600	442	73	595
8550	5650	443	70	625
8634	5700	447	70	595
8708	5750	447	64	675
8802	5800	447	78	531
8919	5850	447	106	427
9034	5900	449	100	434
9115	5950	449	70	617
9202	6000	449	77	574
9286	6050	453	71	595
9374	6100	454	78	568
9460	6150	454	73	581
9542	6200	454	73	609
9625	6250	454	67	602
9702	6300	455	63	649
9790	6350	455	69	568
9894	6400	455	78	480
9984	6450	455	79	555
10066	6500	455	69	609
10138	6550	456	62	694
10237	6600	456	72	505
10342	6650	456	81	476
10430	6700	459	73	568
10501	6750	459	60	704
10610	6800	459	80	458
10690	6850	459	70	625
10778	6900	459	71	568
10890	6950	460	103	446
11026	7000	465	96	367
11106	7050	468	68	625
11194	7100	468	65	568
11290	7150	468	70	520
11398	7200	468	84	462
11478	7250	468	71	625
11598	7300	468	99	416
11679	7350	468	71	617
11782	7400	478	81	485
11866	7450	482	72	595
11962	7500	482	75	520
12054	7550	482	83	543
12162	7600	482	88	462
12262	7650	482	90	500
12350	7700	482	77	568
12442	7750	482	78	543
12539	7800	489	87	515
12630	7850	497	80	549
12760	7900	497	121	384
12912	7950	498	132	328
13075	8000	498	154	306
13210	8050	498	119	370
13302	8100	499	81	543
13383	8150	499	68	617
13476	8200	499	76	537
13560	8250	513	66	595
13666	8300	520	80	471
13750	8350	520	75	595
13850	8400	522	88	500
13934	8450	523	74	595
14022	8500	523	76	568
14114	8550	523	81	543
14222	8600	529	97	462
14322	8650	531	89	500
14414	8700	534	82	543
14510	8750	541	83	520
14610	8800	541	88	500
14767	8850	544	136	318
14904	8900	548	128	364
15062	8950	549	144	316
15162	9000	549	89	500
15254	9050	550	81	543
15342	9100	550	77	568
15454	9150	556	98	446
15556	9200	566	83	490
15654	9250	566	77	510
15746	9300	567	80	543
15868	9350	575	112	409
15979	9400	575	96	450
16068	9450	577	72	561
16170	9500	579	82	490
16266	9550	582	82	520
16364	9600	583	89	510
16457	9650	586	78	537
16541	9700	589	72	595
16631	9750	589	75	555
16724	9800	591	83	537
16820	9850	591	78	520
16916	9900	591	73	520
17005	9950	595	74	561
17101	10000	602	83	520
17206	10050	602	83	476
17318	10100	606	87	446
17410	10150	611	83	543
17541	10200	623	106	381
17654	10250	624	84	442
17746	10300	624	79	543
17850	10350	624	88	480
17955	10400	625	95	476
18066	10450	625	93	450
18206	10500	627	115	357
18317	10550	629	97	450
18450	10600	629	107	375
18574	10650	630	109	403
18686	10700	632	104	446
18810	10750	637	105	403
18969	10800	643	147	314
19052	10850	643	74	602
19140	10900	648	76	568
19236	10950	649	76	520
19334	11000	649	89	510
19423	11050	650	77	561
19530	11100	650	86	467
19624	11150	651	82	531
19728	11200	656	90	480
19813	11250	656	76	588
19930	11300	663	91	427
20030	11350	663	89	500
20158	11400	663	113	390
20270	11450	670	98	446
20390	11500	671	107	416
20579	11550	671	168	264
20731	11600	671	140	328
20826	11650	672	86	526
20922	11700	674	87	520
21030	11750	674	94	462
21169	11800	674	131	359
21273	11850	681	87	480
21365	11900	682	80	543
21452	11950	682	78	574
21556	12000	682	94	480
21666	12050	687	89	454
21769	12100	697	95	485
21859	12150	697	81	555
21962	12200	700	93	485
22053	12250	702	80	549
22147	12300	702	83	531
22243	12350	703	82	520
22345	12400	703	93	490
22442	12450	708	81	515
22539	12500	709	83	515
22646	12550	709	89	467
22752	12600	709	96	471
22847	12650	711	84	526
22940	12700	711	82	537
23036	12750	711	85	520
23148	12800	720	98	446
23240	12850	720	83	543
23334	12900	720	84	531
23437	12950	721	85	485
23544	13000	721	98	467
23648	13050	725	85	480
23743	13100	727	85	526
23862	13150	727	97	420
23978	13200	727	108	431
24086	13250	728	99	462
24194	13300	728	98	462
24297	13350	728	95	485
24462	13400	737	146	303
24570	13450	739	94	462
24674	13500	739	95	480
24798	13550	740	114	403
24924	13600	744	113	396
25025	13650	744	93	495
25127	13700	747	88	490
25224	13750	747	88	515
25339	13800	747	103	434
25434	13850	747	87	526
25533	13900	747	89	505
25636	13950	747	90	485
25747	14000	747	102	450
25882	14050	747	112	370
25998	14100	761	100	431
26108	14150	761	91	454
26221	14200	761	104	442
26376	14250	782	103	322
26482	14300	784	96	471
26590	14350	784	98	462
26718	14400	784	120	390
26830	14450	784	99	446
26946	14500	784	105	431
27061	14550	784	104	434
27198	14600	784	118	364
27311	14650	784	102	442
27506	14700	784	185	256
27613	14750	785	94	467
27736	14800	786	109	406
27858	14850	786	105	409
27970	14900	787	103	446
28076	14950	789	95	471
28196	15000	790	110	416
28298	15050	790	93	490
28403	15100	790	94	476
28509	15150	790	95	471
28632	15200	790	111	406
28732	15250	790	92	500
28841	15300	790	96	458
28968	15350	790	103	393
29089	15400	790	111	413
29194	15450	792	95	476
29301	15500	792	96	467
29411	15550	792	97	454
29548	15600	792	116	364
29674	15650	792	105	396
29790	15700	792	106	431
29906	15750	792	106	431
30062	15800	793	145	320
30177	15850	796	103	434
30284	15900	796	96	467
30394	15950	796	96	454
30523	16000	796	113	387
30630	16050	796	97	467
30737	16100	796	97	467
30845	16150	796	98	462
30975	16200	796	115	384
31084	16250	796	98	458
31189	16300	796	97	476
31314	16350	796	100	400
31454	16400	796	121	357
31570	16450	796	106	431
31687	16500	798	107	427
31810	16550	802	109	406
31946	16600	802	125	367
32062	16650	802	107	431
32182	16700	802	111	416
32314	16750	802	120	378
