#Time(ms)	States	Instructions	GC Time	Speed(st/s)
645	50	18	113	0
1055	100	37	58	121
1198	150	55	52	349
1321	200	62	67	406
1417	250	79	56	520
1527	300	109	50	454
1630	350	138	58	485
1751	400	146	71	413
1857	450	157	69	471
1959	500	171	73	490
2109	550	180	71	333
2207	600	194	60	510
2319	650	202	61	446
2391	700	207	40	694
2437	750	211	32	1086
2503	800	214	39	757
2563	850	218	45	833
2607	900	221	33	1136
2659	950	225	38	961
2715	1000	229	41	892
2768	1050	232	40	943
2827	1100	234	42	847
2895	1150	238	53	735
2952	1200	239	45	877
3003	1250	241	36	980
3052	1300	246	36	1020
3115	1350	248	43	793
3167	1400	254	43	961
3247	1450	256	56	625
3310	1500	258	55	793
3357	1550	263	38	1063
3419	1600	266	53	806
3479	1650	267	46	833
3539	1700	271	46	833
3593	1750	271	43	925
3651	1800	281	48	862
3715	1850	281	55	781
3771	1900	285	47	892
3823	1950	287	41	961
3883	2000	293	48	833
3951	2050	294	58	735
4011	2100	296	53	833
4063	2150	301	43	961
4129	2200	301	49	757
4187	2250	306	43	862
4251	2300	310	49	781
4311	2350	310	50	833
4371	2400	316	49	833
4443	2450	324	62	694
4527	2500	325	73	595
4612	2550	326	74	588
4723	2600	338	92	450
4782	2650	338	48	847
4851	2700	344	51	724
4915	2750	344	52	781
4983	2800	354	56	735
5047	2850	354	52	781
5103	2900	358	46	892
5171	2950	358	59	735
5237	3000	364	55	757
5295	3050	364	50	862
5363	3100	372	54	735
5423	3150	372	52	833
5487	3200	373	53	781
5559	3250	376	57	694
5636	3300	378	63	649
5703	3350	381	50	746
5771	3400	382	60	735
5836	3450	382	53	769
5935	3500	382	90	505
5999	3550	390	52	781
6071	3600	392	59	694
6135	3650	393	54	781
6203	3700	393	56	735
6269	3750	394	56	757
6339	3800	402	56	714
6407	3850	405	55	735
6479	3900	405	59	694
6567	3950	409	78	568
6638	4000	409	58	704
6723	4050	409	59	588
6799	4100	413	57	657
6864	4150	413	54	769
6947	4200	414	64	602
7030	4250	414	55	602
7106	4300	414	52	657
7169	4350	414	54	793
7240	4400	417	57	704
7323	4450	418	58	602
7395	4500	418	62	694
7479	4550	418	61	595
7577	4600	418	87	510
7640	4650	418	54	793
7731	4700	424	60	549
7803	4750	424	63	694
7899	4800	424	80	520
7979	4850	425	66	625
8091	4900	425	102	446
8174	4950	425	64	602
8255	5000	425	72	617
8327	5050	425	61	694
8406	5100	426	61	632
8479	5150	426	64	684
8552	5200	435	62	684
8633	5250	435	59	617
8705	5300	435	58	694
8774	5350	436	56	724
8849	5400	436	64	666
8928	5450	441	56	632
9011	5500	441	64	602
9087	5550	442	65	657
9171	5600	443	75	595
9251	5650	443	67	625
9363	5700	447	100	446
9443	5750	447	70	625
9531	5800	447	77	568
9611	5850	447	71	625
9695	5900	449	71	595
9771	5950	449	66	657
9863	6000	449	82	543
9951	6050	453	78	568
10043	6100	454	83	543
10119	6150	454	66	657
10211	6200	454	83	543
10299	6250	454	76	568
10423	6300	454	115	403
10555	6350	455	121	378
10708	6400	455	143	326
10843	6450	455	122	370
10928	6500	455	75	588
11011	6550	456	70	602
11103	6600	456	82	543
11199	6650	456	76	520
11319	6700	459	99	416
11394	6750	459	63	666
11489	6800	459	76	526
11571	6850	459	65	609
11675	6900	459	87	480
11795	6950	463	85	416
11888	7000	464	81	537
11984	7050	468	71	520
12067	7100	468	74	602
12163	7150	468	73	520
12287	7200	468	111	403
12380	7250	468	77	537
12462	7300	468	67	609
12551	7350	471	73	561
12647	7400	471	85	520
12731	7450	478	75	595
12827	7500	482	85	520
12911	7550	482	75	595
13007	7600	482	85	520
13091	7650	482	75	595
13183	7700	482	81	543
13303	7750	482	111	416
13403	7800	488	84	500
13485	7850	488	73	609
13561	7900	496	67	657
13637	7950	497	67	657
13739	8000	497	87	490
13827	8050	498	77	568
13915	8100	498	78	568
14023	8150	499	98	462
14131	8200	499	91	462
14267	8250	507	127	367
14360	8300	507	83	537
14443	8350	513	71	602
14544	8400	520	79	495
14635	8450	520	75	549
14723	8500	523	78	568
14815	8550	523	84	543
14951	8600	523	126	367
15043	8650	523	78	543
15134	8700	529	81	549
15227	8750	538	79	537
15334	8800	538	99	467
15418	8850	543	73	595
15504	8900	543	71	581
15598	8950	544	73	531
15690	9000	548	81	543
15787	9050	549	78	515
15880	9100	549	79	537
15995	9150	550	103	434
16103	9200	560	89	462
16191	9250	560	80	568
16283	9300	566	82	543
16383	9350	566	84	500
16487	9400	567	97	480
16583	9450	577	87	520
16691	9500	577	91	462
16791	9550	577	91	500
16895	9600	583	96	480
16991	9650	583	87	520
17141	9700	586	140	333
17304	9750	586	154	306
17476	9800	589	163	290
17567	9850	590	83	549
17657	9900	591	82	555
17746	9950	595	76	561
17842	10000	595	88	520
17929	10050	595	76	574
18047	10100	602	90	423
18147	10150	602	89	500
18246	10200	608	88	505
18363	10250	615	97	427
18468	10300	618	97	476
18591	10350	623	103	406
18702	10400	624	95	450
