#Time(ms)	States	Instructions	GC Time	Speed(st/s)
339	50	18	62	0
559	100	37	26	227
667	150	55	44	462
759	200	62	39	543
826	250	79	35	746
886	300	109	30	833
942	350	138	30	892
1003	400	146	31	819
1063	450	157	41	833
1117	500	171	36	925
1199	550	180	34	609
1251	600	194	32	961
1318	650	202	41	746
1383	700	207	42	769
1451	750	211	46	735
1527	800	214	46	657
1595	850	218	42	735
1646	900	221	33	980
1693	950	225	33	1063
1751	1000	229	38	862
1799	1050	232	36	1041
1869	1100	234	49	714
1935	1150	238	43	757
2001	1200	239	51	757
2051	1250	241	39	1000
2111	1300	246	48	833
2179	1350	248	50	735
2235	1400	254	47	892
2303	1450	256	45	735
2359	1500	258	45	892
2411	1550	263	39	961
2467	1600	266	42	892
2520	1650	266	39	943
2588	1700	271	46	735
2667	1750	271	59	632
2732	1800	281	53	769
2790	1850	281	45	862
2843	1900	285	44	943
2895	1950	287	44	961
2951	2000	291	47	892
3011	2050	294	48	833
3071	2100	296	52	833
3129	2150	301	50	862
3191	2200	301	51	806
3245	2250	306	42	925
3315	2300	310	50	714
3386	2350	310	60	704
3459	2400	316	57	684
3519	2450	324	51	833
3575	2500	324	42	892
3647	2550	326	57	694
3732	2600	338	73	588
3799	2650	338	51	746
3874	2700	344	53	666
3943	2750	344	51	724
4007	2800	354	50	781
4075	2850	354	52	735
4139	2900	358	51	781
4199	2950	358	49	833
4267	3000	364	54	735
4339	3050	364	63	694
4419	3100	372	70	625
4483	3150	372	55	781
4551	3200	373	57	735
4627	3250	376	64	657
4710	3300	378	65	602
4788	3350	381	67	641
4867	3400	381	69	632
4935	3450	382	53	735
4999	3500	382	54	781
5104	3550	390	82	476
5215	3600	392	100	450
5306	3650	393	81	549
5417	3700	393	91	450
5523	3750	394	90	471
5631	3800	402	94	462
5707	3850	405	59	657
5779	3900	405	60	694
5847	3950	409	56	735
5919	4000	409	61	694
5990	4050	409	61	704
6067	4100	413	64	649
6135	4150	413	58	735
6254	4200	414	107	420
6331	4250	414	58	649
6411	4300	414	59	625
6483	4350	414	61	694
6567	4400	417	62	595
6651	4450	418	63	595
6723	4500	418	61	694
6793	4550	418	58	714
6879	4600	418	69	581
6983	4650	418	92	480
7067	4700	424	60	595
7139	4750	424	62	694
7227	4800	424	77	568
7307	4850	425	67	625
7399	4900	425	82	543
7475	4950	425	63	657
7556	5000	425	70	617
7635	5050	425	62	632
7715	5100	426	66	625
7799	5150	432	74	595
7891	5200	435	74	543
7965	5250	435	61	675
8046	5300	435	65	617
8127	5350	436	70	617
8215	5400	440	78	568
8295	5450	441	66	625
8379	5500	441	64	595
8455	5550	442	66	657
8595	5600	443	129	357
8671	5650	446	63	657
8759	5700	447	71	568
8854	5750	447	84	526
8937	5800	447	72	602
9027	5850	447	71	555
9111	5900	449	74	595
9191	5950	449	69	625
9299	6000	449	97	462
9376	6050	454	67	649
9463	6100	454	73	574
9543	6150	454	69	625
9654	6200	454	102	450
9743	6250	454	77	561
9827	6300	455	75	595
9919	6350	455	71	543
10015	6400	455	77	520
10111	6450	455	73	520
10205	6500	455	73	531
10343	6550	456	120	362
10439	6600	456	79	520
10523	6650	456	72	595
10609	6700	459	74	581
10695	6750	459	71	581
10787	6800	459	82	543
10871	6850	459	74	595
10975	6900	463	77	480
11107	6950	463	119	378
11207	7000	464	82	500
11294	7050	468	63	574
11391	7100	468	71	515
11483	7150	468	76	543
11579	7200	468	85	520
11679	7250	468	88	500
11763	7300	468	70	595
11847	7350	471	72	595
11939	7400	471	83	543
12031	7450	478	79	543
12119	7500	482	77	568
12203	7550	482	75	595
12307	7600	482	88	480
12403	7650	482	86	520
12491	7700	482	78	568
12583	7750	482	83	543
12691	7800	488	97	462
12820	7850	491	121	387
12965	7900	497	131	344
13108	7950	497	129	349
13235	8000	497	113	393
13324	8050	498	79	561
13409	8100	498	73	588
13497	8150	499	71	568
13599	8200	499	85	490
13691	8250	507	78	543
13787	8300	507	86	520
13901	8350	513	103	438
14003	8400	520	85	490
14091	8450	520	75	568
14183	8500	523	80	543
14271	8550	523	79	568
14391	8600	523	98	416
14483	8650	523	81	543
14583	8700	529	91	500
14687	8750	538	94	480
14795	8800	538	99	462
14891	8850	543	82	520
15039	8900	543	137	337
15192	8950	544	144	326
15356	9000	548	154	304
15463	9050	549	90	467
15552	9100	549	79	561
15635	9150	549	73	602
15730	9200	560	82	526
15812	9250	560	71	609
15919	9300	566	90	467
16015	9350	566	79	520
16116	9400	567	93	495
16200	9450	569	73	595
16311	9500	577	86	450
16411	9550	577	88	500
