#Time(ms)	States	Instructions	GC Time	Speed(st/s)
328	50	18	53	0
547	100	37	31	228
640	150	55	35	537
724	200	62	31	595
779	250	79	33	909
832	300	109	30	943
896	350	138	38	781
955	400	146	32	847
1016	450	157	39	819
1085	500	171	50	724
1176	550	180	43	549
1237	600	194	42	819
1290	650	202	37	943
1349	700	207	41	847
1398	750	211	32	1020
1462	800	214	33	781
1520	850	218	34	862
1568	900	221	32	1041
1636	950	225	47	735
1696	1000	229	45	833
1748	1050	232	40	961
1809	1100	234	37	819
1872	1150	238	40	793
1932	1200	239	46	833
1995	1250	241	43	793
2042	1300	246	36	1063
2100	1350	248	37	862
2156	1400	254	46	892
2220	1450	256	46	781
2288	1500	258	51	735
2338	1550	263	40	1000
2412	1600	266	48	675
2476	1650	266	48	781
2544	1700	271	46	735
2600	1750	271	44	892
2656	1800	281	46	892
2724	1850	281	58	735
2791	1900	285	57	746
2841	1950	287	41	1000
2896	2000	291	45	909
2956	2050	294	44	833
3008	2100	296	43	961
3060	2150	301	44	961
3124	2200	301	54	781
3180	2250	306	42	892
3240	2300	310	45	833
3296	2350	310	44	892
3364	2400	316	53	735
3436	2450	324	63	694
3495	2500	324	48	847
3556	2550	326	45	819
3636	2600	338	55	625
3692	2650	338	46	892
3756	2700	344	47	781
3840	2750	344	71	595
3907	2800	354	54	746
3984	2850	354	48	649
4056	2900	358	61	694
4116	2950	358	49	833
4200	3000	364	75	595
4260	3050	364	47	833
4344	3100	372	70	595
4404	3150	372	51	833
4470	3200	373	56	757
4544	3250	373	56	675
4619	3300	378	58	666
4700	3350	381	63	617
4771	3400	381	61	704
4840	3450	382	53	724
4904	3500	382	54	781
4976	3550	390	59	694
5048	3600	392	60	694
5116	3650	393	58	735
5188	3700	393	61	694
5252	3750	394	53	781
5322	3800	400	59	714
5422	3850	405	85	500
5526	3900	405	84	480
5635	3950	409	93	458
5732	4000	409	85	515
5804	4050	409	57	694
5880	4100	413	56	657
5948	4150	413	56	735
6032	4200	413	63	595
6112	4250	414	57	625
6227	4300	414	97	434
6304	4350	414	62	649
6392	4400	417	75	568
6464	4450	418	59	694
6532	4500	418	57	735
6612	4550	418	58	625
6700	4600	418	67	568
6808	4650	418	98	462
6890	4700	424	64	609
6959	4750	424	58	724
7048	4800	424	67	561
7132	4850	425	63	595
7216	4900	425	74	595
7296	4950	425	68	625
7380	5000	425	73	595
7480	5050	425	90	500
7563	5100	426	68	602
7640	5150	433	62	649
7737	5200	435	76	515
7830	5250	435	64	537
7920	5300	435	69	555
8008	5350	436	76	568
8104	5400	440	72	520
8192	5450	441	66	568
8281	5500	441	68	561
8356	5550	442	65	666
8448	5600	443	72	543
8548	5650	446	84	500
8634	5700	447	63	581
8723	5750	447	69	561
8800	5800	447	66	649
8887	5850	447	61	574
8956	5900	449	56	724
9052	5950	449	71	520
9148	6000	453	78	520
9240	6050	454	72	543
9324	6100	454	73	595
9420	6150	454	74	520
9528	6200	454	93	462
9616	6250	454	76	568
9720	6300	455	81	480
9846	6350	455	115	396
10012	6400	455	139	301
10135	6450	455	112	406
10278	6500	456	117	349
10356	6550	456	68	641
10450	6600	456	74	531
10545	6650	459	69	526
10658	6700	459	72	442
10747	6750	459	68	561
10832	6800	459	71	588
10921	6850	459	67	561
11013	6900	459	72	543
11124	6950	462	75	450
11234	7000	468	93	454
11321	7050	468	68	574
11420	7100	468	78	505
11508	7150	468	73	568
11627	7200	468	98	420
11702	7250	468	64	666
11797	7300	468	72	526
11872	7350	475	64	666
11971	7400	478	75	505
12046	7450	482	64	666
12125	7500	482	66	632
12201	7550	482	65	657
12291	7600	482	76	555
12372	7650	482	66	617
12454	7700	482	68	609
12529	7750	482	65	666
12624	7800	495	76	526
12700	7850	497	66	657
12782	7900	497	67	609
12880	7950	498	75	510
12980	8000	498	89	500
13065	8050	499	74	588
13189	8100	499	108	403
13270	8150	499	68	617
13358	8200	505	78	568
13441	8250	513	68	602
13516	8300	520	67	666
13597	8350	520	70	617
13683	8400	523	77	581
13762	8450	523	68	632
13851	8500	523	70	561
13952	8550	529	81	495
14080	8600	529	115	390
14212	8650	531	123	378
14309	8700	541	80	515
14388	8750	541	69	632
14478	8800	542	79	555
14573	8850	548	70	526
14650	8900	549	68	649
14735	8950	549	71	588
14833	9000	550	80	510
14916	9050	550	71	602
