#Time(ms)	States	Instructions	GC Time	Speed(st/s)
637	50	18	111	0
1070	100	37	69	115
1234	150	55	61	304
1397	200	62	69	306
1514	250	79	72	427
1625	300	109	61	450
1715	350	138	45	555
1804	400	146	39	561
1856	450	157	31	961
1906	500	171	36	1000
1982	550	180	31	657
2040	600	194	38	862
2097	650	202	28	877
2162	700	207	36	769
2221	750	211	45	847
2287	800	214	35	757
2350	850	218	37	793
2410	900	221	49	833
2466	950	225	45	892
2522	1000	229	39	892
2570	1050	232	36	1041
2622	1100	234	40	961
2694	1150	238	51	694
2758	1200	239	46	781
2812	1250	241	42	925
2862	1300	246	39	1000
2924	1350	248	46	806
2974	1400	254	41	1000
3041	1450	256	49	746
3102	1500	258	52	819
3150	1550	263	38	1041
3202	1600	266	42	961
3262	1650	267	40	833
3312	1700	271	39	1000
3368	1750	271	40	892
3420	1800	281	42	961
3474	1850	281	41	925
3522	1900	285	39	1041
3574	1950	287	43	961
3626	2000	293	42	961
3678	2050	294	41	961
3726	2100	296	40	1041
3782	2150	301	47	892
3846	2200	301	53	781
3904	2250	306	43	862
3962	2300	310	45	862
4018	2350	310	47	892
4082	2400	316	52	781
4138	2450	324	46	892
4222	2500	325	71	595
4292	2550	326	48	714
4350	2600	338	46	862
4410	2650	338	45	833
4466	2700	344	44	892
4542	2750	344	52	657
4614	2800	354	58	694
4686	2850	354	56	694
4746	2900	358	50	833
4818	2950	358	59	694
4914	3000	364	71	520
4974	3050	364	52	833
5030	3100	372	47	892
5090	3150	372	52	833
5154	3200	373	53	781
5238	3250	376	62	595
5307	3300	378	51	724
5382	3350	381	64	666
5450	3400	382	59	735
5522	3450	382	60	694
5586	3500	382	54	781
5670	3550	390	63	595
5750	3600	392	69	625
5822	3650	393	61	694
5898	3700	393	66	657
5978	3750	394	59	625
6054	3800	402	64	657
6134	3850	405	69	625
6233	3900	405	87	505
6339	3950	409	95	471
6459	4000	409	108	416
6566	4050	409	92	467
6670	4100	413	87	480
6742	4150	413	62	694
6817	4200	413	65	666
6890	4250	414	61	684
6962	4300	414	59	694
7030	4350	414	57	735
7114	4400	417	73	595
7186	4450	418	60	694
7258	4500	418	61	694
7358	4550	418	87	500
7438	4600	418	70	625
7510	4650	418	62	694
7594	4700	420	68	595
7668	4750	424	64	675
7758	4800	424	75	555
7868	4850	425	99	454
7962	4900	425	79	531
8046	4950	425	65	595
8126	5000	425	70	625
8198	5050	425	60	694
8270	5100	425	62	694
8342	5150	426	62	694
8430	5200	435	72	568
8510	5250	435	70	625
8586	5300	435	64	657
8662	5350	435	66	657
8799	5400	436	125	364
8881	5450	441	64	609
8954	5500	441	61	684
9034	5550	442	69	625
9114	5600	442	71	625
9190	5650	443	65	657
9270	5700	446	68	625
9385	5750	447	106	434
9490	5800	447	85	476
9570	5850	447	67	625
9663	5900	449	81	537
9738	5950	449	67	666
9826	6000	449	75	568
9906	6050	453	71	625
9990	6100	454	73	595
10078	6150	454	78	568
10194	6200	454	106	431
10278	6250	454	66	595
10354	6300	454	66	657
10439	6350	455	75	588
10539	6400	455	78	500
10632	6450	455	73	537
10710	6500	455	67	641
10796	6550	456	68	581
10880	6600	456	71	595
10979	6650	456	62	505
11074	6700	457	68	526
11162	6750	459	72	568
11270	6800	459	97	462
11354	6850	459	70	595
11434	6900	459	70	625
11554	6950	463	79	416
11694	7000	463	130	357
11778	7050	468	72	595
11862	7100	468	73	595
11947	7150	468	74	588
12041	7200	468	83	531
12125	7250	468	73	595
12214	7300	468	71	561
12318	7350	468	79	480
12426	7400	471	91	462
12514	7450	478	74	568
12606	7500	482	80	543
12690	7550	482	74	595
12814	7600	482	114	403
12906	7650	482	81	543
12994	7700	482	78	568
13086	7750	482	80	543
13186	7800	488	84	500
13278	7850	488	82	543
13366	7900	495	79	568
13470	7950	497	91	480
13566	8000	497	87	520
13662	8050	498	78	520
13746	8100	498	76	595
13834	8150	499	77	568
13995	8200	499	151	310
14146	8250	507	140	331
14290	8300	507	130	347
14398	8350	513	98	462
14498	8400	520	89	500
14580	8450	520	72	609
14678	8500	523	75	510
14774	8550	523	86	520
14887	8600	523	93	442
14978	8650	523	81	549
15110	8700	529	124	378
15198	8750	538	78	568
15298	8800	538	89	500
15386	8850	543	79	568
15482	8900	543	84	520
15578	8950	544	87	520
15678	9000	548	88	500
15778	9050	548	87	500
15907	9100	549	119	387
15998	9150	549	82	549
16102	9200	556	91	480
16201	9250	560	87	505
16286	9300	566	76	588
16369	9350	566	72	602
16470	9400	566	84	495
16554	9450	569	72	595
16654	9500	577	83	500
16750	9550	577	86	520
16854	9600	583	94	480
16950	9650	583	81	520
17054	9700	586	90	480
17160	9750	586	95	471
17260	9800	589	91	500
17354	9850	590	85	531
17453	9900	590	89	505
17542	9950	595	75	561
17644	10000	595	86	490
17729	10050	595	75	588
17853	10100	602	94	403
17962	10150	602	97	458
18070	10200	602	88	462
18194	10250	615	99	403
18302	10300	615	98	462
18412	10350	623	100	454
18534	10400	624	106	409
18662	10450	624	103	390
18782	10500	626	111	416
18902	10550	627	109	416
19022	10600	627	112	416
19134	10650	628	98	446
19322	10700	630	178	265
19484	10750	630	151	308
19662	10800	634	158	280
19758	10850	636	87	520
19862	10900	640	95	480
19962	10950	645	89	500
20074	11000	648	101	446
20178	11050	648	91	480
20286	11100	650	97	462
20382	11150	650	87	520
20498	11200	651	106	431
20598	11250	655	88	500
20702	11300	655	95	480
20798	11350	656	86	520
20938	11400	656	114	357
21045	11450	659	94	467
21214	11500	670	144	295
21330	11550	670	95	431
21437	11600	670	99	467
21530	11650	670	81	537
21623	11700	671	83	537
21738	11750	671	95	434
21882	11800	671	122	347
22013	11850	672	119	381
22112	11900	674	89	505
22210	11950	675	84	510
22318	12000	675	97	462
22409	12050	682	81	549
22514	12100	687	86	476
22634	12150	687	99	416
22749	12200	687	106	434
22913	12250	689	155	304
23012	12300	700	91	505
23105	12350	700	84	537
23216	12400	700	98	450
23321	12450	701	86	476
23417	12500	703	85	520
23513	12550	703	85	520
23625	12600	704	100	446
23720	12650	704	85	526
23816	12700	709	86	520
23913	12750	711	86	515
24027	12800	711	102	438
24121	12850	711	85	531
24235	12900	720	101	438
24335	12950	720	88	500
24444	13000	720	100	458
24543	13050	721	87	505
24648	13100	721	88	476
24762	13150	721	101	438
24882	13200	723	111	416
24998	13250	723	106	431
25110	13300	723	102	446
25266	13350	727	147	320
25379	13400	728	103	442
25485	13450	728	90	471
25581	13500	728	88	520
