#Time(ms)	States	Instructions	GC Time	Speed(st/s)
623	50	18	105	0
915	100	37	31	171
1006	150	55	41	549
1110	200	62	40	480
1174	250	79	42	781
1235	300	109	35	819
1294	350	138	34	847
1359	400	146	34	769
1410	450	157	37	980
1455	500	171	29	1111
1546	550	180	31	549
1598	600	194	31	961
1662	650	202	32	781
1723	700	207	34	819
1774	750	211	34	980
1848	800	214	46	675
1908	850	218	39	833
1956	900	221	32	1041
2018	950	225	39	806
2086	1000	229	54	735
2150	1050	232	50	781
2214	1100	234	39	781
2284	1150	238	45	714
2338	1200	239	42	925
2386	1250	241	37	1041
2442	1300	246	45	892
2506	1350	248	43	781
2562	1400	254	46	892
2630	1450	256	51	735
2694	1500	258	51	781
2750	1550	263	43	892
2806	1600	266	46	892
2869	1650	266	53	793
2919	1700	271	40	1000
2982	1750	271	46	793
3038	1800	281	47	892
3090	1850	281	44	961
3146	1900	285	46	892
3194	1950	287	40	1041
3246	2000	291	43	961
3302	2050	294	43	892
3354	2100	296	45	961
3402	2150	301	41	1041
3458	2200	301	46	892
3546	2250	306	71	568
3613	2300	310	54	746
3686	2350	310	54	684
3746	2400	316	46	833
3806	2450	324	47	833
3870	2500	324	53	781
3924	2550	326	43	925
3998	2600	338	53	675
4062	2650	338	53	781
4122	2700	344	47	833
4183	2750	344	48	819
4260	2800	354	55	649
4338	2850	354	48	641
4410	2900	358	49	694
4481	2950	358	52	704
4546	3000	364	55	769
4618	3050	364	60	694
4702	3100	372	63	595
4776	3150	372	60	675
4842	3200	373	53	757
4910	3250	376	52	735
4998	3300	378	67	568
5074	3350	381	57	657
5142	3400	381	58	735
5226	3450	382	62	595
5298	3500	382	62	694
5366	3550	390	54	735
5433	3600	392	56	746
5510	3650	393	59	649
5583	3700	393	61	684
5658	3750	394	64	666
5742	3800	402	70	595
5814	3850	405	62	694
5884	3900	405	54	714
5966	3950	409	66	609
6072	4000	409	94	471
6178	4050	409	86	471
6289	4100	413	90	450
6396	4150	413	86	467
6485	4200	413	70	561
6558	4250	414	56	684
6630	4300	414	56	694
6714	4350	414	69	595
6794	4400	417	67	625
6866	4450	418	60	694
6936	4500	418	60	714
7014	4550	418	59	641
7094	4600	418	70	625
7166	4650	418	62	694
7242	4700	424	62	657
7358	4750	424	106	431
7458	4800	424	88	500
7537	4850	425	62	632
7610	4900	425	63	684
7688	4950	425	60	641
7782	5000	425	75	531
7862	5050	425	68	625
7938	5100	426	64	657
8010	5150	431	59	694
8154	5200	435	125	347
8242	5250	435	71	568
8318	5300	435	65	657
8394	5350	436	64	657
8474	5400	440	71	625
8574	5450	441	78	500
8654	5500	441	65	625
8734	5550	442	70	625
8822	5600	443	77	568
8894	5650	445	63	694
9002	5700	447	88	462
9076	5750	447	64	675
9166	5800	447	77	555
9250	5850	447	74	595
9330	5900	449	70	625
9406	5950	449	66	657
9502	6000	449	81	520
9602	6050	454	90	500
9682	6100	454	70	625
9762	6150	454	69	625
9849	6200	454	78	574
9934	6250	454	69	588
10014	6300	455	71	625
10142	6350	455	116	390
10232	6400	455	75	555
10312	6450	455	68	625
10389	6500	455	62	649
10485	6550	456	65	520
10586	6600	456	72	495
10685	6650	456	74	505
10778	6700	459	73	537
10866	6750	459	75	568
10970	6800	459	93	480
11058	6850	459	72	568
11154	6900	463	70	520
11246	6950	463	81	543
