#Time(ms)	States	Instructions	GC Time	Speed(st/s)
631	50	18	123	0
1059	100	37	58	116
1221	150	55	48	308
1398	200	62	79	282
1477	250	79	36	632
1549	300	109	31	694
1605	350	138	29	892
1664	400	146	29	847
1729	450	157	31	769
1788	500	171	25	847
1877	550	180	34	561
1930	600	194	34	943
1995	650	202	42	769
2051	700	207	38	892
2108	750	211	35	877
2169	800	214	34	819
2225	850	218	35	892
2282	900	221	45	877
2341	950	225	41	847
2413	1000	229	53	694
2465	1050	232	38	961
2522	1100	234	35	877
2597	1150	238	46	666
2653	1200	239	43	892
2702	1250	241	36	1020
2759	1300	246	40	877
2814	1350	248	37	909
2867	1400	254	41	943
2939	1450	256	51	694
2997	1500	258	48	862
3053	1550	263	48	892
3112	1600	266	49	847
3162	1650	267	39	1000
3230	1700	271	49	735
3293	1750	271	46	793
3349	1800	281	46	892
3413	1850	281	56	781
3464	1900	285	41	980
3529	1950	287	47	769
3589	2000	293	49	833
3641	2050	294	40	961
3697	2100	296	47	892
3757	2150	301	51	833
3821	2200	301	52	781
3881	2250	306	47	833
3953	2300	310	55	694
4009	2350	310	47	892
4073	2400	316	48	781
4129	2450	324	47	892
4217	2500	325	76	568
4293	2550	326	65	657
4369	2600	338	51	657
4426	2650	338	46	877
4490	2700	344	49	781
4565	2750	344	59	666
4640	2800	354	62	666
4716	2850	354	54	657
4781	2900	358	49	769
4841	2950	358	47	833
4926	3000	364	63	588
5006	3050	364	67	625
5066	3100	372	46	833
5131	3150	372	49	769
5197	3200	373	53	757
5269	3250	376	49	694
5353	3300	378	61	595
5421	3350	381	57	735
5493	3400	382	63	694
5565	3450	382	59	694
5663	3500	382	87	510
5762	3550	390	85	505
5849	3600	392	67	574
5929	3650	393	62	625
5997	3700	393	58	735
6069	3750	394	60	694
6145	3800	402	64	657
6209	3850	405	52	781
6285	3900	405	60	657
6380	3950	409	84	526
6473	4000	409	74	537
6541	4050	409	57	735
6613	4100	413	55	694
6681	4150	413	57	735
6757	4200	414	63	657
6841	4250	414	63	595
6913	4300	414	59	694
6985	4350	414	61	694
7107	4400	417	110	409
7189	4450	418	65	609
7257	4500	418	57	735
7329	4550	418	61	694
7405	4600	418	65	657
7477	4650	418	61	694
7573	4700	424	74	520
7645	4750	424	62	694
7725	4800	424	66	625
7844	4850	425	98	420
7937	4900	425	78	537
8025	4950	425	67	568
8105	5000	425	68	625
8189	5050	425	68	595
8284	5100	426	84	526
8357	5150	426	63	684
8441	5200	435	71	595
8536	5250	435	77	526
8610	5300	435	62	675
8693	5350	436	69	602
8781	5400	436	78	568
8888	5450	441	93	467
8965	5500	441	61	649
9046	5550	442	63	617
9131	5600	443	69	588
9213	5650	443	65	609
9293	5700	447	65	625
9365	5750	447	63	694
9489	5800	447	106	403
9569	5850	447	70	625
9645	5900	449	65	657
9725	5950	449	69	625
9813	6000	449	77	568
9893	6050	453	69	625
9969	6100	454	65	657
10101	6150	454	112	378
10183	6200	454	72	609
10273	6250	454	67	555
10343	6300	454	60	714
10441	6350	455	70	510
10531	6400	455	79	555
10629	6450	455	71	510
10761	6500	455	110	378
10857	6550	456	76	520
10953	6600	456	78	520
11035	6650	456	66	609
11125	6700	459	69	555
11228	6750	459	84	485
11322	6800	459	76	531
11396	6850	459	62	675
11478	6900	459	66	609
11588	6950	463	73	454
11705	7000	464	91	427
11791	7050	468	70	581
11869	7100	468	64	641
11948	7150	468	65	632
12047	7200	468	77	505
12145	7250	468	70	510
12237	7300	468	77	543
12325	7350	471	76	568
12429	7400	471	93	480
12517	7450	478	78	568
12621	7500	482	84	480
12709	7550	482	79	568
12813	7600	482	93	480
12909	7650	482	87	520
13054	7700	482	133	344
13183	7750	482	120	387
13355	7800	488	149	290
13461	7850	488	91	471
13549	7900	496	75	568
13644	7950	497	76	526
13736	8000	497	80	543
13814	8050	498	67	641
13893	8100	498	68	632
13974	8150	499	68	617
14061	8200	499	77	574
14142	8250	507	68	617
14224	8300	507	69	609
14304	8350	513	68	625
14421	8400	520	90	427
14509	8450	520	79	568
14599	8500	523	79	555
14689	8550	523	80	555
14797	8600	523	93	462
14909	8650	523	91	446
15009	8700	529	89	500
15113	8750	538	93	480
15269	8800	538	147	320
15423	8850	543	136	324
15584	8900	543	141	310
15697	8950	544	102	442
15805	9000	548	95	462
15897	9050	549	83	543
15993	9100	549	84	520
16089	9150	549	87	520
16197	9200	560	97	462
16285	9250	560	78	568
