#Time(ms)	States	Instructions	GC Time	Speed(st/s)
629	50	18	114	0
1011	100	37	50	130
1107	150	55	41	520
1176	200	62	37	724
1239	250	79	33	793
1283	300	109	29	1136
1336	350	138	34	943
1396	400	146	36	833
1463	450	157	43	746
1518	500	171	40	909
1615	550	180	42	515
1679	600	194	45	781
1747	650	202	49	735
1799	700	207	32	961
1855	750	211	33	892
1921	800	214	33	757
1974	850	218	35	943
2027	900	221	37	943
2079	950	225	34	961
2133	1000	229	38	925
2183	1050	232	36	1000
2251	1100	234	42	735
2319	1150	238	42	735
2382	1200	239	47	793
2447	1250	241	40	769
2507	1300	246	46	833
2567	1350	248	43	833
2623	1400	254	46	892
2703	1450	256	56	625
2756	1500	258	42	943
2807	1550	263	39	980
2876	1600	266	43	724
2935	1650	266	40	847
2999	1700	271	44	781
3079	1750	271	58	625
3144	1800	281	54	769
3195	1850	281	42	980
3247	1900	285	42	961
3303	1950	287	43	892
3357	2000	291	44	925
3417	2050	294	42	833
3467	2100	296	42	1000
3523	2150	301	47	892
3587	2200	301	53	781
3663	2250	306	55	657
3725	2300	310	47	806
3775	2350	310	41	1000
3843	2400	316	50	735
3896	2450	324	41	943
3951	2500	324	44	909
4008	2550	326	46	877
4083	2600	338	60	666
4166	2650	338	60	602
4235	2700	344	50	724
4313	2750	344	58	641
4403	2800	354	75	555
4474	2850	354	51	704
4541	2900	358	47	746
4604	2950	358	48	793
4669	3000	364	51	769
4735	3050	364	52	757
4803	3100	372	54	735
4863	3150	372	51	833
4961	3200	373	87	510
5043	3250	376	65	609
5119	3300	378	58	657
5183	3350	381	54	781
5251	3400	381	57	735
5324	3450	382	52	684
5391	3500	382	57	746
5463	3550	390	58	694
5535	3600	392	61	694
5607	3650	393	61	694
5679	3700	393	60	694
5751	3750	394	60	694
5839	3800	402	71	568
5919	3850	405	60	625
5991	3900	405	59	694
6067	3950	409	66	657
6139	4000	409	60	694
6219	4050	409	68	625
6331	4100	413	94	446
6434	4150	413	92	485
6562	4200	413	106	390
6680	4250	414	94	423
6775	4300	414	76	526
6847	4350	414	59	694
6951	4400	417	79	480
7027	4450	418	63	657
7099	4500	418	58	694
7167	4550	418	57	735
7255	4600	418	68	568
7372	4650	418	97	427
7455	4700	421	70	602
7527	4750	424	59	694
7623	4800	424	77	520
7703	4850	425	64	625
7785	4900	425	65	609
7863	4950	425	65	641
7943	5000	425	69	625
8067	5050	425	106	403
8143	5100	425	65	657
8231	5150	426	69	568
8327	5200	435	76	520
8440	5250	435	102	442
8528	5300	435	66	568
8605	5350	436	65	649
8687	5400	436	69	609
8799	5450	441	82	446
8871	5500	441	61	694
8963	5550	442	70	543
9053	5600	442	79	555
9139	5650	443	67	581
9223	5700	447	71	595
9299	5750	447	65	657
9395	5800	447	74	520
9479	5850	447	70	595
9559	5900	449	68	625
9684	5950	449	114	400
9787	6000	449	82	485
9867	6050	453	65	625
9955	6100	454	67	568
10055	6150	454	87	500
10145	6200	454	79	555
10223	6250	454	65	641
10303	6300	454	68	625
10395	6350	455	69	543
10495	6400	455	81	500
10602	6450	455	88	467
10683	6500	455	71	617
10779	6550	456	82	520
10875	6600	456	85	520
10971	6650	456	72	520
11048	6700	459	66	649
11147	6750	459	74	505
11238	6800	459	79	549
11333	6850	459	76	526
11419	6900	459	71	581
11523	6950	463	74	480
11627	7000	464	79	480
11731	7050	468	73	480
11815	7100	468	71	595
11911	7150	468	73	520
12039	7200	468	105	390
12135	7250	468	75	520
12219	7300	468	73	595
12315	7350	471	80	520
12415	7400	471	90	500
12495	7450	478	70	625
12591	7500	482	76	520
12687	7550	482	86	520
12795	7600	482	97	462
12883	7650	482	78	568
12979	7700	482	85	520
13115	7750	482	125	367
13279	7800	488	145	304
13422	7850	489	132	349
13555	7900	497	119	375
13647	7950	497	74	543
13743	8000	497	85	520
13839	8050	498	85	520
13935	8100	498	81	520
14043	8150	499	97	462
14211	8200	499	153	297
14299	8250	507	75	568
14383	8300	512	75	595
14495	8350	520	79	446
14595	8400	520	88	500
14728	8450	520	122	375
14811	8500	523	74	602
14892	8550	523	70	617
15005	8600	523	92	442
15082	8650	525	68	649
15164	8700	536	68	609
15244	8750	538	68	625
15339	8800	541	79	526
15430	8850	543	69	549
15508	8900	544	68	641
15601	8950	548	74	537
15691	9000	548	80	555
15796	9050	549	81	476
15889	9100	549	74	537
15978	9150	560	70	561
16091	9200	560	95	442
16199	9250	566	96	462
16311	9300	566	90	446
16403	9350	567	83	543
16503	9400	571	90	500
16595	9450	577	78	543
16727	9500	577	115	378
16821	9550	583	83	531
16917	9600	583	85	520
17002	9650	586	73	588
17084	9700	586	72	609
17166	9750	590	72	609
17261	9800	590	83	526
17342	9850	591	72	617
17435	9900	595	73	537
17519	9950	595	72	595
17616	10000	595	85	515
17719	10050	602	77	485
17819	10100	602	83	500
17920	10150	611	82	495
18055	10200	615	110	370
18163	10250	623	88	462
18263	10300	624	84	500
18363	10350	624	85	500
18479	10400	624	104	431
18585	10450	627	92	471
18683	10500	627	89	510
18783	10550	628	87	500
18887	10600	630	93	480
19048	10650	630	151	310
19215	10700	636	146	299
19359	10750	636	124	347
19467	10800	640	97	462
19563	10850	648	85	520
19667	10900	648	90	480
19775	10950	649	98	462
19893	11000	650	105	423
19991	11050	650	89	510
20131	11100	655	119	357
20231	11150	655	85	500
20339	11200	656	97	462
20439	11250	656	84	500
20535	11300	656	86	520
20660	11350	667	105	400
20806	11400	670	115	342
20917	11450	670	99	450
21012	11500	670	79	526
21135	11550	671	94	406
21241	11600	671	94	471
21342	11650	671	81	495
21431	11700	672	80	561
21521	11750	674	79	555
21647	11800	675	103	396
21761	11850	675	104	438
21853	11900	683	80	543
21947	11950	687	81	531
22055	12000	687	94	462
22159	12050	688	86	480
22250	12100	700	80	549
22340	12150	700	81	555
22455	12200	700	95	434
22546	12250	703	81	549
22637	12300	703	81	549
22729	12350	704	83	543
22838	12400	704	96	458
22931	12450	704	82	537
23025	12500	711	82	531
23121	12550	711	84	520
23226	12600	711	96	476
23319	12650	720	82	537
23415	12700	720	83	520
23508	12750	720	83	537
23618	12800	721	97	454
23717	12850	721	84	505
23809	12900	721	84	543
23905	12950	723	84	520
24019	13000	723	102	438
24114	13050	723	83	526
24208	13100	728	84	531
24335	13150	728	104	393
24456	13200	728	112	413
24551	13250	733	85	526
24648	13300	739	86	515
24755	13350	739	87	467
24863	13400	739	99	462
24959	13450	743	86	520
25057	13500	743	88	510
25153	13550	744	85	520
25269	13600	744	102	431
25367	13650	744	88	510
25463	13700	744	87	520
25562	13750	747	87	505
25682	13800	747	103	416
25780	13850	747	88	510
25876	13900	747	87	520
25975	13950	760	88	505
26095	14000	760	105	416
26211	14050	760	97	431
26311	14100	761	88	500
26412	14150	762	90	495
26551	14200	762	118	359
26655	14250	775	96	480
26803	14300	783	99	337
26919	14350	783	105	431
27051	14400	783	122	378
27225	14450	783	165	287
27343	14500	783	98	423
27455	14550	783	100	446
27591	14600	783	123	367
27703	14650	784	100	446
27819	14700	784	105	431
27931	14750	784	100	446
28131	14800	785	189	250
28241	14850	785	99	454
28346	14900	785	93	476
28471	14950	788	106	400
28592	15000	788	111	413
28696	15050	788	93	480
28798	15100	788	93	490
28910	15150	788	95	446
29034	15200	788	113	403
29140	15250	788	95	471
29245	15300	788	93	476
29371	15350	788	103	396
29515	15400	788	132	347
29639	15450	788	113	403
29755	15500	790	104	431
29871	15550	790	105	431
30034	15600	790	152	306
30138	15650	790	94	480
30244	15700	790	95	471
30371	15750	790	105	393
30507	15800	790	126	367
30627	15850	791	103	416
30743	15900	791	105	431
30852	15950	791	96	458
30972	16000	791	111	416
31082	16050	791	97	454
31189	16100	791	96	467
31295	16150	791	96	471
31423	16200	791	113	390
31534	16250	791	99	450
31641	16300	791	97	467
31744	16350	791	95	485
31891	16400	791	125	340
32011	16450	791	107	416
32139	16500	791	108	390
32259	16550	791	111	416
32395	16600	791	124	367
32601	16650	791	194	242
32739	16700	791	129	362
32859	16750	791	109	416
32995	16800	791	124	367
33123	16850	791	115	390
33243	16900	791	110	416
33367	16950	791	111	403
33514	17000	791	125	340
33719	17050	791	190	243
33832	17100	791	104	442
33963	17150	791	110	381
34127	17200	791	144	304
34249	17250	791	102	409
34360	17300	791	100	450
34472	17350	791	100	446
34599	17400	791	116	393
34723	17450	791	108	403
34855	17500	791	112	378
34975	17550	791	109	416
35145	17600	791	161	294
35270	17650	791	111	400
35395	17700	791	112	400
35515	17750	791	109	416
35647	17800	791	124	378
35779	17850	791	111	378
35919	17900	791	119	357
36043	17950	793	113	403
36183	18000	793	129	357
36331	18050	793	131	337
36463	18100	793	121	378
36673	18150	793	200	238
36819	18200	793	127	342
37049	18250	793	207	217
37266	18300	793	201	230
37407	18350	793	132	354
37643	18400	793	227	211
37783	18450	793	122	357
37998	18500	793	203	232
38123	18550	793	114	400
38375	18600	796	239	198
38599	18650	796	210	223
38816	18700	805	205	230
38955	18750	805	126	359
39205	18800	805	236	200
39443	18850	805	211	210
39595	18900	805	129	328
39812	18950	805	206	230
39975	19000	805	155	306
40205	19050	805	211	217
40351	19100	805	127	342
40562	19150	805	200	236
40723	19200	805	150	310
40955	19250	805	207	215
41094	19300	805	125	359
41320	19350	805	211	221
41463	19400	805	135	349
41692	19450	805	211	218
41846	19500	805	132	324
42015	19550	808	158	295
42263	19600	808	238	201
42487	19650	811	206	223
42727	19700	811	221	208
42963	19750	812	214	211
43231	19800	812	251	186
43447	19850	815	207	231
43610	19900	815	146	306
43767	19950	815	132	318
43915	20000	815	134	337
44043	20050	815	119	390
44179	20100	815	126	367
44321	20150	815	113	352
44462	20200	815	127	354
44592	20250	815	108	384
44706	20300	815	106	438
44847	20350	815	119	354
45015	20400	815	142	297
45147	20450	815	118	378
45279	20500	815	122	378
45403	20550	818	115	403
45583	20600	818	157	277
45735	20650	818	129	328
45875	20700	824	127	357
46104	20750	824	219	218
46319	20800	824	205	232
46467	20850	824	122	337
46604	20900	824	115	364
46728	20950	824	112	403
46863	21000	825	127	370
46985	21050	825	111	409
47121	21100	825	117	367
47261	21150	825	118	357
47427	21200	825	140	301
47567	21250	825	118	357
47715	21300	825	125	337
47871	21350	825	126	320
48047	21400	825	153	284
48255	21450	825	189	240
48475	21500	825	212	227
48615	21550	825	123	357
48839	21600	825	198	223
49035	21650	829	176	255
49228	21700	833	177	259
49415	21750	833	179	267
49628	21800	836	202	234
49839	21850	836	178	236
50043	21900	836	178	245
50243	21950	836	184	250
50439	22000	836	187	255
50627	22050	841	176	265
50781	22100	841	129	324
50943	22150	841	139	308
51255	22200	841	274	160
51495	22250	841	228	208
51733	22300	841	224	210
52009	22350	841	243	181
52290	22400	841	262	177
52471	22450	841	137	276
52607	22500	841	125	367
52743	22550	841	126	367
52923	22600	841	149	277
53075	22650	841	128	328
53231	22700	845	130	320
53379	22750	845	130	337
53531	22800	846	142	328
53743	22850	846	180	235
53911	22900	846	133	297
54079	22950	846	139	297
54318	23000	846	209	209
54445	23050	846	118	393
54580	23100	846	117	370
54764	23150	846	138	271
54924	23200	846	141	312
55055	23250	846	118	381
55177	23300	847	114	409
55310	23350	847	118	375
55476	23400	847	144	301
55608	23450	847	119	378
55745	23500	847	120	364
55868	23550	847	114	406
56023	23600	847	138	322
56199	23650	847	133	284
56334	23700	847	120	370
56471	23750	850	121	364
56618	23800	850	137	340
56749	23850	850	117	381
56891	23900	850	123	352
