#Time(ms)	States	Instructions	GC Time	Speed(st/s)
625	50	18	111	0
1034	100	37	61	122
1178	150	55	69	347
1318	200	62	78	357
1417	250	79	62	505
1510	300	109	48	537
1590	350	138	51	625
1677	400	146	38	574
1731	450	157	30	925
1802	500	171	40	704
1898	550	180	40	520
1961	600	194	34	793
2032	650	202	47	704
2096	700	207	40	781
2159	750	211	42	793
2238	800	214	56	632
2300	850	218	40	806
2348	900	221	36	1041
2394	950	225	34	1086
2458	1000	229	42	781
2510	1050	232	40	961
2578	1100	234	43	735
2651	1150	238	48	684
2712	1200	239	44	819
2766	1250	241	38	925
2814	1300	246	37	1041
2884	1350	248	49	714
2934	1400	254	42	1000
2998	1450	256	43	781
3054	1500	258	45	892
3129	1550	263	57	666
3209	1600	266	69	625
3266	1650	266	47	877
3321	1700	271	40	909
3382	1750	271	46	819
3441	1800	281	48	847
3493	1850	281	44	961
3542	1900	285	39	1020
3614	1950	287	60	694
3670	2000	291	46	892
3722	2050	294	41	961
3787	2100	296	58	769
3838	2150	301	40	980
3894	2200	301	47	892
3958	2250	306	47	781
4018	2300	310	48	833
4077	2350	310	48	847
4137	2400	316	46	833
4194	2450	324	46	877
4251	2500	324	47	877
4310	2550	326	46	847
4387	2600	338	59	649
4444	2650	338	48	877
4512	2700	344	48	735
4574	2750	344	50	806
4638	2800	354	52	781
4702	2850	354	52	781
4758	2900	358	47	892
4834	2950	358	59	657
4902	3000	364	54	735
4962	3050	364	52	833
5022	3100	372	52	833
5082	3150	372	52	833
5154	3200	373	62	694
5242	3250	373	76	568
5326	3300	378	70	595
5396	3350	381	56	714
5490	3400	381	85	531
5554	3450	382	54	781
5614	3500	382	52	833
5718	3550	390	83	480
5790	3600	392	62	694
5856	3650	393	58	757
5922	3700	393	56	757
5998	3750	394	60	657
6070	3800	400	61	694
6136	3850	405	53	757
6214	3900	405	59	641
6282	3950	409	58	735
6358	4000	409	66	657
6426	4050	409	59	735
6498	4100	413	61	694
6574	4150	413	65	657
6654	4200	413	71	625
6726	4250	414	61	694
6837	4300	414	98	450
6922	4350	414	75	588
7006	4400	417	66	595
7086	4450	418	61	625
7158	4500	418	62	694
7234	4550	418	64	657
7318	4600	418	71	595
7386	4650	418	58	735
7486	4700	424	83	500
7570	4750	424	73	595
7650	4800	424	69	625
7738	4850	425	66	568
7810	4900	425	62	694
7930	4950	425	99	416
8062	5000	425	120	378
8172	5050	425	99	454
8254	5100	426	62	609
8336	5150	433	66	609
8417	5200	435	71	617
8502	5250	435	67	588
8598	5300	435	87	520
8677	5350	436	69	632
8766	5400	440	75	561
8842	5450	441	64	657
8922	5500	441	66	625
8998	5550	442	68	657
9082	5600	443	74	595
9158	5650	446	65	657
9234	5700	447	66	657
9343	5750	447	90	458
9423	5800	447	71	625
9514	5850	447	70	549
9598	5900	449	72	595
9671	5950	449	59	684
9770	6000	453	77	505
9854	6050	454	68	595
9942	6100	454	70	568
10026	6150	454	68	595
10118	6200	454	80	543
10206	6250	454	73	568
10290	6300	455	73	595
10370	6350	455	70	625
10478	6400	455	85	462
10600	6450	455	113	409
10738	6500	456	119	362
10818	6550	456	71	625
10906	6600	456	77	568
10994	6650	459	74	568
11074	6700	459	68	625
11158	6750	459	75	595
11246	6800	459	78	568
11330	6850	459	74	595
11410	6900	459	71	625
11506	6950	460	86	520
11606	7000	468	82	500
11686	7050	468	71	625
11774	7100	468	77	568
11858	7150	468	74	595
11954	7200	468	85	520
12037	7250	468	74	602
12130	7300	468	78	537
12214	7350	475	76	595
12322	7400	478	97	462
12414	7450	482	83	543
12554	7500	482	129	357
12689	7550	482	126	370
12850	7600	482	143	310
13002	7650	482	135	328
13134	7700	482	122	378
13218	7750	482	75	595
13322	7800	491	83	480
13414	7850	497	79	543
13498	7900	497	75	595
13582	7950	498	75	595
13678	8000	498	87	520
13767	8050	499	78	561
13854	8100	499	79	574
13940	8150	499	75	581
14034	8200	500	85	531
14118	8250	513	75	595
14258	8300	520	131	357
14357	8350	520	88	505
14452	8400	523	85	526
14535	8450	523	75	602
14621	8500	523	72	581
14718	8550	523	80	515
14818	8600	529	89	500
14926	8650	531	98	462
15065	8700	534	131	359
15174	8750	541	91	458
15270	8800	541	88	520
15358	8850	543	79	568
15443	8900	548	76	588
15534	8950	549	80	549
15634	9000	549	90	500
15726	9050	550	84	543
15822	9100	550	85	520
15906	9150	550	76	595
16006	9200	564	91	500
16095	9250	566	80	561
16182	9300	567	78	574
16274	9350	571	81	543
16370	9400	575	88	520
16521	9450	577	142	331
16646	9500	579	116	400
16734	9550	579	79	568
16838	9600	583	94	480
16926	9650	583	79	568
17014	9700	589	78	568
17110	9750	589	87	520
17222	9800	590	103	446
17318	9850	591	86	520
17422	9900	591	96	480
17518	9950	595	86	520
17626	10000	602	98	462
17722	10050	602	88	520
17834	10100	602	93	446
17998	10150	606	151	304
18202	10200	614	191	245
18357	10250	623	145	322
18526	10300	624	144	295
18638	10350	624	104	446
18753	10400	624	100	434
18859	10450	625	86	471
18978	10500	625	101	420
19071	10550	627	76	537
19202	10600	629	108	381
19315	10650	629	99	442
19430	10700	632	105	434
19538	10750	632	100	462
19642	10800	636	94	480
19742	10850	643	89	500
19834	10900	643	84	543
19930	10950	648	87	520
20085	11000	649	144	322
20174	11050	649	82	561
20270	11100	650	85	520
20370	11150	650	90	500
20482	11200	651	103	446
20594	11250	656	99	446
20698	11300	656	93	480
20789	11350	663	78	549
20894	11400	663	91	476
20988	11450	663	79	531
21094	11500	663	97	471
21194	11550	670	87	500
21336	11600	671	117	352
21434	11650	671	89	510
21528	11700	671	83	531
21626	11750	672	86	510
21742	11800	674	107	431
21842	11850	674	89	500
21935	11900	674	84	537
22038	11950	681	87	485
22147	12000	682	95	458
22250	12050	682	81	485
22339	12100	682	81	561
22430	12150	687	81	549
22537	12200	697	95	467
22624	12250	697	80	574
22717	12300	698	82	537
22809	12350	702	82	543
22914	12400	702	95	476
23010	12450	702	84	520
23122	12500	703	91	446
23223	12550	703	90	495
23330	12600	708	96	467
