#Time(ms)	States	Instructions	GC Time	Speed(st/s)
337	50	18	47	0
550	100	37	24	234
642	150	55	31	543
735	200	62	50	537
806	250	79	34	704
851	300	109	30	1111
907	350	138	27	892
969	400	146	36	806
1030	450	157	36	819
1083	500	171	38	943
1178	550	180	33	526
1238	600	194	39	833
1304	650	202	46	757
1370	700	207	44	757
1430	750	211	46	833
1498	800	214	33	735
1562	850	218	38	781
1617	900	221	35	909
1668	950	225	35	980
1726	1000	229	39	862
1778	1050	232	37	961
1838	1100	234	38	833
1898	1150	238	41	833
1962	1200	239	43	781
2022	1250	241	40	833
2074	1300	246	38	961
2145	1350	248	45	704
2198	1400	254	41	943
2270	1450	256	48	694
2330	1500	258	51	833
2402	1550	263	62	694
2470	1600	266	58	735
2524	1650	266	38	925
2582	1700	271	43	862
2640	1750	271	47	862
2710	1800	281	53	714
2778	1850	281	56	735
2830	1900	285	44	961
2890	1950	287	52	833
2950	2000	291	51	833
3006	2050	294	44	892
3058	2100	296	45	961
3112	2150	301	45	925
3166	2200	301	44	925
3234	2250	306	47	735
3294	2300	310	46	833
3354	2350	310	47	833
3426	2400	316	52	694
3482	2450	324	45	892
3538	2500	324	45	892
3606	2550	326	57	735
3666	2600	338	47	833
3726	2650	338	50	833
3786	2700	344	47	833
3854	2750	344	55	735
3930	2800	354	63	657
4002	2850	354	55	694
4062	2900	358	46	833
4131	2950	358	58	724
4202	3000	364	57	704
4266	3050	364	55	781
4326	3100	372	51	833
4386	3150	372	51	833
4458	3200	373	61	694
4554	3250	373	82	520
4662	3300	378	90	462
4759	3350	381	83	515
4849	3400	381	76	555
4920	3450	382	54	704
4990	3500	382	52	714
5062	3550	390	57	694
5134	3600	392	60	694
5198	3650	393	54	781
5302	3700	393	82	480
5370	3750	394	57	735
5442	3800	399	59	694
5518	3850	405	57	657
5618	3900	405	86	500
5686	3950	409	53	735
5758	4000	409	60	694
5826	4050	409	56	735
5902	4100	413	58	657
6009	4150	413	86	467
6086	4200	413	65	649
6162	4250	414	61	657
6234	4300	414	59	694
6308	4350	414	62	675
6390	4400	415	66	609
6462	4450	418	58	694
6538	4500	418	65	657
6614	4550	418	65	657
6690	4600	418	66	657
6762	4650	418	62	694
6846	4700	418	62	595
6930	4750	424	74	595
7011	4800	424	70	617
7081	4850	425	59	714
7174	4900	425	75	537
7254	4950	425	66	625
7338	5000	425	75	595
7410	5050	425	60	694
7482	5100	425	61	694
7588	5150	426	94	471
7670	5200	433	70	609
7742	5250	435	63	694
7834	5300	435	80	543
7910	5350	435	65	657
7994	5400	436	74	595
8086	5450	440	70	543
8165	5500	441	68	632
8290	5550	442	110	400
8378	5600	442	78	568
8458	5650	443	70	625
8542	5700	446	72	595
8618	5750	447	68	657
8714	5800	447	85	520
8838	5850	447	115	403
8918	5900	449	70	625
8993	5950	449	65	666
9082	6000	449	73	561
9156	6050	453	59	675
9256	6100	454	68	500
9347	6150	454	60	549
9450	6200	454	79	485
9542	6250	454	70	543
9626	6300	455	76	595
9706	6350	455	69	625
9806	6400	455	77	500
9942	6450	455	125	367
10042	6500	455	89	500
10122	6550	456	70	625
10211	6600	456	78	561
10302	6650	456	76	549
10386	6700	459	71	595
10482	6750	459	87	520
10590	6800	459	85	462
10665	6850	459	64	666
10749	6900	459	64	595
10838	6950	459	69	561
10958	7000	464	83	416
11050	7050	468	84	543
11136	7100	468	69	581
