#Time(ms)	States	Instructions	GC Time	Speed(st/s)
342	50	18	58	0
566	100	37	28	223
666	150	55	34	500
760	200	62	42	531
826	250	79	30	757
886	300	109	35	833
936	350	138	27	1000
1000	400	146	29	781
1055	450	157	33	909
1114	500	171	40	847
1190	550	180	28	657
1262	600	194	48	694
1326	650	202	39	781
1394	700	207	44	735
1454	750	211	45	833
1530	800	214	47	657
1585	850	218	39	909
1634	900	221	34	1020
1702	950	225	55	735
1762	1000	229	45	833
1818	1050	232	40	892
1885	1100	234	48	746
1954	1150	238	45	724
2023	1200	239	48	724
2074	1250	241	37	980
2124	1300	246	34	1000
2206	1350	248	46	609
2258	1400	254	41	961
2338	1450	256	52	625
2394	1500	258	40	892
2466	1550	263	60	694
2534	1600	266	55	735
2594	1650	266	42	833
2678	1700	271	65	595
2754	1750	271	61	657
2835	1800	281	67	617
2898	1850	281	47	793
2958	1900	285	44	833
3014	1950	287	45	892
3080	2000	291	54	757
3137	2050	294	40	877
3194	2100	296	44	877
3248	2150	301	44	925
3310	2200	301	50	806
3382	2250	306	46	694
3442	2300	310	44	833
3498	2350	310	43	892
3566	2400	316	49	735
3626	2450	324	43	833
3686	2500	324	45	833
3758	2550	326	50	694
3826	2600	338	52	735
3887	2650	338	49	819
3958	2700	344	57	704
4018	2750	344	44	833
4090	2800	354	51	694
4162	2850	354	49	694
4234	2900	358	51	694
4306	2950	358	52	694
4382	3000	364	55	657
4446	3050	364	53	781
4506	3100	372	49	833
4574	3150	372	57	735
4646	3200	373	56	694
4738	3250	376	62	543
4814	3300	378	53	657
4886	3350	381	55	694
5000	3400	381	93	438
5102	3450	382	88	490
5202	3500	382	87	500
5289	3550	390	70	574
5366	3600	392	64	649
5430	3650	393	52	781
5502	3700	393	55	694
5586	3750	394	63	595
5658	3800	402	59	694
5740	3850	404	60	609
5814	3900	405	55	675
5898	3950	409	63	595
5970	4000	409	59	694
6050	4050	409	59	625
6159	4100	413	90	458
6238	4150	413	59	632
6318	4200	413	64	625
6434	4250	414	89	431
6514	4300	414	64	625
6586	4350	414	58	694
6670	4400	417	66	595
6754	4450	418	66	595
6866	4500	418	98	446
6943	4550	418	58	649
7030	4600	418	68	574
7102	4650	418	59	694
7186	4700	421	62	595
7278	4750	424	78	543
7370	4800	424	78	543
7462	4850	425	70	543
7538	4900	425	64	657
7618	4950	425	66	625
7729	5000	425	100	450
7809	5050	425	59	625
7882	5100	425	61	684
7982	5150	426	78	500
8074	5200	435	71	543
8149	5250	435	63	666
8246	5300	435	71	515
8326	5350	436	66	625
8422	5400	436	79	520
8503	5450	441	65	617
8580	5500	441	61	649
8663	5550	442	66	602
8770	5600	442	75	467
8866	5650	443	77	520
8958	5700	447	70	543
9042	5750	447	72	595
9138	5800	447	81	520
9262	5850	447	113	403
9344	5900	449	64	609
9430	5950	449	67	581
9538	6000	449	87	462
9622	6050	453	72	595
9708	6100	454	69	581
9798	6150	454	69	555
9898	6200	454	77	500
9985	6250	454	64	574
10061	6300	454	60	657
10160	6350	455	68	505
10270	6400	455	79	454
10390	6450	455	84	416
10474	6500	455	69	595
10622	6550	456	116	337
10758	6600	456	114	367
10849	6650	456	62	549
10925	6700	459	62	657
11008	6750	459	62	602
11094	6800	459	70	581
11177	6850	459	63	602
11253	6900	459	62	657
11369	6950	463	67	431
11456	7000	464	71	574
11564	7050	468	73	462
11654	7100	468	75	555
11759	7150	468	89	476
11859	7200	468	75	500
11958	7250	468	68	505
12046	7300	468	68	568
12154	7350	471	74	462
12246	7400	471	81	543
12342	7450	478	74	520
12438	7500	482	73	520
12520	7550	482	71	609
12621	7600	482	84	495
12718	7650	482	85	515
12818	7700	482	79	500
12902	7750	482	73	595
13010	7800	488	85	462
13094	7850	490	74	595
13242	7900	497	136	337
13385	7950	497	123	349
13551	8000	497	150	301
13658	8050	498	91	467
13754	8100	498	82	520
13842	8150	499	77	568
13950	8200	502	96	462
14046	8250	507	77	520
14124	8300	513	66	641
14234	8350	520	83	454
14338	8400	520	91	480
14442	8450	520	84	480
14530	8500	523	77	568
14642	8550	523	91	446
14754	8600	523	93	446
14846	8650	526	82	543
14954	8700	536	89	462
15101	8750	538	136	340
15273	8800	542	152	290
15427	8850	543	133	324
15542	8900	544	104	434
15632	8950	548	78	555
15732	9000	548	85	500
15834	9050	549	79	490
15921	9100	549	71	574
16023	9150	560	80	490
16120	9200	560	81	515
16207	9250	566	70	574
16295	9300	566	72	568
16390	9350	567	74	526
16502	9400	571	92	446
16588	9450	577	75	581
16686	9500	581	79	510
16790	9550	583	84	480
16890	9600	583	90	500
17018	9650	586	106	390
17174	9700	586	144	320
17266	9750	590	81	543
17367	9800	590	88	495
17451	9850	591	72	595
17540	9900	595	73	561
17623	9950	595	72	602
17723	10000	595	86	500
17819	10050	602	73	520
17918	10100	602	82	505
18018	10150	611	83	500
18132	10200	615	103	438
18246	10250	623	86	438
