#Time(ms)	States	Instructions	GC Time	Speed(st/s)
347	50	18	55	0
581	100	37	34	213
666	150	55	37	588
750	200	62	42	595
806	250	79	33	892
866	300	109	37	833
914	350	138	28	1041
982	400	146	41	735
1047	450	157	45	769
1109	500	171	45	806
1202	550	180	37	537
1254	600	194	33	961
1316	650	202	37	806
1370	700	207	33	925
1426	750	211	33	892
1494	800	214	39	735
1546	850	218	33	961
1614	900	221	47	735
1667	950	225	35	943
1730	1000	229	47	793
1802	1050	232	51	694
1863	1100	234	42	819
1938	1150	238	54	666
1998	1200	239	46	833
2067	1250	241	48	724
2130	1300	246	49	793
2190	1350	248	42	833
2266	1400	254	65	657
2358	1450	256	68	543
2425	1500	258	54	746
2504	1550	263	59	632
2582	1600	266	66	641
2660	1650	266	55	641
2734	1700	271	60	675
2816	1750	271	60	609
2900	1800	281	65	595
2958	1850	281	42	862
3014	1900	285	43	892
3070	1950	287	45	892
3130	2000	291	43	833
3190	2050	294	39	833
3266	2100	296	54	657
3323	2150	301	44	877
3402	2200	301	62	632
3466	2250	306	46	781
3530	2300	310	44	781
3585	2350	310	44	909
3658	2400	316	51	684
3718	2450	324	47	833
3782	2500	324	52	781
3845	2550	326	42	793
3928	2600	338	56	602
3994	2650	338	46	757
4062	2700	344	45	735
4150	2750	344	67	568
4222	2800	354	59	694
4294	2850	354	52	694
4366	2900	358	55	694
4438	2950	358	51	694
4506	3000	364	53	735
4566	3050	364	50	833
4638	3100	372	62	694
4724	3150	372	76	581
4806	3200	373	69	609
4898	3250	373	55	543
4974	3300	378	57	657
5046	3350	381	50	694
5126	3400	381	59	625
5227	3450	382	85	495
5317	3500	382	68	555
5402	3550	390	59	588
5478	3600	392	59	657
5546	3650	393	52	735
5614	3700	393	51	735
5703	3750	394	61	561
5782	3800	400	57	632
5858	3850	405	54	657
5941	3900	405	58	602
6010	3950	409	57	724
6082	4000	409	59	694
6162	4050	409	59	625
6234	4100	413	56	694
6322	4150	413	67	568
6394	4200	413	62	694
6478	4250	414	60	595
6550	4300	414	58	694
6626	4350	414	65	657
6734	4400	417	97	462
6812	4450	418	65	641
6881	4500	418	56	724
6950	4550	418	58	724
7038	4600	418	71	568
7108	4650	418	59	714
7210	4700	424	75	490
7286	4750	424	66	657
7370	4800	424	72	595
7446	4850	425	63	657
7523	4900	425	60	649
7609	4950	425	73	581
7687	5000	425	67	641
7770	5050	425	62	602
7854	5100	425	66	595
7946	5150	431	82	543
8026	5200	435	62	625
8123	5250	435	63	515
8202	5300	435	64	632
8286	5350	436	65	595
8370	5400	440	75	595
8462	5450	441	69	543
8538	5500	441	65	657
8614	5550	442	65	657
8702	5600	442	76	568
8822	5650	445	110	416
8910	5700	447	75	568
8996	5750	447	68	581
9082	5800	447	74	581
9158	5850	447	64	657
9258	5900	449	90	500
9342	5950	449	70	595
9430	6000	449	78	568
9514	6050	453	72	595
9590	6100	454	67	657
9686	6150	454	75	520
9770	6200	454	74	595
9902	6250	454	111	378
9991	6300	455	78	561
10073	6350	455	66	609
10174	6400	455	77	495
10258	6450	455	66	595
10353	6500	455	67	526
10427	6550	456	63	675
10532	6600	456	73	476
10605	6650	459	60	684
10682	6700	459	62	649
10761	6750	459	61	632
10856	6800	459	72	526
10929	6850	459	62	684
11014	6900	459	63	588
11087	6950	460	62	684
11209	7000	468	79	409
11309	7050	468	78	500
11406	7100	468	74	515
11486	7150	468	68	625
11594	7200	468	85	462
11678	7250	468	73	595
11774	7300	468	75	520
11858	7350	468	74	595
11982	7400	478	103	403
12074	7450	482	78	543
12162	7500	482	71	568
12266	7550	482	83	480
12423	7600	482	146	318
12566	7650	482	122	349
12708	7700	482	131	352
12817	7750	482	87	458
12917	7800	489	89	500
13002	7850	497	73	588
13086	7900	497	74	595
13194	7950	498	84	462
13290	8000	498	86	520
13426	8050	498	117	367
13510	8100	499	74	595
13614	8150	499	83	480
13714	8200	499	87	500
13806	8250	513	79	543
13902	8300	520	85	520
13998	8350	520	87	520
14110	8400	520	95	446
14202	8450	523	83	543
14298	8500	523	79	520
14434	8550	523	125	367
14611	8600	529	168	282
14756	8650	531	129	344
14866	8700	531	101	454
14954	8750	541	77	568
15050	8800	541	86	520
15158	8850	542	86	462
15250	8900	548	80	543
15338	8950	549	78	568
15515	9000	549	156	282
15618	9050	549	94	485
15706	9100	550	75	568
15794	9150	550	78	568
15894	9200	562	89	500
15990	9250	566	85	520
16090	9300	567	90	500
16186	9350	567	82	520
16302	9400	575	107	431
16398	9450	577	86	520
16498	9500	579	87	500
16590	9550	579	83	543
16770	9600	583	163	277
16915	9650	583	134	344
17057	9700	589	132	352
17162	9750	589	89	476
17262	9800	590	90	500
17366	9850	591	84	480
17454	9900	591	75	568
17557	9950	595	82	485
