#Time(ms)	States	Instructions	GC Time	Speed(st/s)
320	50	18	48	0
536	100	37	26	231
628	150	55	27	543
712	200	62	40	595
784	250	79	33	694
840	300	109	33	892
893	350	138	28	943
960	400	146	35	746
1008	450	157	36	1041
1052	500	171	30	1136
1144	550	180	33	543
1195	600	194	32	980
1258	650	202	39	793
1324	700	207	35	757
1388	750	211	43	781
1460	800	214	40	694
1513	850	218	38	943
1564	900	221	34	980
1630	950	225	45	757
1688	1000	229	40	862
1736	1050	232	35	1041
1806	1100	234	44	714
1868	1150	238	42	806
1937	1200	239	57	724
1999	1250	241	42	806
2052	1300	246	43	943
2107	1350	248	39	909
2160	1400	254	44	943
2222	1450	256	45	806
2278	1500	258	46	892
2333	1550	263	47	909
2400	1600	266	47	746
2456	1650	267	45	892
2524	1700	271	57	735
2584	1750	271	49	833
2636	1800	281	42	961
2692	1850	281	43	892
2756	1900	285	55	781
2808	1950	287	44	961
2868	2000	293	51	833
2920	2050	294	42	961
2968	2100	296	41	1041
3024	2150	301	46	892
3082	2200	301	45	862
3144	2250	306	42	806
3208	2300	310	53	781
3268	2350	310	49	833
3328	2400	316	49	833
3412	2450	324	73	595
3472	2500	325	46	833
3532	2550	326	49	833
3592	2600	338	48	833
3662	2650	338	55	714
3736	2700	344	56	675
3800	2750	344	53	781
3872	2800	354	49	694
3944	2850	354	50	694
4014	2900	358	51	714
4084	2950	358	55	714
4152	3000	364	59	735
4233	3050	364	72	617
4300	3100	372	54	746
4360	3150	372	50	833
4428	3200	373	56	735
4496	3250	376	50	735
4568	3300	378	54	694
4640	3350	381	61	694
4716	3400	382	66	657
4788	3450	382	57	694
4856	3500	382	57	735
4928	3550	390	57	694
5040	3600	392	99	446
5136	3650	393	76	520
5212	3700	393	55	657
5284	3750	394	58	694
5368	3800	402	67	595
5440	3850	405	60	694
5548	3900	405	90	462
5620	3950	409	61	694
5704	4000	409	73	595
5773	4050	409	55	724
5848	4100	413	55	666
5920	4150	413	63	694
5996	4200	414	66	657
6074	4250	414	67	641
6152	4300	414	68	641
