#Time(ms)	States	Instructions	GC Time	Speed(st/s)
623	50	18	104	0
976	100	37	29	141
1066	150	55	30	555
1168	200	62	39	490
1235	250	79	43	746
1295	300	109	32	833
1360	350	138	40	769
1428	400	146	35	735
1482	450	157	32	925
1534	500	171	35	961
1624	550	180	35	555
1680	600	194	37	892
1734	650	202	32	925
1788	700	207	33	925
1836	750	211	36	1041
1912	800	214	49	657
1984	850	218	54	694
2044	900	221	49	833
2104	950	225	45	833
2160	1000	229	39	892
2212	1050	232	37	961
2272	1100	234	38	833
2340	1150	238	47	735
2416	1200	239	51	657
2484	1250	241	45	735
2542	1300	246	43	862
2600	1350	248	39	862
2660	1400	254	45	833
2729	1450	256	44	724
2788	1500	258	49	847
2840	1550	263	42	961
2898	1600	266	47	862
2952	1650	266	44	925
3008	1700	271	43	892
3064	1750	271	44	892
3116	1800	281	43	961
3164	1850	281	40	1041
3216	1900	285	39	961
3272	1950	287	46	892
3352	2000	291	70	625
3420	2050	294	56	735
3476	2100	296	48	892
3536	2150	301	50	833
3608	2200	301	50	694
3672	2250	306	47	781
3740	2300	310	48	735
3800	2350	310	49	833
3868	2400	316	52	735
3932	2450	324	51	781
4011	2500	324	66	632
4100	2550	326	69	561
4180	2600	338	58	625
4264	2650	338	57	595
4337	2700	344	58	684
4404	2750	344	52	746
4472	2800	354	55	735
4536	2850	354	50	781
4616	2900	358	69	625
4688	2950	358	60	694
4756	3000	364	56	735
4812	3050	364	47	892
4884	3100	372	63	694
4944	3150	372	51	833
5048	3200	373	93	480
5128	3250	373	55	625
5199	3300	378	51	704
5276	3350	381	59	649
5352	3400	381	64	657
5432	3450	382	57	625
5540	3500	382	90	462
5607	3550	390	52	746
5677	3600	392	57	714
5748	3650	393	58	704
5812	3700	393	53	781
5876	3750	394	53	781
5958	3800	399	70	609
6021	3850	405	49	793
6112	3900	405	55	549
6192	3950	409	60	625
6280	4000	409	77	568
6356	4050	409	58	657
6432	4100	413	62	657
6506	4150	413	63	675
6591	4200	413	64	588
6666	4250	414	57	666
6740	4300	414	59	675
6816	4350	414	62	657
6912	4400	416	71	520
6996	4450	418	61	595
7096	4500	418	76	500
7179	4550	418	72	602
7264	4600	418	70	588
7340	4650	418	65	657
7420	4700	418	66	625
7492	4750	424	63	694
7576	4800	424	73	595
7696	4850	425	108	416
7780	4900	425	75	595
7852	4950	425	61	694
7944	5000	425	72	543
8016	5050	425	60	694
8104	5100	425	73	568
8176	5150	426	63	694
8268	5200	435	72	543
8340	5250	435	62	694
8416	5300	435	65	657
8538	5350	435	111	409
8628	5400	438	80	555
8712	5450	441	65	595
8788	5500	441	66	657
8868	5550	442	69	625
8958	5600	442	79	555
9032	5650	443	64	675
9108	5700	447	64	657
9184	5750	447	67	657
9288	5800	447	93	480
9388	5850	447	90	500
9467	5900	449	68	632
9543	5950	449	66	657
9632	6000	449	79	561
9711	6050	453	65	632
9793	6100	454	66	609
9884	6150	454	71	549
9968	6200	454	75	595
10060	6250	454	77	543
10144	6300	455	74	595
10264	6350	455	109	416
10364	6400	455	80	500
10455	6450	455	80	549
10539	6500	455	72	595
10615	6550	456	68	657
10724	6600	456	93	458
10808	6650	456	76	595
10900	6700	459	72	543
10980	6750	459	71	625
11076	6800	459	85	520
11184	6850	459	99	462
11272	6900	459	77	568
11393	6950	460	112	413
11511	7000	468	76	423
11592	7050	468	73	617
11697	7100	468	70	476
11796	7150	468	76	505
11900	7200	468	90	480
12012	7250	468	104	446
12108	7300	468	76	520
12192	7350	468	71	595
12296	7400	478	87	480
12388	7450	482	71	543
12472	7500	482	74	595
12592	7550	482	111	416
12692	7600	482	89	500
12776	7650	482	75	595
12859	7700	482	73	602
12952	7750	482	79	537
13052	7800	489	86	500
13156	7850	497	90	480
13240	7900	497	75	595
13336	7950	498	77	520
13432	8000	498	86	520
13528	8050	499	85	520
13663	8100	499	127	370
13812	8150	499	133	335
13977	8200	499	152	303
14104	8250	511	108	393
14191	8300	520	77	574
14280	8350	520	78	561
14373	8400	523	81	537
14472	8450	523	80	505
14557	8500	523	69	588
14644	8550	523	68	574
14743	8600	529	79	505
14823	8650	531	69	625
14915	8700	534	73	543
14997	8750	541	70	609
15096	8800	541	79	505
15178	8850	544	69	609
15259	8900	548	69	617
15342	8950	549	70	602
15456	9000	549	91	438
15552	9050	550	87	520
15644	9100	550	82	543
15740	9150	556	87	520
15852	9200	566	99	446
15950	9250	566	89	510
16056	9300	567	94	471
16148	9350	575	81	543
16248	9400	575	91	500
16344	9450	577	85	520
16498	9500	579	142	324
16655	9550	580	140	318
16824	9600	583	160	295
16944	9650	586	110	416
17041	9700	589	86	515
17123	9750	589	72	609
17217	9800	591	83	531
17314	9850	591	75	515
17399	9900	591	73	588
17493	9950	600	74	531
17592	10000	602	84	505
17704	10050	602	84	446
17836	10100	606	108	378
18016	10150	611	167	277
18129	10200	621	94	442
18256	10250	624	95	393
18376	10300	624	111	416
18551	10350	624	158	285
18664	10400	625	95	442
18780	10450	625	98	431
18892	10500	627	96	446
19028	10550	629	127	367
19140	10600	629	98	446
19240	10650	632	90	500
19336	10700	632	87	520
19440	10750	637	93	480
19548	10800	643	97	462
19644	10850	643	87	520
19786	10900	648	131	352
19880	10950	649	84	531
19989	11000	649	98	458
20088	11050	650	88	505
20173	11100	650	77	588
20264	11150	651	78	549
20372	11200	656	90	462
20467	11250	658	80	526
20583	11300	663	90	431
20684	11350	663	91	495
20800	11400	663	107	431
20908	11450	670	98	462
21008	11500	671	91	500
21128	11550	671	99	416
21244	11600	671	105	431
21344	11650	672	92	500
21448	11700	674	95	480
21556	11750	674	97	462
21664	11800	674	100	462
21776	11850	681	102	446
21947	11900	682	161	292
22112	11950	682	156	303
22228	12000	682	106	431
22332	12050	690	94	480
22428	12100	697	88	520
22524	12150	697	87	520
22638	12200	700	105	438
22738	12250	702	92	500
22836	12300	702	89	510
22991	12350	703	145	322
23094	12400	703	95	485
23189	12450	708	81	526
23283	12500	709	83	531
23400	12550	709	99	427
23515	12600	709	105	434
23612	12650	711	82	515
23703	12700	711	82	549
23800	12750	712	85	515
23910	12800	720	96	454
24002	12850	720	83	543
24095	12900	720	84	537
24215	12950	721	104	416
24322	13000	721	99	467
24425	13050	725	86	485
24520	13100	727	84	526
24615	13150	727	85	526
24723	13200	727	98	462
24817	13250	728	85	531
24911	13300	728	85	531
25024	13350	728	97	442
25148	13400	737	106	403
25268	13450	739	99	416
25396	13500	739	118	390
25507	13550	740	92	450
25624	13600	744	100	427
25721	13650	744	85	515
25817	13700	747	86	520
25936	13750	747	98	420
26060	13800	747	112	403
26168	13850	747	100	462
26284	13900	747	104	431
26404	13950	747	102	416
26565	14000	747	153	310
26664	14050	747	89	505
26774	14100	761	88	454
26884	14150	761	91	454
26994	14200	761	103	454
27228	14250	782	174	213
27356	14300	784	118	390
27468	14350	784	98	446
27592	14400	784	116	403
27708	14450	784	104	431
27820	14500	784	102	446
27928	14550	784	100	462
28056	14600	784	118	390
28168	14650	784	102	446
28279	14700	784	99	450
28464	14750	785	176	270
28589	14800	786	114	400
28704	14850	786	100	434
28807	14900	789	95	485
28912	14950	789	94	476
29032	15000	790	110	416
29134	15050	790	93	490
29239	15100	790	94	476
29348	15150	790	96	458
29468	15200	790	110	416
29571	15250	790	93	485
29700	15300	790	104	387
29812	15350	790	102	446
29944	15400	790	122	378
30056	15450	792	102	446
30200	15500	792	134	347
30320	15550	792	107	416
30448	15600	792	120	390
30568	15650	792	109	416
30684	15700	792	106	431
30848	15750	792	151	304
30983	15800	793	124	370
31096	15850	796	96	442
31202	15900	796	96	471
31307	15950	796	95	476
31435	16000	796	114	390
31543	16050	796	98	462
31648	16100	796	96	476
31755	16150	796	98	467
31896	16200	796	115	354
32005	16250	796	98	458
32108	16300	796	96	485
32218	16350	796	99	454
32360	16400	796	121	352
32484	16450	796	107	403
32604	16500	798	110	416
32728	16550	802	111	403
32868	16600	802	129	357
32988	16650	802	112	416
33120	16700	802	123	378
33252	16750	802	122	378
33420	16800	802	157	297
33532	16850	802	105	446
33732	16900	802	189	250
33888	16950	802	146	320
34056	17000	802	156	297
34204	17050	802	140	337
34360	17100	802	144	320
34516	17150	802	141	320
34680	17200	802	155	304
34812	17250	802	122	378
34968	17300	804	145	320
35176	17350	804	197	240
