#Time(ms)	States	Instructions	GC Time	Speed(st/s)
438	50	18	63	0
647	100	37	30	239
739	150	55	41	543
835	200	62	45	520
889	250	79	31	925
943	300	109	34	925
1011	350	138	35	735
1076	400	146	40	769
1139	450	157	39	793
1207	500	171	45	735
1291	550	180	35	595
1359	600	194	49	735
1419	650	202	40	833
1483	700	207	38	781
1551	750	211	51	735
1629	800	214	44	641
1703	850	218	46	675
1769	900	221	49	757
1844	950	225	50	666
1923	1000	229	54	632
1994	1050	232	47	704
2075	1100	234	59	617
2153	1150	238	53	641
2218	1200	239	44	769
2284	1250	241	42	757
2354	1300	246	42	714
2423	1350	248	49	724
2485	1400	254	47	806
2579	1450	256	56	531
2639	1500	258	41	833
2694	1550	263	44	909
2748	1600	266	42	925
2803	1650	266	37	909
2863	1700	271	39	833
2930	1750	271	45	746
2987	1800	281	46	877
3043	1850	281	47	892
3106	1900	285	46	793
3163	1950	287	40	877
3219	2000	291	45	892
3286	2050	294	46	746
3336	2100	296	41	1000
3395	2150	301	47	847
3459	2200	301	53	781
3535	2250	306	62	657
3595	2300	310	45	833
3646	2350	310	41	980
3710	2400	316	48	781
3766	2450	324	44	892
3823	2500	324	45	877
3881	2550	326	47	862
3954	2600	338	53	684
4019	2650	338	47	769
4092	2700	344	56	684
4203	2750	344	75	450
4279	2800	354	64	657
4355	2850	354	55	657
4431	2900	358	55	657
4519	2950	358	75	568
4579	3000	364	50	833
4639	3050	364	49	833
4699	3100	372	50	833
4759	3150	372	48	833
4839	3200	373	60	625
4915	3250	373	54	657
4987	3300	378	53	694
5055	3350	381	57	735
5139	3400	381	72	595
5223	3450	382	65	595
5307	3500	382	63	595
5395	3550	390	72	568
5487	3600	392	70	543
5559	3650	393	61	694
5647	3700	393	59	568
5727	3750	394	67	625
5811	3800	399	64	595
5887	3850	405	64	657
6003	3900	405	93	431
6111	3950	409	92	462
6223	4000	409	98	446
6335	4050	409	90	446
6451	4100	413	91	431
6562	4150	413	90	450
6647	4200	413	70	588
6727	4250	414	66	625
6811	4300	414	70	595
6883	4350	414	58	694
6975	4400	416	70	543
7047	4450	418	59	694
7123	4500	418	58	657
7241	4550	418	98	423
7331	4600	418	68	555
7415	4650	418	66	595
7511	4700	418	66	520
7587	4750	424	65	657
7667	4800	424	67	625
7744	4850	425	59	649
7862	4900	425	96	423
7943	4950	425	60	617
8031	5000	425	69	568
8115	5050	425	66	595
8198	5100	425	62	602
8307	5150	426	95	458
8409	5200	435	76	490
8487	5250	435	63	641
8570	5300	435	65	602
8655	5350	435	67	588
8735	5400	438	70	625
8815	5450	441	62	625
8923	5500	441	97	462
8999	5550	442	65	657
9083	5600	442	73	595
9163	5650	443	70	625
9275	5700	447	99	446
9359	5750	447	74	595
9459	5800	447	83	500
9546	5850	447	76	574
9622	5900	449	65	657
9703	5950	449	69	617
9791	6000	449	77	568
9880	6050	453	78	561
9959	6100	454	69	632
10043	6150	454	67	595
10129	6200	454	74	581
10218	6250	454	68	561
10297	6300	455	67	632
10377	6350	455	64	625
10491	6400	455	80	438
10571	6450	455	67	625
10679	6500	455	90	462
10757	6550	456	68	641
10871	6600	456	82	438
10955	6650	456	72	595
11055	6700	459	81	500
11177	6750	459	113	409
11281	6800	459	79	480
11355	6850	459	64	675
11442	6900	459	63	574
11516	6950	460	64	675
11647	7000	465	79	381
11731	7050	468	73	595
11827	7100	468	77	520
11911	7150	468	75	595
12011	7200	468	86	500
12143	7250	468	122	378
12259	7300	468	95	431
12343	7350	468	74	595
12446	7400	478	84	485
12547	7450	482	75	495
12631	7500	482	71	595
12723	7550	482	77	543
12835	7600	482	100	446
12927	7650	482	76	543
13023	7700	482	77	520
13119	7750	482	80	520
13211	7800	489	83	543
13299	7850	497	77	568
13391	7900	497	83	543
13494	7950	497	84	485
13603	8000	498	98	458
13703	8050	498	84	500
13795	8100	499	82	543
13891	8150	499	85	520
14052	8200	499	148	310
14198	8250	505	125	342
14346	8300	520	129	337
14446	8350	520	91	500
14546	8400	520	88	500
14638	8450	523	77	543
14722	8500	523	68	595
14820	8550	523	76	510
14923	8600	529	84	485
15023	8650	529	76	500
15107	8700	531	75	595
15199	8750	540	78	543
15307	8800	541	94	462
15395	8850	542	78	568
15491	8900	548	79	520
15591	8950	549	90	500
15703	9000	549	95	446
15799	9050	549	86	520
15891	9100	550	82	543
15979	9150	550	78	568
16144	9200	556	154	303
16303	9250	566	143	314
16443	9300	567	130	357
16576	9350	567	113	375
16687	9400	575	102	450
16783	9450	575	85	520
