#Time(ms)	States	Instructions	GC Time	Speed(st/s)
318	50	18	34	0
539	100	37	44	226
618	150	55	41	632
693	200	62	29	666
754	250	79	29	819
799	300	109	26	1111
854	350	138	28	909
914	400	146	29	833
962	450	157	29	1041
1018	500	171	30	892
1102	550	180	33	595
1154	600	194	31	961
1216	650	202	31	806
1286	700	207	34	714
1343	750	211	35	877
1400	800	214	34	877
1457	850	218	34	877
1514	900	221	39	877
1562	950	225	36	1041
1635	1000	229	56	684
1706	1050	232	44	704
1781	1100	234	53	666
1846	1150	238	38	769
1902	1200	239	44	892
1954	1250	241	40	961
2029	1300	246	55	666
2094	1350	248	53	769
2144	1400	254	41	1000
2214	1450	256	50	714
2268	1500	258	39	925
2322	1550	263	44	925
2377	1600	266	46	909
2427	1650	266	37	1000
2487	1700	271	42	833
2566	1750	271	51	632
2626	1800	281	49	833
2678	1850	281	43	961
2734	1900	285	46	892
2798	1950	287	53	781
2854	2000	291	46	892
2914	2050	294	47	833
2978	2100	296	56	781
3026	2150	301	41	1041
3086	2200	301	47	833
3142	2250	306	43	892
3210	2300	310	47	735
3262	2350	310	42	961
3330	2400	316	53	735
3391	2450	324	49	819
3474	2500	324	63	602
3558	2550	326	73	595
3646	2600	338	76	568
3702	2650	338	46	892
3786	2700	344	54	595
3850	2750	344	48	781
3925	2800	354	58	666
4006	2850	354	58	617
4066	2900	358	50	833
4126	2950	358	49	833
4190	3000	364	50	781
4250	3050	364	52	833
4338	3100	372	76	568
4398	3150	372	52	833
4466	3200	373	58	735
4530	3250	376	50	781
4626	3300	378	77	520
4690	3350	381	55	781
4766	3400	381	66	657
4830	3450	382	52	781
4890	3500	382	50	833
4970	3550	390	58	625
5042	3600	392	61	694
5142	3650	393	89	500
5210	3700	393	58	735
5290	3750	394	61	625
5363	3800	402	61	684
5426	3850	405	53	793
5498	3900	405	55	694
5570	3950	409	62	694
5640	4000	409	59	714
5718	4050	409	60	641
5784	4100	413	55	757
5850	4150	413	56	757
5934	4200	414	67	595
6038	4250	414	91	480
6110	4300	414	55	694
6186	4350	414	59	657
6261	4400	417	63	666
6342	4450	418	61	617
6409	4500	418	55	746
6498	4550	418	59	561
6596	4600	418	76	510
6674	4650	418	59	641
6758	4700	424	65	595
6826	4750	424	59	735
6914	4800	424	70	568
6986	4850	425	61	694
7058	4900	425	63	694
7175	4950	425	105	427
7258	5000	425	73	602
7330	5050	425	60	694
7402	5100	426	61	694
7474	5150	432	63	694
7562	5200	435	76	568
7650	5250	435	66	568
7734	5300	435	73	595
7818	5350	436	73	595
7946	5400	440	119	390
8026	5450	441	65	625
8098	5500	441	62	694
8182	5550	442	70	595
8270	5600	443	78	568
8346	5650	446	67	657
8474	5700	447	106	390
8592	5750	447	108	423
8707	5800	447	99	434
8786	5850	447	69	632
8864	5900	449	68	641
8938	5950	449	65	675
9030	6000	449	82	543
9106	6050	454	66	657
9186	6100	454	70	625
9275	6150	454	78	561
9366	6200	454	78	549
9461	6250	454	83	526
9538	6300	455	68	649
9622	6350	455	73	595
9714	6400	455	77	543
9802	6450	455	70	568
9882	6500	455	68	625
9962	6550	456	70	625
10050	6600	456	73	568
10124	6650	456	61	675
10199	6700	459	61	666
10278	6750	459	62	632
10371	6800	459	70	537
10448	6850	459	62	649
10562	6900	463	74	438
10643	6950	463	71	617
10742	7000	464	79	505
10838	7050	468	75	520
10942	7100	468	95	480
11066	7150	468	107	403
11158	7200	468	81	543
11250	7250	468	76	543
11334	7300	468	75	595
11422	7350	471	77	568
11514	7400	471	83	543
11610	7450	478	79	520
11698	7500	482	77	568
11790	7550	482	83	543
11886	7600	482	86	520
11982	7650	482	82	520
12119	7700	482	127	364
12254	7750	482	126	370
12418	7800	488	146	304
12562	7850	488	135	347
12657	7900	495	86	526
12742	7950	497	74	588
12838	8000	497	86	520
12922	8050	498	74	595
13025	8100	498	81	485
13122	8150	499	87	515
13218	8200	499	88	520
13302	8250	507	75	595
13410	8300	507	96	462
13504	8350	513	84	531
13614	8400	520	91	454
13702	8450	520	77	568
13794	8500	523	81	543
13942	8550	523	139	337
14114	8600	523	162	290
14254	8650	523	130	357
14398	8700	529	132	347
14505	8750	538	94	467
14618	8800	538	94	442
14706	8850	543	77	568
14798	8900	543	82	543
14886	8950	544	79	568
15014	9000	548	118	390
15102	9050	548	79	568
15194	9100	549	82	543
15290	9150	549	86	520
15406	9200	550	107	431
15502	9250	560	87	520
15610	9300	564	99	462
15710	9350	566	87	500
15818	9400	566	98	462
15914	9450	567	86	520
16010	9500	577	83	520
16160	9550	577	142	333
16343	9600	581	167	273
16497	9650	583	142	324
16655	9700	583	144	316
16746	9750	586	81	549
16854	9800	588	99	462
16949	9850	590	85	526
17039	9900	590	80	555
17130	9950	591	82	549
17234	10000	595	94	480
17334	10050	595	87	500
17466	10100	595	110	378
17586	10150	602	110	416
17742	10200	602	146	320
17852	10250	611	91	454
17950	10300	615	89	510
18066	10350	623	98	431
18196	10400	623	93	384
18310	10450	624	89	438
18410	10500	624	87	500
18537	10550	626	115	393
18642	10600	627	93	476
18742	10650	627	82	500
18838	10700	630	85	520
18969	10750	630	118	381
19078	10800	630	98	458
19178	10850	636	91	500
19274	10900	636	87	520
19378	10950	640	94	480
19486	11000	648	98	462
19594	11050	648	96	462
19698	11100	648	90	480
19803	11150	650	95	476
19914	11200	650	103	450
20066	11250	655	141	328
20170	11300	655	85	480
20274	11350	656	92	480
20430	11400	656	135	320
20554	11450	656	106	403
20661	11500	663	100	467
20756	11550	670	83	526
20860	11600	670	93	480
20960	11650	670	81	500
21051	11700	670	80	549
21167	11750	671	92	431
21268	11800	671	93	495
21385	11850	671	89	427
21477	11900	672	82	543
21567	11950	674	81	555
21675	12000	675	96	462
21777	12050	675	84	490
21868	12100	678	81	549
21984	12150	684	90	431
22091	12200	687	96	467
22183	12250	687	82	543
22292	12300	687	87	458
22387	12350	690	83	526
22493	12400	700	97	471
22584	12450	700	82	549
22682	12500	701	84	510
22779	12550	703	84	515
22886	12600	703	97	467
22985	12650	704	85	505
23083	12700	704	86	510
23177	12750	704	85	531
23287	12800	709	99	454
23384	12850	711	86	515
23502	12900	711	101	423
23622	12950	711	111	416
23795	13000	720	163	289
23891	13050	720	86	520
23985	13100	720	86	531
24085	13150	721	87	500
24210	13200	721	109	400
24314	13250	721	97	480
24426	13300	723	102	446
24534	13350	723	97	462
24654	13400	723	111	416
24802	13450	727	133	337
24906	13500	728	95	480
25015	13550	728	98	458
25125	13600	728	103	454
25234	13650	737	89	458
25334	13700	739	89	500
25433	13750	739	90	505
25545	13800	739	104	446
25644	13850	743	90	505
25745	13900	743	91	495
25844	13950	743	91	505
25962	14000	744	106	423
26061	14050	744	90	505
26166	14100	744	91	476
26264	14150	747	90	510
26382	14200	747	107	423
26483	14250	747	91	495
26586	14300	747	93	485
26691	14350	747	92	476
26809	14400	756	108	423
26934	14450	760	99	400
27042	14500	760	97	462
27143	14550	760	93	495
27264	14600	762	110	413
27366	14650	762	93	490
27469	14700	762	94	485
27637	14750	783	108	297
27766	14800	783	116	387
27870	14850	783	95	480
27974	14900	783	94	480
28076	14950	783	94	490
28201	15000	783	113	400
28307	15050	783	96	471
28426	15100	783	102	420
28542	15150	783	108	431
28678	15200	784	125	367
28794	15250	784	106	431
28910	15300	784	107	431
29030	15350	785	110	416
29178	15400	785	136	337
29306	15450	785	115	390
29426	15500	786	112	416
29550	15550	788	111	403
29682	15600	788	122	378
29802	15650	788	109	416
29918	15700	788	108	431
30137	15750	788	198	228
30281	15800	788	136	347
30410	15850	788	113	387
30527	15900	788	108	427
30644	15950	788	101	427
30772	16000	788	116	390
30883	16050	788	101	450
30988	16100	790	97	476
31119	16150	790	107	381
31245	16200	790	117	396
31355	16250	790	100	454
31468	16300	790	99	442
31598	16350	790	111	384
31738	16400	790	131	357
31862	16450	790	113	403
32010	16500	791	138	337
32142	16550	791	114	378
32278	16600	791	126	367
32410	16650	791	113	378
32526	16700	791	108	431
32658	16750	791	115	378
32806	16800	791	138	337
32926	16850	791	109	416
33058	16900	791	123	378
33190	16950	791	119	378
33330	17000	791	129	357
33454	17050	791	113	403
33574	17100	791	113	416
33714	17150	791	118	357
33957	17200	791	232	205
34183	17250	791	212	221
34384	17300	793	194	248
34607	17350	793	205	224
34822	17400	793	204	232
34952	17450	793	119	384
35070	17500	793	111	423
35202	17550	793	122	378
35350	17600	793	137	337
35470	17650	793	110	416
35590	17700	793	110	416
35718	17750	793	118	390
35866	17800	793	131	337
35994	17850	793	117	390
36114	17900	793	112	416
36238	17950	793	114	403
36394	18000	793	139	320
36534	18050	793	127	357
36670	18100	793	127	367
36790	18150	793	111	416
36966	18200	793	156	284
37090	18250	793	115	403
37218	18300	793	119	390
37350	18350	800	125	378
37506	18400	800	139	320
37638	18450	800	122	378
37782	18500	800	133	347
37918	18550	800	128	367
38074	18600	800	144	320
38218	18650	800	132	347
38361	18700	800	133	349
38502	18750	800	134	354
38670	18800	800	152	297
38806	18850	800	125	367
38950	18900	802	133	347
39090	18950	802	131	357
39274	19000	802	174	271
39512	19050	802	222	210
39742	19100	802	219	217
39962	19150	802	210	227
40231	19200	810	258	185
40472	19250	810	224	207
40702	19300	810	218	217
40940	19350	810	227	210
41196	19400	810	247	195
41423	19450	810	219	220
41663	19500	810	218	208
41862	19550	810	183	251
42038	19600	810	159	284
42162	19650	811	117	403
42306	19700	813	118	347
42450	19750	813	125	347
42606	19800	822	145	320
42742	19850	822	123	367
42874	19900	822	123	378
43026	19950	822	131	328
43198	20000	822	148	290
43338	20050	822	129	357
43479	20100	822	129	354
43697	20150	842	212	229
43982	20200	842	267	175
44134	20250	842	132	328
44274	20300	842	130	357
44410	20350	842	124	367
44562	20400	844	146	328
44710	20450	844	130	337
44938	20500	844	207	219
45070	20550	844	122	378
45227	20600	844	142	318
45358	20650	846	122	381
45494	20700	846	123	367
45642	20750	846	127	337
45798	20800	849	146	320
45935	20850	849	126	364
46062	20900	853	119	393
46262	20950	853	177	250
46413	21000	853	138	331
46543	21050	854	118	384
46677	21100	854	117	373
46799	21150	860	114	409
46974	21200	860	151	285
47126	21250	860	130	328
47270	21300	860	133	347
47410	21350	860	127	357
47570	21400	860	152	312
47714	21450	860	134	347
47970	21500	860	231	195
48220	21550	860	238	200
48446	21600	860	209	221
48578	21650	860	123	378
48806	21700	861	220	219
49034	21750	861	213	219
49286	21800	861	234	198
49514	21850	861	216	219
49742	21900	861	217	219
49962	21950	865	214	227
50226	22000	865	242	189
50462	22050	865	221	211
50706	22100	865	233	204
50958	22150	871	231	198
51210	22200	871	243	198
51446	22250	873	227	211
51690	22300	873	225	204
51938	22350	873	227	201
52194	22400	873	243	195
52418	22450	873	210	223
52562	22500	876	136	347
52704	22550	876	131	352
52898	22600	876	176	257
53154	22650	876	244	195
53442	22700	876	249	173
53702	22750	876	243	192
53977	22800	876	268	181
54241	22850	876	242	189
54520	22900	876	248	179
54774	22950	876	239	196
55002	23000	876	195	219
55150	23050	876	138	337
55286	23100	876	128	367
55446	23150	876	133	312
55622	23200	876	154	284
55790	23250	877	146	297
55946	23300	884	141	320
56090	23350	884	135	347
56306	23400	891	208	231
56474	23450	891	142	297
56625	23500	891	135	331
56790	23550	891	135	303
56966	23600	891	154	284
57110	23650	891	137	347
57258	23700	896	134	337
57434	23750	896	150	284
57702	23800	896	250	186
57986	23850	896	261	176
58194	23900	896	185	240
58422	23950	896	221	219
58686	24000	896	240	189
58926	24050	896	223	208
59162	24100	896	221	211
59406	24150	896	224	204
59670	24200	896	249	189
59906	24250	896	227	211
60162	24300	896	227	195
60426	24350	896	236	189
60702	24400	896	264	181
60982	24450	900	231	178
61230	24500	900	226	201
61478	24550	901	238	201
61758	24600	901	245	178
