#Time(ms)	States	Instructions	GC Time	Speed(st/s)
425	50	18	62	0
651	100	37	32	221
755	150	55	40	480
855	200	62	39	500
924	250	79	38	724
983	300	109	44	847
1051	350	138	34	735
1111	400	146	30	833
1161	450	157	29	1000
1207	500	171	29	1086
1291	550	180	29	595
1351	600	194	31	833
1423	650	202	33	694
1490	700	207	47	746
1555	750	211	43	769
1623	800	214	40	735
1680	850	218	43	877
1729	900	221	34	1020
1790	950	225	48	819
1846	1000	229	40	892
1907	1050	232	40	819
1968	1100	234	40	819
2027	1150	238	42	847
2099	1200	239	60	694
2155	1250	241	41	892
2207	1300	246	41	961
2262	1350	248	43	909
2315	1400	254	44	943
2387	1450	256	54	694
2442	1500	258	42	909
2495	1550	263	39	943
2555	1600	266	51	833
2608	1650	267	42	943
2663	1700	271	44	909
2723	1750	271	49	833
2787	1800	281	54	781
2839	1850	281	44	961
2898	1900	285	50	847
2951	1950	287	45	943
3003	2000	293	43	961
3059	2050	294	44	892
3114	2100	296	48	909
3163	2150	301	40	1020
3228	2200	301	54	769
3295	2250	306	46	746
3359	2300	310	48	781
3427	2350	310	58	735
3488	2400	316	50	819
3547	2450	324	49	847
3603	2500	325	45	892
3667	2550	326	54	781
3771	2600	338	86	480
3833	2650	338	45	806
3911	2700	344	59	641
3971	2750	344	49	833
4039	2800	354	58	735
4099	2850	354	49	833
4159	2900	358	51	833
4223	2950	358	54	781
4329	3000	364	89	471
4409	3050	364	72	625
4469	3100	372	52	833
4527	3150	372	50	862
4590	3200	373	53	793
4655	3250	376	47	769
4727	3300	378	61	694
4790	3350	381	52	793
4871	3400	382	64	617
4951	3450	382	67	625
5039	3500	382	79	568
5144	3550	390	92	476
5239	3600	392	84	526
5303	3650	393	54	781
5369	3700	393	56	757
5435	3750	394	54	757
5515	3800	402	67	625
5587	3850	405	61	694
5653	3900	405	53	757
5727	3950	409	53	675
5799	4000	409	60	694
5887	4050	409	60	568
5955	4100	413	57	735
6031	4150	413	67	657
6115	4200	414	71	595
6199	4250	414	73	595
6271	4300	414	61	694
6343	4350	414	63	694
6419	4400	417	66	657
6491	4450	418	60	694
6607	4500	418	107	431
6713	4550	418	94	471
6830	4600	418	108	427
6939	4650	418	100	458
7039	4700	424	83	500
7110	4750	424	61	704
7189	4800	424	66	632
7284	4850	425	67	526
7355	4900	425	61	704
7443	4950	425	73	568
7525	5000	425	73	609
7598	5050	425	62	684
7670	5100	426	60	694
7743	5150	426	60	684
7831	5200	435	72	568
7907	5250	435	64	657
7991	5300	435	74	595
8075	5350	436	74	595
8195	5400	436	111	416
8277	5450	441	69	609
8371	5500	441	77	531
8451	5550	442	64	625
8535	5600	443	75	595
8611	5650	443	66	657
8709	5700	447	86	510
8776	5750	447	59	746
8871	5800	447	80	526
8939	5850	447	58	735
9008	5900	449	58	724
9078	5950	449	58	714
9159	6000	449	67	617
9230	6050	453	58	704
9306	6100	454	59	657
9395	6150	454	67	561
9487	6200	454	83	543
9579	6250	454	62	543
9647	6300	454	59	735
9727	6350	455	61	625
9833	6400	455	77	471
9911	6450	455	63	641
9986	6500	455	61	666
10064	6550	456	62	641
10171	6600	456	83	467
10256	6650	456	69	588
10339	6700	459	69	602
10435	6750	459	75	520
10582	6800	459	137	340
10655	6850	459	62	684
10729	6900	459	63	675
10836	6950	463	66	467
10935	7000	464	81	505
11027	7050	468	73	543
11115	7100	468	77	568
11207	7150	468	73	543
11354	7200	468	130	340
11431	7250	468	66	649
11531	7300	468	81	500
11615	7350	471	72	595
11711	7400	471	86	520
11795	7450	478	74	595
11891	7500	482	79	520
11979	7550	482	79	568
12075	7600	482	85	520
12199	7650	482	116	403
12291	7700	482	74	543
12373	7750	482	73	609
12468	7800	488	84	526
12551	7850	488	74	602
12647	7900	495	81	520
12735	7950	497	78	568
12855	8000	497	111	416
12942	8050	498	68	574
13051	8100	498	90	458
13151	8150	499	83	500
13267	8200	499	108	431
13347	8250	507	68	625
13431	8300	507	70	595
13511	8350	513	68	625
13623	8400	520	89	446
13719	8450	520	88	520
13807	8500	523	78	568
13895	8550	523	77	568
13995	8600	523	90	500
14115	8650	523	110	416
14259	8700	529	134	347
14353	8750	538	85	531
14447	8800	538	84	531
14531	8850	543	70	595
14610	8900	543	70	632
14696	8950	544	70	581
14795	9000	548	82	505
14875	9050	548	70	625
14955	9100	549	71	625
15037	9150	549	72	609
15135	9200	555	82	510
15235	9250	560	84	500
15322	9300	566	78	574
15408	9350	566	74	581
15502	9400	566	84	531
15583	9450	569	72	617
15687	9500	577	81	480
15779	9550	577	84	543
15880	9600	583	91	495
