#Time(ms)	States	Instructions	GC Time	Speed(st/s)
622	50	18	119	0
1039	100	37	53	119
1211	150	55	70	290
1372	200	62	76	310
1479	250	79	60	467
1571	300	109	47	543
1639	350	138	32	735
1697	400	146	28	862
1751	450	157	27	925
1807	500	171	32	892
1897	550	180	31	555
1959	600	194	35	806
2039	650	202	48	625
2111	700	207	42	694
2179	750	211	45	735
2259	800	214	54	625
2315	850	218	35	892
2372	900	221	36	877
2435	950	225	39	793
2486	1000	229	36	980
2535	1050	232	37	1020
2595	1100	234	38	833
2654	1150	238	46	847
2723	1200	239	47	724
2791	1250	241	53	735
2847	1300	246	44	892
2903	1350	248	39	892
2953	1400	254	41	1000
3025	1450	256	45	694
3075	1500	258	41	1000
3127	1550	263	42	961
3187	1600	266	51	833
3239	1650	267	41	961
3295	1700	271	44	892
3347	1750	271	41	961
3403	1800	281	47	892
3451	1850	281	40	1041
3511	1900	285	48	833
3558	1950	287	39	1063
3615	2000	293	44	877
3688	2050	294	48	684
3747	2100	296	50	847
3799	2150	301	41	961
3875	2200	301	56	657
3935	2250	306	47	833
3994	2300	310	46	847
4045	2350	310	41	980
4111	2400	316	47	757
4171	2450	324	49	833
4239	2500	325	57	735
4299	2550	326	49	833
4362	2600	338	50	793
4427	2650	338	50	769
4499	2700	344	55	694
4559	2750	344	47	833
4623	2800	354	52	781
4714	2850	354	70	549
4783	2900	358	60	724
4851	2950	358	50	735
4931	3000	364	68	625
4991	3050	364	51	833
5075	3100	372	63	595
5131	3150	372	47	892
5195	3200	373	54	781
5265	3250	374	58	714
5338	3300	378	52	684
5411	3350	381	58	684
5515	3400	382	94	480
5579	3450	382	52	781
5639	3500	382	50	833
5711	3550	390	51	694
5779	3600	392	57	735
5843	3650	393	54	781
5911	3700	393	59	735
5983	3750	394	61	694
6059	3800	402	64	657
6127	3850	405	57	735
6191	3900	405	53	781
6293	3950	409	91	490
6415	4000	409	109	409
6483	4050	409	58	735
6555	4100	413	59	694
6634	4150	413	69	632
6709	4200	414	61	666
6783	4250	414	55	675
6859	4300	414	59	657
6931	4350	414	63	694
7007	4400	417	66	657
7083	4450	418	59	657
7155	4500	418	63	694
7235	4550	418	70	625
7319	4600	418	74	595
7391	4650	418	62	694
7487	4700	424	79	520
7563	4750	424	59	657
7643	4800	424	66	625
7715	4850	425	60	694
7793	4900	425	69	641
7869	4950	425	60	657
7950	5000	425	67	617
8030	5050	425	57	625
8125	5100	425	68	526
8195	5150	426	62	714
8279	5200	435	72	595
8363	5250	435	63	595
8443	5300	435	64	625
8526	5350	435	66	602
8611	5400	436	76	588
8699	5450	441	75	568
8819	5500	441	110	416
8889	5550	442	59	714
8983	5600	442	76	531
9067	5650	443	73	595
9151	5700	447	68	595
9223	5750	447	64	694
9352	5800	447	110	387
9427	5850	447	64	666
9514	5900	449	66	574
9584	5950	449	59	714
9687	6000	449	79	485
9768	6050	453	68	617
9845	6100	454	58	649
9944	6150	454	66	505
10029	6200	454	76	588
