#Time(ms)	States	Instructions	GC Time	Speed(st/s)
576	50	18	79	0
808	100	37	30	215
896	150	55	40	568
987	200	62	32	549
1048	250	79	28	819
1104	300	109	28	892
1156	350	138	30	961
1226	400	146	37	714
1288	450	157	34	806
1356	500	171	41	735
1434	550	180	33	641
1500	600	194	37	757
1571	650	202	52	704
1624	700	207	36	943
1676	750	211	37	961
1739	800	214	39	793
1792	850	218	38	943
1844	900	221	40	961
1908	950	225	46	781
1964	1000	229	40	892
2020	1050	232	40	892
2084	1100	234	43	781
2148	1150	238	40	781
2212	1200	239	52	781
2268	1250	241	40	892
2340	1300	246	60	694
2399	1350	248	42	847
2449	1400	254	42	1000
2520	1450	256	49	704
2578	1500	258	48	862
2628	1550	263	41	1000
2680	1600	266	43	961
2744	1650	267	52	781
2796	1700	271	40	961
2854	1750	271	47	862
2908	1800	281	45	925
2960	1850	281	44	961
3024	1900	285	55	781
3072	1950	287	40	1041
3128	2000	293	44	892
3200	2050	294	61	694
3252	2100	296	44	961
3308	2150	301	49	892
3367	2200	301	51	847
3431	2250	306	47	781
3485	2300	310	46	925
3556	2350	310	54	704
3624	2400	316	58	735
3680	2450	324	45	892
3744	2500	325	47	781
3804	2550	326	49	833
3880	2600	338	59	657
3955	2650	338	65	666
4036	2700	344	63	617
4104	2750	344	54	735
4172	2800	354	53	735
4240	2850	354	53	735
4304	2900	358	55	781
4376	2950	358	51	694
4444	3000	364	59	735
4525	3050	364	73	617
4604	3100	372	69	632
4665	3150	372	51	819
4732	3200	373	57	746
4795	3250	374	52	793
4870	3300	378	59	666
4932	3350	381	53	806
4999	3400	382	56	746
5072	3450	382	57	684
5132	3500	382	51	833
5204	3550	390	53	694
5288	3600	392	69	595
5359	3650	393	58	704
5424	3700	393	56	769
5488	3750	394	54	781
5564	3800	401	59	657
5636	3850	405	62	694
5704	3900	405	53	735
5766	3950	409	52	806
5839	4000	409	54	684
5924	4050	409	61	588
6000	4100	413	65	657
6104	4150	413	95	480
6192	4200	413	79	568
6264	4250	414	61	694
6332	4300	414	58	735
6404	4350	414	63	694
6488	4400	417	74	595
6572	4450	418	62	595
6656	4500	418	73	595
6736	4550	418	70	625
6816	4600	418	71	625
6900	4650	418	74	595
7012	4700	418	99	446
7129	4750	424	108	427
7262	4800	424	119	375
7374	4850	425	101	446
7444	4900	425	61	714
7528	4950	425	72	595
7607	5000	425	70	632
7688	5050	425	64	617
7764	5100	425	65	657
7836	5150	426	63	694
7920	5200	433	71	595
7993	5250	435	61	684
8076	5300	435	63	602
8156	5350	435	66	625
8262	5400	436	95	471
8340	5450	440	65	641
8433	5500	441	69	537
8508	5550	442	65	666
8588	5600	442	71	625
8696	5650	443	98	462
8777	5700	446	69	617
8848	5750	447	62	704
8926	5800	447	67	641
8992	5850	447	57	757
9065	5900	449	60	684
9152	5950	449	66	574
9256	6000	449	90	480
9331	6050	453	66	666
9409	6100	454	60	641
9483	6150	454	60	675
9584	6200	454	80	495
9656	6250	454	61	694
9724	6300	454	60	735
9805	6350	455	62	617
9908	6400	455	88	485
9996	6450	455	75	568
10128	6500	455	120	378
10212	6550	456	74	595
10316	6600	456	79	480
10400	6650	456	73	595
10484	6700	459	74	595
10568	6750	459	74	595
10664	6800	459	85	520
