#Time(ms)	States	Instructions	GC Time	Speed(st/s)
331	50	18	56	0
539	100	37	34	240
619	150	55	33	625
710	200	62	41	549
771	250	79	32	819
815	300	109	28	1136
875	350	138	30	833
932	400	146	34	877
983	450	157	39	980
1039	500	171	44	892
1135	550	180	36	520
1193	600	194	38	862
1267	650	202	44	675
1339	700	207	39	694
1407	750	211	51	735
1479	800	214	35	694
1538	850	218	33	847
1591	900	221	34	943
1650	950	225	44	847
1707	1000	229	38	877
1755	1050	232	34	1041
1826	1100	234	46	704
1911	1150	238	48	588
1971	1200	239	48	833
2047	1250	241	62	657
2103	1300	246	42	892
2163	1350	248	42	833
2225	1400	254	51	806
2307	1450	256	56	609
2359	1500	258	42	961
2415	1550	263	45	892
2475	1600	266	49	833
2532	1650	266	44	877
2590	1700	271	39	862
2643	1750	271	42	943
2699	1800	281	45	892
2755	1850	281	44	892
2817	1900	285	52	806
2871	1950	287	45	925
2931	2000	291	50	833
2995	2050	294	50	781
3043	2100	296	40	1041
3103	2150	301	51	833
3163	2200	301	49	833
3219	2250	306	45	892
3289	2300	310	56	714
3351	2350	310	47	806
3419	2400	316	54	735
3487	2450	324	55	735
3544	2500	324	45	877
3599	2550	326	44	909
3689	2600	338	64	555
3747	2650	338	48	862
3815	2700	344	49	735
3887	2750	344	50	694
3959	2800	354	51	694
4019	2850	354	45	833
4091	2900	358	63	694
4159	2950	358	54	735
4239	3000	364	65	625
4303	3050	364	52	781
4359	3100	372	47	892
4419	3150	372	52	833
4483	3200	373	54	781
4551	3250	373	57	735
4627	3300	378	59	657
4701	3350	381	56	675
4767	3400	381	56	757
4839	3450	382	53	694
4943	3500	382	83	480
5043	3550	390	86	500
5115	3600	392	61	694
5179	3650	393	55	781
5243	3700	393	54	781
5338	3750	394	82	526
5411	3800	400	62	684
5481	3850	405	57	714
5547	3900	405	54	757
5615	3950	409	57	735
5687	4000	409	58	694
5763	4050	409	57	657
5831	4100	413	55	735
5899	4150	413	58	735
5979	4200	413	66	625
6091	4250	414	96	446
6207	4300	414	103	431
6302	4350	414	84	526
6436	4400	417	114	373
6547	4450	418	99	450
6646	4500	418	89	505
6755	4550	418	91	458
6839	4600	418	72	595
6911	4650	418	62	694
7023	4700	424	99	446
7133	4750	424	100	454
7251	4800	424	97	423
7330	4850	425	65	632
7399	4900	425	61	724
7475	4950	425	64	657
7559	5000	425	73	595
7639	5050	425	69	625
7710	5100	425	59	704
7781	5150	431	59	704
7883	5200	435	75	490
7963	5250	435	67	625
8047	5300	435	73	595
8123	5350	436	65	657
8203	5400	440	71	625
8291	5450	441	70	568
8369	5500	441	63	641
8443	5550	442	64	675
8527	5600	442	73	595
8599	5650	445	63	694
8703	5700	447	83	480
8779	5750	447	66	657
8871	5800	447	79	543
8959	5850	447	77	568
9039	5900	449	67	625
9115	5950	449	65	657
9207	6000	449	76	543
9285	6050	453	63	641
9373	6100	454	61	568
9455	6150	454	60	609
9551	6200	454	79	520
9643	6250	454	71	543
