#Time(ms)	States	Instructions	GC Time	Speed(st/s)
311	50	18	42	0
536	100	37	33	222
618	150	55	30	609
696	200	62	33	641
765	250	79	40	724
824	300	109	33	847
888	350	138	37	781
960	400	146	48	694
1015	450	157	34	909
1068	500	171	29	943
1164	550	180	36	520
1236	600	194	38	694
1302	650	202	45	757
1368	700	207	54	757
1425	750	211	44	877
1490	800	214	36	769
1550	850	218	32	833
1620	900	221	38	714
1684	950	225	44	781
1756	1000	229	47	694
1812	1050	232	39	892
1872	1100	234	41	833
1944	1150	238	50	694
2004	1200	239	43	833
2060	1250	241	36	892
2120	1300	246	42	833
2176	1350	248	37	892
2240	1400	254	47	781
2331	1450	256	67	549
2384	1500	258	40	943
2442	1550	263	48	862
2498	1600	266	44	892
2548	1650	266	38	1000
2604	1700	271	43	892
2655	1750	271	40	980
2709	1800	281	46	925
2760	1850	281	39	980
2820	1900	285	47	833
2882	1950	287	54	806
2935	2000	291	43	943
2984	2050	294	39	1020
3032	2100	296	40	1041
3080	2150	301	41	1041
3148	2200	301	54	735
3206	2250	306	45	862
3260	2300	310	41	925
3316	2350	310	47	892
3376	2400	316	45	833
3439	2450	324	53	793
3507	2500	324	51	735
3563	2550	326	44	892
3641	2600	338	53	641
3696	2650	338	46	909
3760	2700	344	46	781
3828	2750	344	47	735
3925	2800	354	80	515
4004	2850	354	58	632
4060	2900	358	46	892
4132	2950	358	53	694
4208	3000	364	64	657
4264	3050	364	47	892
4332	3100	372	55	735
4396	3150	372	55	781
4464	3200	373	57	735
4536	3250	373	61	694
4611	3300	378	57	666
4680	3350	381	54	724
4747	3400	381	56	746
4816	3450	382	50	724
4888	3500	382	51	694
4995	3550	390	85	467
5100	3600	392	95	476
5209	3650	393	88	458
5276	3700	393	55	746
5342	3750	394	55	757
5420	3800	400	58	641
5492	3850	405	59	694
5560	3900	405	56	735
5628	3950	409	57	735
5696	4000	409	58	735
5799	4050	409	85	485
5872	4100	413	59	684
5940	4150	413	56	735
6013	4200	413	60	684
6092	4250	414	59	632
6164	4300	414	58	694
6270	4350	414	95	471
6350	4400	417	63	625
6428	4450	418	59	641
6500	4500	418	62	694
6568	4550	418	57	735
6654	4600	418	66	581
6728	4650	418	59	675
6848	4700	424	99	416
6928	4750	424	70	625
7005	4800	424	66	649
7081	4850	425	61	657
7148	4900	425	59	746
7220	4950	425	61	694
7302	5000	425	72	609
7395	5050	425	79	537
7468	5100	425	61	684
7536	5150	431	58	735
7636	5200	435	69	500
7712	5250	435	64	657
7788	5300	435	66	657
7900	5350	436	101	446
7980	5400	440	71	625
8056	5450	441	64	657
8140	5500	441	66	595
8212	5550	442	62	694
8296	5600	442	72	595
8368	5650	445	63	694
8448	5700	447	68	625
8554	5750	447	96	471
8652	5800	447	79	510
8744	5850	447	78	543
8824	5900	449	69	625
8951	5950	449	114	393
9032	6000	449	72	617
9112	6050	453	69	625
9188	6100	454	67	657
9284	6150	454	85	520
9376	6200	454	83	543
9466	6250	454	73	555
9556	6300	455	72	555
9644	6350	455	71	568
9752	6400	455	79	462
9864	6450	455	91	446
9960	6500	455	82	520
10034	6550	456	64	675
10144	6600	456	82	454
10240	6650	459	81	520
10316	6700	459	62	657
10387	6750	459	61	704
10470	6800	459	72	602
10542	6850	459	62	694
10626	6900	459	63	595
10724	6950	460	71	510
10842	7000	468	88	423
10918	7050	468	68	657
11020	7100	468	71	490
11104	7150	468	71	595
11216	7200	468	91	446
11300	7250	468	74	595
11396	7300	468	78	520
11499	7350	469	93	485
11604	7400	478	83	476
11688	7450	482	73	595
11771	7500	482	73	602
11872	7550	482	83	495
11980	7600	482	96	462
12072	7650	482	81	543
12168	7700	482	75	520
12260	7750	482	83	543
12356	7800	489	87	520
12440	7850	497	75	595
12577	7900	497	128	364
12724	7950	498	130	340
12888	8000	498	152	304
12996	8050	499	97	462
13080	8100	499	75	595
13176	8150	499	75	520
13292	8200	500	91	431
13376	8250	512	71	595
13476	8300	520	76	500
13560	8350	520	75	595
13658	8400	522	88	510
13756	8450	523	83	510
13850	8500	523	82	531
13948	8550	523	80	510
14068	8600	529	110	416
14214	8650	531	136	342
14297	8700	534	76	602
14383	8750	541	75	581
14468	8800	541	78	588
14549	8850	544	69	617
14630	8900	548	68	617
14716	8950	549	69	581
14808	9000	549	81	543
14890	9050	550	69	609
14971	9100	550	70	617
15064	9150	552	75	537
15158	9200	566	81	531
15236	9250	566	70	641
15319	9300	567	70	602
15401	9350	573	70	609
15503	9400	575	88	490
15596	9450	577	72	537
15688	9500	579	77	543
15770	9550	579	73	609
15864	9600	583	82	531
15968	9650	586	84	480
16068	9700	589	89	500
16149	9750	589	72	617
16241	9800	590	82	543
16322	9850	591	72	617
16403	9900	591	71	617
16504	9950	595	82	495
16624	10000	602	98	416
16712	10050	602	79	568
16840	10100	602	104	390
16936	10150	606	88	520
17072	10200	614	117	367
17180	10250	623	90	462
17300	10300	624	102	416
17408	10350	624	93	462
17540	10400	624	117	378
17647	10450	625	98	467
17816	10500	625	154	295
17984	10550	629	154	297
18186	10600	629	194	247
18332	10650	630	135	342
18436	10700	632	90	480
18532	10750	636	87	520
18644	10800	640	100	446
18768	10850	643	112	403
18860	10900	643	83	543
18956	10950	648	86	520
19060	11000	649	95	480
19164	11050	649	86	480
19272	11100	650	97	462
19376	11150	650	96	480
19496	11200	651	108	416
19608	11250	656	95	446
19704	11300	658	88	520
19808	11350	663	92	480
19920	11400	663	102	446
20080	11450	663	152	312
20252	11500	668	153	290
20411	11550	671	148	314
20588	11600	671	169	282
20688	11650	671	88	500
20784	11700	672	86	520
20880	11750	674	88	520
20996	11800	674	104	431
21108	11850	674	101	446
21204	11900	681	88	520
21308	11950	682	85	480
21421	12000	682	98	442
21508	12050	682	81	574
21603	12100	682	83	526
21712	12150	687	89	458
21813	12200	697	94	495
21924	12250	697	91	450
22028	12300	700	93	480
22164	12350	702	128	367
22284	12400	702	110	416
22391	12450	703	92	467
22496	12500	703	97	476
22596	12550	708	90	500
22741	12600	709	116	344
22844	12650	709	93	485
22952	12700	709	97	462
23112	12750	711	149	312
23223	12800	711	100	450
23336	12850	711	94	442
23445	12900	720	99	458
23539	12950	720	85	531
23645	13000	720	99	471
23744	13050	721	87	505
23844	13100	721	86	500
23938	13150	721	86	531
24047	13200	725	100	458
24154	13250	727	87	467
24251	13300	727	86	515
24364	13350	727	98	442
24484	13400	728	110	416
24592	13450	728	99	462
24700	13500	728	99	462
24808	13550	728	97	462
24928	13600	739	110	416
25036	13650	739	100	462
25144	13700	740	99	462
25335	13750	744	181	261
25483	13800	744	140	337
25588	13850	747	97	476
25700	13900	747	97	446
25808	13950	747	99	462
25928	14000	747	112	416
26034	14050	747	97	471
26152	14100	747	100	423
26272	14150	747	103	416
26487	14200	747	207	232
26607	14250	747	99	416
26724	14300	760	99	427
26838	14350	760	105	438
26962	14400	770	115	403
27116	14450	781	107	324
27232	14500	783	106	431
27344	14550	783	103	446
27472	14600	783	120	390
27604	14650	783	115	378
27724	14700	783	110	416
27856	14750	783	121	378
27988	14800	783	123	378
28112	14850	783	103	403
28228	14900	783	107	431
28348	14950	784	112	416
28576	15000	784	216	219
28698	15050	785	111	409
28816	15100	785	109	423
28936	15150	788	110	416
29072	15200	788	124	367
29213	15250	788	132	354
29319	15300	788	97	471
29434	15350	788	98	434
29580	15400	788	123	342
29696	15450	788	105	431
29812	15500	788	108	431
29968	15550	788	141	320
30104	15600	788	124	367
30224	15650	788	110	416
30340	15700	790	106	431
30459	15750	790	108	420
30583	15800	790	115	403
30694	15850	790	97	450
30804	15900	790	99	454
30926	15950	790	101	409
31050	16000	790	115	403
31155	16050	791	97	476
31284	16100	791	103	387
31396	16150	791	101	446
31520	16200	791	116	403
31625	16250	791	98	476
31759	16300	791	107	373
31868	16350	791	100	458
32017	16400	791	126	335
32136	16450	791	109	420
32271	16500	791	111	370
32406	16550	791	117	370
32552	16600	791	136	342
32672	16650	791	111	416
32872	16700	791	180	250
33086	16750	791	200	233
33276	16800	791	181	263
33480	16850	791	194	245
33680	16900	791	177	250
33872	16950	791	182	260
34077	17000	791	196	243
