#Time(ms)	States	Instructions	GC Time	Speed(st/s)
673	50	18	113	0
1152	100	37	66	104
1349	150	55	81	253
1555	200	62	84	242
1697	250	79	69	352
1793	300	109	54	520
1912	350	138	66	420
2059	400	146	86	340
2175	450	157	68	431
2277	500	171	66	490
2461	550	180	60	271
2594	600	194	72	375
2737	650	202	82	349
2867	700	207	75	384
3000	750	211	81	375
3129	800	214	69	387
3239	850	218	71	454
3357	900	221	71	423
3493	950	225	99	367
3617	1000	229	89	403
3741	1050	232	74	403
3907	1100	234	108	301
4025	1150	238	73	423
4129	1200	239	79	480
4273	1250	241	107	347
4381	1300	246	82	462
4505	1350	248	90	403
4625	1400	254	87	416
4773	1450	256	98	337
4885	1500	258	94	446
5016	1550	263	109	381
5122	1600	266	82	471
5257	1650	266	94	370
5366	1700	271	91	458
5493	1750	271	94	393
5617	1800	281	98	403
5729	1850	281	98	446
5845	1900	285	90	431
5953	1950	287	96	462
6063	2000	291	90	454
6181	2050	294	83	423
6287	2100	296	89	471
6405	2150	301	94	423
6541	2200	301	100	367
6656	2250	306	85	434
6833	2300	310	139	282
6969	2350	310	122	367
7093	2400	316	96	403
7209	2450	324	97	431
7325	2500	324	92	431
7456	2550	326	108	381
7578	2600	338	88	409
7705	2650	338	96	393
7856	2700	344	101	331
8005	2750	344	104	335
8141	2800	354	116	367
8263	2850	354	102	409
8375	2900	358	90	446
8497	2950	358	97	409
8641	3000	364	120	347
8757	3050	364	95	431
8865	3100	372	97	462
8989	3150	372	99	403
9121	3200	373	109	378
9313	3250	373	157	260
9525	3300	378	178	235
9643	3350	381	108	423
9843	3400	381	186	250
10037	3450	382	162	257
10165	3500	382	98	390
10349	3550	390	138	271
10485	3600	392	122	367
10605	3650	393	99	416
10755	3700	393	124	333
10891	3750	394	105	367
11057	3800	400	133	301
11189	3850	405	106	378
11337	3900	405	115	337
11465	3950	409	107	390
11605	4000	409	123	357
11745	4050	409	119	357
11901	4100	413	111	320
12041	4150	413	119	357
12193	4200	413	132	328
12329	4250	414	116	367
12541	4300	414	177	235
12681	4350	414	122	357
12833	4400	417	131	328
12997	4450	418	131	304
13133	4500	418	119	367
13261	4550	418	116	390
13433	4600	418	127	290
13581	4650	418	122	337
13733	4700	424	114	328
13881	4750	424	124	337
14049	4800	424	150	297
14205	4850	425	123	320
14337	4900	425	119	378
14493	4950	425	133	320
14697	5000	425	190	245
14843	5050	425	132	342
15081	5100	426	212	210
15253	5150	433	153	290
15429	5200	435	142	284
15585	5250	435	136	320
15737	5300	435	135	328
15901	5350	436	150	304
16073	5400	440	153	290
16229	5450	441	137	320
16385	5500	441	134	320
16607	5550	442	201	225
16793	5600	443	147	268
16949	5650	446	141	320
17105	5700	447	139	320
17265	5750	447	141	312
17441	5800	447	151	284
17601	5850	447	134	312
17749	5900	449	126	337
17913	5950	449	135	304
18093	6000	453	168	277
18249	6050	454	133	320
18429	6100	454	159	277
18605	6150	454	154	284
18818	6200	454	194	234
19001	6250	454	169	273
19173	6300	455	153	290
19337	6350	455	143	304
19549	6400	455	166	235
19791	6450	455	229	206
20065	6500	456	246	182
20329	6550	456	239	189
20618	6600	456	275	173
20885	6650	459	242	187
21065	6700	459	142	277
21231	6750	459	144	301
21410	6800	459	144	279
21569	6850	459	122	314
21733	6900	459	129	304
21879	6950	460	121	342
22128	7000	468	168	200
22299	7050	468	130	292
22517	7100	468	155	229
22693	7150	468	145	284
22897	7200	468	166	245
23069	7250	468	150	290
23293	7300	468	205	223
23469	7350	475	149	284
23669	7400	478	171	250
23819	7450	482	138	333
24009	7500	482	154	263
24177	7550	482	160	297
24381	7600	482	177	245
24541	7650	482	144	312
24829	7700	482	264	173
25065	7750	482	220	211
25281	7800	495	166	231
25449	7850	497	150	297
25617	7900	497	150	297
25797	7950	498	163	277
25987	8000	498	175	263
26181	8050	499	181	257
26349	8100	499	154	297
26521	8150	499	151	290
26757	8200	505	213	211
26957	8250	513	181	250
27133	8300	520	168	284
27313	8350	520	158	277
27513	8400	523	178	250
27801	8450	523	261	173
28105	8500	523	269	164
28377	8550	529	249	183
28725	8600	529	310	143
28936	8650	531	192	236
29121	8700	537	166	270
29278	8750	541	140	318
29482	8800	542	164	245
29649	8850	548	131	299
29845	8900	549	150	255
30045	8950	549	166	250
30251	9000	550	191	242
30417	9050	550	142	301
30573	9100	550	138	320
30741	9150	557	142	297
30923	9200	566	162	274
31097	9250	567	143	287
31266	9300	568	142	295
31461	9350	575	155	256
31673	9400	577	179	235
31853	9450	579	159	277
32109	9500	579	238	195
32305	9550	583	170	255
32505	9600	586	173	250
32697	9650	589	162	260
32871	9700	589	156	287
33089	9750	590	178	229
33302	9800	591	188	234
33458	9850	591	143	320
33628	9900	595	145	294
33796	9950	602	143	297
33986	10000	602	168	263
34193	10050	605	161	241
34405	10100	606	185	235
34669	10150	614	217	189
35073	10200	623	380	123
35277	10250	624	181	245
35493	10300	624	188	231
35701	10350	625	190	240
35921	10400	625	209	227
36165	10450	627	203	204
36438	10500	629	255	183
36637	10550	629	181	251
36857	10600	630	204	227
37041	10650	632	169	271
37233	10700	636	168	260
37421	10750	643	166	265
37649	10800	643	220	219
37853	10850	648	175	245
38053	10900	649	186	250
38237	10950	649	170	271
38546	11000	650	286	161
38723	11050	650	153	282
38907	11100	651	152	271
39088	11150	656	158	276
39288	11200	659	176	250
39461	11250	663	157	289
39662	11300	663	165	248
39879	11350	663	178	230
40125	11400	670	198	203
40329	11450	671	180	245
40565	11500	671	194	211
40781	11550	671	182	231
40994	11600	672	191	234
41169	11650	674	165	285
41371	11700	674	157	247
41544	11750	674	153	289
41765	11800	681	191	226
41934	11850	682	160	295
42130	11900	682	162	255
42348	11950	682	184	229
42557	12000	687	187	239
42727	12050	697	162	294
42909	12100	697	161	274
43129	12150	700	181	227
43332	12200	702	183	246
43555	12250	702	173	224
43730	12300	703	162	285
43909	12350	704	157	279
44124	12400	708	184	232
44312	12450	709	166	265
44527	12500	709	176	232
44745	12550	711	189	229
44977	12600	711	214	215
45213	12650	711	218	211
45436	12700	718	195	224
45630	12750	720	179	257
45836	12800	720	197	242
46077	12850	721	193	207
46301	12900	721	199	223
46541	12950	725	233	208
46849	13000	725	293	162
47057	13050	727	191	240
47257	13100	727	181	250
47449	13150	727	176	260
47669	13200	728	200	227
47853	13250	728	176	271
48045	13300	728	179	260
48237	13350	739	181	260
48454	13400	739	201	230
48645	13450	740	174	261
48830	13500	744	172	270
49025	13550	744	175	256
49245	13600	747	203	227
49440	13650	747	179	256
49669	13700	747	196	218
49881	13750	747	204	235
50109	13800	747	210	219
50349	13850	747	201	208
50565	13900	747	195	231
50794	13950	747	203	218
51025	14000	760	204	216
51227	14050	761	183	247
51417	14100	761	178	263
51741	14150	782	208	154
