#Time(ms)	States	Instructions	GC Time	Speed(st/s)
732	50	18	113	0
1203	100	37	50	106
1417	150	55	74	233
1613	200	62	87	255
1744	250	79	71	381
1859	300	109	53	434
1968	350	138	52	458
2111	400	146	62	349
2231	450	157	80	416
2375	500	171	83	347
2547	550	180	62	290
2683	600	194	80	367
2823	650	202	83	357
2967	700	207	94	347
3096	750	211	101	387
3263	800	214	102	299
3371	850	218	76	462
3463	900	221	69	543
3579	950	225	76	431
3699	1000	229	73	416
3827	1050	232	75	390
3954	1100	234	77	393
4103	1150	238	83	335
4227	1200	239	93	403
4347	1250	241	75	416
4454	1300	246	74	467
4571	1350	248	82	427
4671	1400	254	87	500
4802	1450	256	83	381
4900	1500	258	79	510
4998	1550	263	79	510
5151	1600	266	102	326
5279	1650	266	90	390
5387	1700	271	83	462
5510	1750	271	93	406
5626	1800	281	89	431
5726	1850	281	84	500
5839	1900	285	79	442
5939	1950	287	88	500
6079	2000	291	117	357
6199	2050	294	90	416
6299	2100	296	92	500
6431	2150	301	111	378
6538	2200	301	92	467
6687	2250	306	100	335
6807	2300	310	83	416
6914	2350	310	86	467
7047	2400	316	105	375
7151	2450	324	86	480
7271	2500	324	97	416
7391	2550	326	89	416
7547	2600	338	114	320
7691	2650	338	110	347
7855	2700	344	123	304
8007	2750	344	119	328
8155	2800	354	111	337
8299	2850	354	118	347
8439	2900	358	114	357
8595	2950	358	126	320
8800	3000	364	186	243
8974	3050	364	160	287
9163	3100	372	154	264
9353	3150	372	164	263
9555	3200	373	174	247
9695	3250	373	103	357
9831	3300	378	105	367
9983	3350	381	107	328
10127	3400	381	120	347
10263	3450	382	106	367
10403	3500	382	107	357
10619	3550	390	175	231
10763	3600	392	117	347
10891	3650	393	108	390
11047	3700	393	118	320
11195	3750	394	117	337
11339	3800	400	121	347
11475	3850	405	110	367
11629	3900	405	125	324
11763	3950	409	118	373
11915	4000	409	128	328
12130	4050	409	170	232
12288	4100	413	108	316
12443	4150	413	117	322
12599	4200	413	133	320
12759	4250	414	125	312
12907	4300	414	116	337
13063	4350	414	115	320
13259	4400	417	146	255
13431	4450	418	119	290
13575	4500	418	124	347
13779	4550	418	166	245
13947	4600	418	130	297
14087	4650	418	120	357
14283	4700	424	164	255
14438	4750	424	136	322
14611	4800	424	136	289
14779	4850	425	123	297
14933	4900	425	133	324
15089	4950	425	128	320
15259	5000	425	141	294
15415	5050	425	123	320
15579	5100	425	131	304
15807	5150	431	206	219
16027	5200	435	193	227
16195	5250	435	133	297
16359	5300	435	131	304
16559	5350	436	163	250
16711	5400	440	134	328
16880	5450	441	124	295
17044	5500	441	130	304
17199	5550	442	128	322
17388	5600	442	152	264
17531	5650	445	129	349
17763	5700	447	191	215
17915	5750	447	129	328
18095	5800	447	161	277
18311	5850	447	184	231
18465	5900	449	135	324
18643	5950	449	132	280
18832	6000	449	163	264
19023	6050	453	140	261
19207	6100	454	168	271
19386	6150	454	126	279
19549	6200	454	135	306
19719	6250	454	128	294
19866	6300	455	120	340
20020	6350	455	120	324
20200	6400	455	144	277
20403	6450	455	140	246
20612	6500	455	163	239
20752	6550	456	122	357
20992	6600	456	165	208
21159	6650	459	143	299
21347	6700	459	144	265
21507	6750	459	142	312
21799	6800	459	248	171
21954	6850	459	132	322
22104	6900	459	126	333
22255	6950	460	124	331
22499	7000	468	164	204
22679	7050	468	153	277
22875	7100	468	157	255
23155	7150	468	258	178
23363	7200	468	178	240
23531	7250	468	150	297
23712	7300	468	132	276
23903	7350	471	143	261
24107	7400	478	176	245
24275	7450	482	147	297
24547	7500	482	242	183
24715	7550	482	146	297
24911	7600	482	168	255
25087	7650	482	154	284
25259	7700	482	156	290
25463	7750	482	177	245
25655	7800	492	172	260
25867	7850	497	185	235
26047	7900	497	165	277
26219	7950	498	154	290
26435	8000	498	183	231
26732	8050	499	272	168
27019	8100	499	269	174
27319	8150	499	260	166
27604	8200	505	267	175
27803	8250	513	161	251
27975	8300	520	145	290
28155	8350	520	153	277
28355	8400	523	170	250
28531	8450	523	153	284
28723	8500	523	154	260
28923	8550	524	179	250
29139	8600	529	179	231
29347	8650	531	190	240
29547	8700	534	177	250
29727	8750	541	163	277
29931	8800	542	186	245
30123	8850	546	169	260
30411	8900	549	273	173
30706	8950	549	266	169
31041	9000	549	306	149
31350	9050	550	275	161
31539	9100	550	154	264
31735	9150	556	166	255
31924	9200	566	163	264
32090	9250	567	144	301
32274	9300	567	145	271
32464	9350	575	147	263
32657	9400	575	164	259
32852	9450	579	148	256
33033	9500	579	143	276
33259	9550	583	172	221
33451	9600	583	177	260
33679	9650	586	194	219
33853	9700	589	151	287
34059	9750	590	171	242
34370	9800	591	282	160
34524	9850	591	142	324
34714	9900	595	148	263
34920	9950	602	154	242
35113	10000	602	168	259
35295	10050	602	151	274
35491	10100	606	159	255
35723	10150	614	190	215
35936	10200	623	171	234
36167	10250	624	171	216
36391	10300	624	180	223
36623	10350	625	205	215
36932	10400	625	288	161
37147	10450	627	171	232
37379	10500	629	190	215
37607	10550	629	206	219
37838	10600	630	197	216
38009	10650	632	156	292
38208	10700	636	168	251
38395	10750	640	158	267
38608	10800	643	175	234
38789	10850	644	159	276
39023	10900	649	187	213
39219	10950	649	170	255
39439	11000	650	200	227
39632	11050	650	154	259
39811	11100	651	155	279
39992	11150	656	156	276
40181	11200	656	173	264
40411	11250	663	182	217
40599	11300	663	166	265
40791	11350	663	175	260
41055	11400	668	224	189
41339	11450	671	270	176
41579	11500	671	222	208
41795	11550	671	184	231
42011	11600	672	195	231
42240	11650	674	191	218
42467	11700	674	191	220
42792	11750	674	307	153
43017	11800	681	193	222
43201	11850	682	164	271
43413	11900	682	176	235
43595	11950	682	156	274
43809	12000	687	185	233
43983	12050	697	158	287
44179	12100	697	164	255
44359	12150	700	169	277
44572	12200	702	192	234
44751	12250	702	166	279
44967	12300	703	178	231
45154	12350	703	177	267
45399	12400	708	214	204
45603	12450	709	188	245
45883	12500	709	263	178
46110	12550	709	194	220
46351	12600	711	207	207
46551	12650	711	179	250
46779	12700	714	190	219
46987	12750	720	196	240
47311	12800	720	302	154
47513	12850	720	169	247
47703	12900	721	172	263
47883	12950	721	163	277
48105	13000	725	203	225
48307	13050	727	171	247
48493	13100	727	168	268
48731	13150	727	192	210
48963	13200	728	214	215
49179	13250	728	191	231
49391	13300	728	194	235
49611	13350	739	201	227
49859	13400	739	228	201
50071	13450	740	198	235
50287	13500	744	202	231
50491	13550	744	190	245
50901	13600	747	394	121
51187	13650	747	249	174
51407	13700	747	196	227
51611	13750	747	191	245
51841	13800	747	211	217
52043	13850	747	178	247
52256	13900	747	185	234
52454	13950	747	184	252
52677	14000	757	209	224
52875	14050	761	179	252
53072	14100	761	184	253
53399	14150	782	210	152
53651	14200	784	229	198
53867	14250	784	193	231
54091	14300	784	199	223
54331	14350	784	214	208
54595	14400	784	249	189
54835	14450	784	214	208
55087	14500	784	214	198
55331	14550	784	209	204
55579	14600	784	231	201
55806	14650	785	205	220
56043	14700	786	205	210
56431	14750	786	351	128
56747	14800	789	291	158
56980	14850	790	204	214
57191	14900	790	196	236
57399	14950	790	186	240
57652	15000	790	226	197
57866	15050	790	190	233
58081	15100	790	181	232
58293	15150	790	194	235
58546	15200	790	222	197
58800	15250	790	198	196
59008	15300	790	189	240
59235	15350	792	190	220
59483	15400	792	225	201
59711	15450	792	191	219
59915	15500	792	190	245
60140	15550	792	194	222
63143	15600	792	353	16
63422	15650	793	241	179
63763	15700	793	279	146
64031	15750	796	236	186
64343	15800	796	281	160
64607	15850	796	250	189
64979	15900	796	323	134
65267	15950	796	238	173
65547	16000	796	255	178
65855	16050	796	262	162
66092	16100	796	211	210
66323	16150	796	212	216
66612	16200	796	248	173
66853	16250	796	216	207
67093	16300	796	204	208
67327	16350	796	217	213
67635	16400	796	269	162
67909	16450	800	231	182
68171	16500	800	233	190
68419	16550	800	231	201
68728	16600	800	266	161
68992	16650	800	238	189
69255	16700	800	244	190
69505	16750	800	234	200
69855	16800	800	322	142
70302	16850	800	418	111
70587	16900	800	272	175
71007	16950	800	385	119
71523	17000	800	479	96
71895	17050	800	345	134
72155	17100	800	237	192
72587	17150	802	394	115
73045	17200	802	442	109
73440	17250	802	387	126
73881	17300	802	408	113
74327	17350	804	414	112
74803	17400	804	457	105
75223	17450	804	409	119
75667	17500	804	405	112
76075	17550	804	385	122
76395	17600	804	298	156
76727	17650	804	303	150
77197	17700	804	429	106
77683	17750	806	454	102
78200	17800	806	504	96
78693	17850	806	445	101
79164	17900	809	450	106
79636	17950	809	449	105
80166	18000	809	505	94
80673	18050	810	460	98
81133	18100	810	433	108
81611	18150	810	443	104
82147	18200	810	522	93
82511	18250	810	342	137
82811	18300	810	266	166
83068	18350	810	239	194
83387	18400	813	278	156
83691	18450	813	261	164
83943	18500	815	230	198
84243	18550	822	239	166
84569	18600	822	311	153
84857	18650	826	247	173
85147	18700	826	253	172
85431	18750	826	250	176
85760	18800	826	310	151
86063	18850	827	247	165
86347	18900	831	248	176
86619	18950	831	247	183
86923	19000	831	290	164
87215	19050	831	257	171
87487	19100	831	248	183
87763	19150	831	254	181
88063	19200	831	280	166
88387	19250	831	255	154
88731	19300	831	311	145
89222	19350	834	462	101
89755	19400	834	521	93
90277	19450	837	473	95
90623	19500	837	321	144
91136	19550	837	464	97
91701	19600	838	532	88
92105	19650	841	390	123
92419	19700	845	261	159
92935	19750	845	488	96
93308	19800	845	347	134
93764	19850	845	444	109
94151	19900	845	327	129
94663	19950	845	479	97
95047	20000	845	354	130
95531	20050	845	464	103
95891	20100	845	335	138
96419	20150	845	492	94
96803	20200	845	349	130
97315	20250	845	466	97
97655	20300	848	332	147
98192	20350	848	480	93
98583	20400	848	353	127
99085	20450	849	472	99
99440	20500	854	324	140
99931	20550	854	461	101
100367	20600	854	372	114
100891	20650	862	491	95
101267	20700	862	341	132
101769	20750	862	475	99
102175	20800	863	368	123
102695	20850	863	486	96
103047	20900	863	317	142
103618	20950	863	494	87
103971	21000	863	323	141
104499	21050	863	490	94
104827	21100	863	291	152
105363	21150	863	490	93
105751	21200	863	339	128
106254	21250	863	481	99
106615	21300	863	304	138
107151	21350	863	490	93
107503	21400	863	319	142
107859	21450	871	307	140
108135	21500	871	260	181
108579	21550	874	395	112
109192	21600	877	575	81
109729	21650	877	493	93
110280	21700	877	502	90
110788	21750	882	496	98
111439	21800	882	602	76
111991	21850	882	507	90
112530	21900	882	490	92
