#Time(ms)	States	Instructions	GC Time	Speed(st/s)
354	50	18	73	0
586	100	37	32	215
683	150	55	41	515
779	200	62	53	520
846	250	79	34	746
914	300	109	34	735
962	350	138	28	1041
1022	400	146	29	833
1074	450	157	29	961
1130	500	171	31	892
1179	550	180	28	1020
1250	600	194	49	704
1301	650	202	39	980
1350	700	207	33	1020
1410	750	211	34	833
1474	800	214	35	781
1530	850	218	31	892
1578	900	221	35	1041
1630	950	225	35	961
1698	1000	229	52	735
1746	1050	232	37	1041
1802	1100	234	38	892
1864	1150	238	42	806
1914	1200	239	39	1000
1982	1250	241	47	735
2034	1300	246	36	961
2086	1350	248	41	961
2134	1400	254	39	1041
2199	1450	256	42	769
2258	1500	258	49	847
2318	1550	263	52	833
2384	1600	266	57	757
2438	1650	266	46	925
2506	1700	271	54	735
2568	1750	271	53	806
2626	1800	281	48	862
2686	1850	281	50	833
2740	1900	285	42	925
2790	1950	287	42	1000
2850	2000	291	52	833
2909	2050	294	46	847
2960	2100	296	44	980
3018	2150	301	43	862
3078	2200	301	52	833
3138	2250	306	47	833
3190	2300	310	41	961
3246	2350	310	48	892
3306	2400	316	47	833
3360	2450	324	44	925
3426	2500	324	57	757
3498	2550	326	58	694
3560	2600	338	48	806
3630	2650	338	55	714
3714	2700	344	48	595
3786	2750	344	60	694
3858	2800	354	58	694
3922	2850	354	48	781
3982	2900	358	50	833
4050	2950	358	58	735
4150	3000	364	85	500
4243	3050	364	80	537
4326	3100	372	73	602
4418	3150	372	83	543
4520	3200	373	86	490
4623	3250	373	84	485
4723	3300	378	83	500
4790	3350	381	52	746
4866	3400	381	60	657
4930	3450	382	53	781
4990	3500	382	50	833
5066	3550	390	55	657
5142	3600	392	62	657
5234	3650	393	82	543
5302	3700	393	53	735
5366	3750	394	53	781
5458	3800	400	71	543
5530	3850	405	58	694
5598	3900	405	57	735
5674	3950	409	56	657
5790	4000	409	102	431
5866	4050	409	57	657
5946	4100	413	63	625
6037	4150	413	71	549
6118	4200	413	65	617
6190	4250	414	60	694
6266	4300	414	62	657
6334	4350	414	57	735
6422	4400	417	77	568
6494	4450	418	61	694
6576	4500	418	72	609
6646	4550	418	60	714
6726	4600	418	69	625
6795	4650	418	59	724
6874	4700	424	61	632
6950	4750	424	66	657
7042	4800	424	82	543
7124	4850	425	65	609
7194	4900	425	61	714
7270	4950	425	65	657
7377	5000	425	96	467
7446	5050	425	59	724
7522	5100	426	61	657
7598	5150	433	63	657
7678	5200	435	70	625
7762	5250	435	63	595
7834	5300	435	62	694
7932	5350	436	79	510
8012	5400	440	70	625
8098	5450	441	70	581
8178	5500	441	67	625
8250	5550	442	63	694
8346	5600	443	85	520
