#Time(ms)	States	Instructions	GC Time	Speed(st/s)
326	50	18	38	0
544	100	37	28	229
639	150	55	34	526
725	200	62	33	581
787	250	79	27	806
843	300	109	26	892
903	350	138	26	833
967	400	146	36	781
1025	450	157	44	862
1077	500	171	41	961
1130	550	180	43	943
1175	600	194	28	1111
1247	650	202	34	694
1317	700	207	39	714
1367	750	211	34	1000
1435	800	214	39	735
1491	850	218	34	892
1547	900	221	43	892
1599	950	225	41	961
1671	1000	229	54	694
1742	1050	232	49	704
1799	1100	234	39	877
1871	1150	238	49	694
1923	1200	239	40	961
1976	1250	241	39	943
2030	1300	246	41	925
2080	1350	248	41	1000
2135	1400	254	43	909
2203	1450	256	51	735
2267	1500	258	56	781
2318	1550	263	41	980
2369	1600	266	42	980
2419	1650	266	42	1000
2471	1700	271	43	961
2525	1750	271	44	925
2585	1800	281	43	833
2635	1850	281	41	1000
2691	1900	285	45	892
2743	1950	287	44	961
2799	2000	291	48	892
2851	2050	294	41	961
2907	2100	296	48	892
2959	2150	301	44	961
3019	2200	301	50	833
3087	2250	306	57	735
3151	2300	310	53	781
3207	2350	310	47	892
3267	2400	316	48	833
3352	2450	324	75	588
3435	2500	324	73	602
3503	2550	326	52	735
3571	2600	338	53	735
3635	2650	338	52	781
3710	2700	344	53	666
3799	2750	344	69	561
3871	2800	354	54	694
3937	2850	354	51	757
4011	2900	358	55	675
4071	2950	358	50	833
4139	3000	364	54	735
4201	3050	364	53	806
4259	3100	372	50	862
4319	3150	372	52	833
4383	3200	373	54	781
4443	3250	373	50	833
4511	3300	378	56	735
4599	3350	381	78	568
4667	3400	381	59	735
4727	3450	382	50	833
4791	3500	382	55	781
4863	3550	390	57	694
4931	3600	392	58	735
4997	3650	393	57	757
5075	3700	393	59	641
5147	3750	394	62	694
5223	3800	400	65	657
5291	3850	405	55	735
5393	3900	405	90	490
5499	3950	409	91	471
5568	4000	409	60	724
5631	4050	409	54	793
5699	4100	413	57	735
5771	4150	413	62	694
5847	4200	413	63	657
5927	4250	414	66	625
6002	4300	414	61	666
6074	4350	414	54	694
6161	4400	417	63	574
6247	4450	418	61	581
6316	4500	418	53	724
6399	4550	418	59	602
6491	4600	418	70	543
6567	4650	418	61	657
6651	4700	424	62	595
6723	4750	424	62	694
6843	4800	424	110	416
6923	4850	425	64	625
6995	4900	425	63	694
7071	4950	425	66	657
7151	5000	425	69	625
7247	5050	425	86	520
7359	5100	426	102	446
7443	5150	433	73	595
7523	5200	435	70	625
7603	5250	435	69	625
7674	5300	435	62	704
7758	5350	436	65	595
7843	5400	440	74	588
7919	5450	441	65	657
8035	5500	441	106	431
8109	5550	442	65	675
8203	5600	443	79	531
8279	5650	446	65	657
8359	5700	447	70	625
8435	5750	447	66	657
8519	5800	447	74	595
8610	5850	447	69	549
8728	5900	449	110	423
8823	5950	449	74	526
8903	6000	453	72	625
8995	6050	454	69	543
9079	6100	454	71	595
9167	6150	454	77	568
9291	6200	454	114	403
9367	6250	454	65	657
9451	6300	455	73	595
9535	6350	455	74	595
9631	6400	455	79	520
9707	6450	455	66	657
9799	6500	456	71	543
9932	6550	456	123	375
10027	6600	456	82	526
10107	6650	459	70	625
10208	6700	459	87	495
10290	6750	459	71	609
10379	6800	459	80	561
10459	6850	459	70	625
10555	6900	459	86	520
10639	6950	460	74	595
10743	7000	468	78	480
10823	7050	468	70	625
10915	7100	468	75	543
11004	7150	468	73	561
11094	7200	468	74	555
11172	7250	468	63	641
11251	7300	468	65	632
11351	7350	475	74	500
11455	7400	478	84	480
11543	7450	482	78	568
11674	7500	482	120	381
11759	7550	482	73	588
11855	7600	482	86	520
11951	7650	482	78	520
12039	7700	482	77	568
12130	7750	482	83	549
12230	7800	494	91	500
12327	7850	497	88	515
12411	7900	497	75	595
12503	7950	498	83	543
12603	8000	498	91	500
12740	8050	499	128	364
