#Time(ms)	States	Instructions	GC Time	Speed(st/s)
348	50	18	64	0
560	100	37	31	235
648	150	55	35	568
739	200	62	43	549
812	250	79	48	684
880	300	109	34	735
943	350	138	27	793
1012	400	146	33	724
1064	450	157	36	961
1110	500	171	28	1086
1191	550	180	28	617
1250	600	194	34	847
1311	650	202	43	819
1364	700	207	38	943
1415	750	211	32	980
1492	800	214	43	649
1544	850	218	37	961
1604	900	221	42	833
1670	950	225	47	757
1740	1000	229	40	714
1800	1050	232	39	833
1860	1100	234	38	833
1928	1150	238	42	735
1986	1200	239	39	862
2044	1250	241	37	862
2104	1300	246	50	833
2160	1350	248	41	892
2215	1400	254	46	909
2284	1450	256	52	724
2340	1500	258	43	892
2392	1550	263	43	961
2452	1600	266	50	833
2512	1650	266	48	833
2570	1700	271	48	862
2615	1750	271	35	1111
2688	1800	281	50	684
2748	1850	281	44	833
2804	1900	285	42	892
2864	1950	287	51	833
2924	2000	291	46	833
2976	2050	294	41	961
3036	2100	296	52	833
3088	2150	301	43	961
3152	2200	301	53	781
3228	2250	306	64	657
3289	2300	310	48	819
3348	2350	310	41	847
3423	2400	316	54	666
3476	2450	324	43	943
3532	2500	324	43	892
3592	2550	326	46	833
3673	2600	338	59	617
3736	2650	338	53	793
3822	2700	344	74	581
3896	2750	344	63	675
3960	2800	354	52	781
4026	2850	354	52	757
4088	2900	358	49	806
4148	2950	358	49	833
4216	3000	364	53	735
4274	3050	364	48	862
4336	3100	372	48	806
4396	3150	372	51	833
4504	3200	373	94	462
4572	3250	373	53	735
4648	3300	378	58	657
4710	3350	381	50	806
4775	3400	381	56	769
4840	3450	382	50	769
4908	3500	382	58	735
4975	3550	390	51	746
5044	3600	392	58	724
5112	3650	393	58	735
5184	3700	393	61	694
5248	3750	394	53	781
5336	3800	400	66	568
5404	3850	405	55	735
5472	3900	405	55	735
5544	3950	409	60	694
5620	4000	409	66	657
5700	4050	409	57	625
5811	4100	413	90	450
5919	4150	413	97	462
6003	4200	413	72	595
6078	4250	414	59	666
6152	4300	414	59	675
6220	4350	414	57	735
6292	4400	417	62	694
6376	4450	418	69	595
6444	4500	418	58	735
6516	4550	418	61	694
6640	4600	418	108	403
6708	4650	418	57	735
6787	4700	424	58	632
6867	4750	424	64	625
6947	4800	424	69	625
7020	4850	425	61	684
7106	4900	425	77	581
7180	4950	425	63	675
7260	5000	425	70	625
7328	5050	425	58	735
7408	5100	426	70	625
7480	5150	433	62	694
7564	5200	435	74	595
7681	5250	435	105	427
7760	5300	435	70	632
7844	5350	436	69	595
7926	5400	440	72	609
8002	5450	441	63	657
8084	5500	441	65	609
8156	5550	442	63	694
8248	5600	443	81	543
8344	5650	446	85	520
8424	5700	447	70	625
8508	5750	447	73	595
8596	5800	447	78	568
8702	5850	447	92	471
8781	5900	449	70	632
8856	5950	449	58	666
8956	6000	453	89	500
9048	6050	454	71	543
9128	6100	454	66	625
9212	6150	454	69	595
9300	6200	454	78	568
9416	6250	454	106	431
9547	6300	455	119	381
9644	6350	455	88	515
9747	6400	455	82	485
9823	6450	455	65	657
9908	6500	456	72	588
9988	6550	456	70	625
10085	6600	456	76	515
10159	6650	459	61	675
10238	6700	459	61	632
10309	6750	459	62	704
10408	6800	459	79	505
10503	6850	459	74	526
10608	6900	459	90	476
10702	6950	460	75	531
10812	7000	468	81	454
10896	7050	468	74	595
11038	7100	468	131	352
11120	7150	468	72	609
11220	7200	468	89	500
11307	7250	468	71	574
11382	7300	468	64	666
11476	7350	475	77	531
11576	7400	478	84	500
11656	7450	482	70	625
11752	7500	482	81	520
11836	7550	482	75	595
11936	7600	482	89	500
12040	7650	482	86	480
12136	7700	482	83	520
12228	7750	482	79	543
12336	7800	495	89	462
12471	7850	497	125	370
12615	7900	497	133	347
12762	7950	498	131	340
12896	8000	498	119	373
12984	8050	499	78	568
13076	8100	499	76	543
13163	8150	499	75	574
13276	8200	505	92	442
13367	8250	513	74	549
13460	8300	520	76	537
13548	8350	520	77	568
13644	8400	523	86	520
13740	8450	523	82	520
13832	8500	523	81	543
13920	8550	529	79	568
14036	8600	529	94	431
14132	8650	531	87	520
14228	8700	537	85	520
14312	8750	541	76	595
14483	8800	542	161	292
14632	8850	548	139	335
14771	8900	549	130	359
14888	8950	549	96	427
14984	9000	550	88	520
15076	9050	550	80	543
15160	9100	550	76	595
15256	9150	557	78	520
15389	9200	566	124	375
15470	9250	567	71	617
15553	9300	568	69	602
15634	9350	575	68	617
15742	9400	577	91	462
15827	9450	579	72	588
15912	9500	579	69	588
16016	9550	583	80	480
16124	9600	586	99	462
16275	9650	589	139	331
16376	9700	589	82	495
16464	9750	590	79	568
16561	9800	591	84	515
16641	9850	591	71	625
16756	9900	595	90	434
16848	9950	602	82	543
16968	10000	602	111	416
17051	10050	605	72	602
17153	10100	606	78	490
17272	10150	614	93	420
17392	10200	623	105	416
17508	10250	624	105	431
17612	10300	624	84	480
17720	10350	625	88	462
17838	10400	625	100	423
17940	10450	627	80	490
18060	10500	629	98	416
18176	10550	629	107	431
18288	10600	630	101	446
18373	10650	632	77	588
18459	10700	636	74	581
18551	10750	643	74	543
18652	10800	643	86	495
18739	10850	648	75	574
18827	10900	649	75	568
