#Time(ms)	States	Instructions	GC Time	Speed(st/s)
1389	50	12	42	0
1586	100	15	27	253
1650	150	15	34	781
1700	200	15	32	1000
1750	250	15	32	1000
1798	300	15	32	1041
1843	350	15	29	1111
1888	400	15	26	1111
1930	450	15	29	1190
1962	500	15	22	1562
2006	550	15	29	1136
2044	600	15	28	1315
2088	650	15	31	1136
2138	700	15	42	1000
2172	750	15	25	1470
2214	800	15	33	1190
2258	850	15	36	1136
2293	900	15	30	1428
2325	950	15	26	1562
2352	1000	15	23	1851
2399	1050	15	39	1063
2430	1100	15	27	1612
2456	1150	15	22	1923
2489	1200	15	25	1515
2516	1250	15	23	1851
2557	1300	15	33	1219
2598	1350	15	35	1219
2631	1400	15	23	1515
2666	1450	15	27	1428
2710	1500	15	35	1136
2745	1550	15	29	1428
2778	1600	15	29	1515
2814	1650	15	31	1388
2840	1700	15	20	1923
2887	1750	15	40	1063
2926	1800	15	34	1282
2958	1850	15	26	1562
2989	1900	15	23	1612
3018	1950	15	24	1724
3048	2000	15	26	1666
3081	2050	15	28	1515
3114	2100	15	26	1515
3144	2150	15	24	1666
3171	2200	15	23	1851
3198	2250	15	23	1851
3226	2300	15	24	1785
3262	2350	15	32	1388
3296	2400	15	29	1470
3327	2450	15	25	1612
3354	2500	15	23	1851
3382	2550	15	25	1785
3414	2600	15	28	1562
3442	2650	15	24	1785
3481	2700	15	36	1282
3515	2750	15	30	1470
3545	2800	15	27	1666
3580	2850	15	32	1428
3610	2900	15	26	1666
3642	2950	15	29	1562
3673	3000	15	28	1612
3714	3050	15	38	1219
3742	3100	15	25	1785
3770	3150	15	25	1785
3802	3200	15	25	1562
3842	3250	15	37	1250
3882	3300	15	32	1250
3910	3350	15	24	1785
3952	3400	15	39	1190
3988	3450	15	32	1388
4027	3500	15	35	1282
4053	3550	15	23	1923
4082	3600	15	27	1724
4114	3650	15	29	1562
4142	3700	15	25	1785
4174	3750	15	29	1562
4202	3800	15	24	1785
4234	3850	15	30	1562
4262	3900	15	26	1785
4290	3950	15	26	1785
4331	4000	15	37	1219
4366	4050	15	33	1428
4394	4100	15	26	1785
4424	4150	15	24	1666
4456	4200	15	29	1562
4494	4250	15	35	1315
4523	4300	15	27	1724
4546	4350	15	20	2173
4581	4400	15	32	1428
4601	4450	15	17	2500
4638	4500	15	35	1351
4661	4550	15	20	2173
4693	4600	15	29	1562
4725	4650	15	28	1562
4766	4700	15	35	1219
4785	4750	15	17	2631
4811	4800	15	23	1923
4832	4850	15	19	2380
4851	4900	15	16	2631
4870	4950	15	17	2631
4893	5000	15	20	2173
4912	5050	15	17	2631
4933	5100	15	18	2380
4959	5150	15	22	1923
4979	5200	15	18	2500
4999	5250	15	16	2500
5018	5300	15	17	2631
5039	5350	15	19	2380
5059	5400	15	18	2500
5082	5450	15	21	2173
5102	5500	15	17	2500
5121	5550	15	17	2631
5147	5600	15	22	1923
5190	5650	15	41	1162
5213	5700	15	21	2173
5237	5750	15	21	2083
5256	5800	15	17	2631
5275	5850	15	16	2631
5294	5900	15	17	2631
5317	5950	15	19	2173
5339	6000	15	20	2272
5358	6050	15	17	2631
5378	6100	15	18	2500
5413	6150	15	32	1428
5439	6200	15	24	1923
5459	6250	15	17	2500
5483	6300	15	21	2083
5516	6350	15	30	1515
5550	6400	15	32	1470
5581	6450	15	28	1612
